Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,368,3682,20000,20000
0,1,20000,22000,368,3682,40000,20000
0,2,40000,42000,368,3682,60000,20000
0,3,60000,62000,368,3682,80000,20000
0,4,80000,82000,368,3682,100000,20000
0,5,100000,102000,368,3682,120000,20000
0,6,120000,122000,368,3682,140000,20000
0,7,140000,142000,368,3682,160000,20000
0,8,160000,162000,368,3682,180000,20000
0,9,180000,182000,368,3682,200000,20000
0,10,200000,202000,368,3682,220000,20000
0,11,220000,222000,368,3682,240000,20000
0,12,240000,242000,368,3682,260000,20000
0,13,260000,262000,368,3682,280000,20000
0,14,280000,282000,368,3682,300000,20000
1,15,0,2000,142,1420,20000,20000
1,16,20000,22000,142,1420,40000,20000
1,17,40000,42000,142,1420,60000,20000
1,18,60000,62000,142,1420,80000,20000
1,19,80000,82000,142,1420,100000,20000
1,20,100000,102000,142,1420,120000,20000
1,21,120000,122000,142,1420,140000,20000
1,22,140000,142000,142,1420,160000,20000
1,23,160000,162000,142,1420,180000,20000
1,24,180000,182000,142,1420,200000,20000
1,25,200000,202000,142,1420,220000,20000
1,26,220000,222000,142,1420,240000,20000
1,27,240000,242000,142,1420,260000,20000
1,28,260000,262000,142,1420,280000,20000
1,29,280000,282000,142,1420,300000,20000
2,30,0,2000,70,701,20000,20000
2,31,20000,22000,70,701,40000,20000
2,32,40000,42000,70,701,60000,20000
2,33,60000,62000,70,701,80000,20000
2,34,80000,82000,70,701,100000,20000
2,35,100000,102000,70,701,120000,20000
2,36,120000,122000,70,701,140000,20000
2,37,140000,142000,70,701,160000,20000
2,38,160000,162000,70,701,180000,20000
2,39,180000,182000,70,701,200000,20000
2,40,200000,202000,70,701,220000,20000
2,41,220000,222000,70,701,240000,20000
2,42,240000,242000,70,701,260000,20000
2,43,260000,262000,70,701,280000,20000
2,44,280000,282000,70,701,300000,20000
3,45,0,2000,324,3237,20000,20000
3,46,20000,22000,324,3237,40000,20000
3,47,40000,42000,324,3237,60000,20000
3,48,60000,62000,324,3237,80000,20000
3,49,80000,82000,324,3237,100000,20000
3,50,100000,102000,324,3237,120000,20000
3,51,120000,122000,324,3237,140000,20000
3,52,140000,142000,324,3237,160000,20000
3,53,160000,162000,324,3237,180000,20000
3,54,180000,182000,324,3237,200000,20000
3,55,200000,202000,324,3237,220000,20000
3,56,220000,222000,324,3237,240000,20000
3,57,240000,242000,324,3237,260000,20000
3,58,260000,262000,324,3237,280000,20000
3,59,280000,282000,324,3237,300000,20000
4,60,0,2000,239,2391,20000,20000
4,61,20000,22000,239,2391,40000,20000
4,62,40000,42000,239,2391,60000,20000
4,63,60000,62000,239,2391,80000,20000
4,64,80000,82000,239,2391,100000,20000
4,65,100000,102000,239,2391,120000,20000
4,66,120000,122000,239,2391,140000,20000
4,67,140000,142000,239,2391,160000,20000
4,68,160000,162000,239,2391,180000,20000
4,69,180000,182000,239,2391,200000,20000
4,70,200000,202000,239,2391,220000,20000
4,71,220000,222000,239,2391,240000,20000
4,72,240000,242000,239,2391,260000,20000
4,73,260000,262000,239,2391,280000,20000
4,74,280000,282000,239,2391,300000,20000
5,75,0,3000,766,7661,30000,30000
5,76,30000,33000,766,7661,60000,30000
5,77,60000,63000,766,7661,90000,30000
5,78,90000,93000,766,7661,120000,30000
5,79,120000,123000,766,7661,150000,30000
5,80,150000,153000,766,7661,180000,30000
5,81,180000,183000,766,7661,210000,30000
5,82,210000,213000,766,7661,240000,30000
5,83,240000,243000,766,7661,270000,30000
5,84,270000,273000,766,7661,300000,30000
6,85,0,3000,20,200,30000,30000
6,86,30000,33000,20,200,60000,30000
6,87,60000,63000,20,200,90000,30000
6,88,90000,93000,20,200,120000,30000
