From TID,From JID,To TID,To JID
0,0,2,30
0,0,3,45
0,0,4,60
0,1,2,31
0,1,3,46
0,1,4,61
0,2,2,32
0,2,3,47
0,2,4,62
0,3,2,33
0,3,3,48
0,3,4,63
0,4,2,34
0,4,3,49
0,4,4,64
0,5,2,35
0,5,3,50
0,5,4,65
0,6,2,36
0,6,3,51
0,6,4,66
0,7,2,37
0,7,3,52
0,7,4,67
0,8,2,38
0,8,3,53
0,8,4,68
0,9,2,39
0,9,3,54
0,9,4,69
0,10,2,40
0,10,3,55
0,10,4,70
0,11,2,41
0,11,3,56
0,11,4,71
0,12,2,42
0,12,3,57
0,12,4,72
0,13,2,43
0,13,3,58
0,13,4,73
0,14,2,44
0,14,3,59
0,14,4,74
2,30,1,15
2,31,1,16
2,32,1,17
2,33,1,18
2,34,1,19
2,35,1,20
2,36,1,21
2,37,1,22
2,38,1,23
2,39,1,24
2,40,1,25
2,41,1,26
2,42,1,27
2,43,1,28
2,44,1,29
3,45,1,15
3,46,1,16
3,47,1,17
3,48,1,18
3,49,1,19
3,50,1,20
3,51,1,21
3,52,1,22
3,53,1,23
3,54,1,24
3,55,1,25
3,56,1,26
3,57,1,27
3,58,1,28
3,59,1,29
4,60,1,15
4,61,1,16
4,62,1,17
4,63,1,18
4,64,1,19
4,65,1,20
4,66,1,21
4,67,1,22
4,68,1,23
4,69,1,24
4,70,1,25
4,71,1,26
4,72,1,27
4,73,1,28
4,74,1,29
5,75,7,95
5,75,8,105
5,75,9,115
5,75,6,85
5,76,7,96
5,76,8,106
5,76,9,116
5,76,6,86
5,77,7,97
5,77,8,107
5,77,9,117
5,77,6,87
5,78,7,98
5,78,8,108
5,78,9,118
5,78,6,88
5,79,7,99
5,79,8,109
5,79,9,119
5,79,6,89
5,80,7,100
5,80,8,110
5,80,9,120
5,80,6,90
5,81,7,101
5,81,8,111
5,81,9,121
5,81,6,91
5,82,7,102
5,82,8,112
5,82,9,122
5,82,6,92
5,83,7,103
5,83,8,113
5,83,9,123
5,83,6,93
5,84,7,104
5,84,8,114
5,84,9,124
5,84,6,94
7,95,6,85
7,96,6,86
7,97,6,87
7,98,6,88
7,99,6,89
7,100,6,90
7,101,6,91
7,102,6,92
7,103,6,93
7,104,6,94
8,105,6,85
8,106,6,86
8,107,6,87
8,108,6,88
8,109,6,89
8,110,6,90
8,111,6,91
8,112,6,92
8,113,6,93
8,114,6,94
9,115,6,85
9,116,6,86
9,117,6,87
9,118,6,88
9,119,6,89
9,120,6,90
9,121,6,91
9,122,6,92
9,123,6,93
9,124,6,94
10,125,12,145
10,125,13,155
10,125,14,165
10,126,12,146
10,126,13,156
10,126,14,166
10,127,12,147
10,127,13,157
10,127,14,167
10,128,12,148
10,128,13,158
10,128,14,168
10,129,12,149
10,129,13,159
10,129,14,169
10,130,12,150
10,130,13,160
10,130,14,170
10,131,12,151
10,131,13,161
10,131,14,171
10,132,12,152
10,132,13,162
10,132,14,172
10,133,12,153
10,133,13,163
10,133,14,173
10,134,12,154
10,134,13,164
10,134,14,174
12,145,11,135
12,146,11,136
12,147,11,137
12,148,11,138
12,149,11,139
12,150,11,140
12,151,11,141
12,152,11,142
12,153,11,143
12,154,11,144
13,155,11,135
13,156,11,136
13,157,11,137
13,158,11,138
13,159,11,139
13,160,11,140
13,161,11,141
13,162,11,142
13,163,11,143
13,164,11,144
14,165,11,135
14,166,11,136
14,167,11,137
14,168,11,138
14,169,11,139
14,170,11,140
14,171,11,141
14,172,11,142
14,173,11,143
14,174,11,144
15,175,17,179
15,175,22,189
15,175,27,199
15,175,16,177
15,175,18,181
15,175,19,183
15,175,21,187
15,175,23,191
15,175,24,193
15,175,25,195
15,175,26,197
15,176,17,180
15,176,22,190
15,176,27,200
15,176,16,178
15,176,18,182
15,176,19,184
15,176,21,188
15,176,23,192
15,176,24,194
15,176,25,196
15,176,26,198
17,179,19,183
17,179,20,185
17,179,21,187
17,179,18,181
17,179,24,193
17,179,26,197
17,180,19,184
17,180,20,186
17,180,21,188
17,180,18,182
17,180,24,194
17,180,26,198
18,181,16,177
18,182,16,178
19,183,18,181
19,183,16,177
19,183,23,191
19,184,18,182
19,184,16,178
19,184,23,192
20,185,18,181
20,185,16,177
20,185,23,191
20,186,18,182
20,186,16,178
20,186,23,192
21,187,18,181
21,188,18,182
22,189,24,193
22,189,25,195
22,189,26,197
22,189,19,183
22,189,21,187
22,189,23,191
22,190,24,194
22,190,25,196
22,190,26,198
22,190,19,184
22,190,21,188
22,190,23,192
23,191,16,177
23,192,16,178
24,193,23,191
24,194,23,192
25,195,23,191
25,196,23,192
26,197,23,191
26,197,16,177
26,197,18,181
26,198,23,192
26,198,16,178
26,198,18,182
27,199,16,177
27,199,19,183
27,199,21,187
27,199,25,195
27,199,26,197
27,200,16,178
27,200,19,184
27,200,21,188
27,200,25,196
27,200,26,198
