From TID,From JID,To TID,To JID
0,0,2,440
0,0,11,2420
0,0,12,2640
0,0,5,1100
0,0,6,1320
0,0,7,1540
0,0,8,1760
0,0,9,1980
0,1,2,441
0,1,11,2421
0,1,12,2641
0,1,5,1101
0,1,6,1321
0,1,7,1541
0,1,8,1761
0,1,9,1981
0,2,2,442
0,2,11,2422
0,2,12,2642
0,2,5,1102
0,2,6,1322
0,2,7,1542
0,2,8,1762
0,2,9,1982
0,3,2,443
0,3,11,2423
0,3,12,2643
0,3,5,1103
0,3,6,1323
0,3,7,1543
0,3,8,1763
0,3,9,1983
0,4,2,444
0,4,11,2424
0,4,12,2644
0,4,5,1104
0,4,6,1324
0,4,7,1544
0,4,8,1764
0,4,9,1984
0,5,2,445
0,5,11,2425
0,5,12,2645
0,5,5,1105
0,5,6,1325
0,5,7,1545
0,5,8,1765
0,5,9,1985
0,6,2,446
0,6,11,2426
0,6,12,2646
0,6,5,1106
0,6,6,1326
0,6,7,1546
0,6,8,1766
0,6,9,1986
0,7,2,447
0,7,11,2427
0,7,12,2647
0,7,5,1107
0,7,6,1327
0,7,7,1547
0,7,8,1767
0,7,9,1987
0,8,2,448
0,8,11,2428
0,8,12,2648
0,8,5,1108
0,8,6,1328
0,8,7,1548
0,8,8,1768
0,8,9,1988
0,9,2,449
0,9,11,2429
0,9,12,2649
0,9,5,1109
0,9,6,1329
0,9,7,1549
0,9,8,1769
0,9,9,1989
0,10,2,450
0,10,11,2430
0,10,12,2650
0,10,5,1110
0,10,6,1330
0,10,7,1550
0,10,8,1770
0,10,9,1990
0,11,2,451
0,11,11,2431
0,11,12,2651
0,11,5,1111
0,11,6,1331
0,11,7,1551
0,11,8,1771
0,11,9,1991
0,12,2,452
0,12,11,2432
0,12,12,2652
0,12,5,1112
0,12,6,1332
0,12,7,1552
0,12,8,1772
0,12,9,1992
0,13,2,453
0,13,11,2433
0,13,12,2653
0,13,5,1113
0,13,6,1333
0,13,7,1553
0,13,8,1773
0,13,9,1993
0,14,2,454
0,14,11,2434
0,14,12,2654
0,14,5,1114
0,14,6,1334
0,14,7,1554
0,14,8,1774
0,14,9,1994
0,15,2,455
0,15,11,2435
0,15,12,2655
0,15,5,1115
0,15,6,1335
0,15,7,1555
0,15,8,1775
0,15,9,1995
0,16,2,456
0,16,11,2436
0,16,12,2656
0,16,5,1116
0,16,6,1336
0,16,7,1556
0,16,8,1776
0,16,9,1996
0,17,2,457
0,17,11,2437
0,17,12,2657
0,17,5,1117
0,17,6,1337
0,17,7,1557
0,17,8,1777
0,17,9,1997
0,18,2,458
0,18,11,2438
0,18,12,2658
0,18,5,1118
0,18,6,1338
0,18,7,1558
0,18,8,1778
0,18,9,1998
0,19,2,459
0,19,11,2439
0,19,12,2659
0,19,5,1119
0,19,6,1339
0,19,7,1559
0,19,8,1779
0,19,9,1999
0,20,2,460
0,20,11,2440
0,20,12,2660
0,20,5,1120
0,20,6,1340
0,20,7,1560
0,20,8,1780
0,20,9,2000
0,21,2,461
0,21,11,2441
0,21,12,2661
0,21,5,1121
0,21,6,1341
0,21,7,1561
0,21,8,1781
0,21,9,2001
0,22,2,462
0,22,11,2442
0,22,12,2662
0,22,5,1122
0,22,6,1342
0,22,7,1562
0,22,8,1782
0,22,9,2002
0,23,2,463
0,23,11,2443
0,23,12,2663
0,23,5,1123
0,23,6,1343
0,23,7,1563
0,23,8,1783
0,23,9,2003
0,24,2,464
0,24,11,2444
0,24,12,2664
0,24,5,1124
0,24,6,1344
0,24,7,1564
0,24,8,1784
0,24,9,2004
0,25,2,465
0,25,11,2445
0,25,12,2665
0,25,5,1125
0,25,6,1345
0,25,7,1565
0,25,8,1785
0,25,9,2005
0,26,2,466
0,26,11,2446
0,26,12,2666
0,26,5,1126
0,26,6,1346
0,26,7,1566
0,26,8,1786
0,26,9,2006
0,27,2,467
0,27,11,2447
0,27,12,2667
0,27,5,1127
0,27,6,1347
0,27,7,1567
0,27,8,1787
0,27,9,2007
0,28,2,468
0,28,11,2448
0,28,12,2668
0,28,5,1128
0,28,6,1348
0,28,7,1568
0,28,8,1788
0,28,9,2008
0,29,2,469
0,29,11,2449
0,29,12,2669
0,29,5,1129
0,29,6,1349
0,29,7,1569
0,29,8,1789
0,29,9,2009
0,30,2,470
0,30,11,2450
0,30,12,2670
0,30,5,1130
0,30,6,1350
0,30,7,1570
0,30,8,1790
0,30,9,2010
0,31,2,471
0,31,11,2451
0,31,12,2671
0,31,5,1131
0,31,6,1351
0,31,7,1571
0,31,8,1791
0,31,9,2011
0,32,2,472
0,32,11,2452
0,32,12,2672
0,32,5,1132
0,32,6,1352
0,32,7,1572
0,32,8,1792
0,32,9,2012
0,33,2,473
0,33,11,2453
0,33,12,2673
0,33,5,1133
0,33,6,1353
0,33,7,1573
0,33,8,1793
0,33,9,2013
0,34,2,474
0,34,11,2454
0,34,12,2674
0,34,5,1134
0,34,6,1354
0,34,7,1574
0,34,8,1794
0,34,9,2014
0,35,2,475
0,35,11,2455
0,35,12,2675
0,35,5,1135
0,35,6,1355
0,35,7,1575
0,35,8,1795
0,35,9,2015
0,36,2,476
0,36,11,2456
0,36,12,2676
0,36,5,1136
0,36,6,1356
0,36,7,1576
0,36,8,1796
0,36,9,2016
0,37,2,477
0,37,11,2457
0,37,12,2677
0,37,5,1137
0,37,6,1357
0,37,7,1577
0,37,8,1797
0,37,9,2017
0,38,2,478
0,38,11,2458
0,38,12,2678
0,38,5,1138
0,38,6,1358
0,38,7,1578
0,38,8,1798
0,38,9,2018
0,39,2,479
0,39,11,2459
0,39,12,2679
0,39,5,1139
0,39,6,1359
0,39,7,1579
0,39,8,1799
0,39,9,2019
0,40,2,480
0,40,11,2460
0,40,12,2680
0,40,5,1140
0,40,6,1360
0,40,7,1580
0,40,8,1800
0,40,9,2020
0,41,2,481
0,41,11,2461
0,41,12,2681
0,41,5,1141
0,41,6,1361
0,41,7,1581
0,41,8,1801
0,41,9,2021
0,42,2,482
0,42,11,2462
0,42,12,2682
0,42,5,1142
0,42,6,1362
0,42,7,1582
0,42,8,1802
0,42,9,2022
0,43,2,483
0,43,11,2463
0,43,12,2683
0,43,5,1143
0,43,6,1363
0,43,7,1583
0,43,8,1803
0,43,9,2023
0,44,2,484
0,44,11,2464
0,44,12,2684
0,44,5,1144
0,44,6,1364
0,44,7,1584
0,44,8,1804
0,44,9,2024
0,45,2,485
0,45,11,2465
0,45,12,2685
0,45,5,1145
0,45,6,1365
0,45,7,1585
0,45,8,1805
0,45,9,2025
0,46,2,486
0,46,11,2466
0,46,12,2686
0,46,5,1146
0,46,6,1366
0,46,7,1586
0,46,8,1806
0,46,9,2026
0,47,2,487
0,47,11,2467
0,47,12,2687
0,47,5,1147
0,47,6,1367
0,47,7,1587
0,47,8,1807
0,47,9,2027
0,48,2,488
0,48,11,2468
0,48,12,2688
0,48,5,1148
0,48,6,1368
0,48,7,1588
0,48,8,1808
0,48,9,2028
0,49,2,489
0,49,11,2469
0,49,12,2689
0,49,5,1149
0,49,6,1369
0,49,7,1589
0,49,8,1809
0,49,9,2029
0,50,2,490
0,50,11,2470
0,50,12,2690
0,50,5,1150
0,50,6,1370
0,50,7,1590
0,50,8,1810
0,50,9,2030
0,51,2,491
0,51,11,2471
0,51,12,2691
0,51,5,1151
0,51,6,1371
0,51,7,1591
0,51,8,1811
0,51,9,2031
0,52,2,492
0,52,11,2472
0,52,12,2692
0,52,5,1152
0,52,6,1372
0,52,7,1592
0,52,8,1812
0,52,9,2032
0,53,2,493
0,53,11,2473
0,53,12,2693
0,53,5,1153
0,53,6,1373
0,53,7,1593
0,53,8,1813
0,53,9,2033
0,54,2,494
0,54,11,2474
0,54,12,2694
0,54,5,1154
0,54,6,1374
0,54,7,1594
0,54,8,1814
0,54,9,2034
0,55,2,495
0,55,11,2475
0,55,12,2695
0,55,5,1155
0,55,6,1375
0,55,7,1595
0,55,8,1815
0,55,9,2035
0,56,2,496
0,56,11,2476
0,56,12,2696
0,56,5,1156
0,56,6,1376
0,56,7,1596
0,56,8,1816
0,56,9,2036
0,57,2,497
0,57,11,2477
0,57,12,2697
0,57,5,1157
0,57,6,1377
0,57,7,1597
0,57,8,1817
0,57,9,2037
0,58,2,498
0,58,11,2478
0,58,12,2698
0,58,5,1158
0,58,6,1378
0,58,7,1598
0,58,8,1818
0,58,9,2038
0,59,2,499
0,59,11,2479
0,59,12,2699
0,59,5,1159
0,59,6,1379
0,59,7,1599
0,59,8,1819
0,59,9,2039
0,60,2,500
0,60,11,2480
0,60,12,2700
0,60,5,1160
0,60,6,1380
0,60,7,1600
0,60,8,1820
0,60,9,2040
0,61,2,501
0,61,11,2481
0,61,12,2701
0,61,5,1161
0,61,6,1381
0,61,7,1601
0,61,8,1821
0,61,9,2041
0,62,2,502
0,62,11,2482
0,62,12,2702
0,62,5,1162
0,62,6,1382
0,62,7,1602
0,62,8,1822
0,62,9,2042
0,63,2,503
0,63,11,2483
0,63,12,2703
0,63,5,1163
0,63,6,1383
0,63,7,1603
0,63,8,1823
0,63,9,2043
0,64,2,504
0,64,11,2484
0,64,12,2704
0,64,5,1164
0,64,6,1384
0,64,7,1604
0,64,8,1824
0,64,9,2044
0,65,2,505
0,65,11,2485
0,65,12,2705
0,65,5,1165
0,65,6,1385
0,65,7,1605
0,65,8,1825
0,65,9,2045
0,66,2,506
0,66,11,2486
0,66,12,2706
0,66,5,1166
0,66,6,1386
0,66,7,1606
0,66,8,1826
0,66,9,2046
0,67,2,507
0,67,11,2487
0,67,12,2707
0,67,5,1167
0,67,6,1387
0,67,7,1607
0,67,8,1827
0,67,9,2047
0,68,2,508
0,68,11,2488
0,68,12,2708
0,68,5,1168
0,68,6,1388
0,68,7,1608
0,68,8,1828
0,68,9,2048
0,69,2,509
0,69,11,2489
0,69,12,2709
0,69,5,1169
0,69,6,1389
0,69,7,1609
0,69,8,1829
0,69,9,2049
0,70,2,510
0,70,11,2490
0,70,12,2710
0,70,5,1170
0,70,6,1390
0,70,7,1610
0,70,8,1830
0,70,9,2050
0,71,2,511
0,71,11,2491
0,71,12,2711
0,71,5,1171
0,71,6,1391
0,71,7,1611
0,71,8,1831
0,71,9,2051
0,72,2,512
0,72,11,2492
0,72,12,2712
0,72,5,1172
0,72,6,1392
0,72,7,1612
0,72,8,1832
0,72,9,2052
0,73,2,513
0,73,11,2493
0,73,12,2713
0,73,5,1173
0,73,6,1393
0,73,7,1613
0,73,8,1833
0,73,9,2053
0,74,2,514
0,74,11,2494
0,74,12,2714
0,74,5,1174
0,74,6,1394
0,74,7,1614
0,74,8,1834
0,74,9,2054
0,75,2,515
0,75,11,2495
0,75,12,2715
0,75,5,1175
0,75,6,1395
0,75,7,1615
0,75,8,1835
0,75,9,2055
0,76,2,516
0,76,11,2496
0,76,12,2716
0,76,5,1176
0,76,6,1396
0,76,7,1616
0,76,8,1836
0,76,9,2056
0,77,2,517
0,77,11,2497
0,77,12,2717
0,77,5,1177
0,77,6,1397
0,77,7,1617
0,77,8,1837
0,77,9,2057
0,78,2,518
0,78,11,2498
0,78,12,2718
0,78,5,1178
0,78,6,1398
0,78,7,1618
0,78,8,1838
0,78,9,2058
0,79,2,519
0,79,11,2499
0,79,12,2719
0,79,5,1179
0,79,6,1399
0,79,7,1619
0,79,8,1839
0,79,9,2059
0,80,2,520
0,80,11,2500
0,80,12,2720
0,80,5,1180
0,80,6,1400
0,80,7,1620
0,80,8,1840
0,80,9,2060
0,81,2,521
0,81,11,2501
0,81,12,2721
0,81,5,1181
0,81,6,1401
0,81,7,1621
0,81,8,1841
0,81,9,2061
0,82,2,522
0,82,11,2502
0,82,12,2722
0,82,5,1182
0,82,6,1402
0,82,7,1622
0,82,8,1842
0,82,9,2062
0,83,2,523
0,83,11,2503
0,83,12,2723
0,83,5,1183
0,83,6,1403
0,83,7,1623
0,83,8,1843
0,83,9,2063
0,84,2,524
0,84,11,2504
0,84,12,2724
0,84,5,1184
0,84,6,1404
0,84,7,1624
0,84,8,1844
0,84,9,2064
0,85,2,525
0,85,11,2505
0,85,12,2725
