Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,56,560,20000,20000
0,1,20000,22000,56,560,40000,20000
0,2,40000,42000,56,560,60000,20000
0,3,60000,62000,56,560,80000,20000
0,4,80000,82000,56,560,100000,20000
0,5,100000,102000,56,560,120000,20000
0,6,120000,122000,56,560,140000,20000
0,7,140000,142000,56,560,160000,20000
0,8,160000,162000,56,560,180000,20000
0,9,180000,182000,56,560,200000,20000
0,10,200000,202000,56,560,220000,20000
0,11,220000,222000,56,560,240000,20000
0,12,240000,242000,56,560,260000,20000
0,13,260000,262000,56,560,280000,20000
0,14,280000,282000,56,560,300000,20000
0,15,300000,302000,56,560,320000,20000
0,16,320000,322000,56,560,340000,20000
0,17,340000,342000,56,560,360000,20000
0,18,360000,362000,56,560,380000,20000
0,19,380000,382000,56,560,400000,20000
0,20,400000,402000,56,560,420000,20000
0,21,420000,422000,56,560,440000,20000
0,22,440000,442000,56,560,460000,20000
0,23,460000,462000,56,560,480000,20000
0,24,480000,482000,56,560,500000,20000
0,25,500000,502000,56,560,520000,20000
0,26,520000,522000,56,560,540000,20000
0,27,540000,542000,56,560,560000,20000
0,28,560000,562000,56,560,580000,20000
0,29,580000,582000,56,560,600000,20000
1,30,0,2000,116,1160,20000,20000
1,31,20000,22000,116,1160,40000,20000
1,32,40000,42000,116,1160,60000,20000
1,33,60000,62000,116,1160,80000,20000
1,34,80000,82000,116,1160,100000,20000
1,35,100000,102000,116,1160,120000,20000
1,36,120000,122000,116,1160,140000,20000
1,37,140000,142000,116,1160,160000,20000
1,38,160000,162000,116,1160,180000,20000
1,39,180000,182000,116,1160,200000,20000
1,40,200000,202000,116,1160,220000,20000
1,41,220000,222000,116,1160,240000,20000
1,42,240000,242000,116,1160,260000,20000
1,43,260000,262000,116,1160,280000,20000
1,44,280000,282000,116,1160,300000,20000
1,45,300000,302000,116,1160,320000,20000
1,46,320000,322000,116,1160,340000,20000
1,47,340000,342000,116,1160,360000,20000
1,48,360000,362000,116,1160,380000,20000
1,49,380000,382000,116,1160,400000,20000
1,50,400000,402000,116,1160,420000,20000
1,51,420000,422000,116,1160,440000,20000
1,52,440000,442000,116,1160,460000,20000
1,53,460000,462000,116,1160,480000,20000
1,54,480000,482000,116,1160,500000,20000
1,55,500000,502000,116,1160,520000,20000
1,56,520000,522000,116,1160,540000,20000
1,57,540000,542000,116,1160,560000,20000
1,58,560000,562000,116,1160,580000,20000
1,59,580000,582000,116,1160,600000,20000
2,60,0,2000,114,1136,20000,20000
2,61,20000,22000,114,1136,40000,20000
2,62,40000,42000,114,1136,60000,20000
2,63,60000,62000,114,1136,80000,20000
2,64,80000,82000,114,1136,100000,20000
2,65,100000,102000,114,1136,120000,20000
2,66,120000,122000,114,1136,140000,20000
2,67,140000,142000,114,1136,160000,20000
2,68,160000,162000,114,1136,180000,20000
2,69,180000,182000,114,1136,200000,20000
2,70,200000,202000,114,1136,220000,20000
2,71,220000,222000,114,1136,240000,20000
2,72,240000,242000,114,1136,260000,20000
2,73,260000,262000,114,1136,280000,20000
2,74,280000,282000,114,1136,300000,20000
2,75,300000,302000,114,1136,320000,20000
2,76,320000,322000,114,1136,340000,20000
2,77,340000,342000,114,1136,360000,20000
2,78,360000,362000,114,1136,380000,20000
2,79,380000,382000,114,1136,400000,20000
2,80,400000,402000,114,1136,420000,20000
2,81,420000,422000,114,1136,440000,20000
2,82,440000,442000,114,1136,460000,20000
2,83,460000,462000,114,1136,480000,20000
2,84,480000,482000,114,1136,500000,20000
2,85,500000,502000,114,1136,520000,20000
2,86,520000,522000,114,1136,540000,20000
2,87,540000,542000,114,1136,560000,20000
2,88,560000,562000,114,1136,580000,20000
2,89,580000,582000,114,1136,600000,20000
3,90,0,2000,100,997,20000,20000
3,91,20000,22000,100,997,40000,20000
3,92,40000,42000,100,997,60000,20000
3,93,60000,62000,100,997,80000,20000
3,94,80000,82000,100,997,100000,20000
3,95,100000,102000,100,997,120000,20000
3,96,120000,122000,100,997,140000,20000
3,97,140000,142000,100,997,160000,20000
3,98,160000,162000,100,997,180000,20000
