Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,10,105,20000,20000
0,1,20000,22000,10,105,40000,20000
0,2,40000,42000,10,105,60000,20000
0,3,60000,62000,10,105,80000,20000
0,4,80000,82000,10,105,100000,20000
0,5,100000,102000,10,105,120000,20000
0,6,120000,122000,10,105,140000,20000
0,7,140000,142000,10,105,160000,20000
0,8,160000,162000,10,105,180000,20000
0,9,180000,182000,10,105,200000,20000
0,10,200000,202000,10,105,220000,20000
0,11,220000,222000,10,105,240000,20000
0,12,240000,242000,10,105,260000,20000
0,13,260000,262000,10,105,280000,20000
0,14,280000,282000,10,105,300000,20000
0,15,300000,302000,10,105,320000,20000
0,16,320000,322000,10,105,340000,20000
0,17,340000,342000,10,105,360000,20000
0,18,360000,362000,10,105,380000,20000
0,19,380000,382000,10,105,400000,20000
0,20,400000,402000,10,105,420000,20000
0,21,420000,422000,10,105,440000,20000
0,22,440000,442000,10,105,460000,20000
0,23,460000,462000,10,105,480000,20000
0,24,480000,482000,10,105,500000,20000
0,25,500000,502000,10,105,520000,20000
0,26,520000,522000,10,105,540000,20000
0,27,540000,542000,10,105,560000,20000
0,28,560000,562000,10,105,580000,20000
0,29,580000,582000,10,105,600000,20000
0,30,600000,602000,10,105,620000,20000
0,31,620000,622000,10,105,640000,20000
0,32,640000,642000,10,105,660000,20000
0,33,660000,662000,10,105,680000,20000
0,34,680000,682000,10,105,700000,20000
1,35,0,2000,9,87,20000,20000
1,36,20000,22000,9,87,40000,20000
1,37,40000,42000,9,87,60000,20000
1,38,60000,62000,9,87,80000,20000
1,39,80000,82000,9,87,100000,20000
1,40,100000,102000,9,87,120000,20000
1,41,120000,122000,9,87,140000,20000
1,42,140000,142000,9,87,160000,20000
1,43,160000,162000,9,87,180000,20000
1,44,180000,182000,9,87,200000,20000
1,45,200000,202000,9,87,220000,20000
1,46,220000,222000,9,87,240000,20000
1,47,240000,242000,9,87,260000,20000
1,48,260000,262000,9,87,280000,20000
1,49,280000,282000,9,87,300000,20000
1,50,300000,302000,9,87,320000,20000
1,51,320000,322000,9,87,340000,20000
1,52,340000,342000,9,87,360000,20000
1,53,360000,362000,9,87,380000,20000
1,54,380000,382000,9,87,400000,20000
1,55,400000,402000,9,87,420000,20000
1,56,420000,422000,9,87,440000,20000
1,57,440000,442000,9,87,460000,20000
1,58,460000,462000,9,87,480000,20000
1,59,480000,482000,9,87,500000,20000
1,60,500000,502000,9,87,520000,20000
1,61,520000,522000,9,87,540000,20000
1,62,540000,542000,9,87,560000,20000
1,63,560000,562000,9,87,580000,20000
1,64,580000,582000,9,87,600000,20000
1,65,600000,602000,9,87,620000,20000
1,66,620000,622000,9,87,640000,20000
1,67,640000,642000,9,87,660000,20000
1,68,660000,662000,9,87,680000,20000
1,69,680000,682000,9,87,700000,20000
2,70,0,2000,15,146,20000,20000
2,71,20000,22000,15,146,40000,20000
2,72,40000,42000,15,146,60000,20000
2,73,60000,62000,15,146,80000,20000
2,74,80000,82000,15,146,100000,20000
2,75,100000,102000,15,146,120000,20000
2,76,120000,122000,15,146,140000,20000
2,77,140000,142000,15,146,160000,20000
2,78,160000,162000,15,146,180000,20000
2,79,180000,182000,15,146,200000,20000
2,80,200000,202000,15,146,220000,20000
2,81,220000,222000,15,146,240000,20000
2,82,240000,242000,15,146,260000,20000
2,83,260000,262000,15,146,280000,20000
2,84,280000,282000,15,146,300000,20000
2,85,300000,302000,15,146,320000,20000
2,86,320000,322000,15,146,340000,20000
2,87,340000,342000,15,146,360000,20000
2,88,360000,362000,15,146,380000,20000
2,89,380000,382000,15,146,400000,20000
2,90,400000,402000,15,146,420000,20000
2,91,420000,422000,15,146,440000,20000
2,92,440000,442000,15,146,460000,20000
2,93,460000,462000,15,146,480000,20000
2,94,480000,482000,15,146,500000,20000
2,95,500000,502000,15,146,520000,20000
2,96,520000,522000,15,146,540000,20000
2,97,540000,542000,15,146,560000,20000
2,98,560000,562000,15,146,580000,20000
2,99,580000,582000,15,146,600000,20000
2,100,600000,602000,15,146,620000,20000
2,101,620000,622000,15,146,640000,20000
2,102,640000,642000,15,146,660000,20000
2,103,660000,662000,15,146,680000,20000
2,104,680000,682000,15,146,700000,20000
3,105,0,2000,53,528,20000,20000
3,106,20000,22000,53,528,40000,20000
3,107,40000,42000,53,528,60000,20000
3,108,60000,62000,53,528,80000,20000
3,109,80000,82000,53,528,100000,20000
3,110,100000,102000,53,528,120000,20000
3,111,120000,122000,53,528,140000,20000
3,112,140000,142000,53,528,160000,20000
3,113,160000,162000,53,528,180000,20000
3,114,180000,182000,53,528,200000,20000
3,115,200000,202000,53,528,220000,20000
3,116,220000,222000,53,528,240000,20000
3,117,240000,242000,53,528,260000,20000
3,118,260000,262000,53,528,280000,20000
3,119,280000,282000,53,528,300000,20000
3,120,300000,302000,53,528,320000,20000
3,121,320000,322000,53,528,340000,20000
3,122,340000,342000,53,528,360000,20000
3,123,360000,362000,53,528,380000,20000
3,124,380000,382000,53,528,400000,20000
3,125,400000,402000,53,528,420000,20000
3,126,420000,422000,53,528,440000,20000
3,127,440000,442000,53,528,460000,20000
3,128,460000,462000,53,528,480000,20000
3,129,480000,482000,53,528,500000,20000
3,130,500000,502000,53,528,520000,20000
3,131,520000,522000,53,528,540000,20000
3,132,540000,542000,53,528,560000,20000
3,133,560000,562000,53,528,580000,20000
3,134,580000,582000,53,528,600000,20000
3,135,600000,602000,53,528,620000,20000
3,136,620000,622000,53,528,640000,20000
3,137,640000,642000,53,528,660000,20000
3,138,660000,662000,53,528,680000,20000
3,139,680000,682000,53,528,700000,20000
4,140,0,2000,21,208,20000,20000
4,141,20000,22000,21,208,40000,20000
4,142,40000,42000,21,208,60000,20000
4,143,60000,62000,21,208,80000,20000
4,144,80000,82000,21,208,100000,20000
4,145,100000,102000,21,208,120000,20000
4,146,120000,122000,21,208,140000,20000
4,147,140000,142000,21,208,160000,20000
4,148,160000,162000,21,208,180000,20000
4,149,180000,182000,21,208,200000,20000
4,150,200000,202000,21,208,220000,20000
4,151,220000,222000,21,208,240000,20000
4,152,240000,242000,21,208,260000,20000
4,153,260000,262000,21,208,280000,20000
4,154,280000,282000,21,208,300000,20000
4,155,300000,302000,21,208,320000,20000
4,156,320000,322000,21,208,340000,20000
4,157,340000,342000,21,208,360000,20000
4,158,360000,362000,21,208,380000,20000
4,159,380000,382000,21,208,400000,20000
4,160,400000,402000,21,208,420000,20000
4,161,420000,422000,21,208,440000,20000
4,162,440000,442000,21,208,460000,20000
4,163,460000,462000,21,208,480000,20000
4,164,480000,482000,21,208,500000,20000
4,165,500000,502000,21,208,520000,20000
4,166,520000,522000,21,208,540000,20000
4,167,540000,542000,21,208,560000,20000
4,168,560000,562000,21,208,580000,20000
4,169,580000,582000,21,208,600000,20000
4,170,600000,602000,21,208,620000,20000
4,171,620000,622000,21,208,640000,20000
4,172,640000,642000,21,208,660000,20000
4,173,660000,662000,21,208,680000,20000
4,174,680000,682000,21,208,700000,20000
5,175,0,2000,170,1703,20000,20000
5,176,20000,22000,170,1703,40000,20000
