Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,99,990,10000,10000
0,1,10000,11000,99,990,20000,10000
0,2,20000,21000,99,990,30000,10000
0,3,30000,31000,99,990,40000,10000
0,4,40000,41000,99,990,50000,10000
0,5,50000,51000,99,990,60000,10000
0,6,60000,61000,99,990,70000,10000
0,7,70000,71000,99,990,80000,10000
0,8,80000,81000,99,990,90000,10000
0,9,90000,91000,99,990,100000,10000
1,10,0,1000,30,304,10000,10000
1,11,10000,11000,30,304,20000,10000
1,12,20000,21000,30,304,30000,10000
1,13,30000,31000,30,304,40000,10000
1,14,40000,41000,30,304,50000,10000
1,15,50000,51000,30,304,60000,10000
1,16,60000,61000,30,304,70000,10000
1,17,70000,71000,30,304,80000,10000
1,18,80000,81000,30,304,90000,10000
1,19,90000,91000,30,304,100000,10000
2,20,0,1000,117,1169,10000,10000
2,21,10000,11000,117,1169,20000,10000
2,22,20000,21000,117,1169,30000,10000
2,23,30000,31000,117,1169,40000,10000
2,24,40000,41000,117,1169,50000,10000
2,25,50000,51000,117,1169,60000,10000
2,26,60000,61000,117,1169,70000,10000
2,27,70000,71000,117,1169,80000,10000
2,28,80000,81000,117,1169,90000,10000
2,29,90000,91000,117,1169,100000,10000
3,30,0,1000,5,49,10000,10000
3,31,10000,11000,5,49,20000,10000
3,32,20000,21000,5,49,30000,10000
3,33,30000,31000,5,49,40000,10000
3,34,40000,41000,5,49,50000,10000
3,35,50000,51000,5,49,60000,10000
3,36,60000,61000,5,49,70000,10000
3,37,70000,71000,5,49,80000,10000
3,38,80000,81000,5,49,90000,10000
3,39,90000,91000,5,49,100000,10000
4,40,0,1000,20,204,10000,10000
4,41,10000,11000,20,204,20000,10000
4,42,20000,21000,20,204,30000,10000
4,43,30000,31000,20,204,40000,10000
4,44,40000,41000,20,204,50000,10000
4,45,50000,51000,20,204,60000,10000
4,46,60000,61000,20,204,70000,10000
4,47,70000,71000,20,204,80000,10000
4,48,80000,81000,20,204,90000,10000
4,49,90000,91000,20,204,100000,10000
5,50,0,1000,69,692,10000,10000
5,51,10000,11000,69,692,20000,10000
5,52,20000,21000,69,692,30000,10000
5,53,30000,31000,69,692,40000,10000
5,54,40000,41000,69,692,50000,10000
5,55,50000,51000,69,692,60000,10000
5,56,60000,61000,69,692,70000,10000
5,57,70000,71000,69,692,80000,10000
5,58,80000,81000,69,692,90000,10000
5,59,90000,91000,69,692,100000,10000
6,60,0,1000,60,596,10000,10000
6,61,10000,11000,60,596,20000,10000
6,62,20000,21000,60,596,30000,10000
6,63,30000,31000,60,596,40000,10000
6,64,40000,41000,60,596,50000,10000
6,65,50000,51000,60,596,60000,10000
6,66,60000,61000,60,596,70000,10000
6,67,70000,71000,60,596,80000,10000
6,68,80000,81000,60,596,90000,10000
6,69,90000,91000,60,596,100000,10000
7,70,0,1000,17,166,10000,10000
7,71,10000,11000,17,166,20000,10000
7,72,20000,21000,17,166,30000,10000
7,73,30000,31000,17,166,40000,10000
7,74,40000,41000,17,166,50000,10000
7,75,50000,51000,17,166,60000,10000
7,76,60000,61000,17,166,70000,10000
7,77,70000,71000,17,166,80000,10000
7,78,80000,81000,17,166,90000,10000
7,79,90000,91000,17,166,100000,10000
8,80,0,1000,41,406,10000,10000
8,81,10000,11000,41,406,20000,10000
8,82,20000,21000,41,406,30000,10000
8,83,30000,31000,41,406,40000,10000
8,84,40000,41000,41,406,50000,10000
8,85,50000,51000,41,406,60000,10000
8,86,60000,61000,41,406,70000,10000
8,87,70000,71000,41,406,80000,10000
8,88,80000,81000,41,406,90000,10000
8,89,90000,91000,41,406,100000,10000
9,90,0,1000,0,3,10000,10000
9,91,10000,11000,0,3,20000,10000
9,92,20000,21000,0,3,30000,10000
9,93,30000,31000,0,3,40000,10000
9,94,40000,41000,0,3,50000,10000
9,95,50000,51000,0,3,60000,10000
9,96,60000,61000,0,3,70000,10000
9,97,70000,71000,0,3,80000,10000
9,98,80000,81000,0,3,90000,10000
9,99,90000,91000,0,3,100000,10000
10,100,0,2000,283,2829,20000,20000
10,101,20000,22000,283,2829,40000,20000
10,102,40000,42000,283,2829,60000,20000
10,103,60000,62000,283,2829,80000,20000
10,104,80000,82000,283,2829,100000,20000
11,105,0,2000,113,1127,20000,20000
11,106,20000,22000,113,1127,40000,20000
11,107,40000,42000,113,1127,60000,20000
11,108,60000,62000,113,1127,80000,20000
11,109,80000,82000,113,1127,100000,20000
12,110,0,2000,182,1826,20000,20000
12,111,20000,22000,182,1826,40000,20000
12,112,40000,42000,182,1826,60000,20000
12,113,60000,62000,182,1826,80000,20000
12,114,80000,82000,182,1826,100000,20000
13,115,0,2000,343,3428,20000,20000
13,116,20000,22000,343,3428,40000,20000
13,117,40000,42000,343,3428,60000,20000
13,118,60000,62000,343,3428,80000,20000
13,119,80000,82000,343,3428,100000,20000
14,120,0,2000,136,1365,20000,20000
14,121,20000,22000,136,1365,40000,20000
14,122,40000,42000,136,1365,60000,20000
14,123,60000,62000,136,1365,80000,20000
14,124,80000,82000,136,1365,100000,20000
15,125,0,5000,8,81,50000,50000
15,126,50000,55000,8,81,100000,50000
16,127,0,5000,159,1593,50000,50000
16,128,50000,55000,159,1593,100000,50000
17,129,0,5000,145,1445,50000,50000
17,130,50000,55000,145,1445,100000,50000
18,131,0,5000,133,1326,50000,50000
18,132,50000,55000,133,1326,100000,50000
19,133,0,5000,59,591,50000,50000
19,134,50000,55000,59,591,100000,50000
20,135,0,5000,180,1801,50000,50000
20,136,50000,55000,180,1801,100000,50000
21,137,0,5000,40,404,50000,50000
21,138,50000,55000,40,404,100000,50000
22,139,0,5000,79,792,50000,50000
22,140,50000,55000,79,792,100000,50000
23,141,0,5000,188,1875,50000,50000
23,142,50000,55000,188,1875,100000,50000
24,143,0,5000,83,830,50000,50000
24,144,50000,55000,83,830,100000,50000
25,145,0,5000,185,1851,50000,50000
25,146,50000,55000,185,1851,100000,50000
26,147,0,5000,192,1919,50000,50000
26,148,50000,55000,192,1919,100000,50000
27,149,0,5000,94,944,50000,50000
27,150,50000,55000,94,944,100000,50000
28,151,0,5000,12,109,50000,50000
28,152,50000,55000,12,109,100000,50000
29,153,0,5000,2325,23261,50000,50000
29,154,50000,55000,2325,23261,100000,50000
30,155,0,5000,182,1822,50000,50000
30,156,50000,55000,182,1822,100000,50000
