From TID,From JID,To TID,To JID
0,0,2,20
0,0,9,90
0,0,1,10
0,0,5,50
0,1,2,21
0,1,9,91
0,1,1,11
0,1,5,51
0,2,2,22
0,2,9,92
0,2,1,12
0,2,5,52
0,3,2,23
0,3,9,93
0,3,1,13
0,3,5,53
0,4,2,24
0,4,9,94
0,4,1,14
0,4,5,54
0,5,2,25
0,5,9,95
0,5,1,15
0,5,5,55
0,6,2,26
0,6,9,96
0,6,1,16
0,6,5,56
0,7,2,27
0,7,9,97
0,7,1,17
0,7,5,57
0,8,2,28
0,8,9,98
0,8,1,18
0,8,5,58
0,9,2,29
0,9,9,99
0,9,1,19
0,9,5,59
2,20,4,40
2,20,8,80
2,20,7,70
2,21,4,41
2,21,8,81
2,21,7,71
2,22,4,42
2,22,8,82
2,22,7,72
2,23,4,43
2,23,8,83
2,23,7,73
2,24,4,44
2,24,8,84
2,24,7,74
2,25,4,45
2,25,8,85
2,25,7,75
2,26,4,46
2,26,8,86
2,26,7,76
2,27,4,47
2,27,8,87
2,27,7,77
2,28,4,48
2,28,8,88
2,28,7,78
2,29,4,49
2,29,8,89
2,29,7,79
3,30,1,10
3,31,1,11
3,32,1,12
3,33,1,13
3,34,1,14
3,35,1,15
3,36,1,16
3,37,1,17
3,38,1,18
3,39,1,19
4,40,6,60
4,40,7,70
4,40,3,30
4,41,6,61
4,41,7,71
4,41,3,31
4,42,6,62
4,42,7,72
4,42,3,32
4,43,6,63
4,43,7,73
4,43,3,33
4,44,6,64
4,44,7,74
4,44,3,34
4,45,6,65
4,45,7,75
4,45,3,35
4,46,6,66
4,46,7,76
4,46,3,36
4,47,6,67
4,47,7,77
4,47,3,37
4,48,6,68
4,48,7,78
4,48,3,38
4,49,6,69
4,49,7,79
4,49,3,39
5,50,3,30
5,51,3,31
5,52,3,32
5,53,3,33
5,54,3,34
5,55,3,35
5,56,3,36
5,57,3,37
5,58,3,38
5,59,3,39
6,60,5,50
6,60,1,10
6,60,3,30
6,61,5,51
6,61,1,11
6,61,3,31
6,62,5,52
6,62,1,12
6,62,3,32
6,63,5,53
6,63,1,13
6,63,3,33
6,64,5,54
6,64,1,14
6,64,3,34
6,65,5,55
6,65,1,15
6,65,3,35
6,66,5,56
6,66,1,16
6,66,3,36
6,67,5,57
6,67,1,17
6,67,3,37
6,68,5,58
6,68,1,18
6,68,3,38
6,69,5,59
6,69,1,19
6,69,3,39
7,70,5,50
7,70,3,30
7,71,5,51
7,71,3,31
7,72,5,52
7,72,3,32
7,73,5,53
7,73,3,33
7,74,5,54
7,74,3,34
7,75,5,55
7,75,3,35
7,76,5,56
7,76,3,36
7,77,5,57
7,77,3,37
7,78,5,58
7,78,3,38
7,79,5,59
7,79,3,39
8,80,3,30
8,80,5,50
8,80,6,60
8,81,3,31
8,81,5,51
8,81,6,61
8,82,3,32
8,82,5,52
8,82,6,62
8,83,3,33
8,83,5,53
8,83,6,63
8,84,3,34
8,84,5,54
8,84,6,64
8,85,3,35
8,85,5,55
8,85,6,65
8,86,3,36
8,86,5,56
8,86,6,66
8,87,3,37
8,87,5,57
8,87,6,67
8,88,3,38
8,88,5,58
8,88,6,68
8,89,3,39
8,89,5,59
8,89,6,69
9,90,1,10
9,90,5,50
9,90,6,60
9,90,7,70
9,90,8,80
9,91,1,11
9,91,5,51
9,91,6,61
9,91,7,71
9,91,8,81
9,92,1,12
9,92,5,52
9,92,6,62
9,92,7,72
9,92,8,82
9,93,1,13
9,93,5,53
9,93,6,63
9,93,7,73
9,93,8,83
9,94,1,14
9,94,5,54
9,94,6,64
9,94,7,74
9,94,8,84
9,95,1,15
9,95,5,55
9,95,6,65
9,95,7,75
9,95,8,85
9,96,1,16
9,96,5,56
9,96,6,66
9,96,7,76
9,96,8,86
9,97,1,17
9,97,5,57
9,97,6,67
9,97,7,77
9,97,8,87
9,98,1,18
9,98,5,58
9,98,6,68
9,98,7,78
9,98,8,88
9,99,1,19
9,99,5,59
9,99,6,69
9,99,7,79
9,99,8,89
10,100,12,110
10,100,13,115
10,100,14,120
10,101,12,111
10,101,13,116
10,101,14,121
10,102,12,112
10,102,13,117
10,102,14,122
10,103,12,113
10,103,13,118
10,103,14,123
10,104,12,114
10,104,13,119
10,104,14,124
12,110,11,105
12,111,11,106
12,112,11,107
12,113,11,108
12,114,11,109
13,115,11,105
13,116,11,106
13,117,11,107
13,118,11,108
13,119,11,109
14,120,11,105
14,121,11,106
14,122,11,107
14,123,11,108
14,124,11,109
15,125,17,129
15,125,18,131
15,125,26,147
15,125,16,127
15,125,20,135
15,125,21,137
15,125,22,139
15,126,17,130
15,126,18,132
15,126,26,148
15,126,16,128
15,126,20,136
15,126,21,138
15,126,22,140
17,129,16,127
17,129,22,139
17,129,23,141
17,129,25,145
17,130,16,128
17,130,22,140
17,130,23,142
17,130,25,146
18,131,20,135
18,131,21,137
18,131,25,145
18,131,19,133
18,131,22,139
18,131,23,141
18,131,24,143
18,132,20,136
