Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,176,1755,10000,10000
0,1,10000,11000,176,1755,20000,10000
0,2,20000,21000,176,1755,30000,10000
0,3,30000,31000,176,1755,40000,10000
0,4,40000,41000,176,1755,50000,10000
0,5,50000,51000,176,1755,60000,10000
1,6,0,1000,55,552,10000,10000
1,7,10000,11000,55,552,20000,10000
1,8,20000,21000,55,552,30000,10000
1,9,30000,31000,55,552,40000,10000
1,10,40000,41000,55,552,50000,10000
1,11,50000,51000,55,552,60000,10000
2,12,0,1000,36,359,10000,10000
2,13,10000,11000,36,359,20000,10000
2,14,20000,21000,36,359,30000,10000
2,15,30000,31000,36,359,40000,10000
2,16,40000,41000,36,359,50000,10000
2,17,50000,51000,36,359,60000,10000
3,18,0,1000,140,1402,10000,10000
3,19,10000,11000,140,1402,20000,10000
3,20,20000,21000,140,1402,30000,10000
3,21,30000,31000,140,1402,40000,10000
3,22,40000,41000,140,1402,50000,10000
3,23,50000,51000,140,1402,60000,10000
4,24,0,1000,20,197,10000,10000
4,25,10000,11000,20,197,20000,10000
4,26,20000,21000,20,197,30000,10000
4,27,30000,31000,20,197,40000,10000
4,28,40000,41000,20,197,50000,10000
4,29,50000,51000,20,197,60000,10000
5,30,0,1000,122,1220,10000,10000
5,31,10000,11000,122,1220,20000,10000
5,32,20000,21000,122,1220,30000,10000
5,33,30000,31000,122,1220,40000,10000
5,34,40000,41000,122,1220,50000,10000
5,35,50000,51000,122,1220,60000,10000
6,36,0,1000,62,615,10000,10000
6,37,10000,11000,62,615,20000,10000
6,38,20000,21000,62,615,30000,10000
6,39,30000,31000,62,615,40000,10000
6,40,40000,41000,62,615,50000,10000
6,41,50000,51000,62,615,60000,10000
7,42,0,1000,60,598,10000,10000
7,43,10000,11000,60,598,20000,10000
7,44,20000,21000,60,598,30000,10000
7,45,30000,31000,60,598,40000,10000
7,46,40000,41000,60,598,50000,10000
7,47,50000,51000,60,598,60000,10000
8,48,0,1000,9,89,10000,10000
8,49,10000,11000,9,89,20000,10000
8,50,20000,21000,9,89,30000,10000
8,51,30000,31000,9,89,40000,10000
8,52,40000,41000,9,89,50000,10000
8,53,50000,51000,9,89,60000,10000
9,54,0,1000,54,540,10000,10000
9,55,10000,11000,54,540,20000,10000
9,56,20000,21000,54,540,30000,10000
9,57,30000,31000,54,540,40000,10000
9,58,40000,41000,54,540,50000,10000
9,59,50000,51000,54,540,60000,10000
10,60,0,1000,76,761,10000,10000
10,61,10000,11000,76,761,20000,10000
10,62,20000,21000,76,761,30000,10000
10,63,30000,31000,76,761,40000,10000
10,64,40000,41000,76,761,50000,10000
10,65,50000,51000,76,761,60000,10000
11,66,0,2000,599,5993,20000,20000
11,67,20000,22000,599,5993,40000,20000
11,68,40000,42000,599,5993,60000,20000
12,69,0,2000,193,1926,20000,20000
12,70,20000,22000,193,1926,40000,20000
12,71,40000,42000,193,1926,60000,20000
13,72,0,2000,486,4859,20000,20000
13,73,20000,22000,486,4859,40000,20000
13,74,40000,42000,486,4859,60000,20000
14,75,0,2000,512,5125,20000,20000
14,76,20000,22000,512,5125,40000,20000
14,77,40000,42000,512,5125,60000,20000
15,78,0,3000,374,3745,30000,30000
15,79,30000,33000,374,3745,60000,30000
16,80,0,3000,269,2686,30000,30000
16,81,30000,33000,269,2686,60000,30000
17,82,0,3000,283,2829,30000,30000
17,83,30000,33000,283,2829,60000,30000
18,84,0,3000,376,3764,30000,30000
18,85,30000,33000,376,3764,60000,30000
19,86,0,3000,215,2140,30000,30000
19,87,30000,33000,215,2140,60000,30000
20,88,0,3000,126,1260,30000,30000
20,89,30000,33000,126,1260,60000,30000
21,90,0,3000,232,2324,30000,30000
21,91,30000,33000,232,2324,60000,30000
22,92,0,3000,264,2645,30000,30000
22,93,30000,33000,264,2645,60000,30000
23,94,0,3000,359,3592,30000,30000
23,95,30000,33000,359,3592,60000,30000
24,96,0,3000,195,1948,30000,30000
24,97,30000,33000,195,1948,60000,30000
25,98,0,6000,277,2771,60000,60000
26,99,0,6000,329,3292,60000,60000
27,100,0,6000,277,2766,60000,60000
28,101,0,6000,631,6307,60000,60000
29,102,0,6000,576,5760,60000,60000
30,103,0,6000,119,1192,60000,60000
31,104,0,6000,596,5959,60000,60000
32,105,0,6000,31,306,60000,60000
33,106,0,6000,327,3271,60000,60000
34,107,0,6000,402,4023,60000,60000
35,108,0,6000,550,5504,60000,60000
36,109,0,6000,418,4179,60000,60000
37,110,0,6000,854,8539,60000,60000
