From TID,From JID,To TID,To JID
0,0,2,12
0,0,6,36
0,0,10,60
0,0,3,18
0,0,4,24
0,0,5,30
0,0,7,42
0,0,8,48
0,1,2,13
0,1,6,37
0,1,10,61
0,1,3,19
0,1,4,25
0,1,5,31
0,1,7,43
0,1,8,49
0,2,2,14
0,2,6,38
0,2,10,62
0,2,3,20
0,2,4,26
0,2,5,32
0,2,7,44
0,2,8,50
0,3,2,15
0,3,6,39
0,3,10,63
0,3,3,21
0,3,4,27
0,3,5,33
0,3,7,45
0,3,8,51
0,4,2,16
0,4,6,40
0,4,10,64
0,4,3,22
0,4,4,28
0,4,5,34
0,4,7,46
0,4,8,52
0,5,2,17
0,5,6,41
0,5,10,65
0,5,3,23
0,5,4,29
0,5,5,35
0,5,7,47
0,5,8,53
2,12,4,24
2,12,5,30
2,12,3,18
2,12,7,42
2,13,4,25
2,13,5,31
2,13,3,19
2,13,7,43
2,14,4,26
2,14,5,32
2,14,3,20
2,14,7,44
2,15,4,27
2,15,5,33
2,15,3,21
2,15,7,45
2,16,4,28
2,16,5,34
2,16,3,22
2,16,7,46
2,17,4,29
2,17,5,35
2,17,3,23
2,17,7,47
3,18,1,6
3,19,1,7
3,20,1,8
3,21,1,9
3,22,1,10
3,23,1,11
4,24,3,18
4,25,3,19
4,26,3,20
4,27,3,21
4,28,3,22
4,29,3,23
5,30,3,18
5,30,1,6
5,31,3,19
5,31,1,7
5,32,3,20
5,32,1,8
5,33,3,21
5,33,1,9
5,34,3,22
5,34,1,10
5,35,3,23
5,35,1,11
6,36,8,48
6,36,9,54
6,36,3,18
6,36,4,24
6,36,5,30
6,37,8,49
6,37,9,55
6,37,3,19
6,37,4,25
6,37,5,31
6,38,8,50
6,38,9,56
6,38,3,20
6,38,4,26
6,38,5,32
6,39,8,51
6,39,9,57
6,39,3,21
6,39,4,27
6,39,5,33
6,40,8,52
6,40,9,58
6,40,3,22
6,40,4,28
6,40,5,34
6,41,8,53
6,41,9,59
6,41,3,23
6,41,4,29
6,41,5,35
7,42,1,6
7,43,1,7
7,44,1,8
7,45,1,9
7,46,1,10
7,47,1,11
8,48,7,42
8,49,7,43
8,50,7,44
8,51,7,45
8,52,7,46
8,53,7,47
9,54,7,42
9,54,3,18
9,55,7,43
9,55,3,19
9,56,7,44
9,56,3,20
9,57,7,45
9,57,3,21
9,58,7,46
9,58,3,22
9,59,7,47
9,59,3,23
10,60,1,6
10,60,3,18
10,60,5,30
10,60,7,42
10,60,8,48
10,61,1,7
10,61,3,19
10,61,5,31
10,61,7,43
10,61,8,49
10,62,1,8
10,62,3,20
10,62,5,32
10,62,7,44
10,62,8,50
10,63,1,9
10,63,3,21
10,63,5,33
10,63,7,45
10,63,8,51
10,64,1,10
10,64,3,22
10,64,5,34
10,64,7,46
10,64,8,52
10,65,1,11
10,65,3,23
10,65,5,35
10,65,7,47
10,65,8,53
11,66,13,72
11,66,14,75
11,66,12,69
11,67,13,73
11,67,14,76
11,67,12,70
11,68,13,74
11,68,14,77
11,68,12,71
13,72,12,69
13,73,12,70
13,74,12,71
14,75,12,69
14,76,12,70
14,77,12,71
15,78,17,82
15,78,24,96
15,78,19,86
15,78,20,88
15,78,21,90
15,78,22,92
15,79,17,83
15,79,24,97
15,79,19,87
15,79,20,89
15,79,21,91
15,79,22,93
17,82,19,86
17,82,23,94
17,82,20,88
17,82,21,90
17,83,19,87
17,83,23,95
17,83,20,89
17,83,21,91
18,84,16,80
18,85,16,81
19,86,21,90
19,86,22,92
19,86,16,80
19,86,18,84
19,86,20,88
19,87,21,91
19,87,22,93
19,87,16,81
19,87,18,85
19,87,20,89
20,88,18,84
20,89,18,85
21,90,20,88
21,90,16,80
21,91,20,89
21,91,16,81
22,92,20,88
22,93,20,89
23,94,18,84
23,94,16,80
23,95,18,85
23,95,16,81
24,96,16,80
24,96,19,86
24,96,21,90
24,96,23,94
24,97,16,81
24,97,19,87
24,97,21,91
24,97,23,95
25,98,27,100
25,98,28,101
25,98,29,102
25,98,35,108
25,98,36,109
27,100,26,99
27,100,30,103
27,100,31,104
27,100,33,106
27,100,37,110
28,101,26,99
28,101,32,105
28,101,36,109
29,102,31,104
29,102,36,109
29,102,37,110
29,102,30,103
29,102,32,105
30,103,26,99
31,104,33,106
31,104,34,107
31,104,35,108
31,104,30,103
32,105,30,103
33,106,32,105
33,106,26,99
33,106,30,103
34,107,32,105
35,108,32,105
35,108,30,103
36,109,30,103
36,109,32,105
36,109,33,106
36,109,35,108
37,110,30,103
