Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,21,209,10000,10000
0,1,10000,11000,21,209,20000,10000
0,2,20000,21000,21,209,30000,10000
0,3,30000,31000,21,209,40000,10000
0,4,40000,41000,21,209,50000,10000
0,5,50000,51000,21,209,60000,10000
0,6,60000,61000,21,209,70000,10000
0,7,70000,71000,21,209,80000,10000
0,8,80000,81000,21,209,90000,10000
0,9,90000,91000,21,209,100000,10000
0,10,100000,101000,21,209,110000,10000
0,11,110000,111000,21,209,120000,10000
0,12,120000,121000,21,209,130000,10000
0,13,130000,131000,21,209,140000,10000
0,14,140000,141000,21,209,150000,10000
0,15,150000,151000,21,209,160000,10000
0,16,160000,161000,21,209,170000,10000
0,17,170000,171000,21,209,180000,10000
0,18,180000,181000,21,209,190000,10000
0,19,190000,191000,21,209,200000,10000
0,20,200000,201000,21,209,210000,10000
1,21,0,1000,29,291,10000,10000
1,22,10000,11000,29,291,20000,10000
1,23,20000,21000,29,291,30000,10000
1,24,30000,31000,29,291,40000,10000
1,25,40000,41000,29,291,50000,10000
1,26,50000,51000,29,291,60000,10000
1,27,60000,61000,29,291,70000,10000
1,28,70000,71000,29,291,80000,10000
1,29,80000,81000,29,291,90000,10000
1,30,90000,91000,29,291,100000,10000
1,31,100000,101000,29,291,110000,10000
1,32,110000,111000,29,291,120000,10000
1,33,120000,121000,29,291,130000,10000
1,34,130000,131000,29,291,140000,10000
1,35,140000,141000,29,291,150000,10000
1,36,150000,151000,29,291,160000,10000
1,37,160000,161000,29,291,170000,10000
1,38,170000,171000,29,291,180000,10000
1,39,180000,181000,29,291,190000,10000
1,40,190000,191000,29,291,200000,10000
1,41,200000,201000,29,291,210000,10000
2,42,0,1000,14,141,10000,10000
2,43,10000,11000,14,141,20000,10000
2,44,20000,21000,14,141,30000,10000
2,45,30000,31000,14,141,40000,10000
2,46,40000,41000,14,141,50000,10000
2,47,50000,51000,14,141,60000,10000
2,48,60000,61000,14,141,70000,10000
2,49,70000,71000,14,141,80000,10000
2,50,80000,81000,14,141,90000,10000
2,51,90000,91000,14,141,100000,10000
2,52,100000,101000,14,141,110000,10000
2,53,110000,111000,14,141,120000,10000
2,54,120000,121000,14,141,130000,10000
2,55,130000,131000,14,141,140000,10000
2,56,140000,141000,14,141,150000,10000
2,57,150000,151000,14,141,160000,10000
2,58,160000,161000,14,141,170000,10000
2,59,170000,171000,14,141,180000,10000
2,60,180000,181000,14,141,190000,10000
2,61,190000,191000,14,141,200000,10000
2,62,200000,201000,14,141,210000,10000
3,63,0,1000,20,199,10000,10000
3,64,10000,11000,20,199,20000,10000
3,65,20000,21000,20,199,30000,10000
3,66,30000,31000,20,199,40000,10000
3,67,40000,41000,20,199,50000,10000
3,68,50000,51000,20,199,60000,10000
3,69,60000,61000,20,199,70000,10000
3,70,70000,71000,20,199,80000,10000
3,71,80000,81000,20,199,90000,10000
3,72,90000,91000,20,199,100000,10000
3,73,100000,101000,20,199,110000,10000
3,74,110000,111000,20,199,120000,10000
3,75,120000,121000,20,199,130000,10000
3,76,130000,131000,20,199,140000,10000
3,77,140000,141000,20,199,150000,10000
3,78,150000,151000,20,199,160000,10000
3,79,160000,161000,20,199,170000,10000
3,80,170000,171000,20,199,180000,10000
3,81,180000,181000,20,199,190000,10000
3,82,190000,191000,20,199,200000,10000
3,83,200000,201000,20,199,210000,10000
4,84,0,1000,36,358,10000,10000
4,85,10000,11000,36,358,20000,10000
4,86,20000,21000,36,358,30000,10000
4,87,30000,31000,36,358,40000,10000
4,88,40000,41000,36,358,50000,10000
4,89,50000,51000,36,358,60000,10000
4,90,60000,61000,36,358,70000,10000
4,91,70000,71000,36,358,80000,10000
4,92,80000,81000,36,358,90000,10000
4,93,90000,91000,36,358,100000,10000
4,94,100000,101000,36,358,110000,10000
4,95,110000,111000,36,358,120000,10000
4,96,120000,121000,36,358,130000,10000
4,97,130000,131000,36,358,140000,10000
4,98,140000,141000,36,358,150000,10000
4,99,150000,151000,36,358,160000,10000
4,100,160000,161000,36,358,170000,10000
4,101,170000,171000,36,358,180000,10000
4,102,180000,181000,36,358,190000,10000
4,103,190000,191000,36,358,200000,10000
4,104,200000,201000,36,358,210000,10000
5,105,0,1000,14,143,10000,10000
5,106,10000,11000,14,143,20000,10000
5,107,20000,21000,14,143,30000,10000
5,108,30000,31000,14,143,40000,10000
5,109,40000,41000,14,143,50000,10000
5,110,50000,51000,14,143,60000,10000
5,111,60000,61000,14,143,70000,10000
5,112,70000,71000,14,143,80000,10000
5,113,80000,81000,14,143,90000,10000
5,114,90000,91000,14,143,100000,10000
5,115,100000,101000,14,143,110000,10000
5,116,110000,111000,14,143,120000,10000
5,117,120000,121000,14,143,130000,10000
5,118,130000,131000,14,143,140000,10000
5,119,140000,141000,14,143,150000,10000
5,120,150000,151000,14,143,160000,10000
5,121,160000,161000,14,143,170000,10000
5,122,170000,171000,14,143,180000,10000
5,123,180000,181000,14,143,190000,10000
5,124,190000,191000,14,143,200000,10000
5,125,200000,201000,14,143,210000,10000
6,126,0,1000,25,251,10000,10000
6,127,10000,11000,25,251,20000,10000
6,128,20000,21000,25,251,30000,10000
6,129,30000,31000,25,251,40000,10000
6,130,40000,41000,25,251,50000,10000
6,131,50000,51000,25,251,60000,10000
6,132,60000,61000,25,251,70000,10000
6,133,70000,71000,25,251,80000,10000
6,134,80000,81000,25,251,90000,10000
6,135,90000,91000,25,251,100000,10000
6,136,100000,101000,25,251,110000,10000
6,137,110000,111000,25,251,120000,10000
6,138,120000,121000,25,251,130000,10000
6,139,130000,131000,25,251,140000,10000
6,140,140000,141000,25,251,150000,10000
6,141,150000,151000,25,251,160000,10000
6,142,160000,161000,25,251,170000,10000
6,143,170000,171000,25,251,180000,10000
6,144,180000,181000,25,251,190000,10000
6,145,190000,191000,25,251,200000,10000
6,146,200000,201000,25,251,210000,10000
7,147,0,1000,16,163,10000,10000
7,148,10000,11000,16,163,20000,10000
7,149,20000,21000,16,163,30000,10000
7,150,30000,31000,16,163,40000,10000
7,151,40000,41000,16,163,50000,10000
7,152,50000,51000,16,163,60000,10000
7,153,60000,61000,16,163,70000,10000
7,154,70000,71000,16,163,80000,10000
7,155,80000,81000,16,163,90000,10000
7,156,90000,91000,16,163,100000,10000
7,157,100000,101000,16,163,110000,10000
7,158,110000,111000,16,163,120000,10000
7,159,120000,121000,16,163,130000,10000
7,160,130000,131000,16,163,140000,10000
7,161,140000,141000,16,163,150000,10000
7,162,150000,151000,16,163,160000,10000
7,163,160000,161000,16,163,170000,10000
7,164,170000,171000,16,163,180000,10000
7,165,180000,181000,16,163,190000,10000
7,166,190000,191000,16,163,200000,10000
7,167,200000,201000,16,163,210000,10000
8,168,0,1000,5,52,10000,10000
8,169,10000,11000,5,52,20000,10000
8,170,20000,21000,5,52,30000,10000
8,171,30000,31000,5,52,40000,10000
8,172,40000,41000,5,52,50000,10000
8,173,50000,51000,5,52,60000,10000
8,174,60000,61000,5,52,70000,10000
8,175,70000,71000,5,52,80000,10000
8,176,80000,81000,5,52,90000,10000
8,177,90000,91000,5,52,100000,10000
8,178,100000,101000,5,52,110000,10000
8,179,110000,111000,5,52,120000,10000
8,180,120000,121000,5,52,130000,10000
8,181,130000,131000,5,52,140000,10000
8,182,140000,141000,5,52,150000,10000
8,183,150000,151000,5,52,160000,10000
8,184,160000,161000,5,52,170000,10000
8,185,170000,171000,5,52,180000,10000
8,186,180000,181000,5,52,190000,10000
8,187,190000,191000,5,52,200000,10000
8,188,200000,201000,5,52,210000,10000
9,189,0,1000,2,18,10000,10000
9,190,10000,11000,2,18,20000,10000
9,191,20000,21000,2,18,30000,10000
9,192,30000,31000,2,18,40000,10000
9,193,40000,41000,2,18,50000,10000
9,194,50000,51000,2,18,60000,10000
9,195,60000,61000,2,18,70000,10000
9,196,70000,71000,2,18,80000,10000
9,197,80000,81000,2,18,90000,10000
9,198,90000,91000,2,18,100000,10000
9,199,100000,101000,2,18,110000,10000
9,200,110000,111000,2,18,120000,10000
9,201,120000,121000,2,18,130000,10000
9,202,130000,131000,2,18,140000,10000
9,203,140000,141000,2,18,150000,10000
9,204,150000,151000,2,18,160000,10000
9,205,160000,161000,2,18,170000,10000
9,206,170000,171000,2,18,180000,10000
9,207,180000,181000,2,18,190000,10000
9,208,190000,191000,2,18,200000,10000
9,209,200000,201000,2,18,210000,10000
10,210,0,1000,9,88,10000,10000
10,211,10000,11000,9,88,20000,10000
10,212,20000,21000,9,88,30000,10000
10,213,30000,31000,9,88,40000,10000
10,214,40000,41000,9,88,50000,10000
10,215,50000,51000,9,88,60000,10000
10,216,60000,61000,9,88,70000,10000
10,217,70000,71000,9,88,80000,10000
10,218,80000,81000,9,88,90000,10000
10,219,90000,91000,9,88,100000,10000
10,220,100000,101000,9,88,110000,10000
10,221,110000,111000,9,88,120000,10000
10,222,120000,121000,9,88,130000,10000
10,223,130000,131000,9,88,140000,10000
10,224,140000,141000,9,88,150000,10000
10,225,150000,151000,9,88,160000,10000
10,226,160000,161000,9,88,170000,10000
10,227,170000,171000,9,88,180000,10000
10,228,180000,181000,9,88,190000,10000
10,229,190000,191000,9,88,200000,10000
10,230,200000,201000,9,88,210000,10000
11,231,0,1000,6,59,10000,10000
11,232,10000,11000,6,59,20000,10000
11,233,20000,21000,6,59,30000,10000
11,234,30000,31000,6,59,40000,10000
11,235,40000,41000,6,59,50000,10000
11,236,50000,51000,6,59,60000,10000
11,237,60000,61000,6,59,70000,10000
11,238,70000,71000,6,59,80000,10000
11,239,80000,81000,6,59,90000,10000
11,240,90000,91000,6,59,100000,10000
11,241,100000,101000,6,59,110000,10000
11,242,110000,111000,6,59,120000,10000
11,243,120000,121000,6,59,130000,10000
11,244,130000,131000,6,59,140000,10000
11,245,140000,141000,6,59,150000,10000
11,246,150000,151000,6,59,160000,10000
11,247,160000,161000,6,59,170000,10000
11,248,170000,171000,6,59,180000,10000
11,249,180000,181000,6,59,190000,10000
11,250,190000,191000,6,59,200000,10000
11,251,200000,201000,6,59,210000,10000
12,252,0,1000,5,51,10000,10000
12,253,10000,11000,5,51,20000,10000
12,254,20000,21000,5,51,30000,10000
12,255,30000,31000,5,51,40000,10000
12,256,40000,41000,5,51,50000,10000
12,257,50000,51000,5,51,60000,10000
12,258,60000,61000,5,51,70000,10000
12,259,70000,71000,5,51,80000,10000
12,260,80000,81000,5,51,90000,10000
12,261,90000,91000,5,51,100000,10000
12,262,100000,101000,5,51,110000,10000
12,263,110000,111000,5,51,120000,10000
12,264,120000,121000,5,51,130000,10000
12,265,130000,131000,5,51,140000,10000
12,266,140000,141000,5,51,150000,10000
12,267,150000,151000,5,51,160000,10000
12,268,160000,161000,5,51,170000,10000
12,269,170000,171000,5,51,180000,10000
12,270,180000,181000,5,51,190000,10000
12,271,190000,191000,5,51,200000,10000
12,272,200000,201000,5,51,210000,10000
13,273,0,3000,8,80,30000,30000
13,274,30000,33000,8,80,60000,30000
13,275,60000,63000,8,80,90000,30000
13,276,90000,93000,8,80,120000,30000
13,277,120000,123000,8,80,150000,30000
13,278,150000,153000,8,80,180000,30000
13,279,180000,183000,8,80,210000,30000
14,280,0,3000,9,93,30000,30000
14,281,30000,33000,9,93,60000,30000
14,282,60000,63000,9,93,90000,30000
14,283,90000,93000,9,93,120000,30000
14,284,120000,123000,9,93,150000,30000
14,285,150000,153000,9,93,180000,30000
14,286,180000,183000,9,93,210000,30000
15,287,0,3000,29,290,30000,30000
15,288,30000,33000,29,290,60000,30000
15,289,60000,63000,29,290,90000,30000
15,290,90000,93000,29,290,120000,30000
15,291,120000,123000,29,290,150000,30000
15,292,150000,153000,29,290,180000,30000
15,293,180000,183000,29,290,210000,30000
16,294,0,3000,76,760,30000,30000
16,295,30000,33000,76,760,60000,30000
16,296,60000,63000,76,760,90000,30000
16,297,90000,93000,76,760,120000,30000
16,298,120000,123000,76,760,150000,30000
16,299,150000,153000,76,760,180000,30000
