From TID,From JID,To TID,To JID
0,0,2,220
0,0,10,1100
0,0,11,1210
0,0,1,110
0,0,3,330
0,0,5,550
0,0,6,660
0,0,7,770
0,0,9,990
0,1,2,221
0,1,10,1101
0,1,11,1211
0,1,1,111
0,1,3,331
0,1,5,551
0,1,6,661
0,1,7,771
0,1,9,991
0,2,2,222
0,2,10,1102
0,2,11,1212
0,2,1,112
0,2,3,332
0,2,5,552
0,2,6,662
0,2,7,772
0,2,9,992
0,3,2,223
0,3,10,1103
0,3,11,1213
0,3,1,113
0,3,3,333
0,3,5,553
0,3,6,663
0,3,7,773
0,3,9,993
0,4,2,224
0,4,10,1104
0,4,11,1214
0,4,1,114
0,4,3,334
0,4,5,554
0,4,6,664
0,4,7,774
0,4,9,994
0,5,2,225
0,5,10,1105
0,5,11,1215
0,5,1,115
0,5,3,335
0,5,5,555
0,5,6,665
0,5,7,775
0,5,9,995
0,6,2,226
0,6,10,1106
0,6,11,1216
0,6,1,116
0,6,3,336
0,6,5,556
0,6,6,666
0,6,7,776
0,6,9,996
0,7,2,227
0,7,10,1107
0,7,11,1217
0,7,1,117
0,7,3,337
0,7,5,557
0,7,6,667
0,7,7,777
0,7,9,997
0,8,2,228
0,8,10,1108
0,8,11,1218
0,8,1,118
0,8,3,338
0,8,5,558
0,8,6,668
0,8,7,778
0,8,9,998
0,9,2,229
0,9,10,1109
0,9,11,1219
0,9,1,119
0,9,3,339
0,9,5,559
0,9,6,669
0,9,7,779
0,9,9,999
0,10,2,230
0,10,10,1110
0,10,11,1220
0,10,1,120
0,10,3,340
0,10,5,560
0,10,6,670
0,10,7,780
0,10,9,1000
0,11,2,231
0,11,10,1111
0,11,11,1221
0,11,1,121
0,11,3,341
0,11,5,561
0,11,6,671
0,11,7,781
0,11,9,1001
0,12,2,232
0,12,10,1112
0,12,11,1222
0,12,1,122
0,12,3,342
0,12,5,562
0,12,6,672
0,12,7,782
0,12,9,1002
0,13,2,233
0,13,10,1113
0,13,11,1223
0,13,1,123
0,13,3,343
0,13,5,563
0,13,6,673
0,13,7,783
0,13,9,1003
0,14,2,234
0,14,10,1114
0,14,11,1224
0,14,1,124
0,14,3,344
0,14,5,564
0,14,6,674
0,14,7,784
0,14,9,1004
0,15,2,235
0,15,10,1115
0,15,11,1225
0,15,1,125
0,15,3,345
0,15,5,565
0,15,6,675
0,15,7,785
0,15,9,1005
0,16,2,236
0,16,10,1116
0,16,11,1226
0,16,1,126
0,16,3,346
0,16,5,566
0,16,6,676
0,16,7,786
0,16,9,1006
0,17,2,237
0,17,10,1117
0,17,11,1227
0,17,1,127
0,17,3,347
0,17,5,567
0,17,6,677
0,17,7,787
0,17,9,1007
0,18,2,238
0,18,10,1118
0,18,11,1228
0,18,1,128
0,18,3,348
0,18,5,568
0,18,6,678
0,18,7,788
0,18,9,1008
0,19,2,239
0,19,10,1119
0,19,11,1229
0,19,1,129
0,19,3,349
0,19,5,569
0,19,6,679
0,19,7,789
0,19,9,1009
0,20,2,240
0,20,10,1120
0,20,11,1230
0,20,1,130
0,20,3,350
0,20,5,570
0,20,6,680
0,20,7,790
0,20,9,1010
0,21,2,241
0,21,10,1121
0,21,11,1231
0,21,1,131
0,21,3,351
0,21,5,571
0,21,6,681
0,21,7,791
0,21,9,1011
0,22,2,242
0,22,10,1122
0,22,11,1232
0,22,1,132
0,22,3,352
0,22,5,572
0,22,6,682
0,22,7,792
0,22,9,1012
0,23,2,243
0,23,10,1123
0,23,11,1233
0,23,1,133
0,23,3,353
0,23,5,573
0,23,6,683
0,23,7,793
0,23,9,1013
0,24,2,244
0,24,10,1124
0,24,11,1234
0,24,1,134
0,24,3,354
0,24,5,574
0,24,6,684
0,24,7,794
0,24,9,1014
0,25,2,245
0,25,10,1125
0,25,11,1235
0,25,1,135
0,25,3,355
0,25,5,575
0,25,6,685
0,25,7,795
0,25,9,1015
0,26,2,246
0,26,10,1126
0,26,11,1236
0,26,1,136
0,26,3,356
0,26,5,576
0,26,6,686
0,26,7,796
0,26,9,1016
0,27,2,247
0,27,10,1127
0,27,11,1237
0,27,1,137
0,27,3,357
0,27,5,577
0,27,6,687
0,27,7,797
0,27,9,1017
0,28,2,248
0,28,10,1128
0,28,11,1238
0,28,1,138
0,28,3,358
0,28,5,578
0,28,6,688
0,28,7,798
0,28,9,1018
0,29,2,249
0,29,10,1129
