Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,17,173,10000,10000
0,1,10000,11000,17,173,20000,10000
0,2,20000,21000,17,173,30000,10000
0,3,30000,31000,17,173,40000,10000
0,4,40000,41000,17,173,50000,10000
0,5,50000,51000,17,173,60000,10000
0,6,60000,61000,17,173,70000,10000
0,7,70000,71000,17,173,80000,10000
0,8,80000,81000,17,173,90000,10000
0,9,90000,91000,17,173,100000,10000
1,10,0,1000,14,144,10000,10000
1,11,10000,11000,14,144,20000,10000
1,12,20000,21000,14,144,30000,10000
1,13,30000,31000,14,144,40000,10000
1,14,40000,41000,14,144,50000,10000
1,15,50000,51000,14,144,60000,10000
1,16,60000,61000,14,144,70000,10000
1,17,70000,71000,14,144,80000,10000
1,18,80000,81000,14,144,90000,10000
1,19,90000,91000,14,144,100000,10000
2,20,0,1000,12,121,10000,10000
2,21,10000,11000,12,121,20000,10000
2,22,20000,21000,12,121,30000,10000
2,23,30000,31000,12,121,40000,10000
2,24,40000,41000,12,121,50000,10000
2,25,50000,51000,12,121,60000,10000
2,26,60000,61000,12,121,70000,10000
2,27,70000,71000,12,121,80000,10000
2,28,80000,81000,12,121,90000,10000
2,29,90000,91000,12,121,100000,10000
3,30,0,1000,53,533,10000,10000
3,31,10000,11000,53,533,20000,10000
3,32,20000,21000,53,533,30000,10000
3,33,30000,31000,53,533,40000,10000
3,34,40000,41000,53,533,50000,10000
3,35,50000,51000,53,533,60000,10000
3,36,60000,61000,53,533,70000,10000
3,37,70000,71000,53,533,80000,10000
3,38,80000,81000,53,533,90000,10000
3,39,90000,91000,53,533,100000,10000
4,40,0,1000,5,49,10000,10000
4,41,10000,11000,5,49,20000,10000
4,42,20000,21000,5,49,30000,10000
4,43,30000,31000,5,49,40000,10000
4,44,40000,41000,5,49,50000,10000
4,45,50000,51000,5,49,60000,10000
4,46,60000,61000,5,49,70000,10000
4,47,70000,71000,5,49,80000,10000
4,48,80000,81000,5,49,90000,10000
4,49,90000,91000,5,49,100000,10000
5,50,0,1000,46,463,10000,10000
5,51,10000,11000,46,463,20000,10000
5,52,20000,21000,46,463,30000,10000
5,53,30000,31000,46,463,40000,10000
5,54,40000,41000,46,463,50000,10000
5,55,50000,51000,46,463,60000,10000
5,56,60000,61000,46,463,70000,10000
5,57,70000,71000,46,463,80000,10000
5,58,80000,81000,46,463,90000,10000
5,59,90000,91000,46,463,100000,10000
6,60,0,1000,9,84,10000,10000
6,61,10000,11000,9,84,20000,10000
6,62,20000,21000,9,84,30000,10000
6,63,30000,31000,9,84,40000,10000
6,64,40000,41000,9,84,50000,10000
6,65,50000,51000,9,84,60000,10000
6,66,60000,61000,9,84,70000,10000
6,67,70000,71000,9,84,80000,10000
6,68,80000,81000,9,84,90000,10000
6,69,90000,91000,9,84,100000,10000
7,70,0,1000,83,831,10000,10000
7,71,10000,11000,83,831,20000,10000
7,72,20000,21000,83,831,30000,10000
7,73,30000,31000,83,831,40000,10000
7,74,40000,41000,83,831,50000,10000
