From TID,From JID,To TID,To JID
0,0,2,24
0,0,11,132
0,0,12,144
0,0,3,36
0,0,5,60
0,0,7,84
0,0,10,120
0,1,2,25
0,1,11,133
0,1,12,145
0,1,3,37
0,1,5,61
0,1,7,85
0,1,10,121
0,2,2,26
0,2,11,134
0,2,12,146
0,2,3,38
0,2,5,62
0,2,7,86
0,2,10,122
0,3,2,27
0,3,11,135
0,3,12,147
0,3,3,39
0,3,5,63
0,3,7,87
0,3,10,123
0,4,2,28
0,4,11,136
0,4,12,148
0,4,3,40
0,4,5,64
0,4,7,88
0,4,10,124
0,5,2,29
0,5,11,137
0,5,12,149
0,5,3,41
0,5,5,65
0,5,7,89
0,5,10,125
0,6,2,30
0,6,11,138
0,6,12,150
0,6,3,42
0,6,5,66
0,6,7,90
0,6,10,126
0,7,2,31
0,7,11,139
0,7,12,151
0,7,3,43
0,7,5,67
0,7,7,91
0,7,10,127
0,8,2,32
0,8,11,140
0,8,12,152
0,8,3,44
0,8,5,68
0,8,7,92
0,8,10,128
0,9,2,33
0,9,11,141
0,9,12,153
0,9,3,45
0,9,5,69
0,9,7,93
0,9,10,129
0,10,2,34
0,10,11,142
0,10,12,154
0,10,3,46
0,10,5,70
0,10,7,94
0,10,10,130
0,11,2,35
0,11,11,143
0,11,12,155
0,11,3,47
0,11,5,71
0,11,7,95
0,11,10,131
2,24,4,48
2,24,9,108
2,24,10,120
2,24,5,60
2,24,6,72
2,24,7,84
2,25,4,49
2,25,9,109
2,25,10,121
2,25,5,61
2,25,6,73
2,25,7,85
2,26,4,50
2,26,9,110
2,26,10,122
2,26,5,62
2,26,6,74
2,26,7,86
2,27,4,51
2,27,9,111
2,27,10,123
2,27,5,63
2,27,6,75
2,27,7,87
2,28,4,52
2,28,9,112
2,28,10,124
2,28,5,64
2,28,6,76
2,28,7,88
2,29,4,53
2,29,9,113
2,29,10,125
2,29,5,65
2,29,6,77
2,29,7,89
2,30,4,54
2,30,9,114
2,30,10,126
2,30,5,66
2,30,6,78
2,30,7,90
2,31,4,55
2,31,9,115
2,31,10,127
2,31,5,67
2,31,6,79
2,31,7,91
2,32,4,56
2,32,9,116
2,32,10,128
2,32,5,68
2,32,6,80
2,32,7,92
2,33,4,57
2,33,9,117
2,33,10,129
2,33,5,69
2,33,6,81
2,33,7,93
2,34,4,58
2,34,9,118
2,34,10,130
2,34,5,70
