Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,143,1430,10000,10000
0,1,10000,11000,143,1430,20000,10000
0,2,20000,21000,143,1430,30000,10000
0,3,30000,31000,143,1430,40000,10000
0,4,40000,41000,143,1430,50000,10000
0,5,50000,51000,143,1430,60000,10000
0,6,60000,61000,143,1430,70000,10000
0,7,70000,71000,143,1430,80000,10000
0,8,80000,81000,143,1430,90000,10000
0,9,90000,91000,143,1430,100000,10000
0,10,100000,101000,143,1430,110000,10000
0,11,110000,111000,143,1430,120000,10000
0,12,120000,121000,143,1430,130000,10000
0,13,130000,131000,143,1430,140000,10000
0,14,140000,141000,143,1430,150000,10000
0,15,150000,151000,143,1430,160000,10000
0,16,160000,161000,143,1430,170000,10000
0,17,170000,171000,143,1430,180000,10000
0,18,180000,181000,143,1430,190000,10000
0,19,190000,191000,143,1430,200000,10000
0,20,200000,201000,143,1430,210000,10000
0,21,210000,211000,143,1430,220000,10000
0,22,220000,221000,143,1430,230000,10000
0,23,230000,231000,143,1430,240000,10000
0,24,240000,241000,143,1430,250000,10000
0,25,250000,251000,143,1430,260000,10000
0,26,260000,261000,143,1430,270000,10000
0,27,270000,271000,143,1430,280000,10000
1,28,0,1000,32,322,10000,10000
1,29,10000,11000,32,322,20000,10000
1,30,20000,21000,32,322,30000,10000
1,31,30000,31000,32,322,40000,10000
1,32,40000,41000,32,322,50000,10000
1,33,50000,51000,32,322,60000,10000
1,34,60000,61000,32,322,70000,10000
1,35,70000,71000,32,322,80000,10000
1,36,80000,81000,32,322,90000,10000
1,37,90000,91000,32,322,100000,10000
1,38,100000,101000,32,322,110000,10000
1,39,110000,111000,32,322,120000,10000
1,40,120000,121000,32,322,130000,10000
1,41,130000,131000,32,322,140000,10000
1,42,140000,141000,32,322,150000,10000
1,43,150000,151000,32,322,160000,10000
1,44,160000,161000,32,322,170000,10000
1,45,170000,171000,32,322,180000,10000
1,46,180000,181000,32,322,190000,10000
1,47,190000,191000,32,322,200000,10000
1,48,200000,201000,32,322,210000,10000
1,49,210000,211000,32,322,220000,10000
1,50,220000,221000,32,322,230000,10000
1,51,230000,231000,32,322,240000,10000
1,52,240000,241000,32,322,250000,10000
1,53,250000,251000,32,322,260000,10000
1,54,260000,261000,32,322,270000,10000
1,55,270000,271000,32,322,280000,10000
2,56,0,1000,272,2720,10000,10000
2,57,10000,11000,272,2720,20000,10000
2,58,20000,21000,272,2720,30000,10000
2,59,30000,31000,272,2720,40000,10000
