From TID,From JID,To TID,To JID
0,0,2,56
0,0,3,84
0,1,2,57
0,1,3,85
0,2,2,58
0,2,3,86
0,3,2,59
0,3,3,87
0,4,2,60
0,4,3,88
0,5,2,61
0,5,3,89
0,6,2,62
0,6,3,90
0,7,2,63
0,7,3,91
0,8,2,64
0,8,3,92
0,9,2,65
0,9,3,93
0,10,2,66
0,10,3,94
0,11,2,67
0,11,3,95
0,12,2,68
0,12,3,96
0,13,2,69
0,13,3,97
0,14,2,70
0,14,3,98
0,15,2,71
0,15,3,99
0,16,2,72
0,16,3,100
0,17,2,73
0,17,3,101
0,18,2,74
0,18,3,102
0,19,2,75
0,19,3,103
0,20,2,76
0,20,3,104
0,21,2,77
0,21,3,105
0,22,2,78
0,22,3,106
0,23,2,79
0,23,3,107
0,24,2,80
0,24,3,108
0,25,2,81
0,25,3,109
0,26,2,82
0,26,3,110
0,27,2,83
0,27,3,111
2,56,1,28
2,57,1,29
2,58,1,30
2,59,1,31
2,60,1,32
2,61,1,33
2,62,1,34
2,63,1,35
2,64,1,36
2,65,1,37
2,66,1,38
2,67,1,39
2,68,1,40
2,69,1,41
2,70,1,42
2,71,1,43
2,72,1,44
2,73,1,45
2,74,1,46
2,75,1,47
2,76,1,48
2,77,1,49
2,78,1,50
2,79,1,51
2,80,1,52
2,81,1,53
2,82,1,54
2,83,1,55
3,84,1,28
3,85,1,29
3,86,1,30
3,87,1,31
3,88,1,32
3,89,1,33
3,90,1,34
3,91,1,35
3,92,1,36
3,93,1,37
3,94,1,38
3,95,1,39
3,96,1,40
3,97,1,41
3,98,1,42
3,99,1,43
3,100,1,44
3,101,1,45
3,102,1,46
3,103,1,47
3,104,1,48
3,105,1,49
3,106,1,50
3,107,1,51
3,108,1,52
3,109,1,53
3,110,1,54
3,111,1,55
4,112,6,140
4,112,13,238
4,112,14,252
4,112,5,126
4,112,7,154
4,112,8,168
4,112,10,196
4,113,6,141
4,113,13,239
4,113,14,253
4,113,5,127
4,113,7,155
4,113,8,169
4,113,10,197
4,114,6,142
4,114,13,240
4,114,14,254
4,114,5,128
4,114,7,156
4,114,8,170
4,114,10,198
4,115,6,143
4,115,13,241
4,115,14,255
4,115,5,129
4,115,7,157
4,115,8,171
4,115,10,199
4,116,6,144
4,116,13,242
4,116,14,256
4,116,5,130
4,116,7,158
4,116,8,172
4,116,10,200
4,117,6,145
4,117,13,243
4,117,14,257
4,117,5,131
4,117,7,159
4,117,8,173
4,117,10,201
4,118,6,146
4,118,13,244
4,118,14,258
4,118,5,132
4,118,7,160
4,118,8,174
4,118,10,202
4,119,6,147
4,119,13,245
4,119,14,259
4,119,5,133
4,119,7,161
4,119,8,175
4,119,10,203
4,120,6,148
4,120,13,246
4,120,14,260
4,120,5,134
4,120,7,162
4,120,8,176
4,120,10,204
4,121,6,149
4,121,13,247
4,121,14,261
4,121,5,135
4,121,7,163
4,121,8,177
4,121,10,205
4,122,6,150
4,122,13,248
4,122,14,262
4,122,5,136
4,122,7,164
4,122,8,178
4,122,10,206
4,123,6,151
4,123,13,249
4,123,14,263
4,123,5,137
4,123,7,165
4,123,8,179
4,123,10,207
4,124,6,152
4,124,13,250
4,124,14,264
4,124,5,138
4,124,7,166
4,124,8,180
4,124,10,208
4,125,6,153
4,125,13,251
4,125,14,265
4,125,5,139
4,125,7,167
4,125,8,181
4,125,10,209
6,140,8,168
6,140,12,224
6,140,5,126
6,141,8,169
6,141,12,225
6,141,5,127
6,142,8,170
6,142,12,226
6,142,5,128
6,143,8,171
6,143,12,227
6,143,5,129
6,144,8,172
6,144,12,228
6,144,5,130
6,145,8,173
6,145,12,229
6,145,5,131
6,146,8,174
6,146,12,230
6,146,5,132
6,147,8,175
6,147,12,231
6,147,5,133
6,148,8,176
6,148,12,232
6,148,5,134
6,149,8,177
6,149,12,233
6,149,5,135
6,150,8,178
6,150,12,234
6,150,5,136
6,151,8,179
6,151,12,235
6,151,5,137
6,152,8,180
6,152,12,236
6,152,5,138
6,153,8,181
6,153,12,237
6,153,5,139
7,154,5,126
7,155,5,127
7,156,5,128
7,157,5,129
7,158,5,130
7,159,5,131
7,160,5,132
7,161,5,133
7,162,5,134
7,163,5,135
7,164,5,136
7,165,5,137
7,166,5,138
7,167,5,139
8,168,10,196
8,168,11,210
8,168,5,126
8,168,9,182
8,169,10,197
8,169,11,211
8,169,5,127
8,169,9,183
8,170,10,198
8,170,11,212
8,170,5,128
8,170,9,184
8,171,10,199
8,171,11,213
8,171,5,129
8,171,9,185
8,172,10,200
8,172,11,214
8,172,5,130
8,172,9,186
8,173,10,201
8,173,11,215
8,173,5,131
8,173,9,187
8,174,10,202
8,174,11,216
8,174,5,132
8,174,9,188
8,175,10,203
8,175,11,217
8,175,5,133
8,175,9,189
8,176,10,204
8,176,11,218
8,176,5,134
8,176,9,190
8,177,10,205
8,177,11,219
8,177,5,135
8,177,9,191
8,178,10,206
8,178,11,220
8,178,5,136
8,178,9,192
8,179,10,207
8,179,11,221
8,179,5,137
8,179,9,193
8,180,10,208
8,180,11,222
8,180,5,138
8,180,9,194
8,181,10,209
8,181,11,223
8,181,5,139
8,181,9,195
9,182,7,154
9,182,5,126
9,183,7,155
9,183,5,127
9,184,7,156
9,184,5,128
9,185,7,157
9,185,5,129
9,186,7,158
9,186,5,130
9,187,7,159
9,187,5,131
9,188,7,160
9,188,5,132
9,189,7,161
9,189,5,133
9,190,7,162
9,190,5,134
9,191,7,163
9,191,5,135
9,192,7,164
9,192,5,136
9,193,7,165
9,193,5,137
9,194,7,166
9,194,5,138
9,195,7,167
9,195,5,139
10,196,9,182
10,196,5,126
10,197,9,183
10,197,5,127
10,198,9,184
10,198,5,128
10,199,9,185
10,199,5,129
10,200,9,186
10,200,5,130
10,201,9,187
10,201,5,131
10,202,9,188
10,202,5,132
10,203,9,189
10,203,5,133
10,204,9,190
10,204,5,134
10,205,9,191
10,205,5,135
10,206,9,192
10,206,5,136
10,207,9,193
10,207,5,137
10,208,9,194
10,208,5,138
10,209,9,195
10,209,5,139
11,210,9,182
11,210,5,126
11,210,7,154
11,211,9,183
11,211,5,127
11,211,7,155
11,212,9,184
11,212,5,128
11,212,7,156
11,213,9,185
11,213,5,129
11,213,7,157
11,214,9,186
11,214,5,130
11,214,7,158
11,215,9,187
11,215,5,131
11,215,7,159
11,216,9,188
11,216,5,132
11,216,7,160
11,217,9,189
11,217,5,133
11,217,7,161
11,218,9,190
11,218,5,134
11,218,7,162
11,219,9,191
11,219,5,135
11,219,7,163
11,220,9,192
11,220,5,136
11,220,7,164
11,221,9,193
11,221,5,137
11,221,7,165
11,222,9,194
11,222,5,138
11,222,7,166
11,223,9,195
11,223,5,139
11,223,7,167
12,224,7,154
12,224,9,182
12,224,10,196
12,225,7,155
12,225,9,183
12,225,10,197
12,226,7,156
12,226,9,184
12,226,10,198
12,227,7,157
12,227,9,185
12,227,10,199
12,228,7,158
12,228,9,186
12,228,10,200
12,229,7,159
12,229,9,187
12,229,10,201
12,230,7,160
12,230,9,188
12,230,10,202
12,231,7,161
12,231,9,189
12,231,10,203
12,232,7,162
12,232,9,190
12,232,10,204
12,233,7,163
12,233,9,191
12,233,10,205
12,234,7,164
12,234,9,192
12,234,10,206
12,235,7,165
12,235,9,193
12,235,10,207
12,236,7,166
12,236,9,194
12,236,10,208
12,237,7,167
12,237,9,195
12,237,10,209
13,238,5,126
13,238,8,168
13,238,10,196
13,238,12,224
13,239,5,127
13,239,8,169
13,239,10,197
13,239,12,225
13,240,5,128
13,240,8,170
13,240,10,198
13,240,12,226
13,241,5,129
13,241,8,171
13,241,10,199
13,241,12,227
13,242,5,130
13,242,8,172
13,242,10,200
13,242,12,228
13,243,5,131
13,243,8,173
13,243,10,201
13,243,12,229
13,244,5,132
13,244,8,174
13,244,10,202
13,244,12,230
13,245,5,133
13,245,8,175
13,245,10,203
13,245,12,231
13,246,5,134
13,246,8,176
13,246,10,204
13,246,12,232
13,247,5,135
13,247,8,177
13,247,10,205
13,247,12,233
13,248,5,136
13,248,8,178
13,248,10,206
13,248,12,234
13,249,5,137
13,249,8,179
13,249,10,207
13,249,12,235
13,250,5,138
13,250,8,180
13,250,10,208
13,250,12,236
13,251,5,139
13,251,8,181
13,251,10,209
13,251,12,237
14,252,5,126
14,252,7,154
14,252,8,168
14,252,9,182
14,252,11,210
14,253,5,127
14,253,7,155
14,253,8,169
14,253,9,183
14,253,11,211
14,254,5,128
14,254,7,156
14,254,8,170
14,254,9,184
14,254,11,212
14,255,5,129
14,255,7,157
14,255,8,171
14,255,9,185
14,255,11,213
14,256,5,130
14,256,7,158
14,256,8,172
14,256,9,186
14,256,11,214
14,257,5,131
14,257,7,159
14,257,8,173
14,257,9,187
14,257,11,215
14,258,5,132
14,258,7,160
14,258,8,174
14,258,9,188
14,258,11,216
14,259,5,133
14,259,7,161
14,259,8,175
14,259,9,189
14,259,11,217
14,260,5,134
14,260,7,162
14,260,8,176
14,260,9,190
14,260,11,218
14,261,5,135
14,261,7,163
14,261,8,177
14,261,9,191
14,261,11,219
14,262,5,136
14,262,7,164
14,262,8,178
14,262,9,192
14,262,11,220
14,263,5,137
14,263,7,165
14,263,8,179
14,263,9,193
14,263,11,221
14,264,5,138
14,264,7,166
14,264,8,180
14,264,9,194
14,264,11,222
14,265,5,139
14,265,7,167
14,265,8,181
14,265,9,195
14,265,11,223
15,266,17,280
15,266,27,350
15,266,28,357
15,266,19,294
15,266,21,308
15,266,23,322
15,266,24,329
15,266,25,336
15,267,17,281
15,267,27,351
15,267,28,358
15,267,19,295
15,267,21,309
15,267,23,323
15,267,24,330
15,267,25,337
15,268,17,282
15,268,27,352
15,268,28,359
15,268,19,296
15,268,21,310
15,268,23,324
15,268,24,331
15,268,25,338
15,269,17,283
15,269,27,353
15,269,28,360
15,269,19,297
15,269,21,311
15,269,23,325
15,269,24,332
