From TID,From JID,To TID,To JID
0,0,2,168
0,0,3,252
0,0,4,336
0,0,8,672
0,0,9,756
0,1,2,169
0,1,3,253
0,1,4,337
0,1,8,673
0,1,9,757
0,2,2,170
0,2,3,254
0,2,4,338
0,2,8,674
0,2,9,758
0,3,2,171
0,3,3,255
0,3,4,339
0,3,8,675
0,3,9,759
0,4,2,172
0,4,3,256
0,4,4,340
0,4,8,676
0,4,9,760
0,5,2,173
0,5,3,257
0,5,4,341
0,5,8,677
0,5,9,761
0,6,2,174
0,6,3,258
0,6,4,342
0,6,8,678
0,6,9,762
0,7,2,175
0,7,3,259
0,7,4,343
0,7,8,679
0,7,9,763
0,8,2,176
0,8,3,260
0,8,4,344
0,8,8,680
0,8,9,764
0,9,2,177
0,9,3,261
0,9,4,345
0,9,8,681
0,9,9,765
0,10,2,178
0,10,3,262
0,10,4,346
0,10,8,682
0,10,9,766
0,11,2,179
0,11,3,263
0,11,4,347
0,11,8,683
0,11,9,767
0,12,2,180
0,12,3,264
0,12,4,348
0,12,8,684
0,12,9,768
0,13,2,181
0,13,3,265
0,13,4,349
0,13,8,685
0,13,9,769
0,14,2,182
0,14,3,266
0,14,4,350
0,14,8,686
0,14,9,770
0,15,2,183
0,15,3,267
0,15,4,351
0,15,8,687
0,15,9,771
0,16,2,184
0,16,3,268
0,16,4,352
0,16,8,688
0,16,9,772
0,17,2,185
0,17,3,269
0,17,4,353
0,17,8,689
0,17,9,773
0,18,2,186
0,18,3,270
0,18,4,354
0,18,8,690
0,18,9,774
0,19,2,187
0,19,3,271
0,19,4,355
0,19,8,691
0,19,9,775
0,20,2,188
0,20,3,272
0,20,4,356
0,20,8,692
0,20,9,776
0,21,2,189
0,21,3,273
0,21,4,357
0,21,8,693
0,21,9,777
0,22,2,190
0,22,3,274
0,22,4,358
0,22,8,694
0,22,9,778
0,23,2,191
0,23,3,275
0,23,4,359
0,23,8,695
0,23,9,779
0,24,2,192
0,24,3,276
0,24,4,360
0,24,8,696
0,24,9,780
0,25,2,193
0,25,3,277
0,25,4,361
0,25,8,697
0,25,9,781
0,26,2,194
0,26,3,278
0,26,4,362
0,26,8,698
0,26,9,782
0,27,2,195
0,27,3,279
0,27,4,363
0,27,8,699
0,27,9,783
0,28,2,196
0,28,3,280
0,28,4,364
0,28,8,700
0,28,9,784
0,29,2,197
0,29,3,281
0,29,4,365
0,29,8,701
0,29,9,785
0,30,2,198
0,30,3,282
0,30,4,366
0,30,8,702
0,30,9,786
0,31,2,199
0,31,3,283
0,31,4,367
0,31,8,703
0,31,9,787
0,32,2,200
0,32,3,284
0,32,4,368
0,32,8,704
0,32,9,788
0,33,2,201
0,33,3,285
0,33,4,369
0,33,8,705
0,33,9,789
0,34,2,202
0,34,3,286
0,34,4,370
0,34,8,706
0,34,9,790
0,35,2,203
0,35,3,287
0,35,4,371
0,35,8,707
0,35,9,791
0,36,2,204
0,36,3,288
0,36,4,372
0,36,8,708
0,36,9,792
0,37,2,205
0,37,3,289
0,37,4,373
0,37,8,709
0,37,9,793
0,38,2,206
0,38,3,290
0,38,4,374
0,38,8,710
0,38,9,794
0,39,2,207
0,39,3,291
0,39,4,375
0,39,8,711
0,39,9,795
0,40,2,208
0,40,3,292
0,40,4,376
0,40,8,712
0,40,9,796
0,41,2,209
0,41,3,293
0,41,4,377
0,41,8,713
0,41,9,797
0,42,2,210
0,42,3,294
0,42,4,378
0,42,8,714
0,42,9,798
0,43,2,211
0,43,3,295
0,43,4,379
0,43,8,715
0,43,9,799
0,44,2,212
0,44,3,296
0,44,4,380
0,44,8,716
0,44,9,800
0,45,2,213
0,45,3,297
0,45,4,381
0,45,8,717
0,45,9,801
0,46,2,214
0,46,3,298
0,46,4,382
0,46,8,718
0,46,9,802
0,47,2,215
0,47,3,299
0,47,4,383
0,47,8,719
0,47,9,803
0,48,2,216
0,48,3,300
0,48,4,384
0,48,8,720
