Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,28,281,20000,20000
0,1,20000,22000,28,281,40000,20000
0,2,40000,42000,28,281,60000,20000
0,3,60000,62000,28,281,80000,20000
0,4,80000,82000,28,281,100000,20000
0,5,100000,102000,28,281,120000,20000
0,6,120000,122000,28,281,140000,20000
0,7,140000,142000,28,281,160000,20000
0,8,160000,162000,28,281,180000,20000
0,9,180000,182000,28,281,200000,20000
0,10,200000,202000,28,281,220000,20000
0,11,220000,222000,28,281,240000,20000
0,12,240000,242000,28,281,260000,20000
0,13,260000,262000,28,281,280000,20000
0,14,280000,282000,28,281,300000,20000
0,15,300000,302000,28,281,320000,20000
0,16,320000,322000,28,281,340000,20000
0,17,340000,342000,28,281,360000,20000
0,18,360000,362000,28,281,380000,20000
0,19,380000,382000,28,281,400000,20000
0,20,400000,402000,28,281,420000,20000
0,21,420000,422000,28,281,440000,20000
0,22,440000,442000,28,281,460000,20000
0,23,460000,462000,28,281,480000,20000
0,24,480000,482000,28,281,500000,20000
0,25,500000,502000,28,281,520000,20000
0,26,520000,522000,28,281,540000,20000
0,27,540000,542000,28,281,560000,20000
0,28,560000,562000,28,281,580000,20000
0,29,580000,582000,28,281,600000,20000
0,30,600000,602000,28,281,620000,20000
0,31,620000,622000,28,281,640000,20000
0,32,640000,642000,28,281,660000,20000
0,33,660000,662000,28,281,680000,20000
0,34,680000,682000,28,281,700000,20000
0,35,700000,702000,28,281,720000,20000
1,36,0,2000,135,1347,20000,20000
1,37,20000,22000,135,1347,40000,20000
1,38,40000,42000,135,1347,60000,20000
1,39,60000,62000,135,1347,80000,20000
1,40,80000,82000,135,1347,100000,20000
1,41,100000,102000,135,1347,120000,20000
1,42,120000,122000,135,1347,140000,20000
1,43,140000,142000,135,1347,160000,20000
1,44,160000,162000,135,1347,180000,20000
1,45,180000,182000,135,1347,200000,20000
1,46,200000,202000,135,1347,220000,20000
1,47,220000,222000,135,1347,240000,20000
1,48,240000,242000,135,1347,260000,20000
1,49,260000,262000,135,1347,280000,20000
1,50,280000,282000,135,1347,300000,20000
1,51,300000,302000,135,1347,320000,20000
1,52,320000,322000,135,1347,340000,20000
1,53,340000,342000,135,1347,360000,20000
1,54,360000,362000,135,1347,380000,20000
1,55,380000,382000,135,1347,400000,20000
1,56,400000,402000,135,1347,420000,20000
1,57,420000,422000,135,1347,440000,20000
1,58,440000,442000,135,1347,460000,20000
1,59,460000,462000,135,1347,480000,20000
1,60,480000,482000,135,1347,500000,20000
1,61,500000,502000,135,1347,520000,20000
1,62,520000,522000,135,1347,540000,20000
1,63,540000,542000,135,1347,560000,20000
1,64,560000,562000,135,1347,580000,20000
1,65,580000,582000,135,1347,600000,20000
1,66,600000,602000,135,1347,620000,20000
1,67,620000,622000,135,1347,640000,20000
1,68,640000,642000,135,1347,660000,20000
1,69,660000,662000,135,1347,680000,20000
1,70,680000,682000,135,1347,700000,20000
1,71,700000,702000,135,1347,720000,20000
2,72,0,2000,62,623,20000,20000
2,73,20000,22000,62,623,40000,20000
2,74,40000,42000,62,623,60000,20000
2,75,60000,62000,62,623,80000,20000
2,76,80000,82000,62,623,100000,20000
