Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,140,1402,30000,30000
0,1,30000,33000,140,1402,60000,30000
0,2,60000,63000,140,1402,90000,30000
0,3,90000,93000,140,1402,120000,30000
0,4,120000,123000,140,1402,150000,30000
0,5,150000,153000,140,1402,180000,30000
0,6,180000,183000,140,1402,210000,30000
0,7,210000,213000,140,1402,240000,30000
0,8,240000,243000,140,1402,270000,30000
0,9,270000,273000,140,1402,300000,30000
0,10,300000,303000,140,1402,330000,30000
0,11,330000,333000,140,1402,360000,30000
0,12,360000,363000,140,1402,390000,30000
0,13,390000,393000,140,1402,420000,30000
0,14,420000,423000,140,1402,450000,30000
0,15,450000,453000,140,1402,480000,30000
1,16,0,3000,355,3552,30000,30000
1,17,30000,33000,355,3552,60000,30000
1,18,60000,63000,355,3552,90000,30000
1,19,90000,93000,355,3552,120000,30000
1,20,120000,123000,355,3552,150000,30000
1,21,150000,153000,355,3552,180000,30000
1,22,180000,183000,355,3552,210000,30000
1,23,210000,213000,355,3552,240000,30000
1,24,240000,243000,355,3552,270000,30000
1,25,270000,273000,355,3552,300000,30000
1,26,300000,303000,355,3552,330000,30000
1,27,330000,333000,355,3552,360000,30000
1,28,360000,363000,355,3552,390000,30000
1,29,390000,393000,355,3552,420000,30000
1,30,420000,423000,355,3552,450000,30000
1,31,450000,453000,355,3552,480000,30000
2,32,0,3000,73,729,30000,30000
2,33,30000,33000,73,729,60000,30000
2,34,60000,63000,73,729,90000,30000
2,35,90000,93000,73,729,120000,30000
2,36,120000,123000,73,729,150000,30000
2,37,150000,153000,73,729,180000,30000
2,38,180000,183000,73,729,210000,30000
2,39,210000,213000,73,729,240000,30000
2,40,240000,243000,73,729,270000,30000
2,41,270000,273000,73,729,300000,30000
2,42,300000,303000,73,729,330000,30000
2,43,330000,333000,73,729,360000,30000
2,44,360000,363000,73,729,390000,30000
2,45,390000,393000,73,729,420000,30000
2,46,420000,423000,73,729,450000,30000
2,47,450000,453000,73,729,480000,30000
3,48,0,3000,151,1513,30000,30000
3,49,30000,33000,151,1513,60000,30000
3,50,60000,63000,151,1513,90000,30000
3,51,90000,93000,151,1513,120000,30000
3,52,120000,123000,151,1513,150000,30000
3,53,150000,153000,151,1513,180000,30000
3,54,180000,183000,151,1513,210000,30000
3,55,210000,213000,151,1513,240000,30000
3,56,240000,243000,151,1513,270000,30000
3,57,270000,273000,151,1513,300000,30000
3,58,300000,303000,151,1513,330000,30000
3,59,330000,333000,151,1513,360000,30000
3,60,360000,363000,151,1513,390000,30000
3,61,390000,393000,151,1513,420000,30000
3,62,420000,423000,151,1513,450000,30000
3,63,450000,453000,151,1513,480000,30000
4,64,0,3000,82,815,30000,30000
4,65,30000,33000,82,815,60000,30000
4,66,60000,63000,82,815,90000,30000
4,67,90000,93000,82,815,120000,30000
4,68,120000,123000,82,815,150000,30000
4,69,150000,153000,82,815,180000,30000
4,70,180000,183000,82,815,210000,30000
4,71,210000,213000,82,815,240000,30000
4,72,240000,243000,82,815,270000,30000
4,73,270000,273000,82,815,300000,30000
4,74,300000,303000,82,815,330000,30000
4,75,330000,333000,82,815,360000,30000
4,76,360000,363000,82,815,390000,30000
4,77,390000,393000,82,815,420000,30000
4,78,420000,423000,82,815,450000,30000
4,79,450000,453000,82,815,480000,30000
5,80,0,3000,244,2445,30000,30000
5,81,30000,33000,244,2445,60000,30000
5,82,60000,63000,244,2445,90000,30000
5,83,90000,93000,244,2445,120000,30000
5,84,120000,123000,244,2445,150000,30000
5,85,150000,153000,244,2445,180000,30000
5,86,180000,183000,244,2445,210000,30000
5,87,210000,213000,244,2445,240000,30000
5,88,240000,243000,244,2445,270000,30000
5,89,270000,273000,244,2445,300000,30000
5,90,300000,303000,244,2445,330000,30000
5,91,330000,333000,244,2445,360000,30000
5,92,360000,363000,244,2445,390000,30000
5,93,390000,393000,244,2445,420000,30000
5,94,420000,423000,244,2445,450000,30000
5,95,450000,453000,244,2445,480000,30000
6,96,0,3000,18,184,30000,30000
6,97,30000,33000,18,184,60000,30000
6,98,60000,63000,18,184,90000,30000
6,99,90000,93000,18,184,120000,30000
6,100,120000,123000,18,184,150000,30000
6,101,150000,153000,18,184,180000,30000
6,102,180000,183000,18,184,210000,30000
6,103,210000,213000,18,184,240000,30000
6,104,240000,243000,18,184,270000,30000
6,105,270000,273000,18,184,300000,30000
6,106,300000,303000,18,184,330000,30000
6,107,330000,333000,18,184,360000,30000
6,108,360000,363000,18,184,390000,30000
6,109,390000,393000,18,184,420000,30000
6,110,420000,423000,18,184,450000,30000
6,111,450000,453000,18,184,480000,30000
7,112,0,3000,641,6401,30000,30000
7,113,30000,33000,641,6401,60000,30000
7,114,60000,63000,641,6401,90000,30000
7,115,90000,93000,641,6401,120000,30000
7,116,120000,123000,641,6401,150000,30000
7,117,150000,153000,641,6401,180000,30000
7,118,180000,183000,641,6401,210000,30000
7,119,210000,213000,641,6401,240000,30000
7,120,240000,243000,641,6401,270000,30000
7,121,270000,273000,641,6401,300000,30000
7,122,300000,303000,641,6401,330000,30000
7,123,330000,333000,641,6401,360000,30000
7,124,360000,363000,641,6401,390000,30000
7,125,390000,393000,641,6401,420000,30000
7,126,420000,423000,641,6401,450000,30000
7,127,450000,453000,641,6401,480000,30000
8,128,0,4000,97,969,40000,40000
8,129,40000,44000,97,969,80000,40000
8,130,80000,84000,97,969,120000,40000
8,131,120000,124000,97,969,160000,40000
8,132,160000,164000,97,969,200000,40000
8,133,200000,204000,97,969,240000,40000
8,134,240000,244000,97,969,280000,40000
8,135,280000,284000,97,969,320000,40000
8,136,320000,324000,97,969,360000,40000
8,137,360000,364000,97,969,400000,40000
8,138,400000,404000,97,969,440000,40000
8,139,440000,444000,97,969,480000,40000
9,140,0,4000,431,4308,40000,40000
9,141,40000,44000,431,4308,80000,40000
9,142,80000,84000,431,4308,120000,40000
9,143,120000,124000,431,4308,160000,40000
9,144,160000,164000,431,4308,200000,40000
9,145,200000,204000,431,4308,240000,40000
9,146,240000,244000,431,4308,280000,40000
9,147,280000,284000,431,4308,320000,40000
9,148,320000,324000,431,4308,360000,40000
9,149,360000,364000,431,4308,400000,40000
9,150,400000,404000,431,4308,440000,40000
9,151,440000,444000,431,4308,480000,40000
10,152,0,4000,493,4926,40000,40000
10,153,40000,44000,493,4926,80000,40000
10,154,80000,84000,493,4926,120000,40000
10,155,120000,124000,493,4926,160000,40000
10,156,160000,164000,493,4926,200000,40000
10,157,200000,204000,493,4926,240000,40000
10,158,240000,244000,493,4926,280000,40000
10,159,280000,284000,493,4926,320000,40000
