From TID,From JID,To TID,To JID
0,0,2,32
0,0,6,96
0,0,7,112
0,0,1,16
0,0,5,80
0,1,2,33
0,1,6,97
0,1,7,113
0,1,1,17
0,1,5,81
0,2,2,34
0,2,6,98
0,2,7,114
0,2,1,18
0,2,5,82
0,3,2,35
0,3,6,99
0,3,7,115
0,3,1,19
0,3,5,83
0,4,2,36
0,4,6,100
0,4,7,116
0,4,1,20
0,4,5,84
0,5,2,37
0,5,6,101
0,5,7,117
0,5,1,21
0,5,5,85
0,6,2,38
0,6,6,102
0,6,7,118
0,6,1,22
0,6,5,86
0,7,2,39
0,7,6,103
0,7,7,119
0,7,1,23
0,7,5,87
0,8,2,40
0,8,6,104
0,8,7,120
0,8,1,24
0,8,5,88
0,9,2,41
0,9,6,105
0,9,7,121
0,9,1,25
0,9,5,89
0,10,2,42
0,10,6,106
0,10,7,122
0,10,1,26
0,10,5,90
0,11,2,43
0,11,6,107
0,11,7,123
0,11,1,27
0,11,5,91
0,12,2,44
0,12,6,108
0,12,7,124
0,12,1,28
0,12,5,92
0,13,2,45
0,13,6,109
0,13,7,125
0,13,1,29
0,13,5,93
0,14,2,46
0,14,6,110
0,14,7,126
0,14,1,30
0,14,5,94
0,15,2,47
0,15,6,111
0,15,7,127
0,15,1,31
0,15,5,95
2,32,4,64
2,32,5,80
2,33,4,65
2,33,5,81
2,34,4,66
2,34,5,82
2,35,4,67
2,35,5,83
2,36,4,68
2,36,5,84
2,37,4,69
2,37,5,85
2,38,4,70
2,38,5,86
2,39,4,71
2,39,5,87
2,40,4,72
2,40,5,88
2,41,4,73
2,41,5,89
2,42,4,74
2,42,5,90
2,43,4,75
2,43,5,91
2,44,4,76
2,44,5,92
2,45,4,77
2,45,5,93
2,46,4,78
2,46,5,94
2,47,4,79
2,47,5,95
3,48,1,16
3,49,1,17
3,50,1,18
3,51,1,19
3,52,1,20
3,53,1,21
3,54,1,22
3,55,1,23
3,56,1,24
3,57,1,25
3,58,1,26
3,59,1,27
3,60,1,28
3,61,1,29
3,62,1,30
3,63,1,31
4,64,3,48
4,65,3,49
4,66,3,50
4,67,3,51
4,68,3,52
4,69,3,53
4,70,3,54
4,71,3,55
4,72,3,56
4,73,3,57
4,74,3,58
4,75,3,59
4,76,3,60
4,77,3,61
4,78,3,62
4,79,3,63
5,80,3,48
5,81,3,49
5,82,3,50
5,83,3,51
5,84,3,52
5,85,3,53
5,86,3,54
5,87,3,55
5,88,3,56
5,89,3,57
5,90,3,58
5,91,3,59
5,92,3,60
5,93,3,61
5,94,3,62
5,95,3,63
6,96,1,16
6,96,3,48
6,96,5,80
6,97,1,17
6,97,3,49
6,97,5,81
6,98,1,18
6,98,3,50
6,98,5,82
6,99,1,19
6,99,3,51
6,99,5,83
6,100,1,20
6,100,3,52
6,100,5,84
6,101,1,21
6,101,3,53
6,101,5,85
6,102,1,22
6,102,3,54
6,102,5,86
6,103,1,23
6,103,3,55
6,103,5,87
6,104,1,24
6,104,3,56
6,104,5,88
6,105,1,25
6,105,3,57
6,105,5,89
6,106,1,26
6,106,3,58
6,106,5,90
6,107,1,27
6,107,3,59
6,107,5,91
6,108,1,28
6,108,3,60
6,108,5,92
6,109,1,29
6,109,3,61
6,109,5,93
6,110,1,30
6,110,3,62
6,110,5,94
6,111,1,31
6,111,3,63
6,111,5,95
7,112,1,16
7,112,3,48
7,112,4,64
7,112,5,80
7,113,1,17
7,113,3,49
7,113,4,65
7,113,5,81
7,114,1,18
7,114,3,50
7,114,4,66
7,114,5,82
7,115,1,19
7,115,3,51
7,115,4,67
7,115,5,83
7,116,1,20
7,116,3,52
7,116,4,68
7,116,5,84
7,117,1,21
7,117,3,53
7,117,4,69
7,117,5,85
7,118,1,22
7,118,3,54
7,118,4,70
7,118,5,86
7,119,1,23
7,119,3,55
7,119,4,71
7,119,5,87
7,120,1,24
7,120,3,56
7,120,4,72
7,120,5,88
7,121,1,25
7,121,3,57
7,121,4,73
7,121,5,89
7,122,1,26
7,122,3,58
7,122,4,74
7,122,5,90
7,123,1,27
7,123,3,59
7,123,4,75
7,123,5,91
7,124,1,28
7,124,3,60
7,124,4,76
7,124,5,92
7,125,1,29
7,125,3,61
7,125,4,77
7,125,5,93
7,126,1,30
7,126,3,62
7,126,4,78
7,126,5,94
7,127,1,31
7,127,3,63
7,127,4,79
7,127,5,95
8,128,10,152
8,128,11,164
8,128,9,140
8,128,12,176
8,128,15,212
8,128,18,248
8,129,10,153
8,129,11,165
8,129,9,141
8,129,12,177
8,129,15,213
8,129,18,249
8,130,10,154
8,130,11,166
8,130,9,142
8,130,12,178
8,130,15,214
8,130,18,250
8,131,10,155
8,131,11,167
8,131,9,143
8,131,12,179
8,131,15,215
8,131,18,251
8,132,10,156
8,132,11,168
8,132,9,144
8,132,12,180
8,132,15,216
8,132,18,252
8,133,10,157
8,133,11,169
8,133,9,145
8,133,12,181
8,133,15,217
8,133,18,253
8,134,10,158
8,134,11,170
8,134,9,146
8,134,12,182
8,134,15,218
8,134,18,254
8,135,10,159
8,135,11,171
8,135,9,147
8,135,12,183
8,135,15,219
8,135,18,255
8,136,10,160
8,136,11,172
8,136,9,148
8,136,12,184
8,136,15,220
8,136,18,256
8,137,10,161
8,137,11,173
8,137,9,149
8,137,12,185
8,137,15,221
8,137,18,257
8,138,10,162
8,138,11,174
8,138,9,150
8,138,12,186
8,138,15,222
8,138,18,258
8,139,10,163
8,139,11,175
8,139,9,151
8,139,12,187
8,139,15,223
8,139,18,259
10,152,9,140
10,152,13,188
10,152,14,200
10,152,16,224
10,152,17,236
10,152,18,248
10,153,9,141
10,153,13,189
10,153,14,201
10,153,16,225
10,153,17,237
10,153,18,249
10,154,9,142
10,154,13,190
10,154,14,202
10,154,16,226
10,154,17,238
10,154,18,250
10,155,9,143
10,155,13,191
10,155,14,203
10,155,16,227
10,155,17,239
10,155,18,251
10,156,9,144
10,156,13,192
10,156,14,204
10,156,16,228
10,156,17,240
10,156,18,252
10,157,9,145
10,157,13,193
10,157,14,205
10,157,16,229
10,157,17,241
10,157,18,253
10,158,9,146
10,158,13,194
10,158,14,206
10,158,16,230
10,158,17,242
10,158,18,254
10,159,9,147
10,159,13,195
10,159,14,207
