Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,10,103,20000,20000
0,1,20000,22000,10,103,40000,20000
0,2,40000,42000,10,103,60000,20000
0,3,60000,62000,10,103,80000,20000
0,4,80000,82000,10,103,100000,20000
0,5,100000,102000,10,103,120000,20000
0,6,120000,122000,10,103,140000,20000
0,7,140000,142000,10,103,160000,20000
0,8,160000,162000,10,103,180000,20000
0,9,180000,182000,10,103,200000,20000
0,10,200000,202000,10,103,220000,20000
0,11,220000,222000,10,103,240000,20000
0,12,240000,242000,10,103,260000,20000
0,13,260000,262000,10,103,280000,20000
0,14,280000,282000,10,103,300000,20000
0,15,300000,302000,10,103,320000,20000
0,16,320000,322000,10,103,340000,20000
0,17,340000,342000,10,103,360000,20000
0,18,360000,362000,10,103,380000,20000
0,19,380000,382000,10,103,400000,20000
0,20,400000,402000,10,103,420000,20000
0,21,420000,422000,10,103,440000,20000
0,22,440000,442000,10,103,460000,20000
0,23,460000,462000,10,103,480000,20000
0,24,480000,482000,10,103,500000,20000
0,25,500000,502000,10,103,520000,20000
0,26,520000,522000,10,103,540000,20000
0,27,540000,542000,10,103,560000,20000
0,28,560000,562000,10,103,580000,20000
0,29,580000,582000,10,103,600000,20000
0,30,600000,602000,10,103,620000,20000
0,31,620000,622000,10,103,640000,20000
0,32,640000,642000,10,103,660000,20000
0,33,660000,662000,10,103,680000,20000
0,34,680000,682000,10,103,700000,20000
0,35,700000,702000,10,103,720000,20000
0,36,720000,722000,10,103,740000,20000
0,37,740000,742000,10,103,760000,20000
0,38,760000,762000,10,103,780000,20000
0,39,780000,782000,10,103,800000,20000
0,40,800000,802000,10,103,820000,20000
0,41,820000,822000,10,103,840000,20000
0,42,840000,842000,10,103,860000,20000
0,43,860000,862000,10,103,880000,20000
0,44,880000,882000,10,103,900000,20000
0,45,900000,902000,10,103,920000,20000
0,46,920000,922000,10,103,940000,20000
0,47,940000,942000,10,103,960000,20000
0,48,960000,962000,10,103,980000,20000
0,49,980000,982000,10,103,1000000,20000
0,50,1000000,1002000,10,103,1020000,20000
0,51,1020000,1022000,10,103,1040000,20000
0,52,1040000,1042000,10,103,1060000,20000
0,53,1060000,1062000,10,103,1080000,20000
0,54,1080000,1082000,10,103,1100000,20000
0,55,1100000,1102000,10,103,1120000,20000
0,56,1120000,1122000,10,103,1140000,20000
0,57,1140000,1142000,10,103,1160000,20000
0,58,1160000,1162000,10,103,1180000,20000
0,59,1180000,1182000,10,103,1200000,20000
0,60,1200000,1202000,10,103,1220000,20000
0,61,1220000,1222000,10,103,1240000,20000
