From TID,From JID,To TID,To JID
0,0,2,360
0,0,3,540
0,0,4,720
0,0,1,180
0,0,5,900
0,1,2,361
0,1,3,541
0,1,4,721
0,1,1,181
0,1,5,901
0,2,2,362
0,2,3,542
0,2,4,722
0,2,1,182
0,2,5,902
0,3,2,363
0,3,3,543
0,3,4,723
0,3,1,183
0,3,5,903
0,4,2,364
0,4,3,544
0,4,4,724
0,4,1,184
0,4,5,904
0,5,2,365
0,5,3,545
0,5,4,725
0,5,1,185
0,5,5,905
0,6,2,366
0,6,3,546
0,6,4,726
0,6,1,186
0,6,5,906
0,7,2,367
0,7,3,547
0,7,4,727
0,7,1,187
0,7,5,907
0,8,2,368
0,8,3,548
0,8,4,728
0,8,1,188
0,8,5,908
0,9,2,369
0,9,3,549
0,9,4,729
0,9,1,189
0,9,5,909
0,10,2,370
0,10,3,550
0,10,4,730
0,10,1,190
0,10,5,910
0,11,2,371
0,11,3,551
0,11,4,731
0,11,1,191
0,11,5,911
0,12,2,372
0,12,3,552
0,12,4,732
0,12,1,192
0,12,5,912
0,13,2,373
0,13,3,553
0,13,4,733
0,13,1,193
0,13,5,913
0,14,2,374
0,14,3,554
0,14,4,734
0,14,1,194
0,14,5,914
0,15,2,375
0,15,3,555
0,15,4,735
0,15,1,195
0,15,5,915
0,16,2,376
0,16,3,556
0,16,4,736
0,16,1,196
0,16,5,916
0,17,2,377
0,17,3,557
0,17,4,737
0,17,1,197
0,17,5,917
0,18,2,378
0,18,3,558
0,18,4,738
0,18,1,198
0,18,5,918
0,19,2,379
0,19,3,559
0,19,4,739
0,19,1,199
0,19,5,919
0,20,2,380
0,20,3,560
0,20,4,740
0,20,1,200
0,20,5,920
0,21,2,381
0,21,3,561
0,21,4,741
0,21,1,201
0,21,5,921
0,22,2,382
0,22,3,562
0,22,4,742
0,22,1,202
0,22,5,922
0,23,2,383
0,23,3,563
0,23,4,743
0,23,1,203
0,23,5,923
0,24,2,384
0,24,3,564
0,24,4,744
0,24,1,204
0,24,5,924
0,25,2,385
0,25,3,565
0,25,4,745
0,25,1,205
0,25,5,925
0,26,2,386
0,26,3,566
0,26,4,746
0,26,1,206
0,26,5,926
0,27,2,387
0,27,3,567
0,27,4,747
0,27,1,207
0,27,5,927
0,28,2,388
0,28,3,568
0,28,4,748
0,28,1,208
0,28,5,928
0,29,2,389
0,29,3,569
0,29,4,749
0,29,1,209
0,29,5,929
0,30,2,390
0,30,3,570
0,30,4,750
0,30,1,210
0,30,5,930
0,31,2,391
0,31,3,571
0,31,4,751
0,31,1,211
0,31,5,931
0,32,2,392
0,32,3,572
0,32,4,752
0,32,1,212
0,32,5,932
0,33,2,393
0,33,3,573
0,33,4,753
0,33,1,213
0,33,5,933
0,34,2,394
0,34,3,574
0,34,4,754
0,34,1,214
0,34,5,934
0,35,2,395
0,35,3,575
0,35,4,755
0,35,1,215
0,35,5,935
0,36,2,396
0,36,3,576
0,36,4,756
0,36,1,216
0,36,5,936
0,37,2,397
0,37,3,577
0,37,4,757
0,37,1,217
0,37,5,937
0,38,2,398
0,38,3,578
0,38,4,758
0,38,1,218
0,38,5,938
0,39,2,399
0,39,3,579
0,39,4,759
0,39,1,219
0,39,5,939
0,40,2,400
0,40,3,580
0,40,4,760
0,40,1,220
0,40,5,940
0,41,2,401
0,41,3,581
0,41,4,761
0,41,1,221
0,41,5,941
0,42,2,402
0,42,3,582
0,42,4,762
0,42,1,222
0,42,5,942
0,43,2,403
0,43,3,583
0,43,4,763
0,43,1,223
0,43,5,943
0,44,2,404
0,44,3,584
0,44,4,764
0,44,1,224
0,44,5,944
0,45,2,405
0,45,3,585
0,45,4,765
0,45,1,225
0,45,5,945
0,46,2,406
0,46,3,586
0,46,4,766
0,46,1,226
0,46,5,946
0,47,2,407
0,47,3,587
0,47,4,767
0,47,1,227
0,47,5,947
0,48,2,408
0,48,3,588
0,48,4,768
0,48,1,228
0,48,5,948
0,49,2,409
0,49,3,589
0,49,4,769
0,49,1,229
0,49,5,949
0,50,2,410
0,50,3,590
0,50,4,770
0,50,1,230
0,50,5,950
0,51,2,411
0,51,3,591
0,51,4,771
0,51,1,231
0,51,5,951
0,52,2,412
0,52,3,592
0,52,4,772
0,52,1,232
0,52,5,952
0,53,2,413
0,53,3,593
0,53,4,773
0,53,1,233
0,53,5,953
0,54,2,414
0,54,3,594
0,54,4,774
0,54,1,234
0,54,5,954
0,55,2,415
0,55,3,595
0,55,4,775
0,55,1,235
0,55,5,955
0,56,2,416
0,56,3,596
0,56,4,776
0,56,1,236
0,56,5,956
0,57,2,417
0,57,3,597
0,57,4,777
0,57,1,237
0,57,5,957
0,58,2,418
0,58,3,598
0,58,4,778
0,58,1,238
0,58,5,958
0,59,2,419
0,59,3,599
0,59,4,779
0,59,1,239
0,59,5,959
0,60,2,420
0,60,3,600
0,60,4,780
0,60,1,240
0,60,5,960
0,61,2,421
0,61,3,601
0,61,4,781
0,61,1,241
0,61,5,961
0,62,2,422
0,62,3,602
0,62,4,782
0,62,1,242
0,62,5,962
0,63,2,423
0,63,3,603
0,63,4,783
0,63,1,243
0,63,5,963
0,64,2,424
0,64,3,604
0,64,4,784
0,64,1,244
0,64,5,964
0,65,2,425
0,65,3,605
0,65,4,785
0,65,1,245
0,65,5,965
0,66,2,426
0,66,3,606
0,66,4,786
0,66,1,246
0,66,5,966
0,67,2,427
0,67,3,607
0,67,4,787
0,67,1,247
0,67,5,967
0,68,2,428
0,68,3,608
0,68,4,788
0,68,1,248
0,68,5,968
0,69,2,429
0,69,3,609
0,69,4,789
0,69,1,249
0,69,5,969
0,70,2,430
0,70,3,610
0,70,4,790
0,70,1,250
0,70,5,970
0,71,2,431
0,71,3,611
0,71,4,791
0,71,1,251
0,71,5,971
0,72,2,432
0,72,3,612
0,72,4,792
0,72,1,252
0,72,5,972
0,73,2,433
0,73,3,613
0,73,4,793
0,73,1,253
0,73,5,973
0,74,2,434
0,74,3,614
0,74,4,794
0,74,1,254
0,74,5,974
0,75,2,435
0,75,3,615
0,75,4,795
0,75,1,255
0,75,5,975
0,76,2,436
0,76,3,616
0,76,4,796
0,76,1,256
0,76,5,976
0,77,2,437
0,77,3,617
0,77,4,797
0,77,1,257
0,77,5,977
0,78,2,438
0,78,3,618
0,78,4,798
0,78,1,258
0,78,5,978
0,79,2,439
0,79,3,619
0,79,4,799
0,79,1,259
0,79,5,979
0,80,2,440
0,80,3,620
0,80,4,800
0,80,1,260
0,80,5,980
0,81,2,441
0,81,3,621
0,81,4,801
0,81,1,261
0,81,5,981
0,82,2,442
0,82,3,622
0,82,4,802
0,82,1,262
0,82,5,982
0,83,2,443
0,83,3,623
0,83,4,803
0,83,1,263
0,83,5,983
0,84,2,444
0,84,3,624
0,84,4,804
0,84,1,264
0,84,5,984
0,85,2,445
0,85,3,625
0,85,4,805
0,85,1,265
0,85,5,985
0,86,2,446
0,86,3,626
0,86,4,806
0,86,1,266
0,86,5,986
0,87,2,447
0,87,3,627
0,87,4,807
0,87,1,267
0,87,5,987
0,88,2,448
0,88,3,628
0,88,4,808
0,88,1,268
0,88,5,988
0,89,2,449
0,89,3,629
0,89,4,809
0,89,1,269
0,89,5,989
0,90,2,450
0,90,3,630
0,90,4,810
0,90,1,270
0,90,5,990
0,91,2,451
0,91,3,631
0,91,4,811
0,91,1,271
0,91,5,991
0,92,2,452
0,92,3,632
0,92,4,812
0,92,1,272
0,92,5,992
0,93,2,453
0,93,3,633
0,93,4,813
0,93,1,273
0,93,5,993
0,94,2,454
0,94,3,634
0,94,4,814
0,94,1,274
0,94,5,994
0,95,2,455
0,95,3,635
0,95,4,815
0,95,1,275
0,95,5,995
0,96,2,456
0,96,3,636
0,96,4,816
0,96,1,276
0,96,5,996
0,97,2,457
0,97,3,637
0,97,4,817
0,97,1,277
0,97,5,997
0,98,2,458
0,98,3,638
0,98,4,818
0,98,1,278
0,98,5,998
0,99,2,459
0,99,3,639
0,99,4,819
0,99,1,279
0,99,5,999
0,100,2,460
0,100,3,640
0,100,4,820
0,100,1,280
0,100,5,1000
0,101,2,461
0,101,3,641
0,101,4,821
0,101,1,281
0,101,5,1001
0,102,2,462
0,102,3,642
0,102,4,822
0,102,1,282
0,102,5,1002
0,103,2,463
0,103,3,643
0,103,4,823
0,103,1,283
0,103,5,1003
0,104,2,464
0,104,3,644
0,104,4,824
0,104,1,284
0,104,5,1004
0,105,2,465
0,105,3,645
0,105,4,825
0,105,1,285
0,105,5,1005
0,106,2,466
0,106,3,646
0,106,4,826
0,106,1,286
0,106,5,1006
0,107,2,467
0,107,3,647
0,107,4,827
0,107,1,287
0,107,5,1007
0,108,2,468
0,108,3,648
0,108,4,828
0,108,1,288
0,108,5,1008
0,109,2,469
0,109,3,649
0,109,4,829
0,109,1,289
0,109,5,1009
0,110,2,470
0,110,3,650
0,110,4,830
0,110,1,290
0,110,5,1010
0,111,2,471
0,111,3,651
0,111,4,831
0,111,1,291
0,111,5,1011
0,112,2,472
0,112,3,652
0,112,4,832
0,112,1,292
0,112,5,1012
0,113,2,473
0,113,3,653
0,113,4,833
0,113,1,293
0,113,5,1013
0,114,2,474
0,114,3,654
0,114,4,834
0,114,1,294
0,114,5,1014
0,115,2,475
0,115,3,655
0,115,4,835
0,115,1,295
0,115,5,1015
0,116,2,476
0,116,3,656
0,116,4,836
0,116,1,296
0,116,5,1016
0,117,2,477
0,117,3,657
0,117,4,837
0,117,1,297
0,117,5,1017
0,118,2,478
0,118,3,658
0,118,4,838
0,118,1,298
0,118,5,1018
0,119,2,479
0,119,3,659
0,119,4,839
0,119,1,299
0,119,5,1019
0,120,2,480
0,120,3,660
0,120,4,840
0,120,1,300
0,120,5,1020
0,121,2,481
0,121,3,661
0,121,4,841
0,121,1,301
0,121,5,1021
0,122,2,482
0,122,3,662
0,122,4,842
0,122,1,302
0,122,5,1022
0,123,2,483
0,123,3,663
0,123,4,843
0,123,1,303
0,123,5,1023
0,124,2,484
0,124,3,664
0,124,4,844
0,124,1,304
0,124,5,1024
0,125,2,485
0,125,3,665
0,125,4,845
0,125,1,305
0,125,5,1025
0,126,2,486
0,126,3,666
0,126,4,846
0,126,1,306
0,126,5,1026
0,127,2,487
0,127,3,667
0,127,4,847
0,127,1,307
0,127,5,1027
0,128,2,488
0,128,3,668
0,128,4,848
0,128,1,308
0,128,5,1028
0,129,2,489
0,129,3,669
0,129,4,849
0,129,1,309
0,129,5,1029
0,130,2,490
0,130,3,670
0,130,4,850
0,130,1,310
0,130,5,1030
0,131,2,491
0,131,3,671
0,131,4,851
0,131,1,311
0,131,5,1031
0,132,2,492
0,132,3,672
0,132,4,852
0,132,1,312
0,132,5,1032
0,133,2,493
0,133,3,673
0,133,4,853
0,133,1,313
0,133,5,1033
0,134,2,494
0,134,3,674
0,134,4,854
0,134,1,314
0,134,5,1034
0,135,2,495
0,135,3,675
0,135,4,855
0,135,1,315
0,135,5,1035
0,136,2,496
0,136,3,676
0,136,4,856
0,136,1,316
0,136,5,1036
0,137,2,497
0,137,3,677
0,137,4,857
0,137,1,317
0,137,5,1037
0,138,2,498
0,138,3,678
0,138,4,858
0,138,1,318
0,138,5,1038
0,139,2,499
0,139,3,679
0,139,4,859
0,139,1,319
0,139,5,1039
0,140,2,500
0,140,3,680
0,140,4,860
0,140,1,320
0,140,5,1040
0,141,2,501
0,141,3,681
0,141,4,861
0,141,1,321
0,141,5,1041
0,142,2,502
0,142,3,682
0,142,4,862
0,142,1,322
0,142,5,1042
0,143,2,503
0,143,3,683
0,143,4,863
0,143,1,323
0,143,5,1043
0,144,2,504
0,144,3,684
0,144,4,864
0,144,1,324
0,144,5,1044
0,145,2,505
0,145,3,685
0,145,4,865
0,145,1,325
0,145,5,1045
0,146,2,506
0,146,3,686
0,146,4,866
0,146,1,326
0,146,5,1046
0,147,2,507
0,147,3,687
0,147,4,867
0,147,1,327
0,147,5,1047
0,148,2,508
0,148,3,688
0,148,4,868
0,148,1,328
0,148,5,1048
0,149,2,509
0,149,3,689
0,149,4,869
0,149,1,329
0,149,5,1049
0,150,2,510
0,150,3,690
0,150,4,870
0,150,1,330
0,150,5,1050
0,151,2,511
0,151,3,691
0,151,4,871
0,151,1,331
0,151,5,1051
0,152,2,512
0,152,3,692
0,152,4,872
0,152,1,332
0,152,5,1052
0,153,2,513
0,153,3,693
0,153,4,873
0,153,1,333
0,153,5,1053
0,154,2,514
0,154,3,694
0,154,4,874
0,154,1,334
0,154,5,1054
0,155,2,515
0,155,3,695
0,155,4,875
0,155,1,335
0,155,5,1055
0,156,2,516
0,156,3,696
0,156,4,876
0,156,1,336
0,156,5,1056
0,157,2,517
0,157,3,697
0,157,4,877
0,157,1,337
0,157,5,1057
0,158,2,518
0,158,3,698
0,158,4,878
0,158,1,338
0,158,5,1058
0,159,2,519
0,159,3,699
0,159,4,879
0,159,1,339
0,159,5,1059
0,160,2,520
0,160,3,700
0,160,4,880
0,160,1,340
0,160,5,1060
0,161,2,521
0,161,3,701
0,161,4,881
0,161,1,341
0,161,5,1061
0,162,2,522
0,162,3,702
0,162,4,882
0,162,1,342
0,162,5,1062
0,163,2,523
0,163,3,703
0,163,4,883
0,163,1,343
0,163,5,1063
0,164,2,524
0,164,3,704
0,164,4,884
0,164,1,344
0,164,5,1064
0,165,2,525
0,165,3,705
0,165,4,885
0,165,1,345
0,165,5,1065
0,166,2,526
0,166,3,706
0,166,4,886
0,166,1,346
0,166,5,1066
0,167,2,527
0,167,3,707
0,167,4,887
0,167,1,347
0,167,5,1067
0,168,2,528
0,168,3,708
0,168,4,888
0,168,1,348
0,168,5,1068
0,169,2,529
0,169,3,709
0,169,4,889
0,169,1,349
0,169,5,1069
0,170,2,530
0,170,3,710
0,170,4,890
0,170,1,350
0,170,5,1070
0,171,2,531
0,171,3,711
0,171,4,891
0,171,1,351
0,171,5,1071
0,172,2,532
0,172,3,712
0,172,4,892
0,172,1,352
0,172,5,1072
0,173,2,533
0,173,3,713
0,173,4,893
0,173,1,353
0,173,5,1073
0,174,2,534
0,174,3,714
0,174,4,894
0,174,1,354
0,174,5,1074
0,175,2,535
0,175,3,715
0,175,4,895
0,175,1,355
0,175,5,1075
0,176,2,536
0,176,3,716
0,176,4,896
0,176,1,356
0,176,5,1076
0,177,2,537
0,177,3,717
0,177,4,897
0,177,1,357
0,177,5,1077
0,178,2,538
0,178,3,718
0,178,4,898
0,178,1,358
0,178,5,1078
0,179,2,539
