Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,4000,161,1614,40000,40000
0,1,40000,44000,161,1614,80000,40000
0,2,80000,84000,161,1614,120000,40000
0,3,120000,124000,161,1614,160000,40000
0,4,160000,164000,161,1614,200000,40000
0,5,200000,204000,161,1614,240000,40000
0,6,240000,244000,161,1614,280000,40000
0,7,280000,284000,161,1614,320000,40000
0,8,320000,324000,161,1614,360000,40000
0,9,360000,364000,161,1614,400000,40000
0,10,400000,404000,161,1614,440000,40000
0,11,440000,444000,161,1614,480000,40000
0,12,480000,484000,161,1614,520000,40000
0,13,520000,524000,161,1614,560000,40000
0,14,560000,564000,161,1614,600000,40000
1,15,0,4000,68,675,40000,40000
1,16,40000,44000,68,675,80000,40000
1,17,80000,84000,68,675,120000,40000
1,18,120000,124000,68,675,160000,40000
1,19,160000,164000,68,675,200000,40000
1,20,200000,204000,68,675,240000,40000
1,21,240000,244000,68,675,280000,40000
1,22,280000,284000,68,675,320000,40000
1,23,320000,324000,68,675,360000,40000
1,24,360000,364000,68,675,400000,40000
1,25,400000,404000,68,675,440000,40000
1,26,440000,444000,68,675,480000,40000
1,27,480000,484000,68,675,520000,40000
1,28,520000,524000,68,675,560000,40000
1,29,560000,564000,68,675,600000,40000
2,30,0,4000,118,1177,40000,40000
2,31,40000,44000,118,1177,80000,40000
2,32,80000,84000,118,1177,120000,40000
2,33,120000,124000,118,1177,160000,40000
2,34,160000,164000,118,1177,200000,40000
2,35,200000,204000,118,1177,240000,40000
2,36,240000,244000,118,1177,280000,40000
2,37,280000,284000,118,1177,320000,40000
2,38,320000,324000,118,1177,360000,40000
2,39,360000,364000,118,1177,400000,40000
2,40,400000,404000,118,1177,440000,40000
2,41,440000,444000,118,1177,480000,40000
2,42,480000,484000,118,1177,520000,40000
2,43,520000,524000,118,1177,560000,40000
2,44,560000,564000,118,1177,600000,40000
3,45,0,4000,475,4745,40000,40000
3,46,40000,44000,475,4745,80000,40000
3,47,80000,84000,475,4745,120000,40000
3,48,120000,124000,475,4745,160000,40000
3,49,160000,164000,475,4745,200000,40000
3,50,200000,204000,475,4745,240000,40000
3,51,240000,244000,475,4745,280000,40000
3,52,280000,284000,475,4745,320000,40000
3,53,320000,324000,475,4745,360000,40000
3,54,360000,364000,475,4745,400000,40000
3,55,400000,404000,475,4745,440000,40000
3,56,440000,444000,475,4745,480000,40000
3,57,480000,484000,475,4745,520000,40000
3,58,520000,524000,475,4745,560000,40000
3,59,560000,564000,475,4745,600000,40000
4,60,0,4000,241,2406,40000,40000
4,61,40000,44000,241,2406,80000,40000
4,62,80000,84000,241,2406,120000,40000
4,63,120000,124000,241,2406,160000,40000
4,64,160000,164000,241,2406,200000,40000
4,65,200000,204000,241,2406,240000,40000
4,66,240000,244000,241,2406,280000,40000
4,67,280000,284000,241,2406,320000,40000
4,68,320000,324000,241,2406,360000,40000
4,69,360000,364000,241,2406,400000,40000
4,70,400000,404000,241,2406,440000,40000
4,71,440000,444000,241,2406,480000,40000
4,72,480000,484000,241,2406,520000,40000
4,73,520000,524000,241,2406,560000,40000
4,74,560000,564000,241,2406,600000,40000
5,75,0,4000,382,3815,40000,40000
5,76,40000,44000,382,3815,80000,40000
5,77,80000,84000,382,3815,120000,40000
5,78,120000,124000,382,3815,160000,40000
5,79,160000,164000,382,3815,200000,40000
5,80,200000,204000,382,3815,240000,40000
5,81,240000,244000,382,3815,280000,40000
5,82,280000,284000,382,3815,320000,40000
5,83,320000,324000,382,3815,360000,40000
5,84,360000,364000,382,3815,400000,40000
5,85,400000,404000,382,3815,440000,40000
5,86,440000,444000,382,3815,480000,40000
5,87,480000,484000,382,3815,520000,40000
5,88,520000,524000,382,3815,560000,40000
5,89,560000,564000,382,3815,600000,40000
6,90,0,4000,406,4061,40000,40000
6,91,40000,44000,406,4061,80000,40000
6,92,80000,84000,406,4061,120000,40000
6,93,120000,124000,406,4061,160000,40000
6,94,160000,164000,406,4061,200000,40000
6,95,200000,204000,406,4061,240000,40000
6,96,240000,244000,406,4061,280000,40000
6,97,280000,284000,406,4061,320000,40000
6,98,320000,324000,406,4061,360000,40000
6,99,360000,364000,406,4061,400000,40000
6,100,400000,404000,406,4061,440000,40000
6,101,440000,444000,406,4061,480000,40000
6,102,480000,484000,406,4061,520000,40000
6,103,520000,524000,406,4061,560000,40000
6,104,560000,564000,406,4061,600000,40000
7,105,0,4000,121,1214,40000,40000
7,106,40000,44000,121,1214,80000,40000
7,107,80000,84000,121,1214,120000,40000
7,108,120000,124000,121,1214,160000,40000
7,109,160000,164000,121,1214,200000,40000
7,110,200000,204000,121,1214,240000,40000
7,111,240000,244000,121,1214,280000,40000
7,112,280000,284000,121,1214,320000,40000
7,113,320000,324000,121,1214,360000,40000
7,114,360000,364000,121,1214,400000,40000
7,115,400000,404000,121,1214,440000,40000
7,116,440000,444000,121,1214,480000,40000
7,117,480000,484000,121,1214,520000,40000
7,118,520000,524000,121,1214,560000,40000
7,119,560000,564000,121,1214,600000,40000
8,120,0,4000,143,1433,40000,40000
8,121,40000,44000,143,1433,80000,40000
8,122,80000,84000,143,1433,120000,40000
8,123,120000,124000,143,1433,160000,40000
8,124,160000,164000,143,1433,200000,40000
8,125,200000,204000,143,1433,240000,40000
8,126,240000,244000,143,1433,280000,40000
8,127,280000,284000,143,1433,320000,40000
8,128,320000,324000,143,1433,360000,40000
8,129,360000,364000,143,1433,400000,40000
8,130,400000,404000,143,1433,440000,40000
8,131,440000,444000,143,1433,480000,40000
8,132,480000,484000,143,1433,520000,40000
8,133,520000,524000,143,1433,560000,40000
8,134,560000,564000,143,1433,600000,40000
9,135,0,4000,473,4728,40000,40000
9,136,40000,44000,473,4728,80000,40000
9,137,80000,84000,473,4728,120000,40000
9,138,120000,124000,473,4728,160000,40000
9,139,160000,164000,473,4728,200000,40000
9,140,200000,204000,473,4728,240000,40000
9,141,240000,244000,473,4728,280000,40000
9,142,280000,284000,473,4728,320000,40000
9,143,320000,324000,473,4728,360000,40000
9,144,360000,364000,473,4728,400000,40000
9,145,400000,404000,473,4728,440000,40000
9,146,440000,444000,473,4728,480000,40000
9,147,480000,484000,473,4728,520000,40000
