From TID,From JID,To TID,To JID
0,0,2,30
0,0,3,45
0,0,10,150
0,0,1,15
0,0,4,60
0,1,2,31
0,1,3,46
0,1,10,151
0,1,1,16
0,1,4,61
0,2,2,32
0,2,3,47
0,2,10,152
0,2,1,17
0,2,4,62
0,3,2,33
0,3,3,48
0,3,10,153
0,3,1,18
0,3,4,63
0,4,2,34
0,4,3,49
0,4,10,154
0,4,1,19
0,4,4,64
0,5,2,35
0,5,3,50
0,5,10,155
0,5,1,20
0,5,4,65
0,6,2,36
0,6,3,51
0,6,10,156
0,6,1,21
0,6,4,66
0,7,2,37
0,7,3,52
0,7,10,157
0,7,1,22
0,7,4,67
0,8,2,38
0,8,3,53
0,8,10,158
0,8,1,23
0,8,4,68
0,9,2,39
0,9,3,54
0,9,10,159
0,9,1,24
0,9,4,69
0,10,2,40
0,10,3,55
0,10,10,160
0,10,1,25
0,10,4,70
0,11,2,41
0,11,3,56
0,11,10,161
0,11,1,26
0,11,4,71
0,12,2,42
0,12,3,57
0,12,10,162
0,12,1,27
0,12,4,72
0,13,2,43
0,13,3,58
0,13,10,163
0,13,1,28
0,13,4,73
0,14,2,44
0,14,3,59
0,14,10,164
0,14,1,29
0,14,4,74
2,30,1,15
2,30,4,60
2,30,5,75
2,30,6,90
2,31,1,16
2,31,4,61
2,31,5,76
2,31,6,91
2,32,1,17
2,32,4,62
2,32,5,77
2,32,6,92
2,33,1,18
2,33,4,63
2,33,5,78
2,33,6,93
2,34,1,19
2,34,4,64
2,34,5,79
2,34,6,94
2,35,1,20
2,35,4,65
2,35,5,80
2,35,6,95
2,36,1,21
2,36,4,66
2,36,5,81
2,36,6,96
2,37,1,22
2,37,4,67
2,37,5,82
2,37,6,97
2,38,1,23
2,38,4,68
2,38,5,83
2,38,6,98
2,39,1,24
2,39,4,69
2,39,5,84
2,39,6,99
2,40,1,25
2,40,4,70
2,40,5,85
2,40,6,100
2,41,1,26
2,41,4,71
2,41,5,86
2,41,6,101
2,42,1,27
2,42,4,72
2,42,5,87
2,42,6,102
2,43,1,28
2,43,4,73
2,43,5,88
2,43,6,103
2,44,1,29
2,44,4,74
2,44,5,89
2,44,6,104
3,45,5,75
3,45,9,135
3,45,6,90
3,45,8,120
3,46,5,76
3,46,9,136
3,46,6,91
3,46,8,121
3,47,5,77
3,47,9,137
3,47,6,92
3,47,8,122
3,48,5,78
3,48,9,138
3,48,6,93
3,48,8,123
3,49,5,79
3,49,9,139
3,49,6,94
3,49,8,124
3,50,5,80
3,50,9,140
3,50,6,95
3,50,8,125
3,51,5,81
3,51,9,141
3,51,6,96
3,51,8,126
3,52,5,82
3,52,9,142
3,52,6,97
3,52,8,127
3,53,5,83
3,53,9,143
3,53,6,98
3,53,8,128
3,54,5,84
3,54,9,144
3,54,6,99
3,54,8,129
3,55,5,85
3,55,9,145
3,55,6,100
3,55,8,130
3,56,5,86
3,56,9,146
3,56,6,101
3,56,8,131
3,57,5,87
3,57,9,147
3,57,6,102
3,57,8,132
3,58,5,88
3,58,9,148
3,58,6,103
3,58,8,133
3,59,5,89
3,59,9,149
3,59,6,104
3,59,8,134
4,60,1,15
4,61,1,16
4,62,1,17
