From TID,From JID,To TID,To JID
0,0,2,630
0,0,12,3780
0,0,13,4095
0,0,3,945
0,0,5,1575
0,0,6,1890
0,0,7,2205
0,0,10,3150
0,0,11,3465
0,1,2,631
0,1,12,3781
0,1,13,4096
0,1,3,946
0,1,5,1576
0,1,6,1891
0,1,7,2206
0,1,10,3151
0,1,11,3466
0,2,2,632
0,2,12,3782
0,2,13,4097
0,2,3,947
0,2,5,1577
0,2,6,1892
0,2,7,2207
0,2,10,3152
0,2,11,3467
0,3,2,633
0,3,12,3783
0,3,13,4098
0,3,3,948
0,3,5,1578
0,3,6,1893
0,3,7,2208
0,3,10,3153
0,3,11,3468
0,4,2,634
0,4,12,3784
0,4,13,4099
0,4,3,949
0,4,5,1579
0,4,6,1894
0,4,7,2209
0,4,10,3154
0,4,11,3469
0,5,2,635
0,5,12,3785
0,5,13,4100
0,5,3,950
0,5,5,1580
0,5,6,1895
0,5,7,2210
0,5,10,3155
0,5,11,3470
0,6,2,636
0,6,12,3786
0,6,13,4101
0,6,3,951
0,6,5,1581
0,6,6,1896
0,6,7,2211
0,6,10,3156
0,6,11,3471
0,7,2,637
0,7,12,3787
0,7,13,4102
0,7,3,952
0,7,5,1582
0,7,6,1897
0,7,7,2212
0,7,10,3157
0,7,11,3472
0,8,2,638
0,8,12,3788
0,8,13,4103
0,8,3,953
0,8,5,1583
0,8,6,1898
0,8,7,2213
0,8,10,3158
0,8,11,3473
0,9,2,639
0,9,12,3789
0,9,13,4104
0,9,3,954
0,9,5,1584
0,9,6,1899
0,9,7,2214
0,9,10,3159
0,9,11,3474
0,10,2,640
0,10,12,3790
0,10,13,4105
0,10,3,955
0,10,5,1585
0,10,6,1900
0,10,7,2215
0,10,10,3160
0,10,11,3475
0,11,2,641
0,11,12,3791
0,11,13,4106
0,11,3,956
0,11,5,1586
0,11,6,1901
0,11,7,2216
0,11,10,3161
0,11,11,3476
0,12,2,642
0,12,12,3792
0,12,13,4107
0,12,3,957
0,12,5,1587
0,12,6,1902
0,12,7,2217
0,12,10,3162
0,12,11,3477
0,13,2,643
0,13,12,3793
0,13,13,4108
0,13,3,958
0,13,5,1588
0,13,6,1903
0,13,7,2218
0,13,10,3163
0,13,11,3478
0,14,2,644
0,14,12,3794
0,14,13,4109
0,14,3,959
0,14,5,1589
0,14,6,1904
0,14,7,2219
0,14,10,3164
0,14,11,3479
0,15,2,645
0,15,12,3795
0,15,13,4110
0,15,3,960
0,15,5,1590
0,15,6,1905
0,15,7,2220
0,15,10,3165
0,15,11,3480
0,16,2,646
0,16,12,3796
0,16,13,4111
0,16,3,961
0,16,5,1591
0,16,6,1906
0,16,7,2221
0,16,10,3166
0,16,11,3481
0,17,2,647
0,17,12,3797
0,17,13,4112
0,17,3,962
0,17,5,1592
0,17,6,1907
0,17,7,2222
0,17,10,3167
0,17,11,3482
0,18,2,648
0,18,12,3798
0,18,13,4113
0,18,3,963
0,18,5,1593
0,18,6,1908
0,18,7,2223
0,18,10,3168
0,18,11,3483
0,19,2,649
0,19,12,3799
0,19,13,4114
0,19,3,964
0,19,5,1594
0,19,6,1909
0,19,7,2224
0,19,10,3169
0,19,11,3484
0,20,2,650
0,20,12,3800
0,20,13,4115
0,20,3,965
0,20,5,1595
0,20,6,1910
0,20,7,2225
0,20,10,3170
0,20,11,3485
0,21,2,651
0,21,12,3801
0,21,13,4116
0,21,3,966
0,21,5,1596
0,21,6,1911
0,21,7,2226
0,21,10,3171
0,21,11,3486
0,22,2,652
0,22,12,3802
0,22,13,4117
0,22,3,967
0,22,5,1597
0,22,6,1912
0,22,7,2227
0,22,10,3172
0,22,11,3487
0,23,2,653
0,23,12,3803
0,23,13,4118
0,23,3,968
0,23,5,1598
0,23,6,1913
0,23,7,2228
0,23,10,3173
0,23,11,3488
0,24,2,654
0,24,12,3804
0,24,13,4119
0,24,3,969
0,24,5,1599
0,24,6,1914
0,24,7,2229
0,24,10,3174
0,24,11,3489
0,25,2,655
0,25,12,3805
0,25,13,4120
0,25,3,970
0,25,5,1600
0,25,6,1915
0,25,7,2230
0,25,10,3175
0,25,11,3490
0,26,2,656
0,26,12,3806
0,26,13,4121
0,26,3,971
0,26,5,1601
0,26,6,1916
0,26,7,2231
0,26,10,3176
0,26,11,3491
0,27,2,657
0,27,12,3807
0,27,13,4122
0,27,3,972
0,27,5,1602
0,27,6,1917
0,27,7,2232
0,27,10,3177
0,27,11,3492
0,28,2,658
0,28,12,3808
0,28,13,4123
0,28,3,973
0,28,5,1603
0,28,6,1918
0,28,7,2233
0,28,10,3178
0,28,11,3493
0,29,2,659
0,29,12,3809
0,29,13,4124
0,29,3,974
0,29,5,1604
0,29,6,1919
0,29,7,2234
0,29,10,3179
0,29,11,3494
0,30,2,660
0,30,12,3810
0,30,13,4125
0,30,3,975
0,30,5,1605
0,30,6,1920
0,30,7,2235
0,30,10,3180
0,30,11,3495
0,31,2,661
0,31,12,3811
0,31,13,4126
0,31,3,976
0,31,5,1606
0,31,6,1921
0,31,7,2236
0,31,10,3181
0,31,11,3496
0,32,2,662
0,32,12,3812
0,32,13,4127
0,32,3,977
0,32,5,1607
0,32,6,1922
0,32,7,2237
0,32,10,3182
0,32,11,3497
0,33,2,663
0,33,12,3813
0,33,13,4128
0,33,3,978
0,33,5,1608
0,33,6,1923
0,33,7,2238
0,33,10,3183
0,33,11,3498
0,34,2,664
0,34,12,3814
0,34,13,4129
0,34,3,979
0,34,5,1609
0,34,6,1924
0,34,7,2239
0,34,10,3184
0,34,11,3499
0,35,2,665
0,35,12,3815
0,35,13,4130
0,35,3,980
0,35,5,1610
0,35,6,1925
0,35,7,2240
0,35,10,3185
0,35,11,3500
0,36,2,666
0,36,12,3816
0,36,13,4131
0,36,3,981
0,36,5,1611
0,36,6,1926
0,36,7,2241
0,36,10,3186
0,36,11,3501
0,37,2,667
0,37,12,3817
0,37,13,4132
0,37,3,982
0,37,5,1612
0,37,6,1927
0,37,7,2242
0,37,10,3187
0,37,11,3502
0,38,2,668
0,38,12,3818
0,38,13,4133
0,38,3,983
0,38,5,1613
0,38,6,1928
0,38,7,2243
0,38,10,3188
0,38,11,3503
0,39,2,669
0,39,12,3819
0,39,13,4134
0,39,3,984
0,39,5,1614
0,39,6,1929
0,39,7,2244
0,39,10,3189
0,39,11,3504
0,40,2,670
0,40,12,3820
0,40,13,4135
0,40,3,985
0,40,5,1615
0,40,6,1930
0,40,7,2245
0,40,10,3190
0,40,11,3505
0,41,2,671
0,41,12,3821
0,41,13,4136
0,41,3,986
0,41,5,1616
0,41,6,1931
0,41,7,2246
0,41,10,3191
0,41,11,3506
0,42,2,672
0,42,12,3822
0,42,13,4137
0,42,3,987
0,42,5,1617
0,42,6,1932
0,42,7,2247
0,42,10,3192
0,42,11,3507
0,43,2,673
0,43,12,3823
0,43,13,4138
0,43,3,988
0,43,5,1618
0,43,6,1933
0,43,7,2248
0,43,10,3193
0,43,11,3508
0,44,2,674
0,44,12,3824
0,44,13,4139
0,44,3,989
0,44,5,1619
0,44,6,1934
0,44,7,2249
0,44,10,3194
0,44,11,3509
0,45,2,675
0,45,12,3825
0,45,13,4140
0,45,3,990
0,45,5,1620
0,45,6,1935
0,45,7,2250
0,45,10,3195
0,45,11,3510
0,46,2,676
0,46,12,3826
0,46,13,4141
0,46,3,991
0,46,5,1621
0,46,6,1936
0,46,7,2251
0,46,10,3196
0,46,11,3511
0,47,2,677
0,47,12,3827
0,47,13,4142
0,47,3,992
0,47,5,1622
0,47,6,1937
0,47,7,2252
0,47,10,3197
0,47,11,3512
0,48,2,678
0,48,12,3828
0,48,13,4143
0,48,3,993
0,48,5,1623
0,48,6,1938
0,48,7,2253
0,48,10,3198
0,48,11,3513
0,49,2,679
0,49,12,3829
0,49,13,4144
0,49,3,994
0,49,5,1624
0,49,6,1939
0,49,7,2254
0,49,10,3199
0,49,11,3514
0,50,2,680
0,50,12,3830
0,50,13,4145
0,50,3,995
0,50,5,1625
0,50,6,1940
0,50,7,2255
0,50,10,3200
0,50,11,3515
0,51,2,681
0,51,12,3831
0,51,13,4146
0,51,3,996
0,51,5,1626
0,51,6,1941
0,51,7,2256
0,51,10,3201
0,51,11,3516
0,52,2,682
0,52,12,3832
0,52,13,4147
0,52,3,997
0,52,5,1627
0,52,6,1942
0,52,7,2257
0,52,10,3202
0,52,11,3517
0,53,2,683
0,53,12,3833
0,53,13,4148
0,53,3,998
0,53,5,1628
0,53,6,1943
0,53,7,2258
0,53,10,3203
0,53,11,3518
0,54,2,684
0,54,12,3834
0,54,13,4149
0,54,3,999
0,54,5,1629
0,54,6,1944
0,54,7,2259
0,54,10,3204
0,54,11,3519
0,55,2,685
0,55,12,3835
0,55,13,4150
0,55,3,1000
0,55,5,1630
0,55,6,1945
0,55,7,2260
0,55,10,3205
0,55,11,3520
0,56,2,686
0,56,12,3836
0,56,13,4151
0,56,3,1001
0,56,5,1631
0,56,6,1946
0,56,7,2261
0,56,10,3206
0,56,11,3521
0,57,2,687
0,57,12,3837
0,57,13,4152
0,57,3,1002
0,57,5,1632
0,57,6,1947
0,57,7,2262
0,57,10,3207
0,57,11,3522
0,58,2,688
0,58,12,3838
0,58,13,4153
0,58,3,1003
0,58,5,1633
0,58,6,1948
0,58,7,2263
0,58,10,3208
0,58,11,3523
0,59,2,689
0,59,12,3839
0,59,13,4154
0,59,3,1004
0,59,5,1634
0,59,6,1949
0,59,7,2264
0,59,10,3209
0,59,11,3524
0,60,2,690
0,60,12,3840
0,60,13,4155
0,60,3,1005
0,60,5,1635
0,60,6,1950
0,60,7,2265
0,60,10,3210
0,60,11,3525
0,61,2,691
0,61,12,3841
0,61,13,4156
0,61,3,1006
0,61,5,1636
0,61,6,1951
0,61,7,2266
0,61,10,3211
0,61,11,3526
0,62,2,692
0,62,12,3842
0,62,13,4157
0,62,3,1007
0,62,5,1637
0,62,6,1952
0,62,7,2267
0,62,10,3212
0,62,11,3527
0,63,2,693
0,63,12,3843
0,63,13,4158
0,63,3,1008
0,63,5,1638
0,63,6,1953
0,63,7,2268
0,63,10,3213
0,63,11,3528
0,64,2,694
0,64,12,3844
0,64,13,4159
0,64,3,1009
0,64,5,1639
0,64,6,1954
0,64,7,2269
0,64,10,3214
0,64,11,3529
0,65,2,695
0,65,12,3845
0,65,13,4160
0,65,3,1010
0,65,5,1640
0,65,6,1955
0,65,7,2270
0,65,10,3215
0,65,11,3530
0,66,2,696
0,66,12,3846
0,66,13,4161
0,66,3,1011
0,66,5,1641
0,66,6,1956
0,66,7,2271
0,66,10,3216
0,66,11,3531
0,67,2,697
0,67,12,3847
0,67,13,4162
0,67,3,1012
0,67,5,1642
0,67,6,1957
0,67,7,2272
0,67,10,3217
0,67,11,3532
0,68,2,698
0,68,12,3848
0,68,13,4163
0,68,3,1013
0,68,5,1643
0,68,6,1958
0,68,7,2273
0,68,10,3218
0,68,11,3533
0,69,2,699
0,69,12,3849
0,69,13,4164
0,69,3,1014
0,69,5,1644
0,69,6,1959
0,69,7,2274
0,69,10,3219
0,69,11,3534
0,70,2,700
0,70,12,3850
0,70,13,4165
0,70,3,1015
0,70,5,1645
0,70,6,1960
0,70,7,2275
0,70,10,3220
0,70,11,3535
0,71,2,701
0,71,12,3851
0,71,13,4166
0,71,3,1016
0,71,5,1646
0,71,6,1961
0,71,7,2276
0,71,10,3221
0,71,11,3536
0,72,2,702
0,72,12,3852
0,72,13,4167
0,72,3,1017
0,72,5,1647
0,72,6,1962
0,72,7,2277
0,72,10,3222
0,72,11,3537
0,73,2,703
0,73,12,3853
0,73,13,4168
0,73,3,1018
0,73,5,1648
0,73,6,1963
0,73,7,2278
0,73,10,3223
0,73,11,3538
0,74,2,704
0,74,12,3854
0,74,13,4169
0,74,3,1019
0,74,5,1649
0,74,6,1964
0,74,7,2279
0,74,10,3224
0,74,11,3539
0,75,2,705
0,75,12,3855
0,75,13,4170
0,75,3,1020
0,75,5,1650
0,75,6,1965
0,75,7,2280
0,75,10,3225
0,75,11,3540
0,76,2,706
0,76,12,3856
0,76,13,4171
0,76,3,1021
0,76,5,1651
0,76,6,1966
0,76,7,2281
0,76,10,3226
0,76,11,3541
0,77,2,707
0,77,12,3857
0,77,13,4172
0,77,3,1022
0,77,5,1652
0,77,6,1967
0,77,7,2282
0,77,10,3227
0,77,11,3542
0,78,2,708
0,78,12,3858
0,78,13,4173
0,78,3,1023
0,78,5,1653
0,78,6,1968
0,78,7,2283
0,78,10,3228
0,78,11,3543
0,79,2,709
0,79,12,3859
0,79,13,4174
0,79,3,1024
0,79,5,1654
0,79,6,1969
0,79,7,2284
0,79,10,3229
0,79,11,3544
0,80,2,710
0,80,12,3860
0,80,13,4175
0,80,3,1025
0,80,5,1655
0,80,6,1970
0,80,7,2285
0,80,10,3230
0,80,11,3545
0,81,2,711
0,81,12,3861
0,81,13,4176
0,81,3,1026
0,81,5,1656
0,81,6,1971
0,81,7,2286
0,81,10,3231
0,81,11,3546
0,82,2,712
0,82,12,3862
0,82,13,4177
0,82,3,1027
0,82,5,1657
0,82,6,1972
0,82,7,2287
0,82,10,3232
0,82,11,3547
0,83,2,713
0,83,12,3863
0,83,13,4178
0,83,3,1028
0,83,5,1658
0,83,6,1973
0,83,7,2288
0,83,10,3233
0,83,11,3548
0,84,2,714
0,84,12,3864
0,84,13,4179
0,84,3,1029
0,84,5,1659
0,84,6,1974
0,84,7,2289
0,84,10,3234
0,84,11,3549
0,85,2,715
0,85,12,3865
0,85,13,4180
0,85,3,1030
0,85,5,1660
0,85,6,1975
0,85,7,2290
0,85,10,3235
0,85,11,3550
0,86,2,716
0,86,12,3866
0,86,13,4181
0,86,3,1031
0,86,5,1661
0,86,6,1976
0,86,7,2291
0,86,10,3236
0,86,11,3551
0,87,2,717
0,87,12,3867
0,87,13,4182
0,87,3,1032
0,87,5,1662
0,87,6,1977
0,87,7,2292
0,87,10,3237
0,87,11,3552
0,88,2,718
0,88,12,3868
0,88,13,4183
0,88,3,1033
0,88,5,1663
0,88,6,1978
0,88,7,2293
0,88,10,3238
0,88,11,3553
0,89,2,719
0,89,12,3869
0,89,13,4184
0,89,3,1034
0,89,5,1664
0,89,6,1979
0,89,7,2294
0,89,10,3239
0,89,11,3554
0,90,2,720
0,90,12,3870
0,90,13,4185
0,90,3,1035
0,90,5,1665
0,90,6,1980
0,90,7,2295
0,90,10,3240
0,90,11,3555
0,91,2,721
0,91,12,3871
0,91,13,4186
0,91,3,1036
0,91,5,1666
0,91,6,1981
0,91,7,2296
0,91,10,3241
0,91,11,3556
0,92,2,722
0,92,12,3872
0,92,13,4187
0,92,3,1037
0,92,5,1667
0,92,6,1982
0,92,7,2297
0,92,10,3242
0,92,11,3557
0,93,2,723
0,93,12,3873
0,93,13,4188
0,93,3,1038
0,93,5,1668
0,93,6,1983
0,93,7,2298
0,93,10,3243
0,93,11,3558
0,94,2,724
0,94,12,3874
0,94,13,4189
0,94,3,1039
0,94,5,1669
0,94,6,1984
0,94,7,2299
0,94,10,3244
0,94,11,3559
0,95,2,725
0,95,12,3875
0,95,13,4190
0,95,3,1040
0,95,5,1670
0,95,6,1985
0,95,7,2300
0,95,10,3245
0,95,11,3560
0,96,2,726
0,96,12,3876
0,96,13,4191
0,96,3,1041
0,96,5,1671
0,96,6,1986
0,96,7,2301
0,96,10,3246
0,96,11,3561
0,97,2,727
0,97,12,3877
0,97,13,4192
0,97,3,1042
0,97,5,1672
0,97,6,1987
0,97,7,2302
0,97,10,3247
0,97,11,3562
0,98,2,728
0,98,12,3878
0,98,13,4193
0,98,3,1043
0,98,5,1673
0,98,6,1988
0,98,7,2303
0,98,10,3248
0,98,11,3563
0,99,2,729
0,99,12,3879
0,99,13,4194
0,99,3,1044
0,99,5,1674
0,99,6,1989
0,99,7,2304
0,99,10,3249
0,99,11,3564
0,100,2,730
0,100,12,3880
0,100,13,4195
0,100,3,1045
0,100,5,1675
0,100,6,1990
0,100,7,2305
0,100,10,3250
0,100,11,3565
0,101,2,731
0,101,12,3881
0,101,13,4196
0,101,3,1046
0,101,5,1676
0,101,6,1991
0,101,7,2306
0,101,10,3251
0,101,11,3566
0,102,2,732
0,102,12,3882
0,102,13,4197
0,102,3,1047
0,102,5,1677
0,102,6,1992
0,102,7,2307
0,102,10,3252
0,102,11,3567
0,103,2,733
0,103,12,3883
0,103,13,4198
0,103,3,1048
0,103,5,1678
0,103,6,1993
0,103,7,2308
0,103,10,3253
0,103,11,3568
0,104,2,734
0,104,12,3884
0,104,13,4199
0,104,3,1049
0,104,5,1679
0,104,6,1994
0,104,7,2309
0,104,10,3254
0,104,11,3569
0,105,2,735
0,105,12,3885
0,105,13,4200
0,105,3,1050
0,105,5,1680
0,105,6,1995
0,105,7,2310
