Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,21,199,20000,20000
0,1,20000,22000,21,199,40000,20000
0,2,40000,42000,21,199,60000,20000
0,3,60000,62000,21,199,80000,20000
0,4,80000,82000,21,199,100000,20000
0,5,100000,102000,21,199,120000,20000
0,6,120000,122000,21,199,140000,20000
0,7,140000,142000,21,199,160000,20000
0,8,160000,162000,21,199,180000,20000
0,9,180000,182000,21,199,200000,20000
0,10,200000,202000,21,199,220000,20000
0,11,220000,222000,21,199,240000,20000
0,12,240000,242000,21,199,260000,20000
0,13,260000,262000,21,199,280000,20000
0,14,280000,282000,21,199,300000,20000
0,15,300000,302000,21,199,320000,20000
0,16,320000,322000,21,199,340000,20000
0,17,340000,342000,21,199,360000,20000
0,18,360000,362000,21,199,380000,20000
0,19,380000,382000,21,199,400000,20000
0,20,400000,402000,21,199,420000,20000
0,21,420000,422000,21,199,440000,20000
0,22,440000,442000,21,199,460000,20000
0,23,460000,462000,21,199,480000,20000
1,24,0,2000,291,2910,20000,20000
1,25,20000,22000,291,2910,40000,20000
1,26,40000,42000,291,2910,60000,20000
1,27,60000,62000,291,2910,80000,20000
1,28,80000,82000,291,2910,100000,20000
1,29,100000,102000,291,2910,120000,20000
1,30,120000,122000,291,2910,140000,20000
1,31,140000,142000,291,2910,160000,20000
1,32,160000,162000,291,2910,180000,20000
1,33,180000,182000,291,2910,200000,20000
1,34,200000,202000,291,2910,220000,20000
1,35,220000,222000,291,2910,240000,20000
1,36,240000,242000,291,2910,260000,20000
1,37,260000,262000,291,2910,280000,20000
1,38,280000,282000,291,2910,300000,20000
1,39,300000,302000,291,2910,320000,20000
1,40,320000,322000,291,2910,340000,20000
1,41,340000,342000,291,2910,360000,20000
1,42,360000,362000,291,2910,380000,20000
1,43,380000,382000,291,2910,400000,20000
1,44,400000,402000,291,2910,420000,20000
1,45,420000,422000,291,2910,440000,20000
1,46,440000,442000,291,2910,460000,20000
1,47,460000,462000,291,2910,480000,20000
2,48,0,2000,238,2377,20000,20000
2,49,20000,22000,238,2377,40000,20000
2,50,40000,42000,238,2377,60000,20000
2,51,60000,62000,238,2377,80000,20000
2,52,80000,82000,238,2377,100000,20000
2,53,100000,102000,238,2377,120000,20000
2,54,120000,122000,238,2377,140000,20000
2,55,140000,142000,238,2377,160000,20000
2,56,160000,162000,238,2377,180000,20000
2,57,180000,182000,238,2377,200000,20000
2,58,200000,202000,238,2377,220000,20000
2,59,220000,222000,238,2377,240000,20000
2,60,240000,242000,238,2377,260000,20000
2,61,260000,262000,238,2377,280000,20000
2,62,280000,282000,238,2377,300000,20000
2,63,300000,302000,238,2377,320000,20000
2,64,320000,322000,238,2377,340000,20000
2,65,340000,342000,238,2377,360000,20000
2,66,360000,362000,238,2377,380000,20000
2,67,380000,382000,238,2377,400000,20000
2,68,400000,402000,238,2377,420000,20000
2,69,420000,422000,238,2377,440000,20000
2,70,440000,442000,238,2377,460000,20000
2,71,460000,462000,238,2377,480000,20000
3,72,0,2000,64,645,20000,20000
3,73,20000,22000,64,645,40000,20000
3,74,40000,42000,64,645,60000,20000
3,75,60000,62000,64,645,80000,20000
3,76,80000,82000,64,645,100000,20000
3,77,100000,102000,64,645,120000,20000
3,78,120000,122000,64,645,140000,20000
3,79,140000,142000,64,645,160000,20000
3,80,160000,162000,64,645,180000,20000
3,81,180000,182000,64,645,200000,20000
3,82,200000,202000,64,645,220000,20000
3,83,220000,222000,64,645,240000,20000
3,84,240000,242000,64,645,260000,20000
3,85,260000,262000,64,645,280000,20000
3,86,280000,282000,64,645,300000,20000
3,87,300000,302000,64,645,320000,20000
3,88,320000,322000,64,645,340000,20000
3,89,340000,342000,64,645,360000,20000
3,90,360000,362000,64,645,380000,20000
3,91,380000,382000,64,645,400000,20000
3,92,400000,402000,64,645,420000,20000
3,93,420000,422000,64,645,440000,20000
3,94,440000,442000,64,645,460000,20000
3,95,460000,462000,64,645,480000,20000
4,96,0,2000,315,3155,20000,20000
4,97,20000,22000,315,3155,40000,20000
4,98,40000,42000,315,3155,60000,20000
4,99,60000,62000,315,3155,80000,20000
4,100,80000,82000,315,3155,100000,20000
4,101,100000,102000,315,3155,120000,20000
4,102,120000,122000,315,3155,140000,20000
4,103,140000,142000,315,3155,160000,20000
4,104,160000,162000,315,3155,180000,20000
4,105,180000,182000,315,3155,200000,20000
4,106,200000,202000,315,3155,220000,20000
4,107,220000,222000,315,3155,240000,20000
4,108,240000,242000,315,3155,260000,20000
4,109,260000,262000,315,3155,280000,20000
4,110,280000,282000,315,3155,300000,20000
4,111,300000,302000,315,3155,320000,20000
4,112,320000,322000,315,3155,340000,20000
4,113,340000,342000,315,3155,360000,20000
4,114,360000,362000,315,3155,380000,20000
4,115,380000,382000,315,3155,400000,20000
4,116,400000,402000,315,3155,420000,20000
4,117,420000,422000,315,3155,440000,20000
4,118,440000,442000,315,3155,460000,20000
4,119,460000,462000,315,3155,480000,20000
5,120,0,2000,311,3109,20000,20000
5,121,20000,22000,311,3109,40000,20000
5,122,40000,42000,311,3109,60000,20000
5,123,60000,62000,311,3109,80000,20000
5,124,80000,82000,311,3109,100000,20000
5,125,100000,102000,311,3109,120000,20000
5,126,120000,122000,311,3109,140000,20000
5,127,140000,142000,311,3109,160000,20000
5,128,160000,162000,311,3109,180000,20000
5,129,180000,182000,311,3109,200000,20000
5,130,200000,202000,311,3109,220000,20000
5,131,220000,222000,311,3109,240000,20000
5,132,240000,242000,311,3109,260000,20000
5,133,260000,262000,311,3109,280000,20000
5,134,280000,282000,311,3109,300000,20000
5,135,300000,302000,311,3109,320000,20000
5,136,320000,322000,311,3109,340000,20000
5,137,340000,342000,311,3109,360000,20000
5,138,360000,362000,311,3109,380000,20000
5,139,380000,382000,311,3109,400000,20000
5,140,400000,402000,311,3109,420000,20000
5,141,420000,422000,311,3109,440000,20000
5,142,440000,442000,311,3109,460000,20000
5,143,460000,462000,311,3109,480000,20000
6,144,0,2000,334,3346,20000,20000
6,145,20000,22000,334,3346,40000,20000
6,146,40000,42000,334,3346,60000,20000
6,147,60000,62000,334,3346,80000,20000
6,148,80000,82000,334,3346,100000,20000
6,149,100000,102000,334,3346,120000,20000
6,150,120000,122000,334,3346,140000,20000
6,151,140000,142000,334,3346,160000,20000
6,152,160000,162000,334,3346,180000,20000
6,153,180000,182000,334,3346,200000,20000
6,154,200000,202000,334,3346,220000,20000
6,155,220000,222000,334,3346,240000,20000
6,156,240000,242000,334,3346,260000,20000
6,157,260000,262000,334,3346,280000,20000
6,158,280000,282000,334,3346,300000,20000
6,159,300000,302000,334,3346,320000,20000
6,160,320000,322000,334,3346,340000,20000
6,161,340000,342000,334,3346,360000,20000
6,162,360000,362000,334,3346,380000,20000
6,163,380000,382000,334,3346,400000,20000
6,164,400000,402000,334,3346,420000,20000
6,165,420000,422000,334,3346,440000,20000
6,166,440000,442000,334,3346,460000,20000
6,167,460000,462000,334,3346,480000,20000
7,168,0,2000,195,1953,20000,20000
7,169,20000,22000,195,1953,40000,20000
7,170,40000,42000,195,1953,60000,20000
7,171,60000,62000,195,1953,80000,20000
7,172,80000,82000,195,1953,100000,20000
7,173,100000,102000,195,1953,120000,20000
7,174,120000,122000,195,1953,140000,20000
7,175,140000,142000,195,1953,160000,20000
7,176,160000,162000,195,1953,180000,20000
7,177,180000,182000,195,1953,200000,20000
7,178,200000,202000,195,1953,220000,20000
7,179,220000,222000,195,1953,240000,20000
7,180,240000,242000,195,1953,260000,20000
7,181,260000,262000,195,1953,280000,20000
7,182,280000,282000,195,1953,300000,20000
7,183,300000,302000,195,1953,320000,20000
7,184,320000,322000,195,1953,340000,20000
7,185,340000,342000,195,1953,360000,20000
7,186,360000,362000,195,1953,380000,20000
7,187,380000,382000,195,1953,400000,20000
7,188,400000,402000,195,1953,420000,20000
7,189,420000,422000,195,1953,440000,20000
7,190,440000,442000,195,1953,460000,20000
7,191,460000,462000,195,1953,480000,20000
8,192,0,3000,38,385,30000,30000
8,193,30000,33000,38,385,60000,30000
8,194,60000,63000,38,385,90000,30000
8,195,90000,93000,38,385,120000,30000
8,196,120000,123000,38,385,150000,30000
8,197,150000,153000,38,385,180000,30000
8,198,180000,183000,38,385,210000,30000
8,199,210000,213000,38,385,240000,30000
8,200,240000,243000,38,385,270000,30000
8,201,270000,273000,38,385,300000,30000
8,202,300000,303000,38,385,330000,30000
8,203,330000,333000,38,385,360000,30000
8,204,360000,363000,38,385,390000,30000
8,205,390000,393000,38,385,420000,30000
8,206,420000,423000,38,385,450000,30000
8,207,450000,453000,38,385,480000,30000
9,208,0,3000,63,627,30000,30000
9,209,30000,33000,63,627,60000,30000
9,210,60000,63000,63,627,90000,30000
9,211,90000,93000,63,627,120000,30000
9,212,120000,123000,63,627,150000,30000
9,213,150000,153000,63,627,180000,30000
9,214,180000,183000,63,627,210000,30000
9,215,210000,213000,63,627,240000,30000
9,216,240000,243000,63,627,270000,30000
9,217,270000,273000,63,627,300000,30000
9,218,300000,303000,63,627,330000,30000
9,219,330000,333000,63,627,360000,30000
9,220,360000,363000,63,627,390000,30000
9,221,390000,393000,63,627,420000,30000
9,222,420000,423000,63,627,450000,30000
9,223,450000,453000,63,627,480000,30000
10,224,0,3000,14,139,30000,30000
10,225,30000,33000,14,139,60000,30000
10,226,60000,63000,14,139,90000,30000
10,227,90000,93000,14,139,120000,30000
10,228,120000,123000,14,139,150000,30000
10,229,150000,153000,14,139,180000,30000
10,230,180000,183000,14,139,210000,30000
10,231,210000,213000,14,139,240000,30000
10,232,240000,243000,14,139,270000,30000
10,233,270000,273000,14,139,300000,30000
10,234,300000,303000,14,139,330000,30000
10,235,330000,333000,14,139,360000,30000
10,236,360000,363000,14,139,390000,30000
10,237,390000,393000,14,139,420000,30000
10,238,420000,423000,14,139,450000,30000
10,239,450000,453000,14,139,480000,30000
11,240,0,3000,18,184,30000,30000
11,241,30000,33000,18,184,60000,30000
11,242,60000,63000,18,184,90000,30000
11,243,90000,93000,18,184,120000,30000
11,244,120000,123000,18,184,150000,30000
11,245,150000,153000,18,184,180000,30000
11,246,180000,183000,18,184,210000,30000
11,247,210000,213000,18,184,240000,30000
11,248,240000,243000,18,184,270000,30000
11,249,270000,273000,18,184,300000,30000
11,250,300000,303000,18,184,330000,30000
11,251,330000,333000,18,184,360000,30000
11,252,360000,363000,18,184,390000,30000
11,253,390000,393000,18,184,420000,30000
11,254,420000,423000,18,184,450000,30000
11,255,450000,453000,18,184,480000,30000
12,256,0,3000,62,623,30000,30000
12,257,30000,33000,62,623,60000,30000
12,258,60000,63000,62,623,90000,30000
12,259,90000,93000,62,623,120000,30000
12,260,120000,123000,62,623,150000,30000
12,261,150000,153000,62,623,180000,30000
12,262,180000,183000,62,623,210000,30000
12,263,210000,213000,62,623,240000,30000
12,264,240000,243000,62,623,270000,30000
12,265,270000,273000,62,623,300000,30000
12,266,300000,303000,62,623,330000,30000
12,267,330000,333000,62,623,360000,30000
12,268,360000,363000,62,623,390000,30000
12,269,390000,393000,62,623,420000,30000
12,270,420000,423000,62,623,450000,30000
12,271,450000,453000,62,623,480000,30000
13,272,0,3000,65,654,30000,30000
13,273,30000,33000,65,654,60000,30000
13,274,60000,63000,65,654,90000,30000
13,275,90000,93000,65,654,120000,30000
13,276,120000,123000,65,654,150000,30000
13,277,150000,153000,65,654,180000,30000
13,278,180000,183000,65,654,210000,30000
13,279,210000,213000,65,654,240000,30000
13,280,240000,243000,65,654,270000,30000
13,281,270000,273000,65,654,300000,30000
13,282,300000,303000,65,654,330000,30000
13,283,330000,333000,65,654,360000,30000
13,284,360000,363000,65,654,390000,30000
13,285,390000,393000,65,654,420000,30000
13,286,420000,423000,65,654,450000,30000
13,287,450000,453000,65,654,480000,30000
14,288,0,3000,30,300,30000,30000
14,289,30000,33000,30,300,60000,30000
14,290,60000,63000,30,300,90000,30000
14,291,90000,93000,30,300,120000,30000
14,292,120000,123000,30,300,150000,30000
14,293,150000,153000,30,300,180000,30000
14,294,180000,183000,30,300,210000,30000
14,295,210000,213000,30,300,240000,30000
14,296,240000,243000,30,300,270000,30000
14,297,270000,273000,30,300,300000,30000
14,298,300000,303000,30,300,330000,30000
14,299,330000,333000,30,300,360000,30000
14,300,360000,363000,30,300,390000,30000
14,301,390000,393000,30,300,420000,30000
14,302,420000,423000,30,300,450000,30000
14,303,450000,453000,30,300,480000,30000
15,304,0,3000,3,26,30000,30000
15,305,30000,33000,3,26,60000,30000
15,306,60000,63000,3,26,90000,30000
15,307,90000,93000,3,26,120000,30000
15,308,120000,123000,3,26,150000,30000
15,309,150000,153000,3,26,180000,30000
