From TID,From JID,To TID,To JID
0,0,2,228
0,0,6,684
0,0,4,456
0,0,7,798
0,0,9,1026
0,1,2,229
0,1,6,685
0,1,4,457
0,1,7,799
0,1,9,1027
0,2,2,230
0,2,6,686
0,2,4,458
0,2,7,800
0,2,9,1028
0,3,2,231
0,3,6,687
0,3,4,459
0,3,7,801
0,3,9,1029
0,4,2,232
0,4,6,688
0,4,4,460
0,4,7,802
0,4,9,1030
0,5,2,233
0,5,6,689
0,5,4,461
0,5,7,803
0,5,9,1031
0,6,2,234
0,6,6,690
0,6,4,462
0,6,7,804
0,6,9,1032
0,7,2,235
0,7,6,691
0,7,4,463
0,7,7,805
0,7,9,1033
0,8,2,236
0,8,6,692
0,8,4,464
0,8,7,806
0,8,9,1034
0,9,2,237
0,9,6,693
0,9,4,465
0,9,7,807
0,9,9,1035
0,10,2,238
0,10,6,694
0,10,4,466
0,10,7,808
0,10,9,1036
0,11,2,239
0,11,6,695
0,11,4,467
0,11,7,809
0,11,9,1037
0,12,2,240
0,12,6,696
0,12,4,468
0,12,7,810
0,12,9,1038
0,13,2,241
0,13,6,697
0,13,4,469
0,13,7,811
0,13,9,1039
0,14,2,242
0,14,6,698
0,14,4,470
0,14,7,812
0,14,9,1040
0,15,2,243
0,15,6,699
0,15,4,471
0,15,7,813
0,15,9,1041
0,16,2,244
0,16,6,700
0,16,4,472
0,16,7,814
0,16,9,1042
0,17,2,245
0,17,6,701
0,17,4,473
0,17,7,815
0,17,9,1043
0,18,2,246
0,18,6,702
0,18,4,474
0,18,7,816
0,18,9,1044
0,19,2,247
0,19,6,703
0,19,4,475
0,19,7,817
0,19,9,1045
0,20,2,248
0,20,6,704
0,20,4,476
0,20,7,818
0,20,9,1046
0,21,2,249
0,21,6,705
0,21,4,477
0,21,7,819
0,21,9,1047
0,22,2,250
0,22,6,706
0,22,4,478
0,22,7,820
0,22,9,1048
0,23,2,251
0,23,6,707
0,23,4,479
0,23,7,821
0,23,9,1049
0,24,2,252
0,24,6,708
0,24,4,480
0,24,7,822
0,24,9,1050
0,25,2,253
0,25,6,709
0,25,4,481
0,25,7,823
0,25,9,1051
0,26,2,254
0,26,6,710
0,26,4,482
0,26,7,824
0,26,9,1052
0,27,2,255
0,27,6,711
0,27,4,483
0,27,7,825
0,27,9,1053
0,28,2,256
0,28,6,712
0,28,4,484
0,28,7,826
0,28,9,1054
0,29,2,257
0,29,6,713
0,29,4,485
0,29,7,827
0,29,9,1055
0,30,2,258
0,30,6,714
0,30,4,486
0,30,7,828
0,30,9,1056
0,31,2,259
0,31,6,715
0,31,4,487
0,31,7,829
0,31,9,1057
0,32,2,260
0,32,6,716
0,32,4,488
0,32,7,830
0,32,9,1058
0,33,2,261
0,33,6,717
0,33,4,489
0,33,7,831
0,33,9,1059
0,34,2,262
0,34,6,718
0,34,4,490
0,34,7,832
0,34,9,1060
0,35,2,263
0,35,6,719
0,35,4,491
0,35,7,833
0,35,9,1061
0,36,2,264
0,36,6,720
0,36,4,492
0,36,7,834
0,36,9,1062
0,37,2,265
0,37,6,721
0,37,4,493
0,37,7,835
0,37,9,1063
0,38,2,266
0,38,6,722
0,38,4,494
0,38,7,836
0,38,9,1064
0,39,2,267
0,39,6,723
0,39,4,495
0,39,7,837
0,39,9,1065
0,40,2,268
0,40,6,724
0,40,4,496
0,40,7,838
0,40,9,1066
0,41,2,269
0,41,6,725
0,41,4,497
0,41,7,839
0,41,9,1067
0,42,2,270
0,42,6,726
0,42,4,498
0,42,7,840
0,42,9,1068
0,43,2,271
0,43,6,727
0,43,4,499
0,43,7,841
0,43,9,1069
0,44,2,272
0,44,6,728
0,44,4,500
0,44,7,842
0,44,9,1070
0,45,2,273
0,45,6,729
0,45,4,501
0,45,7,843
0,45,9,1071
0,46,2,274
0,46,6,730
0,46,4,502
0,46,7,844
0,46,9,1072
0,47,2,275
0,47,6,731
0,47,4,503
0,47,7,845
0,47,9,1073
0,48,2,276
0,48,6,732
0,48,4,504
0,48,7,846
0,48,9,1074
0,49,2,277
0,49,6,733
0,49,4,505
0,49,7,847
0,49,9,1075
0,50,2,278
0,50,6,734
0,50,4,506
0,50,7,848
0,50,9,1076
0,51,2,279
0,51,6,735
0,51,4,507
0,51,7,849
0,51,9,1077
0,52,2,280
0,52,6,736
0,52,4,508
0,52,7,850
0,52,9,1078
0,53,2,281
0,53,6,737
0,53,4,509
0,53,7,851
0,53,9,1079
0,54,2,282
0,54,6,738
0,54,4,510
0,54,7,852
0,54,9,1080
0,55,2,283
0,55,6,739
0,55,4,511
0,55,7,853
0,55,9,1081
0,56,2,284
0,56,6,740
0,56,4,512
0,56,7,854
0,56,9,1082
0,57,2,285
0,57,6,741
0,57,4,513
0,57,7,855
0,57,9,1083
0,58,2,286
0,58,6,742
0,58,4,514
0,58,7,856
0,58,9,1084
0,59,2,287
0,59,6,743
0,59,4,515
0,59,7,857
0,59,9,1085
0,60,2,288
0,60,6,744
0,60,4,516
0,60,7,858
0,60,9,1086
0,61,2,289
0,61,6,745
0,61,4,517
0,61,7,859
0,61,9,1087
0,62,2,290
0,62,6,746
0,62,4,518
0,62,7,860
0,62,9,1088
0,63,2,291
0,63,6,747
0,63,4,519
0,63,7,861
0,63,9,1089
0,64,2,292
0,64,6,748
0,64,4,520
0,64,7,862
0,64,9,1090
0,65,2,293
0,65,6,749
0,65,4,521
0,65,7,863
0,65,9,1091
0,66,2,294
0,66,6,750
0,66,4,522
0,66,7,864
0,66,9,1092
0,67,2,295
0,67,6,751
0,67,4,523
0,67,7,865
0,67,9,1093
0,68,2,296
0,68,6,752
0,68,4,524
0,68,7,866
0,68,9,1094
0,69,2,297
0,69,6,753
0,69,4,525
0,69,7,867
0,69,9,1095
0,70,2,298
0,70,6,754
0,70,4,526
0,70,7,868
0,70,9,1096
0,71,2,299
0,71,6,755
0,71,4,527
0,71,7,869
0,71,9,1097
0,72,2,300
0,72,6,756
0,72,4,528
0,72,7,870
0,72,9,1098
0,73,2,301
0,73,6,757
0,73,4,529
0,73,7,871
0,73,9,1099
0,74,2,302
0,74,6,758
0,74,4,530
0,74,7,872
0,74,9,1100
0,75,2,303
0,75,6,759
0,75,4,531
0,75,7,873
0,75,9,1101
0,76,2,304
0,76,6,760
0,76,4,532
0,76,7,874
0,76,9,1102
0,77,2,305
0,77,6,761
0,77,4,533
0,77,7,875
0,77,9,1103
0,78,2,306
0,78,6,762
0,78,4,534
0,78,7,876
0,78,9,1104
0,79,2,307
0,79,6,763
0,79,4,535
0,79,7,877
0,79,9,1105
0,80,2,308
0,80,6,764
0,80,4,536
0,80,7,878
0,80,9,1106
0,81,2,309
0,81,6,765
0,81,4,537
0,81,7,879
0,81,9,1107
0,82,2,310
0,82,6,766
0,82,4,538
0,82,7,880
0,82,9,1108
0,83,2,311
0,83,6,767
0,83,4,539
0,83,7,881
0,83,9,1109
0,84,2,312
0,84,6,768
0,84,4,540
0,84,7,882
0,84,9,1110
0,85,2,313
0,85,6,769
0,85,4,541
0,85,7,883
0,85,9,1111
0,86,2,314
0,86,6,770
0,86,4,542
0,86,7,884
0,86,9,1112
0,87,2,315
0,87,6,771
0,87,4,543
0,87,7,885
0,87,9,1113
0,88,2,316
0,88,6,772
0,88,4,544
0,88,7,886
0,88,9,1114
0,89,2,317
0,89,6,773
0,89,4,545
0,89,7,887
0,89,9,1115
0,90,2,318
0,90,6,774
0,90,4,546
0,90,7,888
0,90,9,1116
0,91,2,319
0,91,6,775
0,91,4,547
0,91,7,889
0,91,9,1117
0,92,2,320
0,92,6,776
0,92,4,548
0,92,7,890
0,92,9,1118
0,93,2,321
0,93,6,777
0,93,4,549
0,93,7,891
0,93,9,1119
0,94,2,322
0,94,6,778
0,94,4,550
0,94,7,892
0,94,9,1120
0,95,2,323
0,95,6,779
0,95,4,551
0,95,7,893
0,95,9,1121
0,96,2,324
0,96,6,780
0,96,4,552
0,96,7,894
0,96,9,1122
0,97,2,325
0,97,6,781
0,97,4,553
0,97,7,895
0,97,9,1123
0,98,2,326
0,98,6,782
0,98,4,554
0,98,7,896
0,98,9,1124
0,99,2,327
0,99,6,783
0,99,4,555
0,99,7,897
0,99,9,1125
0,100,2,328
0,100,6,784
0,100,4,556
0,100,7,898
0,100,9,1126
0,101,2,329
0,101,6,785
0,101,4,557
0,101,7,899
0,101,9,1127
0,102,2,330
0,102,6,786
0,102,4,558
0,102,7,900
0,102,9,1128
0,103,2,331
0,103,6,787
0,103,4,559
0,103,7,901
0,103,9,1129
0,104,2,332
0,104,6,788
0,104,4,560
0,104,7,902
0,104,9,1130
0,105,2,333
0,105,6,789
0,105,4,561
0,105,7,903
0,105,9,1131
0,106,2,334
0,106,6,790
0,106,4,562
0,106,7,904
0,106,9,1132
0,107,2,335
0,107,6,791
0,107,4,563
0,107,7,905
0,107,9,1133
0,108,2,336
0,108,6,792
0,108,4,564
0,108,7,906
0,108,9,1134
0,109,2,337
0,109,6,793
0,109,4,565
0,109,7,907
0,109,9,1135
0,110,2,338
0,110,6,794
0,110,4,566
0,110,7,908
0,110,9,1136
0,111,2,339
0,111,6,795
0,111,4,567
0,111,7,909
0,111,9,1137
0,112,2,340
0,112,6,796
0,112,4,568
0,112,7,910
0,112,9,1138
0,113,2,341
0,113,6,797
0,113,4,569
0,113,7,911
0,113,9,1139
2,228,4,456
2,228,5,570
2,228,1,114
2,228,3,342
2,228,7,798
2,229,4,457
2,229,5,571
2,229,1,115
2,229,3,343
2,229,7,799
2,230,4,458
2,230,5,572
2,230,1,116
2,230,3,344
2,230,7,800
2,231,4,459
2,231,5,573
2,231,1,117
2,231,3,345
2,231,7,801
2,232,4,460
2,232,5,574
2,232,1,118
2,232,3,346
2,232,7,802
2,233,4,461
2,233,5,575
2,233,1,119
2,233,3,347
2,233,7,803
2,234,4,462
2,234,5,576
2,234,1,120
2,234,3,348
2,234,7,804
2,235,4,463
2,235,5,577
2,235,1,121
2,235,3,349
2,235,7,805
2,236,4,464
2,236,5,578
2,236,1,122
2,236,3,350
2,236,7,806
2,237,4,465
2,237,5,579
2,237,1,123
2,237,3,351
2,237,7,807
2,238,4,466
2,238,5,580
2,238,1,124
2,238,3,352
2,238,7,808
2,239,4,467
2,239,5,581
2,239,1,125
2,239,3,353
2,239,7,809
2,240,4,468
2,240,5,582
2,240,1,126
2,240,3,354
2,240,7,810
2,241,4,469
2,241,5,583
2,241,1,127
2,241,3,355
2,241,7,811
2,242,4,470
2,242,5,584
2,242,1,128
2,242,3,356
2,242,7,812
2,243,4,471
2,243,5,585
2,243,1,129
2,243,3,357
2,243,7,813
2,244,4,472
2,244,5,586
2,244,1,130
2,244,3,358
2,244,7,814
2,245,4,473
2,245,5,587
2,245,1,131
2,245,3,359
2,245,7,815
2,246,4,474
2,246,5,588
2,246,1,132
2,246,3,360
2,246,7,816
2,247,4,475
2,247,5,589
2,247,1,133
2,247,3,361
2,247,7,817
2,248,4,476
2,248,5,590
2,248,1,134
2,248,3,362
2,248,7,818
2,249,4,477
2,249,5,591
2,249,1,135
2,249,3,363
2,249,7,819
2,250,4,478
2,250,5,592
2,250,1,136
2,250,3,364
2,250,7,820
2,251,4,479
2,251,5,593
2,251,1,137
2,251,3,365
2,251,7,821
2,252,4,480
2,252,5,594
2,252,1,138
2,252,3,366
2,252,7,822
2,253,4,481
2,253,5,595
2,253,1,139
2,253,3,367
2,253,7,823
2,254,4,482
2,254,5,596
2,254,1,140
2,254,3,368
2,254,7,824
2,255,4,483
2,255,5,597
2,255,1,141
2,255,3,369
2,255,7,825
2,256,4,484
2,256,5,598
2,256,1,142
2,256,3,370
2,256,7,826
2,257,4,485
2,257,5,599
2,257,1,143
2,257,3,371
2,257,7,827
2,258,4,486
2,258,5,600
2,258,1,144
2,258,3,372
2,258,7,828
2,259,4,487
2,259,5,601
2,259,1,145
2,259,3,373
2,259,7,829
2,260,4,488
2,260,5,602
2,260,1,146
2,260,3,374
2,260,7,830
2,261,4,489
2,261,5,603
2,261,1,147
2,261,3,375
2,261,7,831
2,262,4,490
2,262,5,604
2,262,1,148
2,262,3,376
2,262,7,832
2,263,4,491
2,263,5,605
2,263,1,149
2,263,3,377
2,263,7,833
2,264,4,492
2,264,5,606
2,264,1,150
2,264,3,378
2,264,7,834
2,265,4,493
2,265,5,607
2,265,1,151
2,265,3,379
2,265,7,835
2,266,4,494
2,266,5,608
2,266,1,152
2,266,3,380
2,266,7,836
2,267,4,495
2,267,5,609
2,267,1,153
2,267,3,381
2,267,7,837
2,268,4,496
2,268,5,610
2,268,1,154
2,268,3,382
2,268,7,838
2,269,4,497
2,269,5,611
2,269,1,155
2,269,3,383
2,269,7,839
2,270,4,498
2,270,5,612
2,270,1,156
2,270,3,384
2,270,7,840
2,271,4,499
2,271,5,613
2,271,1,157
2,271,3,385
2,271,7,841
2,272,4,500
2,272,5,614
2,272,1,158
2,272,3,386
2,272,7,842
2,273,4,501
2,273,5,615
2,273,1,159
2,273,3,387
2,273,7,843
2,274,4,502
2,274,5,616
2,274,1,160
2,274,3,388
2,274,7,844
2,275,4,503
2,275,5,617
2,275,1,161
2,275,3,389
2,275,7,845
2,276,4,504
2,276,5,618
2,276,1,162
2,276,3,390
2,276,7,846
2,277,4,505
2,277,5,619
2,277,1,163
2,277,3,391
2,277,7,847
2,278,4,506
2,278,5,620
2,278,1,164
2,278,3,392
2,278,7,848
2,279,4,507
2,279,5,621
2,279,1,165
2,279,3,393
2,279,7,849
2,280,4,508
2,280,5,622
2,280,1,166
2,280,3,394
2,280,7,850
2,281,4,509
2,281,5,623
2,281,1,167
2,281,3,395
2,281,7,851
2,282,4,510
2,282,5,624
2,282,1,168
2,282,3,396
2,282,7,852
2,283,4,511
2,283,5,625
2,283,1,169
2,283,3,397
2,283,7,853
2,284,4,512
2,284,5,626
2,284,1,170
2,284,3,398
2,284,7,854
2,285,4,513
2,285,5,627
2,285,1,171
2,285,3,399
2,285,7,855
2,286,4,514
2,286,5,628
2,286,1,172
2,286,3,400
2,286,7,856
2,287,4,515
2,287,5,629
2,287,1,173
2,287,3,401
2,287,7,857
2,288,4,516
2,288,5,630
2,288,1,174
2,288,3,402
2,288,7,858
2,289,4,517
2,289,5,631
2,289,1,175
2,289,3,403
2,289,7,859
2,290,4,518
2,290,5,632
2,290,1,176
2,290,3,404
2,290,7,860
2,291,4,519
2,291,5,633
2,291,1,177
2,291,3,405
2,291,7,861
2,292,4,520
2,292,5,634
2,292,1,178
2,292,3,406
2,292,7,862
2,293,4,521
2,293,5,635
2,293,1,179
2,293,3,407
2,293,7,863
2,294,4,522
2,294,5,636
2,294,1,180
2,294,3,408
2,294,7,864
2,295,4,523
2,295,5,637
2,295,1,181
2,295,3,409
2,295,7,865
2,296,4,524
2,296,5,638
2,296,1,182
2,296,3,410
2,296,7,866
2,297,4,525
2,297,5,639
2,297,1,183
2,297,3,411
2,297,7,867
2,298,4,526
2,298,5,640
2,298,1,184
2,298,3,412
2,298,7,868
2,299,4,527
2,299,5,641
2,299,1,185
2,299,3,413
2,299,7,869
2,300,4,528
2,300,5,642
2,300,1,186
2,300,3,414
2,300,7,870
2,301,4,529
2,301,5,643
2,301,1,187
2,301,3,415
2,301,7,871
2,302,4,530
2,302,5,644
2,302,1,188
2,302,3,416
2,302,7,872
2,303,4,531
2,303,5,645
2,303,1,189
2,303,3,417
2,303,7,873
2,304,4,532
2,304,5,646
2,304,1,190
2,304,3,418
2,304,7,874
2,305,4,533
2,305,5,647
2,305,1,191
2,305,3,419
2,305,7,875
2,306,4,534
2,306,5,648
2,306,1,192
2,306,3,420
2,306,7,876
2,307,4,535
2,307,5,649
2,307,1,193
2,307,3,421
2,307,7,877
2,308,4,536
2,308,5,650
