Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,167,1675,20000,20000
0,1,20000,22000,167,1675,40000,20000
0,2,40000,42000,167,1675,60000,20000
0,3,60000,62000,167,1675,80000,20000
0,4,80000,82000,167,1675,100000,20000
0,5,100000,102000,167,1675,120000,20000
0,6,120000,122000,167,1675,140000,20000
0,7,140000,142000,167,1675,160000,20000
0,8,160000,162000,167,1675,180000,20000
0,9,180000,182000,167,1675,200000,20000
0,10,200000,202000,167,1675,220000,20000
0,11,220000,222000,167,1675,240000,20000
1,12,0,2000,74,738,20000,20000
1,13,20000,22000,74,738,40000,20000
1,14,40000,42000,74,738,60000,20000
1,15,60000,62000,74,738,80000,20000
1,16,80000,82000,74,738,100000,20000
1,17,100000,102000,74,738,120000,20000
1,18,120000,122000,74,738,140000,20000
1,19,140000,142000,74,738,160000,20000
1,20,160000,162000,74,738,180000,20000
1,21,180000,182000,74,738,200000,20000
1,22,200000,202000,74,738,220000,20000
1,23,220000,222000,74,738,240000,20000
2,24,0,2000,19,191,20000,20000
2,25,20000,22000,19,191,40000,20000
2,26,40000,42000,19,191,60000,20000
2,27,60000,62000,19,191,80000,20000
2,28,80000,82000,19,191,100000,20000
2,29,100000,102000,19,191,120000,20000
2,30,120000,122000,19,191,140000,20000
2,31,140000,142000,19,191,160000,20000
2,32,160000,162000,19,191,180000,20000
2,33,180000,182000,19,191,200000,20000
2,34,200000,202000,19,191,220000,20000
2,35,220000,222000,19,191,240000,20000
3,36,0,2000,212,2123,20000,20000
3,37,20000,22000,212,2123,40000,20000
3,38,40000,42000,212,2123,60000,20000
3,39,60000,62000,212,2123,80000,20000
3,40,80000,82000,212,2123,100000,20000
3,41,100000,102000,212,2123,120000,20000
3,42,120000,122000,212,2123,140000,20000
3,43,140000,142000,212,2123,160000,20000
3,44,160000,162000,212,2123,180000,20000
3,45,180000,182000,212,2123,200000,20000
3,46,200000,202000,212,2123,220000,20000
3,47,220000,222000,212,2123,240000,20000
4,48,0,2000,241,2415,20000,20000
4,49,20000,22000,241,2415,40000,20000
4,50,40000,42000,241,2415,60000,20000
4,51,60000,62000,241,2415,80000,20000
4,52,80000,82000,241,2415,100000,20000
4,53,100000,102000,241,2415,120000,20000
4,54,120000,122000,241,2415,140000,20000
4,55,140000,142000,241,2415,160000,20000
4,56,160000,162000,241,2415,180000,20000
4,57,180000,182000,241,2415,200000,20000
4,58,200000,202000,241,2415,220000,20000
4,59,220000,222000,241,2415,240000,20000
5,60,0,2000,84,842,20000,20000
5,61,20000,22000,84,842,40000,20000
5,62,40000,42000,84,842,60000,20000
5,63,60000,62000,84,842,80000,20000
5,64,80000,82000,84,842,100000,20000
5,65,100000,102000,84,842,120000,20000
5,66,120000,122000,84,842,140000,20000
5,67,140000,142000,84,842,160000,20000
5,68,160000,162000,84,842,180000,20000
5,69,180000,182000,84,842,200000,20000
5,70,200000,202000,84,842,220000,20000
5,71,220000,222000,84,842,240000,20000
6,72,0,2000,174,1743,20000,20000
6,73,20000,22000,174,1743,40000,20000
6,74,40000,42000,174,1743,60000,20000
6,75,60000,62000,174,1743,80000,20000
6,76,80000,82000,174,1743,100000,20000
6,77,100000,102000,174,1743,120000,20000
6,78,120000,122000,174,1743,140000,20000
6,79,140000,142000,174,1743,160000,20000
6,80,160000,162000,174,1743,180000,20000
6,81,180000,182000,174,1743,200000,20000
6,82,200000,202000,174,1743,220000,20000
6,83,220000,222000,174,1743,240000,20000
7,84,0,2000,11,110,20000,20000
7,85,20000,22000,11,110,40000,20000
7,86,40000,42000,11,110,60000,20000
7,87,60000,62000,11,110,80000,20000
7,88,80000,82000,11,110,100000,20000
7,89,100000,102000,11,110,120000,20000
7,90,120000,122000,11,110,140000,20000
7,91,140000,142000,11,110,160000,20000
7,92,160000,162000,11,110,180000,20000
7,93,180000,182000,11,110,200000,20000
7,94,200000,202000,11,110,220000,20000
7,95,220000,222000,11,110,240000,20000
8,96,0,2000,200,2001,20000,20000
8,97,20000,22000,200,2001,40000,20000
