From TID,From JID,To TID,To JID
0,0,2,24
0,0,3,36
0,0,11,132
0,0,6,72
0,0,7,84
0,0,8,96
0,0,9,108
0,0,10,120
0,1,2,25
0,1,3,37
0,1,11,133
0,1,6,73
0,1,7,85
0,1,8,97
0,1,9,109
0,1,10,121
0,2,2,26
0,2,3,38
0,2,11,134
0,2,6,74
0,2,7,86
0,2,8,98
0,2,9,110
0,2,10,122
0,3,2,27
0,3,3,39
0,3,11,135
0,3,6,75
0,3,7,87
0,3,8,99
0,3,9,111
0,3,10,123
0,4,2,28
0,4,3,40
0,4,11,136
0,4,6,76
0,4,7,88
0,4,8,100
0,4,9,112
0,4,10,124
0,5,2,29
0,5,3,41
0,5,11,137
0,5,6,77
0,5,7,89
0,5,8,101
0,5,9,113
0,5,10,125
0,6,2,30
0,6,3,42
0,6,11,138
0,6,6,78
0,6,7,90
0,6,8,102
0,6,9,114
0,6,10,126
0,7,2,31
0,7,3,43
0,7,11,139
0,7,6,79
0,7,7,91
0,7,8,103
0,7,9,115
0,7,10,127
0,8,2,32
0,8,3,44
0,8,11,140
0,8,6,80
0,8,7,92
0,8,8,104
0,8,9,116
0,8,10,128
0,9,2,33
0,9,3,45
0,9,11,141
0,9,6,81
0,9,7,93
0,9,8,105
0,9,9,117
0,9,10,129
0,10,2,34
0,10,3,46
0,10,11,142
0,10,6,82
0,10,7,94
0,10,8,106
0,10,9,118
0,10,10,130
0,11,2,35
0,11,3,47
0,11,11,143
0,11,6,83
0,11,7,95
0,11,8,107
0,11,9,119
0,11,10,131
2,24,1,12
2,24,4,48
2,24,9,108
2,24,10,120
2,25,1,13
2,25,4,49
2,25,9,109
2,25,10,121
2,26,1,14
2,26,4,50
2,26,9,110
2,26,10,122
2,27,1,15
2,27,4,51
2,27,9,111
2,27,10,123
2,28,1,16
2,28,4,52
2,28,9,112
2,28,10,124
2,29,1,17
2,29,4,53
2,29,9,113
2,29,10,125
2,30,1,18
2,30,4,54
2,30,9,114
2,30,10,126
2,31,1,19
2,31,4,55
2,31,9,115
2,31,10,127
2,32,1,20
2,32,4,56
2,32,9,116
2,32,10,128
2,33,1,21
2,33,4,57
2,33,9,117
2,33,10,129
2,34,1,22
2,34,4,58
2,34,9,118
2,34,10,130
2,35,1,23
2,35,4,59
2,35,9,119
2,35,10,131
3,36,5,60
3,36,10,120
3,36,4,48
3,36,6,72
3,36,8,96
3,37,5,61
3,37,10,121
3,37,4,49
3,37,6,73
3,37,8,97
3,38,5,62
3,38,10,122
3,38,4,50
3,38,6,74
3,38,8,98
3,39,5,63
3,39,10,123
3,39,4,51
3,39,6,75
3,39,8,99
3,40,5,64
3,40,10,124
3,40,4,52
3,40,6,76
3,40,8,100
3,41,5,65
3,41,10,125
3,41,4,53
3,41,6,77
3,41,8,101
3,42,5,66
3,42,10,126
3,42,4,54
3,42,6,78
3,42,8,102
3,43,5,67
3,43,10,127
3,43,4,55
3,43,6,79
3,43,8,103
3,44,5,68
3,44,10,128
3,44,4,56
3,44,6,80
3,44,8,104
3,45,5,69
3,45,10,129
3,45,4,57
3,45,6,81
3,45,8,105
3,46,5,70
3,46,10,130
3,46,4,58
3,46,6,82
3,46,8,106
3,47,5,71
3,47,10,131
3,47,4,59
3,47,6,83
3,47,8,107
4,48,1,12
4,49,1,13
4,50,1,14
4,51,1,15
4,52,1,16
4,53,1,17
4,54,1,18
4,55,1,19
4,56,1,20
4,57,1,21
4,58,1,22
4,59,1,23
5,60,7,84
5,60,8,96
5,60,9,108
5,60,6,72
5,61,7,85
5,61,8,97
5,61,9,109
5,61,6,73
5,62,7,86
5,62,8,98
5,62,9,110
5,62,6,74
5,63,7,87
5,63,8,99
5,63,9,111
5,63,6,75
5,64,7,88
5,64,8,100
5,64,9,112
5,64,6,76
5,65,7,89
5,65,8,101
5,65,9,113
5,65,6,77
5,66,7,90
5,66,8,102
5,66,9,114
5,66,6,78
5,67,7,91
5,67,8,103
5,67,9,115
5,67,6,79
5,68,7,92
5,68,8,104
5,68,9,116
5,68,6,80
5,69,7,93
5,69,8,105
5,69,9,117
5,69,6,81
5,70,7,94
5,70,8,106
5,70,9,118
5,70,6,82
5,71,7,95
5,71,8,107
5,71,9,119
5,71,6,83
6,72,4,48
6,72,1,12
6,73,4,49
6,73,1,13
6,74,4,50
6,74,1,14
6,75,4,51
6,75,1,15
6,76,4,52
6,76,1,16
6,77,4,53
6,77,1,17
6,78,4,54
6,78,1,18
6,79,4,55
6,79,1,19
6,80,4,56
6,80,1,20
6,81,4,57
6,81,1,21
6,82,4,58
6,82,1,22
6,83,4,59
6,83,1,23
7,84,6,72
7,84,1,12
7,85,6,73
7,85,1,13
7,86,6,74
7,86,1,14
7,87,6,75
7,87,1,15
7,88,6,76
7,88,1,16
7,89,6,77
7,89,1,17
7,90,6,78
7,90,1,18
7,91,6,79
7,91,1,19
7,92,6,80
7,92,1,20
7,93,6,81
7,93,1,21
7,94,6,82
7,94,1,22
7,95,6,83
7,95,1,23
8,96,6,72
8,97,6,73
8,98,6,74
8,99,6,75
8,100,6,76
8,101,6,77
8,102,6,78
8,103,6,79
8,104,6,80
8,105,6,81
