Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,15,153,10000,10000
0,1,10000,11000,15,153,20000,10000
1,2,0,1000,5,53,10000,10000
1,3,10000,11000,5,53,20000,10000
2,4,0,1000,3,20,10000,10000
2,5,10000,11000,3,20,20000,10000
3,6,0,1000,17,167,10000,10000
3,7,10000,11000,17,167,20000,10000
4,8,0,1000,2,23,10000,10000
4,9,10000,11000,2,23,20000,10000
5,10,0,1000,10,104,10000,10000
5,11,10000,11000,10,104,20000,10000
6,12,0,1000,15,148,10000,10000
6,13,10000,11000,15,148,20000,10000
7,14,0,1000,17,171,10000,10000
7,15,10000,11000,17,171,20000,10000
8,16,0,1000,13,127,10000,10000
8,17,10000,11000,13,127,20000,10000
9,18,0,1000,5,51,10000,10000
9,19,10000,11000,5,51,20000,10000
10,20,0,1000,6,63,10000,10000
10,21,10000,11000,6,63,20000,10000
11,22,0,1000,12,123,10000,10000
11,23,10000,11000,12,123,20000,10000
12,24,0,1000,96,962,10000,10000
12,25,10000,11000,96,962,20000,10000
13,26,0,1000,25,255,10000,10000
13,27,10000,11000,25,255,20000,10000
14,28,0,1000,29,286,10000,10000
14,29,10000,11000,29,286,20000,10000
15,30,0,1000,78,785,10000,10000
15,31,10000,11000,78,785,20000,10000
16,32,0,1000,56,559,10000,10000
16,33,10000,11000,56,559,20000,10000
17,34,0,1000,32,320,10000,10000
17,35,10000,11000,32,320,20000,10000
18,36,0,1000,55,550,10000,10000
18,37,10000,11000,55,550,20000,10000
19,38,0,1000,31,310,10000,10000
19,39,10000,11000,31,310,20000,10000
20,40,0,1000,48,480,10000,10000
20,41,10000,11000,48,480,20000,10000
21,42,0,1000,24,242,10000,10000
21,43,10000,11000,24,242,20000,10000
22,44,0,1000,60,594,10000,10000
22,45,10000,11000,60,594,20000,10000
23,46,0,1000,52,523,10000,10000
23,47,10000,11000,52,523,20000,10000
24,48,0,1000,57,568,10000,10000
24,49,10000,11000,57,568,20000,10000
25,50,0,1000,56,565,10000,10000
25,51,10000,11000,56,565,20000,10000
26,52,0,1000,54,538,10000,10000
26,53,10000,11000,54,538,20000,10000
27,54,0,1000,41,409,10000,10000
27,55,10000,11000,41,409,20000,10000
28,56,0,1000,25,254,10000,10000
28,57,10000,11000,25,254,20000,10000
29,58,0,2000,230,2295,20000,20000
30,59,0,2000,153,1535,20000,20000
31,60,0,2000,242,2424,20000,20000
32,61,0,2000,46,456,20000,20000
33,62,0,2000,273,2730,20000,20000
34,63,0,2000,58,571,20000,20000
35,64,0,2000,9,93,20000,20000
36,65,0,2000,111,1114,20000,20000
37,66,0,2000,145,1455,20000,20000
38,67,0,2000,185,1850,20000,20000
39,68,0,2000,265,2651,20000,20000
