From TID,From JID,To TID,To JID
0,0,2,4
0,0,3,6
0,0,4,8
0,0,5,10
0,0,7,14
0,0,9,18
0,1,2,5
0,1,3,7
0,1,4,9
0,1,5,11
0,1,7,15
0,1,9,19
2,4,1,2
2,4,8,16
2,4,11,22
2,5,1,3
2,5,8,17
2,5,11,23
3,6,5,10
3,6,10,20
3,6,11,22
3,6,6,12
3,6,7,14
3,6,8,16
3,7,5,11
3,7,10,21
3,7,11,23
3,7,6,13
3,7,7,15
3,7,8,17
4,8,1,2
4,9,1,3
5,10,7,14
5,10,8,16
5,10,9,18
5,10,1,2
5,10,4,8
5,10,6,12
5,11,7,15
5,11,8,17
5,11,9,19
5,11,1,3
5,11,4,9
5,11,6,13
6,12,4,8
6,13,4,9
7,14,6,12
7,14,1,2
7,15,6,13
7,15,1,3
8,16,6,12
8,16,1,2
8,17,6,13
8,17,1,3
9,18,6,12
9,18,1,2
9,18,4,8
9,19,6,13
9,19,1,3
9,19,4,9
10,20,4,8
10,20,6,12
10,21,4,9
10,21,6,13
11,22,4,8
11,22,7,14
11,22,8,16
11,23,4,9
11,23,7,15
11,23,8,17
12,24,14,28
12,24,15,30
12,24,16,32
12,24,13,26
12,25,14,29
12,25,15,31
12,25,16,33
12,25,13,27
14,28,13,26
14,29,13,27
15,30,13,26
15,31,13,27
16,32,13,26
16,33,13,27
17,34,19,38
17,34,28,56
17,34,18,36
17,34,20,40
17,34,21,42
17,34,23,46
17,34,27,54
17,35,19,39
17,35,28,57
17,35,18,37
17,35,20,41
17,35,21,43
17,35,23,47
17,35,27,55
19,38,21,42
19,38,26,52
19,38,27,54
19,38,20,40
19,38,24,48
19,39,21,43
19,39,26,53
19,39,27,55
19,39,20,41
19,39,24,49
20,40,18,36
20,41,18,37
21,42,23,46
21,42,24,48
21,42,25,50
21,42,20,40
21,43,23,47
21,43,24,49
21,43,25,51
21,43,20,41
22,44,20,40
22,45,20,41
23,46,22,44
23,46,18,36
23,46,20,40
23,47,22,45
23,47,18,37
23,47,20,41
24,48,22,44
24,48,20,40
24,49,22,45
24,49,20,41
25,50,22,44
25,50,18,36
25,50,20,40
25,51,22,45
25,51,18,37
25,51,20,41
26,52,20,40
26,52,18,36
26,52,22,44
26,52,23,46
26,52,24,48
26,53,20,41
26,53,18,37
26,53,22,45
26,53,23,47
26,53,24,49
27,54,20,40
27,54,18,36
27,54,22,44
27,54,25,50
27,55,20,41
27,55,18,37
27,55,22,45
27,55,25,51
28,56,18,36
28,56,20,40
28,56,21,42
28,56,25,50
28,56,26,52
28,56,27,54
28,57,18,37
28,57,20,41
28,57,21,43
28,57,25,51
28,57,26,53
28,57,27,55
29,58,31,60
29,58,32,61
29,58,33,62
29,58,30,59
29,58,34,63
29,58,35,64
29,58,36,65
29,58,39,68
31,60,30,59
32,61,30,59
32,61,36,65
32,61,38,67
33,62,35,64
33,62,36,65
33,62,34,63
33,62,39,68
34,63,30,59
35,64,34,63
35,64,30,59
35,64,37,66
35,64,39,68
36,65,38,67
36,65,39,68
36,65,30,59
37,66,34,63
38,67,37,66
39,68,37,66
