Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,66,660,10000,10000
0,1,10000,11000,66,660,20000,10000
0,2,20000,21000,66,660,30000,10000
0,3,30000,31000,66,660,40000,10000
0,4,40000,41000,66,660,50000,10000
0,5,50000,51000,66,660,60000,10000
1,6,0,1000,128,1283,10000,10000
1,7,10000,11000,128,1283,20000,10000
1,8,20000,21000,128,1283,30000,10000
1,9,30000,31000,128,1283,40000,10000
1,10,40000,41000,128,1283,50000,10000
1,11,50000,51000,128,1283,60000,10000
2,12,0,1000,238,2378,10000,10000
2,13,10000,11000,238,2378,20000,10000
2,14,20000,21000,238,2378,30000,10000
2,15,30000,31000,238,2378,40000,10000
2,16,40000,41000,238,2378,50000,10000
2,17,50000,51000,238,2378,60000,10000
3,18,0,1000,161,1614,10000,10000
3,19,10000,11000,161,1614,20000,10000
3,20,20000,21000,161,1614,30000,10000
3,21,30000,31000,161,1614,40000,10000
3,22,40000,41000,161,1614,50000,10000
3,23,50000,51000,161,1614,60000,10000
4,24,0,1000,102,1019,10000,10000
4,25,10000,11000,102,1019,20000,10000
4,26,20000,21000,102,1019,30000,10000
4,27,30000,31000,102,1019,40000,10000
4,28,40000,41000,102,1019,50000,10000
4,29,50000,51000,102,1019,60000,10000
5,30,0,1000,66,655,10000,10000
5,31,10000,11000,66,655,20000,10000
5,32,20000,21000,66,655,30000,10000
5,33,30000,31000,66,655,40000,10000
5,34,40000,41000,66,655,50000,10000
5,35,50000,51000,66,655,60000,10000
6,36,0,1000,106,1058,10000,10000
6,37,10000,11000,106,1058,20000,10000
6,38,20000,21000,106,1058,30000,10000
6,39,30000,31000,106,1058,40000,10000
6,40,40000,41000,106,1058,50000,10000
6,41,50000,51000,106,1058,60000,10000
7,42,0,1000,89,887,10000,10000
7,43,10000,11000,89,887,20000,10000
7,44,20000,21000,89,887,30000,10000
7,45,30000,31000,89,887,40000,10000
7,46,40000,41000,89,887,50000,10000
7,47,50000,51000,89,887,60000,10000
8,48,0,1000,32,321,10000,10000
8,49,10000,11000,32,321,20000,10000
8,50,20000,21000,32,321,30000,10000
8,51,30000,31000,32,321,40000,10000
8,52,40000,41000,32,321,50000,10000
8,53,50000,51000,32,321,60000,10000
9,54,0,1000,79,789,10000,10000
9,55,10000,11000,79,789,20000,10000
9,56,20000,21000,79,789,30000,10000
9,57,30000,31000,79,789,40000,10000
9,58,40000,41000,79,789,50000,10000
9,59,50000,51000,79,789,60000,10000
10,60,0,1000,71,706,10000,10000
10,61,10000,11000,71,706,20000,10000
10,62,20000,21000,71,706,30000,10000
10,63,30000,31000,71,706,40000,10000
10,64,40000,41000,71,706,50000,10000
10,65,50000,51000,71,706,60000,10000
11,66,0,1000,93,930,10000,10000
11,67,10000,11000,93,930,20000,10000
11,68,20000,21000,93,930,30000,10000
11,69,30000,31000,93,930,40000,10000
11,70,40000,41000,93,930,50000,10000
11,71,50000,51000,93,930,60000,10000
12,72,0,1000,90,903,10000,10000
12,73,10000,11000,90,903,20000,10000
12,74,20000,21000,90,903,30000,10000
12,75,30000,31000,90,903,40000,10000
12,76,40000,41000,90,903,50000,10000
12,77,50000,51000,90,903,60000,10000
13,78,0,1000,164,1641,10000,10000
13,79,10000,11000,164,1641,20000,10000
13,80,20000,21000,164,1641,30000,10000
13,81,30000,31000,164,1641,40000,10000
13,82,40000,41000,164,1641,50000,10000
13,83,50000,51000,164,1641,60000,10000
14,84,0,1000,110,1098,10000,10000
14,85,10000,11000,110,1098,20000,10000
14,86,20000,21000,110,1098,30000,10000
14,87,30000,31000,110,1098,40000,10000
14,88,40000,41000,110,1098,50000,10000
14,89,50000,51000,110,1098,60000,10000
15,90,0,1000,153,1536,10000,10000
15,91,10000,11000,153,1536,20000,10000
15,92,20000,21000,153,1536,30000,10000
15,93,30000,31000,153,1536,40000,10000
15,94,40000,41000,153,1536,50000,10000
15,95,50000,51000,153,1536,60000,10000
16,96,0,1000,169,1685,10000,10000
16,97,10000,11000,169,1685,20000,10000
16,98,20000,21000,169,1685,30000,10000
16,99,30000,31000,169,1685,40000,10000
16,100,40000,41000,169,1685,50000,10000
16,101,50000,51000,169,1685,60000,10000
17,102,0,1000,143,1435,10000,10000
17,103,10000,11000,143,1435,20000,10000
17,104,20000,21000,143,1435,30000,10000
17,105,30000,31000,143,1435,40000,10000
17,106,40000,41000,143,1435,50000,10000
17,107,50000,51000,143,1435,60000,10000
18,108,0,6000,595,5946,60000,60000
19,109,0,6000,264,2641,60000,60000
20,110,0,6000,646,6460,60000,60000
21,111,0,6000,394,3938,60000,60000
22,112,0,6000,416,4165,60000,60000
23,113,0,6000,204,2036,60000,60000
24,114,0,6000,128,1278,60000,60000
25,115,0,6000,621,6206,60000,60000
26,116,0,6000,84,841,60000,60000
27,117,0,6000,500,4999,60000,60000
28,118,0,6000,12,124,60000,60000
29,119,0,6000,221,2212,60000,60000
30,120,0,6000,353,3534,60000,60000
