From TID,From JID,To TID,To JID
0,0,2,12
0,0,3,18
0,1,2,13
0,1,3,19
0,2,2,14
0,2,3,20
0,3,2,15
0,3,3,21
0,4,2,16
0,4,3,22
0,5,2,17
0,5,3,23
2,12,1,6
2,13,1,7
2,14,1,8
2,15,1,9
2,16,1,10
2,17,1,11
3,18,1,6
3,19,1,7
3,20,1,8
3,21,1,9
3,22,1,10
3,23,1,11
4,24,6,36
4,24,11,66
4,24,12,72
4,24,5,30
4,24,8,48
4,24,10,60
4,25,6,37
4,25,11,67
4,25,12,73
4,25,5,31
4,25,8,49
4,25,10,61
4,26,6,38
4,26,11,68
4,26,12,74
4,26,5,32
4,26,8,50
4,26,10,62
4,27,6,39
4,27,11,69
4,27,12,75
4,27,5,33
4,27,8,51
4,27,10,63
4,28,6,40
4,28,11,70
4,28,12,76
4,28,5,34
4,28,8,52
4,28,10,64
4,29,6,41
4,29,11,71
4,29,12,77
4,29,5,35
4,29,8,53
4,29,10,65
6,36,8,48
6,36,9,54
6,36,10,60
6,36,7,42
6,37,8,49
6,37,9,55
6,37,10,61
6,37,7,43
6,38,8,50
6,38,9,56
6,38,10,62
6,38,7,44
6,39,8,51
6,39,9,57
6,39,10,63
6,39,7,45
6,40,8,52
6,40,9,58
6,40,10,64
6,40,7,46
6,41,8,53
6,41,9,59
6,41,10,65
6,41,7,47
7,42,5,30
7,43,5,31
7,44,5,32
7,45,5,33
7,46,5,34
7,47,5,35
8,48,7,42
8,49,7,43
8,50,7,44
8,51,7,45
8,52,7,46
8,53,7,47
9,54,7,42
9,55,7,43
9,56,7,44
9,57,7,45
9,58,7,46
9,59,7,47
10,60,7,42
10,61,7,43
10,62,7,44
10,63,7,45
10,64,7,46
10,65,7,47
11,66,5,30
11,66,9,54
11,66,10,60
11,67,5,31
11,67,9,55
11,67,10,61
11,68,5,32
11,68,9,56
11,68,10,62
11,69,5,33
11,69,9,57
11,69,10,63
11,70,5,34
11,70,9,58
11,70,10,64
11,71,5,35
11,71,9,59
11,71,10,65
12,72,5,30
12,72,7,42
12,72,10,60
12,73,5,31
12,73,7,43
12,73,10,61
12,74,5,32
12,74,7,44
12,74,10,62
12,75,5,33
12,75,7,45
12,75,10,63
12,76,5,34
12,76,7,46
12,76,10,64
12,77,5,35
12,77,7,47
12,77,10,65
13,78,15,90
13,78,16,96
13,78,17,102
13,78,14,84
13,79,15,91
13,79,16,97
13,79,17,103
13,79,14,85
13,80,15,92
13,80,16,98
13,80,17,104
13,80,14,86
13,81,15,93
13,81,16,99
13,81,17,105
13,81,14,87
13,82,15,94
13,82,16,100
13,82,17,106
13,82,14,88
13,83,15,95
13,83,16,101
13,83,17,107
13,83,14,89
15,90,14,84
15,91,14,85
15,92,14,86
15,93,14,87
15,94,14,88
15,95,14,89
16,96,14,84
16,97,14,85
16,98,14,86
16,99,14,87
16,100,14,88
16,101,14,89
17,102,14,84
17,103,14,85
17,104,14,86
17,105,14,87
17,106,14,88
17,107,14,89
18,108,20,110
18,108,21,111
18,108,30,120
18,108,22,112
18,108,24,114
18,108,26,116
18,108,27,117
18,108,29,119
20,110,19,109
20,110,22,112
20,110,24,114
20,110,27,117
20,110,29,119
21,111,23,113
21,111,28,118
21,111,29,119
21,111,19,109
21,111,22,112
21,111,24,114
21,111,25,115
22,112,19,109
23,113,25,115
23,113,26,116
23,113,27,117
23,113,19,109
23,113,22,112
23,113,24,114
24,114,22,112
25,115,24,114
25,115,22,112
26,116,24,114
26,116,19,109
26,116,22,112
27,117,24,114
27,117,19,109
28,118,22,112
28,118,19,109
28,118,26,116
29,119,22,112
29,119,19,109
29,119,25,115
29,119,26,116
30,120,19,109
30,120,23,113
30,120,24,114
30,120,27,117
30,120,28,118
30,120,29,119
