Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,185,1846,20000,20000
0,1,20000,22000,185,1846,40000,20000
0,2,40000,42000,185,1846,60000,20000
0,3,60000,62000,185,1846,80000,20000
0,4,80000,82000,185,1846,100000,20000
0,5,100000,102000,185,1846,120000,20000
0,6,120000,122000,185,1846,140000,20000
0,7,140000,142000,185,1846,160000,20000
0,8,160000,162000,185,1846,180000,20000
1,9,0,2000,144,1445,20000,20000
1,10,20000,22000,144,1445,40000,20000
1,11,40000,42000,144,1445,60000,20000
1,12,60000,62000,144,1445,80000,20000
1,13,80000,82000,144,1445,100000,20000
1,14,100000,102000,144,1445,120000,20000
1,15,120000,122000,144,1445,140000,20000
1,16,140000,142000,144,1445,160000,20000
1,17,160000,162000,144,1445,180000,20000
2,18,0,2000,119,1193,20000,20000
2,19,20000,22000,119,1193,40000,20000
2,20,40000,42000,119,1193,60000,20000
2,21,60000,62000,119,1193,80000,20000
2,22,80000,82000,119,1193,100000,20000
2,23,100000,102000,119,1193,120000,20000
2,24,120000,122000,119,1193,140000,20000
2,25,140000,142000,119,1193,160000,20000
2,26,160000,162000,119,1193,180000,20000
3,27,0,2000,179,1791,20000,20000
3,28,20000,22000,179,1791,40000,20000
3,29,40000,42000,179,1791,60000,20000
3,30,60000,62000,179,1791,80000,20000
3,31,80000,82000,179,1791,100000,20000
3,32,100000,102000,179,1791,120000,20000
3,33,120000,122000,179,1791,140000,20000
3,34,140000,142000,179,1791,160000,20000
3,35,160000,162000,179,1791,180000,20000
4,36,0,2000,158,1581,20000,20000
4,37,20000,22000,158,1581,40000,20000
4,38,40000,42000,158,1581,60000,20000
4,39,60000,62000,158,1581,80000,20000
4,40,80000,82000,158,1581,100000,20000
4,41,100000,102000,158,1581,120000,20000
4,42,120000,122000,158,1581,140000,20000
4,43,140000,142000,158,1581,160000,20000
4,44,160000,162000,158,1581,180000,20000
5,45,0,2000,18,184,20000,20000
5,46,20000,22000,18,184,40000,20000
5,47,40000,42000,18,184,60000,20000
5,48,60000,62000,18,184,80000,20000
5,49,80000,82000,18,184,100000,20000
5,50,100000,102000,18,184,120000,20000
5,51,120000,122000,18,184,140000,20000
5,52,140000,142000,18,184,160000,20000
5,53,160000,162000,18,184,180000,20000
6,54,0,2000,45,441,20000,20000
6,55,20000,22000,45,441,40000,20000
6,56,40000,42000,45,441,60000,20000
6,57,60000,62000,45,441,80000,20000
6,58,80000,82000,45,441,100000,20000
6,59,100000,102000,45,441,120000,20000
6,60,120000,122000,45,441,140000,20000
6,61,140000,142000,45,441,160000,20000
6,62,160000,162000,45,441,180000,20000
7,63,0,2000,143,1432,20000,20000
7,64,20000,22000,143,1432,40000,20000
7,65,40000,42000,143,1432,60000,20000
7,66,60000,62000,143,1432,80000,20000
7,67,80000,82000,143,1432,100000,20000
7,68,100000,102000,143,1432,120000,20000
7,69,120000,122000,143,1432,140000,20000
7,70,140000,142000,143,1432,160000,20000
7,71,160000,162000,143,1432,180000,20000
8,72,0,2000,299,2992,20000,20000
8,73,20000,22000,299,2992,40000,20000
8,74,40000,42000,299,2992,60000,20000
8,75,60000,62000,299,2992,80000,20000
8,76,80000,82000,299,2992,100000,20000
8,77,100000,102000,299,2992,120000,20000
8,78,120000,122000,299,2992,140000,20000
8,79,140000,142000,299,2992,160000,20000
8,80,160000,162000,299,2992,180000,20000
9,81,0,2000,308,3079,20000,20000
9,82,20000,22000,308,3079,40000,20000
9,83,40000,42000,308,3079,60000,20000
9,84,60000,62000,308,3079,80000,20000
9,85,80000,82000,308,3079,100000,20000
9,86,100000,102000,308,3079,120000,20000
9,87,120000,122000,308,3079,140000,20000
9,88,140000,142000,308,3079,160000,20000
9,89,160000,162000,308,3079,180000,20000
10,90,0,3000,29,292,30000,30000
10,91,30000,33000,29,292,60000,30000
10,92,60000,63000,29,292,90000,30000
10,93,90000,93000,29,292,120000,30000
10,94,120000,123000,29,292,150000,30000
10,95,150000,153000,29,292,180000,30000
11,96,0,3000,311,3111,30000,30000
11,97,30000,33000,311,3111,60000,30000
11,98,60000,63000,311,3111,90000,30000
11,99,90000,93000,311,3111,120000,30000
11,100,120000,123000,311,3111,150000,30000
11,101,150000,153000,311,3111,180000,30000
12,102,0,3000,330,3304,30000,30000
12,103,30000,33000,330,3304,60000,30000
12,104,60000,63000,330,3304,90000,30000
12,105,90000,93000,330,3304,120000,30000
12,106,120000,123000,330,3304,150000,30000
12,107,150000,153000,330,3304,180000,30000
13,108,0,3000,78,779,30000,30000
13,109,30000,33000,78,779,60000,30000
13,110,60000,63000,78,779,90000,30000
13,111,90000,93000,78,779,120000,30000
13,112,120000,123000,78,779,150000,30000
13,113,150000,153000,78,779,180000,30000
14,114,0,3000,22,222,30000,30000
14,115,30000,33000,22,222,60000,30000
14,116,60000,63000,22,222,90000,30000
14,117,90000,93000,22,222,120000,30000
14,118,120000,123000,22,222,150000,30000
14,119,150000,153000,22,222,180000,30000
15,120,0,3000,415,4141,30000,30000
15,121,30000,33000,415,4141,60000,30000
15,122,60000,63000,415,4141,90000,30000
15,123,90000,93000,415,4141,120000,30000
15,124,120000,123000,415,4141,150000,30000
15,125,150000,153000,415,4141,180000,30000
16,126,0,3000,22,225,30000,30000
16,127,30000,33000,22,225,60000,30000
16,128,60000,63000,22,225,90000,30000
16,129,90000,93000,22,225,120000,30000
16,130,120000,123000,22,225,150000,30000
16,131,150000,153000,22,225,180000,30000
17,132,0,3000,404,4033,30000,30000
17,133,30000,33000,404,4033,60000,30000
17,134,60000,63000,404,4033,90000,30000
17,135,90000,93000,404,4033,120000,30000
17,136,120000,123000,404,4033,150000,30000
17,137,150000,153000,404,4033,180000,30000
18,138,0,3000,328,3285,30000,30000
18,139,30000,33000,328,3285,60000,30000
18,140,60000,63000,328,3285,90000,30000
18,141,90000,93000,328,3285,120000,30000
18,142,120000,123000,328,3285,150000,30000
18,143,150000,153000,328,3285,180000,30000
19,144,0,3000,152,1516,30000,30000
19,145,30000,33000,152,1516,60000,30000
19,146,60000,63000,152,1516,90000,30000
19,147,90000,93000,152,1516,120000,30000
19,148,120000,123000,152,1516,150000,30000
19,149,150000,153000,152,1516,180000,30000
20,150,0,3000,237,2371,30000,30000
20,151,30000,33000,237,2371,60000,30000
20,152,60000,63000,237,2371,90000,30000
20,153,90000,93000,237,2371,120000,30000
20,154,120000,123000,237,2371,150000,30000
20,155,150000,153000,237,2371,180000,30000
21,156,0,3000,165,1649,30000,30000
21,157,30000,33000,165,1649,60000,30000
21,158,60000,63000,165,1649,90000,30000
21,159,90000,93000,165,1649,120000,30000
21,160,120000,123000,165,1649,150000,30000
21,161,150000,153000,165,1649,180000,30000
22,162,0,9000,869,8695,90000,90000
22,163,90000,99000,869,8695,180000,90000
23,164,0,9000,75,747,90000,90000
23,165,90000,99000,75,747,180000,90000
24,166,0,9000,222,2216,90000,90000
24,167,90000,99000,222,2216,180000,90000
25,168,0,9000,51,511,90000,90000
25,169,90000,99000,51,511,180000,90000
26,170,0,9000,1587,15876,90000,90000
26,171,90000,99000,1587,15876,180000,90000
27,172,0,9000,1131,11311,90000,90000
27,173,90000,99000,1131,11311,180000,90000
28,174,0,9000,600,6001,90000,90000
28,175,90000,99000,600,6001,180000,90000
29,176,0,9000,747,7473,90000,90000
29,177,90000,99000,747,7473,180000,90000
30,178,0,9000,670,6694,90000,90000
30,179,90000,99000,670,6694,180000,90000
