From TID,From JID,To TID,To JID
0,0,2,18
0,0,9,81
0,0,1,9
0,0,3,27
0,0,4,36
0,1,2,19
0,1,9,82
0,1,1,10
0,1,3,28
0,1,4,37
0,2,2,20
0,2,9,83
0,2,1,11
0,2,3,29
0,2,4,38
0,3,2,21
0,3,9,84
0,3,1,12
0,3,3,30
0,3,4,39
0,4,2,22
0,4,9,85
0,4,1,13
0,4,3,31
0,4,4,40
0,5,2,23
0,5,9,86
0,5,1,14
0,5,3,32
0,5,4,41
0,6,2,24
0,6,9,87
0,6,1,15
0,6,3,33
0,6,4,42
0,7,2,25
0,7,9,88
0,7,1,16
0,7,3,34
0,7,4,43
0,8,2,26
0,8,9,89
0,8,1,17
0,8,3,35
0,8,4,44
2,18,4,36
2,18,8,72
2,19,4,37
2,19,8,73
2,20,4,38
2,20,8,74
2,21,4,39
2,21,8,75
2,22,4,40
2,22,8,76
2,23,4,41
2,23,8,77
2,24,4,42
2,24,8,78
2,25,4,43
2,25,8,79
2,26,4,44
2,26,8,80
3,27,1,9
3,28,1,10
3,29,1,11
3,30,1,12
3,31,1,13
3,32,1,14
3,33,1,15
3,34,1,16
3,35,1,17
4,36,6,54
4,36,7,63
4,36,5,45
4,37,6,55
4,37,7,64
4,37,5,46
4,38,6,56
4,38,7,65
4,38,5,47
4,39,6,57
4,39,7,66
4,39,5,48
4,40,6,58
4,40,7,67
4,40,5,49
4,41,6,59
4,41,7,68
4,41,5,50
4,42,6,60
4,42,7,69
4,42,5,51
4,43,6,61
4,43,7,70
4,43,5,52
4,44,6,62
4,44,7,71
4,44,5,53
5,45,3,27
5,45,1,9
5,46,3,28
5,46,1,10
5,47,3,29
5,47,1,11
5,48,3,30
5,48,1,12
5,49,3,31
5,49,1,13
5,50,3,32
5,50,1,14
5,51,3,33
5,51,1,15
5,52,3,34
5,52,1,16
5,53,3,35
5,53,1,17
6,54,5,45
6,54,1,9
6,55,5,46
6,55,1,10
6,56,5,47
6,56,1,11
6,57,5,48
6,57,1,12
6,58,5,49
6,58,1,13
6,59,5,50
6,59,1,14
6,60,5,51
6,60,1,15
6,61,5,52
6,61,1,16
6,62,5,53
6,62,1,17
7,63,5,45
7,63,1,9
7,64,5,46
7,64,1,10
7,65,5,47
7,65,1,11
7,66,5,48
7,66,1,12
7,67,5,49
7,67,1,13
7,68,5,50
7,68,1,14
7,69,5,51
7,69,1,15
7,70,5,52
7,70,1,16
7,71,5,53
7,71,1,17
8,72,3,27
8,72,5,45
8,72,6,54
8,73,3,28
8,73,5,46
8,73,6,55
8,74,3,29
8,74,5,47
8,74,6,56
8,75,3,30
8,75,5,48
8,75,6,57
8,76,3,31
8,76,5,49
8,76,6,58
8,77,3,32
8,77,5,50
8,77,6,59
8,78,3,33
8,78,5,51
8,78,6,60
8,79,3,34
8,79,5,52
8,79,6,61
8,80,3,35
8,80,5,53
8,80,6,62
9,81,1,9
9,81,3,27
9,81,6,54
9,81,7,63
9,82,1,10
9,82,3,28
9,82,6,55
9,82,7,64
9,83,1,11
9,83,3,29
9,83,6,56
9,83,7,65
9,84,1,12
9,84,3,30
9,84,6,57
9,84,7,66
9,85,1,13
9,85,3,31
9,85,6,58
9,85,7,67
9,86,1,14
9,86,3,32
9,86,6,59
9,86,7,68
9,87,1,15
9,87,3,33
9,87,6,60
9,87,7,69
9,88,1,16
9,88,3,34
9,88,6,61
9,88,7,70
9,89,1,17
9,89,3,35
9,89,6,62
9,89,7,71
10,90,12,102
10,90,20,150
10,90,21,156
10,90,11,96
10,90,13,108
10,90,15,120
10,90,18,138
10,91,12,103
10,91,20,151
10,91,21,157
10,91,11,97
10,91,13,109
10,91,15,121
10,91,18,139
10,92,12,104
10,92,20,152
10,92,21,158
10,92,11,98
10,92,13,110
10,92,15,122
10,92,18,140
10,93,12,105
10,93,20,153
10,93,21,159
10,93,11,99
10,93,13,111
10,93,15,123
10,93,18,141
10,94,12,106
10,94,20,154
10,94,21,160
10,94,11,100
10,94,13,112
10,94,15,124
10,94,18,142
10,95,12,107
10,95,20,155
10,95,21,161
10,95,11,101
10,95,13,113
10,95,15,125
10,95,18,143
12,102,14,114
12,102,18,138
12,102,19,144
12,102,11,96
12,102,13,108
12,103,14,115
12,103,18,139
12,103,19,145
12,103,11,97
12,103,13,109
12,104,14,116
12,104,18,140
12,104,19,146
12,104,11,98
12,104,13,110
12,105,14,117
12,105,18,141
12,105,19,147
12,105,11,99
12,105,13,111
12,106,14,118
12,106,18,142
12,106,19,148
12,106,11,100
12,106,13,112
12,107,14,119
12,107,18,143
12,107,19,149
12,107,11,101
12,107,13,113
13,108,11,96
13,109,11,97
13,110,11,98
13,111,11,99
13,112,11,100
13,113,11,101
14,114,16,126
14,114,17,132
14,114,13,108
14,115,16,127
14,115,17,133
14,115,13,109
14,116,16,128
14,116,17,134
14,116,13,110
14,117,16,129
14,117,17,135
14,117,13,111
14,118,16,130
14,118,17,136
14,118,13,112
14,119,16,131
14,119,17,137
14,119,13,113
15,120,13,108
15,120,11,96
15,121,13,109
15,121,11,97
15,122,13,110
