Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,5000,309,3092,50000,50000
0,1,50000,55000,309,3092,100000,50000
0,2,100000,105000,309,3092,150000,50000
0,3,150000,155000,309,3092,200000,50000
0,4,200000,205000,309,3092,250000,50000
0,5,250000,255000,309,3092,300000,50000
0,6,300000,305000,309,3092,350000,50000
0,7,350000,355000,309,3092,400000,50000
0,8,400000,405000,309,3092,450000,50000
0,9,450000,455000,309,3092,500000,50000
0,10,500000,505000,309,3092,550000,50000
0,11,550000,555000,309,3092,600000,50000
0,12,600000,605000,309,3092,650000,50000
0,13,650000,655000,309,3092,700000,50000
0,14,700000,705000,309,3092,750000,50000
0,15,750000,755000,309,3092,800000,50000
0,16,800000,805000,309,3092,850000,50000
0,17,850000,855000,309,3092,900000,50000
1,18,0,5000,658,6583,50000,50000
1,19,50000,55000,658,6583,100000,50000
1,20,100000,105000,658,6583,150000,50000
1,21,150000,155000,658,6583,200000,50000
1,22,200000,205000,658,6583,250000,50000
1,23,250000,255000,658,6583,300000,50000
1,24,300000,305000,658,6583,350000,50000
1,25,350000,355000,658,6583,400000,50000
1,26,400000,405000,658,6583,450000,50000
1,27,450000,455000,658,6583,500000,50000
1,28,500000,505000,658,6583,550000,50000
1,29,550000,555000,658,6583,600000,50000
1,30,600000,605000,658,6583,650000,50000
1,31,650000,655000,658,6583,700000,50000
1,32,700000,705000,658,6583,750000,50000
1,33,750000,755000,658,6583,800000,50000
1,34,800000,805000,658,6583,850000,50000
1,35,850000,855000,658,6583,900000,50000
2,36,0,5000,1042,10421,50000,50000
2,37,50000,55000,1042,10421,100000,50000
2,38,100000,105000,1042,10421,150000,50000
2,39,150000,155000,1042,10421,200000,50000
2,40,200000,205000,1042,10421,250000,50000
2,41,250000,255000,1042,10421,300000,50000
2,42,300000,305000,1042,10421,350000,50000
2,43,350000,355000,1042,10421,400000,50000
2,44,400000,405000,1042,10421,450000,50000
2,45,450000,455000,1042,10421,500000,50000
2,46,500000,505000,1042,10421,550000,50000
2,47,550000,555000,1042,10421,600000,50000
2,48,600000,605000,1042,10421,650000,50000
2,49,650000,655000,1042,10421,700000,50000
2,50,700000,705000,1042,10421,750000,50000
2,51,750000,755000,1042,10421,800000,50000
2,52,800000,805000,1042,10421,850000,50000
2,53,850000,855000,1042,10421,900000,50000
3,54,0,5000,199,1985,50000,50000
3,55,50000,55000,199,1985,100000,50000
3,56,100000,105000,199,1985,150000,50000
3,57,150000,155000,199,1985,200000,50000
3,58,200000,205000,199,1985,250000,50000
3,59,250000,255000,199,1985,300000,50000
3,60,300000,305000,199,1985,350000,50000
3,61,350000,355000,199,1985,400000,50000
3,62,400000,405000,199,1985,450000,50000
3,63,450000,455000,199,1985,500000,50000
3,64,500000,505000,199,1985,550000,50000
3,65,550000,555000,199,1985,600000,50000
3,66,600000,605000,199,1985,650000,50000
3,67,650000,655000,199,1985,700000,50000
3,68,700000,705000,199,1985,750000,50000
3,69,750000,755000,199,1985,800000,50000
3,70,800000,805000,199,1985,850000,50000
3,71,850000,855000,199,1985,900000,50000
4,72,0,5000,565,5646,50000,50000
4,73,50000,55000,565,5646,100000,50000
4,74,100000,105000,565,5646,150000,50000
4,75,150000,155000,565,5646,200000,50000
4,76,200000,205000,565,5646,250000,50000
4,77,250000,255000,565,5646,300000,50000
4,78,300000,305000,565,5646,350000,50000
4,79,350000,355000,565,5646,400000,50000
4,80,400000,405000,565,5646,450000,50000
4,81,450000,455000,565,5646,500000,50000
4,82,500000,505000,565,5646,550000,50000
4,83,550000,555000,565,5646,600000,50000
4,84,600000,605000,565,5646,650000,50000
4,85,650000,655000,565,5646,700000,50000
4,86,700000,705000,565,5646,750000,50000
4,87,750000,755000,565,5646,800000,50000
4,88,800000,805000,565,5646,850000,50000
4,89,850000,855000,565,5646,900000,50000
5,90,0,5000,83,832,50000,50000
5,91,50000,55000,83,832,100000,50000
5,92,100000,105000,83,832,150000,50000
5,93,150000,155000,83,832,200000,50000
5,94,200000,205000,83,832,250000,50000
5,95,250000,255000,83,832,300000,50000
5,96,300000,305000,83,832,350000,50000
5,97,350000,355000,83,832,400000,50000
5,98,400000,405000,83,832,450000,50000
5,99,450000,455000,83,832,500000,50000
5,100,500000,505000,83,832,550000,50000
5,101,550000,555000,83,832,600000,50000
5,102,600000,605000,83,832,650000,50000
5,103,650000,655000,83,832,700000,50000
5,104,700000,705000,83,832,750000,50000
5,105,750000,755000,83,832,800000,50000
5,106,800000,805000,83,832,850000,50000
5,107,850000,855000,83,832,900000,50000
6,108,0,5000,764,7641,50000,50000
6,109,50000,55000,764,7641,100000,50000
6,110,100000,105000,764,7641,150000,50000
6,111,150000,155000,764,7641,200000,50000
6,112,200000,205000,764,7641,250000,50000
6,113,250000,255000,764,7641,300000,50000
6,114,300000,305000,764,7641,350000,50000
6,115,350000,355000,764,7641,400000,50000
6,116,400000,405000,764,7641,450000,50000
6,117,450000,455000,764,7641,500000,50000
6,118,500000,505000,764,7641,550000,50000
6,119,550000,555000,764,7641,600000,50000
6,120,600000,605000,764,7641,650000,50000
6,121,650000,655000,764,7641,700000,50000
6,122,700000,705000,764,7641,750000,50000
6,123,750000,755000,764,7641,800000,50000
6,124,800000,805000,764,7641,850000,50000
6,125,850000,855000,764,7641,900000,50000
7,126,0,5000,509,5091,50000,50000
7,127,50000,55000,509,5091,100000,50000
7,128,100000,105000,509,5091,150000,50000
7,129,150000,155000,509,5091,200000,50000
7,130,200000,205000,509,5091,250000,50000
7,131,250000,255000,509,5091,300000,50000
7,132,300000,305000,509,5091,350000,50000
7,133,350000,355000,509,5091,400000,50000
7,134,400000,405000,509,5091,450000,50000
7,135,450000,455000,509,5091,500000,50000
7,136,500000,505000,509,5091,550000,50000
7,137,550000,555000,509,5091,600000,50000
7,138,600000,605000,509,5091,650000,50000
7,139,650000,655000,509,5091,700000,50000
7,140,700000,705000,509,5091,750000,50000
7,141,750000,755000,509,5091,800000,50000
7,142,800000,805000,509,5091,850000,50000
7,143,850000,855000,509,5091,900000,50000
8,144,0,5000,691,6914,50000,50000
8,145,50000,55000,691,6914,100000,50000
8,146,100000,105000,691,6914,150000,50000
8,147,150000,155000,691,6914,200000,50000
8,148,200000,205000,691,6914,250000,50000
8,149,250000,255000,691,6914,300000,50000
8,150,300000,305000,691,6914,350000,50000
8,151,350000,355000,691,6914,400000,50000
8,152,400000,405000,691,6914,450000,50000
8,153,450000,455000,691,6914,500000,50000
8,154,500000,505000,691,6914,550000,50000
8,155,550000,555000,691,6914,600000,50000
8,156,600000,605000,691,6914,650000,50000
8,157,650000,655000,691,6914,700000,50000
8,158,700000,705000,691,6914,750000,50000
8,159,750000,755000,691,6914,800000,50000
8,160,800000,805000,691,6914,850000,50000
8,161,850000,855000,691,6914,900000,50000
9,162,0,5000,35,349,50000,50000
9,163,50000,55000,35,349,100000,50000
9,164,100000,105000,35,349,150000,50000
9,165,150000,155000,35,349,200000,50000
9,166,200000,205000,35,349,250000,50000
9,167,250000,255000,35,349,300000,50000
9,168,300000,305000,35,349,350000,50000
9,169,350000,355000,35,349,400000,50000
9,170,400000,405000,35,349,450000,50000
9,171,450000,455000,35,349,500000,50000
9,172,500000,505000,35,349,550000,50000
9,173,550000,555000,35,349,600000,50000
9,174,600000,605000,35,349,650000,50000
9,175,650000,655000,35,349,700000,50000
9,176,700000,705000,35,349,750000,50000
9,177,750000,755000,35,349,800000,50000
9,178,800000,805000,35,349,850000,50000
9,179,850000,855000,35,349,900000,50000
10,180,0,5000,679,6787,50000,50000
10,181,50000,55000,679,6787,100000,50000
10,182,100000,105000,679,6787,150000,50000
10,183,150000,155000,679,6787,200000,50000
10,184,200000,205000,679,6787,250000,50000
10,185,250000,255000,679,6787,300000,50000
10,186,300000,305000,679,6787,350000,50000
10,187,350000,355000,679,6787,400000,50000
10,188,400000,405000,679,6787,450000,50000
10,189,450000,455000,679,6787,500000,50000
10,190,500000,505000,679,6787,550000,50000
10,191,550000,555000,679,6787,600000,50000
10,192,600000,605000,679,6787,650000,50000
10,193,650000,655000,679,6787,700000,50000
10,194,700000,705000,679,6787,750000,50000
10,195,750000,755000,679,6787,800000,50000
10,196,800000,805000,679,6787,850000,50000
10,197,850000,855000,679,6787,900000,50000
11,198,0,5000,220,2199,50000,50000
11,199,50000,55000,220,2199,100000,50000
11,200,100000,105000,220,2199,150000,50000
11,201,150000,155000,220,2199,200000,50000
11,202,200000,205000,220,2199,250000,50000
11,203,250000,255000,220,2199,300000,50000
11,204,300000,305000,220,2199,350000,50000
11,205,350000,355000,220,2199,400000,50000
11,206,400000,405000,220,2199,450000,50000
11,207,450000,455000,220,2199,500000,50000
11,208,500000,505000,220,2199,550000,50000
11,209,550000,555000,220,2199,600000,50000
11,210,600000,605000,220,2199,650000,50000
11,211,650000,655000,220,2199,700000,50000
11,212,700000,705000,220,2199,750000,50000
11,213,750000,755000,220,2199,800000,50000
11,214,800000,805000,220,2199,850000,50000
11,215,850000,855000,220,2199,900000,50000
12,216,0,5000,145,1446,50000,50000
12,217,50000,55000,145,1446,100000,50000
12,218,100000,105000,145,1446,150000,50000
12,219,150000,155000,145,1446,200000,50000
12,220,200000,205000,145,1446,250000,50000
12,221,250000,255000,145,1446,300000,50000
12,222,300000,305000,145,1446,350000,50000
12,223,350000,355000,145,1446,400000,50000
12,224,400000,405000,145,1446,450000,50000
12,225,450000,455000,145,1446,500000,50000
12,226,500000,505000,145,1446,550000,50000
12,227,550000,555000,145,1446,600000,50000
12,228,600000,605000,145,1446,650000,50000
12,229,650000,655000,145,1446,700000,50000
12,230,700000,705000,145,1446,750000,50000
12,231,750000,755000,145,1446,800000,50000
12,232,800000,805000,145,1446,850000,50000
12,233,850000,855000,145,1446,900000,50000
13,234,0,5000,96,963,50000,50000
13,235,50000,55000,96,963,100000,50000
13,236,100000,105000,96,963,150000,50000
13,237,150000,155000,96,963,200000,50000
13,238,200000,205000,96,963,250000,50000
13,239,250000,255000,96,963,300000,50000
13,240,300000,305000,96,963,350000,50000
13,241,350000,355000,96,963,400000,50000
13,242,400000,405000,96,963,450000,50000
13,243,450000,455000,96,963,500000,50000
13,244,500000,505000,96,963,550000,50000
13,245,550000,555000,96,963,600000,50000
13,246,600000,605000,96,963,650000,50000
13,247,650000,655000,96,963,700000,50000
13,248,700000,705000,96,963,750000,50000
13,249,750000,755000,96,963,800000,50000
13,250,800000,805000,96,963,850000,50000
13,251,850000,855000,96,963,900000,50000
14,252,0,5000,307,3075,50000,50000
14,253,50000,55000,307,3075,100000,50000
14,254,100000,105000,307,3075,150000,50000
14,255,150000,155000,307,3075,200000,50000
14,256,200000,205000,307,3075,250000,50000
14,257,250000,255000,307,3075,300000,50000
14,258,300000,305000,307,3075,350000,50000
14,259,350000,355000,307,3075,400000,50000
14,260,400000,405000,307,3075,450000,50000
14,261,450000,455000,307,3075,500000,50000
14,262,500000,505000,307,3075,550000,50000
14,263,550000,555000,307,3075,600000,50000
14,264,600000,605000,307,3075,650000,50000
14,265,650000,655000,307,3075,700000,50000
14,266,700000,705000,307,3075,750000,50000
14,267,750000,755000,307,3075,800000,50000
14,268,800000,805000,307,3075,850000,50000
14,269,850000,855000,307,3075,900000,50000
15,270,0,6000,459,4586,60000,60000
15,271,60000,66000,459,4586,120000,60000
15,272,120000,126000,459,4586,180000,60000
15,273,180000,186000,459,4586,240000,60000
15,274,240000,246000,459,4586,300000,60000
15,275,300000,306000,459,4586,360000,60000
15,276,360000,366000,459,4586,420000,60000
15,277,420000,426000,459,4586,480000,60000
15,278,480000,486000,459,4586,540000,60000
15,279,540000,546000,459,4586,600000,60000
15,280,600000,606000,459,4586,660000,60000
15,281,660000,666000,459,4586,720000,60000
15,282,720000,726000,459,4586,780000,60000
15,283,780000,786000,459,4586,840000,60000
15,284,840000,846000,459,4586,900000,60000
16,285,0,6000,268,2680,60000,60000
16,286,60000,66000,268,2680,120000,60000
16,287,120000,126000,268,2680,180000,60000
16,288,180000,186000,268,2680,240000,60000
16,289,240000,246000,268,2680,300000,60000
16,290,300000,306000,268,2680,360000,60000
16,291,360000,366000,268,2680,420000,60000
16,292,420000,426000,268,2680,480000,60000
16,293,480000,486000,268,2680,540000,60000
16,294,540000,546000,268,2680,600000,60000
16,295,600000,606000,268,2680,660000,60000
16,296,660000,666000,268,2680,720000,60000
16,297,720000,726000,268,2680,780000,60000
16,298,780000,786000,268,2680,840000,60000
16,299,840000,846000,268,2680,900000,60000
17,300,0,6000,751,7512,60000,60000
17,301,60000,66000,751,7512,120000,60000
17,302,120000,126000,751,7512,180000,60000
17,303,180000,186000,751,7512,240000,60000
