Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,44,445,20000,20000
0,1,20000,22000,44,445,40000,20000
0,2,40000,42000,44,445,60000,20000
0,3,60000,62000,44,445,80000,20000
0,4,80000,82000,44,445,100000,20000
0,5,100000,102000,44,445,120000,20000
0,6,120000,122000,44,445,140000,20000
0,7,140000,142000,44,445,160000,20000
1,8,0,2000,20,199,20000,20000
1,9,20000,22000,20,199,40000,20000
1,10,40000,42000,20,199,60000,20000
1,11,60000,62000,20,199,80000,20000
1,12,80000,82000,20,199,100000,20000
1,13,100000,102000,20,199,120000,20000
1,14,120000,122000,20,199,140000,20000
1,15,140000,142000,20,199,160000,20000
2,16,0,2000,127,1271,20000,20000
2,17,20000,22000,127,1271,40000,20000
2,18,40000,42000,127,1271,60000,20000
2,19,60000,62000,127,1271,80000,20000
2,20,80000,82000,127,1271,100000,20000
2,21,100000,102000,127,1271,120000,20000
2,22,120000,122000,127,1271,140000,20000
2,23,140000,142000,127,1271,160000,20000
3,24,0,2000,50,502,20000,20000
3,25,20000,22000,50,502,40000,20000
3,26,40000,42000,50,502,60000,20000
3,27,60000,62000,50,502,80000,20000
3,28,80000,82000,50,502,100000,20000
3,29,100000,102000,50,502,120000,20000
3,30,120000,122000,50,502,140000,20000
3,31,140000,142000,50,502,160000,20000
4,32,0,2000,127,1273,20000,20000
4,33,20000,22000,127,1273,40000,20000
4,34,40000,42000,127,1273,60000,20000
4,35,60000,62000,127,1273,80000,20000
4,36,80000,82000,127,1273,100000,20000
4,37,100000,102000,127,1273,120000,20000
4,38,120000,122000,127,1273,140000,20000
4,39,140000,142000,127,1273,160000,20000
5,40,0,2000,33,335,20000,20000
5,41,20000,22000,33,335,40000,20000
5,42,40000,42000,33,335,60000,20000
5,43,60000,62000,33,335,80000,20000
5,44,80000,82000,33,335,100000,20000
5,45,100000,102000,33,335,120000,20000
5,46,120000,122000,33,335,140000,20000
5,47,140000,142000,33,335,160000,20000
6,48,0,2000,120,1199,20000,20000
6,49,20000,22000,120,1199,40000,20000
