From TID,From JID,To TID,To JID
0,0,2,16
0,0,9,72
0,0,4,32
0,0,5,40
0,0,8,64
0,1,2,17
0,1,9,73
0,1,4,33
0,1,5,41
0,1,8,65
0,2,2,18
0,2,9,74
0,2,4,34
0,2,5,42
0,2,8,66
0,3,2,19
0,3,9,75
0,3,4,35
0,3,5,43
0,3,8,67
0,4,2,20
0,4,9,76
0,4,4,36
0,4,5,44
0,4,8,68
0,5,2,21
0,5,9,77
0,5,4,37
0,5,5,45
0,5,8,69
0,6,2,22
0,6,9,78
0,6,4,38
0,6,5,46
0,6,8,70
0,7,2,23
0,7,9,79
0,7,4,39
0,7,5,47
0,7,8,71
2,16,4,32
2,16,8,64
2,16,5,40
2,16,7,56
2,17,4,33
2,17,8,65
2,17,5,41
2,17,7,57
2,18,4,34
2,18,8,66
2,18,5,42
2,18,7,58
2,19,4,35
2,19,8,67
2,19,5,43
2,19,7,59
2,20,4,36
2,20,8,68
2,20,5,44
2,20,7,60
2,21,4,37
2,21,8,69
2,21,5,45
2,21,7,61
2,22,4,38
2,22,8,70
2,22,5,46
2,22,7,62
2,23,4,39
2,23,8,71
2,23,5,47
2,23,7,63
3,24,1,8
3,25,1,9
3,26,1,10
3,27,1,11
3,28,1,12
3,29,1,13
3,30,1,14
3,31,1,15
4,32,6,48
4,32,7,56
4,33,6,49
4,33,7,57
4,34,6,50
4,34,7,58
4,35,6,51
4,35,7,59
4,36,6,52
4,36,7,60
4,37,6,53
4,37,7,61
4,38,6,54
4,38,7,62
4,39,6,55
4,39,7,63
5,40,3,24
5,40,1,8
5,41,3,25
5,41,1,9
5,42,3,26
5,42,1,10
5,43,3,27
5,43,1,11
5,44,3,28
5,44,1,12
5,45,3,29
5,45,1,13
5,46,3,30
5,46,1,14
5,47,3,31
5,47,1,15
6,48,5,40
6,48,3,24
6,49,5,41
6,49,3,25
6,50,5,42
6,50,3,26
6,51,5,43
6,51,3,27
6,52,5,44
6,52,3,28
6,53,5,45
6,53,3,29
6,54,5,46
6,54,3,30
6,55,5,47
6,55,3,31
7,56,5,40
7,56,1,8
7,56,3,24
7,57,5,41
7,57,1,9
7,57,3,25
7,58,5,42
7,58,1,10
7,58,3,26
7,59,5,43
7,59,1,11
7,59,3,27
7,60,5,44
7,60,1,12
7,60,3,28
7,61,5,45
7,61,1,13
7,61,3,29
7,62,5,46
7,62,1,14
7,62,3,30
7,63,5,47
7,63,1,15
7,63,3,31
8,64,3,24
8,64,1,8
8,64,7,56
8,65,3,25
8,65,1,9
8,65,7,57
8,66,3,26
8,66,1,10
8,66,7,58
8,67,3,27
8,67,1,11
8,67,7,59
8,68,3,28
8,68,1,12
8,68,7,60
8,69,3,29
8,69,1,13
8,69,7,61
8,70,3,30
8,70,1,14
8,70,7,62
8,71,3,31
8,71,1,15
8,71,7,63
9,72,1,8
9,72,5,40
9,73,1,9
9,73,5,41
9,74,1,10
9,74,5,42
9,75,1,11
9,75,5,43
9,76,1,12
9,76,5,44
9,77,1,13
9,77,5,45
9,78,1,14
9,78,5,46
9,79,1,15
9,79,5,47
10,80,12,96
10,80,13,104
10,81,12,97
10,81,13,105
10,82,12,98
10,82,13,106
10,83,12,99
10,83,13,107
10,84,12,100
10,84,13,108
10,85,12,101
10,85,13,109
10,86,12,102
10,86,13,110
10,87,12,103
10,87,13,111
12,96,11,88
12,97,11,89
12,98,11,90
12,99,11,91
12,100,11,92
12,101,11,93
12,102,11,94
12,103,11,95
13,104,11,88
13,105,11,89
13,106,11,90
13,107,11,91
13,108,11,92
13,109,11,93
13,110,11,94
13,111,11,95
14,112,16,116
14,112,24,132
14,112,25,134
14,112,17,118
14,112,18,120
14,112,19,122
14,112,21,126
14,112,22,128
14,113,16,117
14,113,24,133
14,113,25,135
14,113,17,119
14,113,18,121
14,113,19,123
14,113,21,127
14,113,22,129
16,116,18,120
16,116,22,128
16,116,23,130
16,116,17,118
16,116,19,122
16,116,20,124
16,116,21,126
16,117,18,121
16,117,22,129
16,117,23,131
16,117,17,119
16,117,19,123
16,117,20,125
16,117,21,127
17,118,15,114
17,119,15,115
18,120,20,124
18,120,21,126
18,120,15,114
18,120,17,118
18,120,19,122
18,121,20,125
18,121,21,127
18,121,15,115
18,121,17,119
18,121,19,123
19,122,17,118
19,123,17,119
20,124,19,122
20,124,17,118
20,125,19,123
20,125,17,119
21,126,19,122
21,126,15,114
21,126,17,118
21,127,19,123
21,127,15,115
21,127,17,119
22,128,17,118
22,129,17,119
23,130,17,118
23,130,21,126
23,131,17,119
23,131,21,127
24,132,15,114
24,132,17,118
24,132,18,120
24,132,19,122
24,132,20,124
24,132,22,128
24,132,23,130
24,133,15,115
24,133,17,119
24,133,18,121
24,133,19,123
24,133,20,125
24,133,22,129
24,133,23,131
25,134,15,114
25,134,21,126
25,134,22,128
25,135,15,115
25,135,21,127
25,135,22,129
26,136,28,138
26,136,37,147
26,136,38,148
26,136,29,139
26,136,30,140
26,136,35,145
28,138,30,140
28,138,31,141
28,138,36,146
28,138,27,137
28,138,33,143
28,138,34,144
29,139,27,137
30,140,29,139
30,140,33,143
30,140,35,145
31,141,33,143
31,141,34,144
31,141,35,145
31,141,27,137
31,141,29,139
31,141,32,142
32,142,29,139
33,143,32,142
33,143,27,137
34,144,32,142
34,144,27,137
34,144,29,139
35,145,32,142
36,146,29,139
36,146,35,145
37,147,27,137
37,147,34,144
37,147,35,145
38,148,27,137
38,148,30,140
38,148,35,145
