Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,216,2158,20000,20000
0,1,20000,22000,216,2158,40000,20000
0,2,40000,42000,216,2158,60000,20000
0,3,60000,62000,216,2158,80000,20000
1,4,0,2000,42,417,20000,20000
1,5,20000,22000,42,417,40000,20000
1,6,40000,42000,42,417,60000,20000
1,7,60000,62000,42,417,80000,20000
2,8,0,2000,50,498,20000,20000
2,9,20000,22000,50,498,40000,20000
2,10,40000,42000,50,498,60000,20000
2,11,60000,62000,50,498,80000,20000
3,12,0,2000,196,1962,20000,20000
3,13,20000,22000,196,1962,40000,20000
3,14,40000,42000,196,1962,60000,20000
3,15,60000,62000,196,1962,80000,20000
4,16,0,2000,187,1871,20000,20000
4,17,20000,22000,187,1871,40000,20000
4,18,40000,42000,187,1871,60000,20000
4,19,60000,62000,187,1871,80000,20000
5,20,0,2000,51,510,20000,20000
5,21,20000,22000,51,510,40000,20000
5,22,40000,42000,51,510,60000,20000
5,23,60000,62000,51,510,80000,20000
6,24,0,2000,152,1518,20000,20000
6,25,20000,22000,152,1518,40000,20000
6,26,40000,42000,152,1518,60000,20000
6,27,60000,62000,152,1518,80000,20000
7,28,0,2000,210,2105,20000,20000
7,29,20000,22000,210,2105,40000,20000
7,30,40000,42000,210,2105,60000,20000
7,31,60000,62000,210,2105,80000,20000
8,32,0,2000,78,776,20000,20000
8,33,20000,22000,78,776,40000,20000
8,34,40000,42000,78,776,60000,20000
8,35,60000,62000,78,776,80000,20000
9,36,0,2000,42,423,20000,20000
9,37,20000,22000,42,423,40000,20000
9,38,40000,42000,42,423,60000,20000
9,39,60000,62000,42,423,80000,20000
10,40,0,4000,316,3157,40000,40000
10,41,40000,44000,316,3157,80000,40000
11,42,0,4000,150,1498,40000,40000
11,43,40000,44000,150,1498,80000,40000
12,44,0,4000,249,2490,40000,40000
12,45,40000,44000,249,2490,80000,40000
13,46,0,4000,174,1745,40000,40000
13,47,40000,44000,174,1745,80000,40000
14,48,0,4000,21,210,40000,40000
14,49,40000,44000,21,210,80000,40000
15,50,0,4000,39,390,40000,40000
15,51,40000,44000,39,390,80000,40000
16,52,0,4000,265,2653,40000,40000
16,53,40000,44000,265,2653,80000,40000
17,54,0,4000,333,3329,40000,40000
17,55,40000,44000,333,3329,80000,40000
18,56,0,4000,5,47,40000,40000
18,57,40000,44000,5,47,80000,40000
19,58,0,4000,111,1107,40000,40000
19,59,40000,44000,111,1107,80000,40000
20,60,0,4000,280,2799,40000,40000
20,61,40000,44000,280,2799,80000,40000
21,62,0,4000,86,861,40000,40000
21,63,40000,44000,86,861,80000,40000
22,64,0,4000,245,2447,40000,40000
22,65,40000,44000,245,2447,80000,40000
23,66,0,8000,3197,31965,80000,80000
24,67,0,8000,1680,16803,80000,80000
25,68,0,8000,73,730,80000,80000
26,69,0,8000,2083,20831,80000,80000
27,70,0,8000,110,1099,80000,80000
28,71,0,8000,298,2981,80000,80000
29,72,0,8000,831,8306,80000,80000
30,73,0,8000,799,7986,80000,80000
31,74,0,8000,889,8885,80000,80000
32,75,0,8000,319,3192,80000,80000
33,76,0,8000,328,3278,80000,80000
34,77,0,8000,597,5966,80000,80000
35,78,0,8000,25,247,80000,80000
36,79,0,8000,104,1035,80000,80000
37,80,0,8000,158,1583,80000,80000
38,81,0,8000,815,8146,80000,80000
39,82,0,8000,652,6523,80000,80000
