From TID,From JID,To TID,To JID
0,0,2,84
0,0,3,126
0,0,1,42
0,0,6,252
0,0,7,294
0,0,10,420
0,1,2,85
0,1,3,127
0,1,1,43
0,1,6,253
0,1,7,295
0,1,10,421
0,2,2,86
0,2,3,128
0,2,1,44
0,2,6,254
0,2,7,296
0,2,10,422
0,3,2,87
0,3,3,129
0,3,1,45
0,3,6,255
0,3,7,297
0,3,10,423
0,4,2,88
0,4,3,130
0,4,1,46
0,4,6,256
0,4,7,298
0,4,10,424
0,5,2,89
0,5,3,131
0,5,1,47
0,5,6,257
0,5,7,299
0,5,10,425
0,6,2,90
0,6,3,132
0,6,1,48
0,6,6,258
0,6,7,300
0,6,10,426
0,7,2,91
0,7,3,133
0,7,1,49
0,7,6,259
0,7,7,301
0,7,10,427
0,8,2,92
0,8,3,134
0,8,1,50
0,8,6,260
0,8,7,302
0,8,10,428
0,9,2,93
0,9,3,135
0,9,1,51
0,9,6,261
0,9,7,303
0,9,10,429
0,10,2,94
0,10,3,136
0,10,1,52
0,10,6,262
0,10,7,304
0,10,10,430
0,11,2,95
0,11,3,137
0,11,1,53
0,11,6,263
0,11,7,305
0,11,10,431
0,12,2,96
0,12,3,138
0,12,1,54
0,12,6,264
0,12,7,306
0,12,10,432
0,13,2,97
0,13,3,139
0,13,1,55
0,13,6,265
0,13,7,307
0,13,10,433
0,14,2,98
0,14,3,140
0,14,1,56
0,14,6,266
0,14,7,308
0,14,10,434
0,15,2,99
0,15,3,141
0,15,1,57
0,15,6,267
0,15,7,309
0,15,10,435
0,16,2,100
0,16,3,142
0,16,1,58
0,16,6,268
0,16,7,310
0,16,10,436
0,17,2,101
0,17,3,143
0,17,1,59
0,17,6,269
0,17,7,311
0,17,10,437
0,18,2,102
0,18,3,144
0,18,1,60
0,18,6,270
0,18,7,312
0,18,10,438
0,19,2,103
0,19,3,145
0,19,1,61
0,19,6,271
0,19,7,313
0,19,10,439
0,20,2,104
0,20,3,146
0,20,1,62
0,20,6,272
0,20,7,314
0,20,10,440
0,21,2,105
0,21,3,147
0,21,1,63
0,21,6,273
0,21,7,315
0,21,10,441
0,22,2,106
0,22,3,148
0,22,1,64
0,22,6,274
0,22,7,316
0,22,10,442
0,23,2,107
0,23,3,149
0,23,1,65
0,23,6,275
0,23,7,317
0,23,10,443
0,24,2,108
0,24,3,150
0,24,1,66
0,24,6,276
0,24,7,318
0,24,10,444
0,25,2,109
0,25,3,151
0,25,1,67
0,25,6,277
0,25,7,319
0,25,10,445
0,26,2,110
0,26,3,152
0,26,1,68
0,26,6,278
0,26,7,320
0,26,10,446
0,27,2,111
0,27,3,153
0,27,1,69
0,27,6,279
0,27,7,321
0,27,10,447
0,28,2,112
0,28,3,154
0,28,1,70
0,28,6,280
0,28,7,322
0,28,10,448
0,29,2,113
0,29,3,155
0,29,1,71
0,29,6,281
0,29,7,323
0,29,10,449
0,30,2,114
0,30,3,156
0,30,1,72
0,30,6,282
0,30,7,324
0,30,10,450
0,31,2,115
0,31,3,157
0,31,1,73
0,31,6,283
0,31,7,325
0,31,10,451
0,32,2,116
0,32,3,158
0,32,1,74
0,32,6,284
0,32,7,326
0,32,10,452
0,33,2,117
0,33,3,159
0,33,1,75
0,33,6,285
0,33,7,327
0,33,10,453
0,34,2,118
0,34,3,160
0,34,1,76
0,34,6,286
0,34,7,328
0,34,10,454
0,35,2,119
0,35,3,161
0,35,1,77
0,35,6,287
0,35,7,329
0,35,10,455
0,36,2,120
0,36,3,162
0,36,1,78
0,36,6,288
0,36,7,330
0,36,10,456
0,37,2,121
0,37,3,163
0,37,1,79
0,37,6,289
0,37,7,331
0,37,10,457
0,38,2,122
0,38,3,164
0,38,1,80
0,38,6,290
0,38,7,332
0,38,10,458
0,39,2,123
0,39,3,165
0,39,1,81
0,39,6,291
0,39,7,333
0,39,10,459
0,40,2,124
0,40,3,166
0,40,1,82
0,40,6,292
0,40,7,334
0,40,10,460
0,41,2,125
0,41,3,167
0,41,1,83
0,41,6,293
0,41,7,335
0,41,10,461
2,84,1,42
2,84,6,252
2,84,7,294
2,84,8,336
2,84,10,420
2,85,1,43
2,85,6,253
2,85,7,295
2,85,8,337
2,85,10,421
2,86,1,44
2,86,6,254
2,86,7,296
2,86,8,338
2,86,10,422
2,87,1,45
2,87,6,255
2,87,7,297
2,87,8,339
2,87,10,423
2,88,1,46
2,88,6,256
2,88,7,298
2,88,8,340
2,88,10,424
2,89,1,47
2,89,6,257
2,89,7,299
2,89,8,341
2,89,10,425
2,90,1,48
2,90,6,258
2,90,7,300
2,90,8,342
2,90,10,426
2,91,1,49
2,91,6,259
2,91,7,301
2,91,8,343
2,91,10,427
2,92,1,50
2,92,6,260
2,92,7,302
2,92,8,344
2,92,10,428
2,93,1,51
2,93,6,261
2,93,7,303
2,93,8,345
2,93,10,429
2,94,1,52
2,94,6,262
2,94,7,304
2,94,8,346
2,94,10,430
2,95,1,53
2,95,6,263
2,95,7,305
2,95,8,347
2,95,10,431
2,96,1,54
2,96,6,264
2,96,7,306
2,96,8,348
2,96,10,432
2,97,1,55
2,97,6,265
2,97,7,307
2,97,8,349
2,97,10,433
2,98,1,56
2,98,6,266
2,98,7,308
2,98,8,350
2,98,10,434
2,99,1,57
2,99,6,267
2,99,7,309
2,99,8,351
2,99,10,435
2,100,1,58
2,100,6,268
2,100,7,310
2,100,8,352
2,100,10,436
2,101,1,59
2,101,6,269
2,101,7,311
2,101,8,353
2,101,10,437
2,102,1,60
2,102,6,270
2,102,7,312
2,102,8,354
2,102,10,438
2,103,1,61
2,103,6,271
2,103,7,313
2,103,8,355
2,103,10,439
2,104,1,62
2,104,6,272
2,104,7,314
2,104,8,356
2,104,10,440
2,105,1,63
2,105,6,273
2,105,7,315
2,105,8,357
2,105,10,441
2,106,1,64
2,106,6,274
2,106,7,316
2,106,8,358
2,106,10,442
2,107,1,65
2,107,6,275
2,107,7,317
2,107,8,359
2,107,10,443
2,108,1,66
2,108,6,276
2,108,7,318
2,108,8,360
2,108,10,444
2,109,1,67
2,109,6,277
2,109,7,319
2,109,8,361
2,109,10,445
2,110,1,68
2,110,6,278
2,110,7,320
2,110,8,362
2,110,10,446
2,111,1,69
2,111,6,279
2,111,7,321
2,111,8,363
2,111,10,447
2,112,1,70
2,112,6,280
2,112,7,322
2,112,8,364
2,112,10,448
2,113,1,71
2,113,6,281
2,113,7,323
2,113,8,365
2,113,10,449
2,114,1,72
2,114,6,282
2,114,7,324
2,114,8,366
2,114,10,450
2,115,1,73
2,115,6,283
2,115,7,325
2,115,8,367
2,115,10,451
2,116,1,74
2,116,6,284
2,116,7,326
2,116,8,368
2,116,10,452
2,117,1,75
2,117,6,285
2,117,7,327
2,117,8,369
2,117,10,453
2,118,1,76
2,118,6,286
2,118,7,328
2,118,8,370
2,118,10,454
2,119,1,77
2,119,6,287
2,119,7,329
2,119,8,371
2,119,10,455
2,120,1,78
2,120,6,288
2,120,7,330
2,120,8,372
2,120,10,456
2,121,1,79
2,121,6,289
2,121,7,331
2,121,8,373
2,121,10,457
2,122,1,80
2,122,6,290
2,122,7,332
2,122,8,374
2,122,10,458
2,123,1,81
2,123,6,291
2,123,7,333
2,123,8,375
2,123,10,459
2,124,1,82
2,124,6,292
2,124,7,334
2,124,8,376
2,124,10,460
2,125,1,83
2,125,6,293
2,125,7,335
2,125,8,377
2,125,10,461
3,126,5,210
3,126,6,252
3,126,8,336
3,126,10,420
3,127,5,211
3,127,6,253
3,127,8,337
3,127,10,421
3,128,5,212
3,128,6,254
3,128,8,338
3,128,10,422
3,129,5,213
3,129,6,255
3,129,8,339
3,129,10,423
3,130,5,214
3,130,6,256
3,130,8,340
3,130,10,424
3,131,5,215
3,131,6,257
3,131,8,341
3,131,10,425
3,132,5,216
3,132,6,258
3,132,8,342
3,132,10,426
3,133,5,217
3,133,6,259
3,133,8,343
3,133,10,427
3,134,5,218
3,134,6,260
3,134,8,344
3,134,10,428
3,135,5,219
3,135,6,261
3,135,8,345
3,135,10,429
3,136,5,220
3,136,6,262
3,136,8,346
3,136,10,430
3,137,5,221
3,137,6,263
3,137,8,347
3,137,10,431
3,138,5,222
3,138,6,264
3,138,8,348
3,138,10,432
3,139,5,223
3,139,6,265
3,139,8,349
3,139,10,433
3,140,5,224
3,140,6,266
3,140,8,350
3,140,10,434
3,141,5,225
3,141,6,267
3,141,8,351
3,141,10,435
3,142,5,226
3,142,6,268
3,142,8,352
3,142,10,436
3,143,5,227
3,143,6,269
3,143,8,353
3,143,10,437
3,144,5,228
3,144,6,270
3,144,8,354
3,144,10,438
3,145,5,229
3,145,6,271
3,145,8,355
3,145,10,439
3,146,5,230
3,146,6,272
3,146,8,356
3,146,10,440
3,147,5,231
3,147,6,273
3,147,8,357
3,147,10,441
3,148,5,232
3,148,6,274
3,148,8,358
3,148,10,442
3,149,5,233
3,149,6,275
3,149,8,359
3,149,10,443
3,150,5,234
3,150,6,276
3,150,8,360
3,150,10,444
3,151,5,235
3,151,6,277
3,151,8,361
3,151,10,445
3,152,5,236
3,152,6,278
3,152,8,362
3,152,10,446
3,153,5,237
3,153,6,279
3,153,8,363
3,153,10,447
3,154,5,238
3,154,6,280
3,154,8,364
3,154,10,448
3,155,5,239
3,155,6,281
3,155,8,365
3,155,10,449
3,156,5,240
3,156,6,282
3,156,8,366
3,156,10,450
3,157,5,241
3,157,6,283
3,157,8,367
3,157,10,451
3,158,5,242
3,158,6,284
3,158,8,368
3,158,10,452
3,159,5,243
3,159,6,285
3,159,8,369
3,159,10,453
3,160,5,244
3,160,6,286
3,160,8,370
3,160,10,454
3,161,5,245
3,161,6,287
3,161,8,371
3,161,10,455
3,162,5,246
3,162,6,288
3,162,8,372
3,162,10,456
3,163,5,247
3,163,6,289
3,163,8,373
3,163,10,457
3,164,5,248
3,164,6,290
3,164,8,374
3,164,10,458
3,165,5,249
3,165,6,291
3,165,8,375
3,165,10,459
3,166,5,250
3,166,6,292
3,166,8,376
3,166,10,460
3,167,5,251
3,167,6,293
3,167,8,377
3,167,10,461
4,168,1,42
4,169,1,43
4,170,1,44
4,171,1,45
4,172,1,46
4,173,1,47
4,174,1,48
4,175,1,49
4,176,1,50
4,177,1,51
4,178,1,52
4,179,1,53
4,180,1,54
4,181,1,55
4,182,1,56
4,183,1,57
4,184,1,58
4,185,1,59
4,186,1,60
4,187,1,61
4,188,1,62
4,189,1,63
4,190,1,64
4,191,1,65
4,192,1,66
4,193,1,67
4,194,1,68
4,195,1,69
4,196,1,70
4,197,1,71
4,198,1,72
4,199,1,73
4,200,1,74
4,201,1,75
4,202,1,76
4,203,1,77
4,204,1,78
4,205,1,79
4,206,1,80
4,207,1,81
4,208,1,82
4,209,1,83
5,210,4,168
5,210,7,294
5,210,10,420
5,211,4,169
5,211,7,295
5,211,10,421
5,212,4,170
5,212,7,296
5,212,10,422
5,213,4,171
5,213,7,297
5,213,10,423
5,214,4,172
5,214,7,298
5,214,10,424
5,215,4,173
5,215,7,299
5,215,10,425
5,216,4,174
5,216,7,300
5,216,10,426
5,217,4,175
5,217,7,301
5,217,10,427
5,218,4,176
5,218,7,302
5,218,10,428
5,219,4,177
5,219,7,303
5,219,10,429
5,220,4,178
5,220,7,304
5,220,10,430
5,221,4,179
5,221,7,305
5,221,10,431
5,222,4,180
5,222,7,306
5,222,10,432
5,223,4,181
5,223,7,307
5,223,10,433
5,224,4,182
5,224,7,308
5,224,10,434
5,225,4,183
5,225,7,309
5,225,10,435
5,226,4,184
5,226,7,310
5,226,10,436
5,227,4,185
5,227,7,311
5,227,10,437
5,228,4,186
5,228,7,312
5,228,10,438
5,229,4,187
5,229,7,313
5,229,10,439
5,230,4,188
5,230,7,314
5,230,10,440
5,231,4,189
5,231,7,315
5,231,10,441
5,232,4,190
5,232,7,316
5,232,10,442
5,233,4,191
5,233,7,317
5,233,10,443
5,234,4,192
5,234,7,318
5,234,10,444
5,235,4,193
5,235,7,319
5,235,10,445
5,236,4,194
5,236,7,320
5,236,10,446
5,237,4,195
5,237,7,321
5,237,10,447
5,238,4,196
5,238,7,322
5,238,10,448
5,239,4,197
5,239,7,323
5,239,10,449
5,240,4,198
5,240,7,324
5,240,10,450
5,241,4,199
5,241,7,325
5,241,10,451
5,242,4,200
5,242,7,326
5,242,10,452
5,243,4,201
5,243,7,327
5,243,10,453
5,244,4,202
5,244,7,328
5,244,10,454
5,245,4,203
5,245,7,329
5,245,10,455
5,246,4,204
5,246,7,330
5,246,10,456
5,247,4,205
5,247,7,331
5,247,10,457
5,248,4,206
5,248,7,332
5,248,10,458
5,249,4,207
5,249,7,333
5,249,10,459
5,250,4,208
5,250,7,334
5,250,10,460
5,251,4,209
5,251,7,335
5,251,10,461
6,252,8,336
6,252,9,378
6,252,10,420
6,252,4,168
6,252,7,294
6,253,8,337
6,253,9,379
6,253,10,421
6,253,4,169
6,253,7,295
6,254,8,338
6,254,9,380
6,254,10,422
6,254,4,170
6,254,7,296
6,255,8,339
6,255,9,381
6,255,10,423
6,255,4,171
6,255,7,297
6,256,8,340
6,256,9,382
6,256,10,424
6,256,4,172
6,256,7,298
6,257,8,341
6,257,9,383
6,257,10,425
6,257,4,173
6,257,7,299
6,258,8,342
6,258,9,384
6,258,10,426
6,258,4,174
6,258,7,300
6,259,8,343
6,259,9,385
6,259,10,427
6,259,4,175
6,259,7,301
6,260,8,344
6,260,9,386
6,260,10,428
6,260,4,176
6,260,7,302
6,261,8,345
6,261,9,387
6,261,10,429
6,261,4,177
6,261,7,303
6,262,8,346
6,262,9,388
6,262,10,430
6,262,4,178
6,262,7,304
6,263,8,347
6,263,9,389
6,263,10,431
6,263,4,179
6,263,7,305
6,264,8,348
6,264,9,390
6,264,10,432
6,264,4,180
6,264,7,306
6,265,8,349
6,265,9,391
6,265,10,433
6,265,4,181
6,265,7,307
6,266,8,350
6,266,9,392
6,266,10,434
6,266,4,182
6,266,7,308
6,267,8,351
6,267,9,393
6,267,10,435
6,267,4,183
6,267,7,309
6,268,8,352
6,268,9,394
6,268,10,436
6,268,4,184
6,268,7,310
6,269,8,353
6,269,9,395
6,269,10,437
6,269,4,185
6,269,7,311
6,270,8,354
6,270,9,396
6,270,10,438
6,270,4,186
6,270,7,312
6,271,8,355
6,271,9,397
6,271,10,439
6,271,4,187
6,271,7,313
6,272,8,356
6,272,9,398
6,272,10,440
6,272,4,188
6,272,7,314
6,273,8,357
6,273,9,399
6,273,10,441
6,273,4,189
6,273,7,315
6,274,8,358
6,274,9,400
6,274,10,442
6,274,4,190
6,274,7,316
6,275,8,359
6,275,9,401
6,275,10,443
6,275,4,191
6,275,7,317
6,276,8,360
6,276,9,402
6,276,10,444
6,276,4,192
6,276,7,318
6,277,8,361
6,277,9,403
6,277,10,445
6,277,4,193
6,277,7,319
6,278,8,362
6,278,9,404
6,278,10,446
6,278,4,194
6,278,7,320
6,279,8,363
6,279,9,405
6,279,10,447
6,279,4,195
6,279,7,321
6,280,8,364
6,280,9,406
6,280,10,448
6,280,4,196
6,280,7,322
6,281,8,365
6,281,9,407
6,281,10,449
6,281,4,197
6,281,7,323
6,282,8,366
6,282,9,408
6,282,10,450
6,282,4,198
6,282,7,324
6,283,8,367
6,283,9,409
6,283,10,451
6,283,4,199
6,283,7,325
6,284,8,368
6,284,9,410
6,284,10,452
6,284,4,200
6,284,7,326
6,285,8,369
6,285,9,411
6,285,10,453
6,285,4,201
6,285,7,327
6,286,8,370
6,286,9,412
6,286,10,454
6,286,4,202
