Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,20,204,10000,10000
0,1,10000,11000,20,204,20000,10000
0,2,20000,21000,20,204,30000,10000
0,3,30000,31000,20,204,40000,10000
0,4,40000,41000,20,204,50000,10000
0,5,50000,51000,20,204,60000,10000
0,6,60000,61000,20,204,70000,10000
0,7,70000,71000,20,204,80000,10000
0,8,80000,81000,20,204,90000,10000
0,9,90000,91000,20,204,100000,10000
0,10,100000,101000,20,204,110000,10000
0,11,110000,111000,20,204,120000,10000
0,12,120000,121000,20,204,130000,10000
0,13,130000,131000,20,204,140000,10000
0,14,140000,141000,20,204,150000,10000
0,15,150000,151000,20,204,160000,10000
0,16,160000,161000,20,204,170000,10000
0,17,170000,171000,20,204,180000,10000
0,18,180000,181000,20,204,190000,10000
0,19,190000,191000,20,204,200000,10000
0,20,200000,201000,20,204,210000,10000
0,21,210000,211000,20,204,220000,10000
0,22,220000,221000,20,204,230000,10000
0,23,230000,231000,20,204,240000,10000
1,24,0,1000,41,414,10000,10000
1,25,10000,11000,41,414,20000,10000
1,26,20000,21000,41,414,30000,10000
1,27,30000,31000,41,414,40000,10000
1,28,40000,41000,41,414,50000,10000
1,29,50000,51000,41,414,60000,10000
1,30,60000,61000,41,414,70000,10000
1,31,70000,71000,41,414,80000,10000
1,32,80000,81000,41,414,90000,10000
1,33,90000,91000,41,414,100000,10000
1,34,100000,101000,41,414,110000,10000
1,35,110000,111000,41,414,120000,10000
1,36,120000,121000,41,414,130000,10000
1,37,130000,131000,41,414,140000,10000
1,38,140000,141000,41,414,150000,10000
1,39,150000,151000,41,414,160000,10000
1,40,160000,161000,41,414,170000,10000
1,41,170000,171000,41,414,180000,10000
1,42,180000,181000,41,414,190000,10000
1,43,190000,191000,41,414,200000,10000
1,44,200000,201000,41,414,210000,10000
1,45,210000,211000,41,414,220000,10000
1,46,220000,221000,41,414,230000,10000
1,47,230000,231000,41,414,240000,10000
2,48,0,1000,53,526,10000,10000
2,49,10000,11000,53,526,20000,10000
2,50,20000,21000,53,526,30000,10000
2,51,30000,31000,53,526,40000,10000
2,52,40000,41000,53,526,50000,10000
2,53,50000,51000,53,526,60000,10000
2,54,60000,61000,53,526,70000,10000
2,55,70000,71000,53,526,80000,10000
2,56,80000,81000,53,526,90000,10000
2,57,90000,91000,53,526,100000,10000
2,58,100000,101000,53,526,110000,10000
2,59,110000,111000,53,526,120000,10000
2,60,120000,121000,53,526,130000,10000
