From TID,From JID,To TID,To JID
0,0,2,48
0,0,13,312
0,0,14,336
0,0,5,120
0,0,6,144
0,0,9,216
0,0,12,288
0,1,2,49
0,1,13,313
0,1,14,337
0,1,5,121
0,1,6,145
0,1,9,217
0,1,12,289
0,2,2,50
0,2,13,314
0,2,14,338
0,2,5,122
0,2,6,146
0,2,9,218
0,2,12,290
0,3,2,51
0,3,13,315
0,3,14,339
0,3,5,123
0,3,6,147
0,3,9,219
0,3,12,291
0,4,2,52
0,4,13,316
0,4,14,340
0,4,5,124
0,4,6,148
0,4,9,220
0,4,12,292
0,5,2,53
0,5,13,317
0,5,14,341
0,5,5,125
0,5,6,149
0,5,9,221
0,5,12,293
0,6,2,54
0,6,13,318
0,6,14,342
0,6,5,126
0,6,6,150
0,6,9,222
0,6,12,294
0,7,2,55
0,7,13,319
0,7,14,343
0,7,5,127
0,7,6,151
0,7,9,223
0,7,12,295
0,8,2,56
0,8,13,320
0,8,14,344
0,8,5,128
0,8,6,152
0,8,9,224
0,8,12,296
0,9,2,57
0,9,13,321
0,9,14,345
0,9,5,129
0,9,6,153
0,9,9,225
0,9,12,297
0,10,2,58
0,10,13,322
0,10,14,346
0,10,5,130
0,10,6,154
0,10,9,226
0,10,12,298
0,11,2,59
0,11,13,323
0,11,14,347
0,11,5,131
0,11,6,155
0,11,9,227
0,11,12,299
0,12,2,60
0,12,13,324
0,12,14,348
0,12,5,132
0,12,6,156
0,12,9,228
0,12,12,300
0,13,2,61
0,13,13,325
0,13,14,349
0,13,5,133
0,13,6,157
0,13,9,229
0,13,12,301
0,14,2,62
0,14,13,326
0,14,14,350
0,14,5,134
0,14,6,158
0,14,9,230
0,14,12,302
0,15,2,63
0,15,13,327
0,15,14,351
0,15,5,135
0,15,6,159
0,15,9,231
0,15,12,303
0,16,2,64
0,16,13,328
0,16,14,352
0,16,5,136
0,16,6,160
0,16,9,232
0,16,12,304
0,17,2,65
0,17,13,329
0,17,14,353
0,17,5,137
0,17,6,161
0,17,9,233
0,17,12,305
0,18,2,66
0,18,13,330
0,18,14,354
0,18,5,138
0,18,6,162
0,18,9,234
0,18,12,306
0,19,2,67
0,19,13,331
0,19,14,355
0,19,5,139
0,19,6,163
0,19,9,235
0,19,12,307
0,20,2,68
0,20,13,332
0,20,14,356
0,20,5,140
0,20,6,164
0,20,9,236
0,20,12,308
0,21,2,69
0,21,13,333
0,21,14,357
0,21,5,141
0,21,6,165
0,21,9,237
0,21,12,309
0,22,2,70
0,22,13,334
0,22,14,358
0,22,5,142
0,22,6,166
0,22,9,238
0,22,12,310
0,23,2,71
0,23,13,335
0,23,14,359
0,23,5,143
0,23,6,167
0,23,9,239
0,23,12,311
2,48,4,96
2,48,8,192
2,48,12,288
2,48,1,24
2,48,3,72
2,48,7,168
2,48,9,216
2,48,10,240
2,48,11,264
2,49,4,97
2,49,8,193
2,49,12,289
2,49,1,25
2,49,3,73
2,49,7,169
2,49,9,217
2,49,10,241
2,49,11,265
2,50,4,98
2,50,8,194
2,50,12,290
2,50,1,26
2,50,3,74
2,50,7,170
2,50,9,218
2,50,10,242
2,50,11,266
2,51,4,99
2,51,8,195
2,51,12,291
2,51,1,27
2,51,3,75
2,51,7,171
2,51,9,219
2,51,10,243
2,51,11,267
2,52,4,100
2,52,8,196
2,52,12,292
2,52,1,28
2,52,3,76
2,52,7,172
2,52,9,220
2,52,10,244
2,52,11,268
2,53,4,101
2,53,8,197
2,53,12,293
2,53,1,29
2,53,3,77
2,53,7,173
2,53,9,221
2,53,10,245
2,53,11,269
2,54,4,102
2,54,8,198
2,54,12,294
2,54,1,30
2,54,3,78
2,54,7,174
2,54,9,222
2,54,10,246
2,54,11,270
2,55,4,103
2,55,8,199
2,55,12,295
2,55,1,31
2,55,3,79
2,55,7,175
2,55,9,223
2,55,10,247
2,55,11,271
2,56,4,104
2,56,8,200
2,56,12,296
2,56,1,32
2,56,3,80
2,56,7,176
2,56,9,224
2,56,10,248
2,56,11,272
2,57,4,105
2,57,8,201
2,57,12,297
2,57,1,33
2,57,3,81
2,57,7,177
2,57,9,225
2,57,10,249
2,57,11,273
2,58,4,106
2,58,8,202
2,58,12,298
2,58,1,34
2,58,3,82
2,58,7,178
2,58,9,226
2,58,10,250
2,58,11,274
2,59,4,107
2,59,8,203
2,59,12,299
2,59,1,35
2,59,3,83
2,59,7,179
2,59,9,227
2,59,10,251
2,59,11,275
2,60,4,108
2,60,8,204
2,60,12,300
2,60,1,36
2,60,3,84
2,60,7,180
2,60,9,228
2,60,10,252
2,60,11,276
2,61,4,109
2,61,8,205
2,61,12,301
2,61,1,37
2,61,3,85
2,61,7,181
2,61,9,229
2,61,10,253
2,61,11,277
2,62,4,110
2,62,8,206
2,62,12,302
2,62,1,38
2,62,3,86
2,62,7,182
2,62,9,230
2,62,10,254
2,62,11,278
2,63,4,111
2,63,8,207
2,63,12,303
2,63,1,39
2,63,3,87
2,63,7,183
2,63,9,231
2,63,10,255
2,63,11,279
2,64,4,112
2,64,8,208
2,64,12,304
2,64,1,40
2,64,3,88
2,64,7,184
2,64,9,232
2,64,10,256
2,64,11,280
2,65,4,113
2,65,8,209
2,65,12,305
2,65,1,41
2,65,3,89
2,65,7,185
2,65,9,233
2,65,10,257
2,65,11,281
2,66,4,114
2,66,8,210
2,66,12,306
2,66,1,42
2,66,3,90
2,66,7,186
2,66,9,234
2,66,10,258
2,66,11,282
2,67,4,115
2,67,8,211
2,67,12,307
2,67,1,43
2,67,3,91
2,67,7,187
2,67,9,235
2,67,10,259
2,67,11,283
2,68,4,116
2,68,8,212
2,68,12,308
2,68,1,44
2,68,3,92
2,68,7,188
2,68,9,236
2,68,10,260
2,68,11,284
2,69,4,117
2,69,8,213
2,69,12,309
2,69,1,45
2,69,3,93
2,69,7,189
2,69,9,237
2,69,10,261
2,69,11,285
2,70,4,118
2,70,8,214
2,70,12,310
2,70,1,46
2,70,3,94
2,70,7,190
2,70,9,238
2,70,10,262
2,70,11,286
2,71,4,119
2,71,8,215
2,71,12,311
2,71,1,47
2,71,3,95
2,71,7,191
2,71,9,239
2,71,10,263
2,71,11,287
3,72,1,24
3,73,1,25
3,74,1,26
3,75,1,27
3,76,1,28
3,77,1,29
3,78,1,30
3,79,1,31
3,80,1,32
3,81,1,33
3,82,1,34
3,83,1,35
3,84,1,36
3,85,1,37
3,86,1,38
3,87,1,39
3,88,1,40
3,89,1,41
3,90,1,42
3,91,1,43
3,92,1,44
3,93,1,45
3,94,1,46
3,95,1,47
4,96,6,144
4,96,7,168
4,96,5,120
4,96,10,240
4,97,6,145
4,97,7,169
4,97,5,121
4,97,10,241
4,98,6,146
4,98,7,170
4,98,5,122
4,98,10,242
4,99,6,147
4,99,7,171
4,99,5,123
4,99,10,243
4,100,6,148
4,100,7,172
4,100,5,124
4,100,10,244
4,101,6,149
4,101,7,173
4,101,5,125
4,101,10,245
4,102,6,150
4,102,7,174
4,102,5,126
4,102,10,246
4,103,6,151
4,103,7,175
4,103,5,127
4,103,10,247
4,104,6,152
4,104,7,176
4,104,5,128
4,104,10,248
4,105,6,153
4,105,7,177
4,105,5,129
4,105,10,249
4,106,6,154
4,106,7,178
4,106,5,130
4,106,10,250
4,107,6,155
4,107,7,179
4,107,5,131
4,107,10,251
4,108,6,156
4,108,7,180
4,108,5,132
4,108,10,252
4,109,6,157
4,109,7,181
4,109,5,133
4,109,10,253
4,110,6,158
4,110,7,182
4,110,5,134
4,110,10,254
4,111,6,159
4,111,7,183
4,111,5,135
4,111,10,255
4,112,6,160
4,112,7,184
4,112,5,136
4,112,10,256
4,113,6,161
4,113,7,185
4,113,5,137
4,113,10,257
4,114,6,162
4,114,7,186
4,114,5,138
4,114,10,258
4,115,6,163
4,115,7,187
4,115,5,139
4,115,10,259
4,116,6,164
4,116,7,188
4,116,5,140
4,116,10,260
4,117,6,165
4,117,7,189
4,117,5,141
4,117,10,261
4,118,6,166
4,118,7,190
4,118,5,142
4,118,10,262
4,119,6,167
4,119,7,191
4,119,5,143
4,119,10,263
5,120,3,72
5,121,3,73
5,122,3,74
5,123,3,75
5,124,3,76
5,125,3,77
5,126,3,78
5,127,3,79
5,128,3,80
5,129,3,81
5,130,3,82
5,131,3,83
5,132,3,84
5,133,3,85
5,134,3,86
5,135,3,87
5,136,3,88
5,137,3,89
5,138,3,90
5,139,3,91
5,140,3,92
5,141,3,93
5,142,3,94
5,143,3,95
6,144,5,120
6,144,3,72
6,144,9,216
6,145,5,121
6,145,3,73
6,145,9,217
6,146,5,122
6,146,3,74
6,146,9,218
6,147,5,123
6,147,3,75
6,147,9,219
6,148,5,124
6,148,3,76
6,148,9,220
6,149,5,125
6,149,3,77
