From TID,From JID,To TID,To JID
0,0,2,48
0,0,9,216
0,0,4,96
0,0,6,144
0,0,8,192
0,1,2,49
0,1,9,217
0,1,4,97
0,1,6,145
0,1,8,193
0,2,2,50
0,2,9,218
0,2,4,98
0,2,6,146
0,2,8,194
0,3,2,51
0,3,9,219
0,3,4,99
0,3,6,147
0,3,8,195
0,4,2,52
0,4,9,220
0,4,4,100
0,4,6,148
0,4,8,196
0,5,2,53
0,5,9,221
0,5,4,101
0,5,6,149
0,5,8,197
0,6,2,54
0,6,9,222
0,6,4,102
0,6,6,150
0,6,8,198
0,7,2,55
0,7,9,223
0,7,4,103
0,7,6,151
0,7,8,199
0,8,2,56
0,8,9,224
0,8,4,104
0,8,6,152
0,8,8,200
0,9,2,57
0,9,9,225
0,9,4,105
0,9,6,153
0,9,8,201
0,10,2,58
0,10,9,226
0,10,4,106
0,10,6,154
0,10,8,202
0,11,2,59
0,11,9,227
0,11,4,107
0,11,6,155
0,11,8,203
0,12,2,60
0,12,9,228
0,12,4,108
0,12,6,156
0,12,8,204
0,13,2,61
0,13,9,229
0,13,4,109
0,13,6,157
0,13,8,205
0,14,2,62
0,14,9,230
0,14,4,110
0,14,6,158
0,14,8,206
0,15,2,63
0,15,9,231
0,15,4,111
0,15,6,159
0,15,8,207
0,16,2,64
0,16,9,232
0,16,4,112
0,16,6,160
0,16,8,208
0,17,2,65
0,17,9,233
0,17,4,113
0,17,6,161
0,17,8,209
0,18,2,66
0,18,9,234
0,18,4,114
0,18,6,162
0,18,8,210
0,19,2,67
0,19,9,235
0,19,4,115
0,19,6,163
0,19,8,211
0,20,2,68
0,20,9,236
0,20,4,116
0,20,6,164
0,20,8,212
0,21,2,69
0,21,9,237
0,21,4,117
0,21,6,165
0,21,8,213
0,22,2,70
0,22,9,238
0,22,4,118
0,22,6,166
0,22,8,214
0,23,2,71
0,23,9,239
0,23,4,119
0,23,6,167
0,23,8,215
2,48,4,96
2,48,5,120
2,48,1,24
2,48,3,72
2,48,6,144
2,49,4,97
2,49,5,121
2,49,1,25
2,49,3,73
2,49,6,145
2,50,4,98
2,50,5,122
2,50,1,26
2,50,3,74
2,50,6,146
2,51,4,99
2,51,5,123
2,51,1,27
2,51,3,75
2,51,6,147
2,52,4,100
2,52,5,124
2,52,1,28
2,52,3,76
2,52,6,148
2,53,4,101
2,53,5,125
2,53,1,29
2,53,3,77
2,53,6,149
2,54,4,102
2,54,5,126
2,54,1,30
2,54,3,78
2,54,6,150
2,55,4,103
2,55,5,127
2,55,1,31
2,55,3,79
2,55,6,151
2,56,4,104
2,56,5,128
2,56,1,32
2,56,3,80
2,56,6,152
2,57,4,105
2,57,5,129
2,57,1,33
2,57,3,81
2,57,6,153
2,58,4,106
2,58,5,130
2,58,1,34
2,58,3,82
2,58,6,154
2,59,4,107
2,59,5,131
2,59,1,35
2,59,3,83
2,59,6,155
2,60,4,108
2,60,5,132
2,60,1,36
2,60,3,84
2,60,6,156
2,61,4,109
2,61,5,133
2,61,1,37
2,61,3,85
2,61,6,157
2,62,4,110
2,62,5,134
2,62,1,38
2,62,3,86
2,62,6,158
2,63,4,111
2,63,5,135
2,63,1,39
2,63,3,87
2,63,6,159
2,64,4,112
2,64,5,136
2,64,1,40
2,64,3,88
2,64,6,160
2,65,4,113
2,65,5,137
2,65,1,41
2,65,3,89
2,65,6,161
2,66,4,114
2,66,5,138
2,66,1,42
2,66,3,90
2,66,6,162
2,67,4,115
2,67,5,139
2,67,1,43
2,67,3,91
2,67,6,163
2,68,4,116
2,68,5,140
2,68,1,44
2,68,3,92
2,68,6,164
2,69,4,117
2,69,5,141
2,69,1,45
2,69,3,93
2,69,6,165
2,70,4,118
2,70,5,142
2,70,1,46
2,70,3,94
2,70,6,166
2,71,4,119
2,71,5,143
2,71,1,47
2,71,3,95
2,71,6,167
3,72,1,24
3,73,1,25
3,74,1,26
3,75,1,27
3,76,1,28
3,77,1,29
3,78,1,30
3,79,1,31
3,80,1,32
3,81,1,33
3,82,1,34
3,83,1,35
3,84,1,36
3,85,1,37
3,86,1,38
3,87,1,39
3,88,1,40
3,89,1,41
3,90,1,42
3,91,1,43
3,92,1,44
3,93,1,45
3,94,1,46
3,95,1,47
4,96,3,72
4,96,1,24
4,96,6,144
4,96,7,168
4,97,3,73
4,97,1,25
4,97,6,145
4,97,7,169
4,98,3,74
4,98,1,26
4,98,6,146
4,98,7,170
4,99,3,75
4,99,1,27
4,99,6,147
4,99,7,171
4,100,3,76
4,100,1,28
4,100,6,148
4,100,7,172
4,101,3,77
4,101,1,29
4,101,6,149
4,101,7,173
4,102,3,78
4,102,1,30
4,102,6,150
4,102,7,174
4,103,3,79
4,103,1,31
4,103,6,151
4,103,7,175
4,104,3,80
4,104,1,32
4,104,6,152
4,104,7,176
4,105,3,81
4,105,1,33
4,105,6,153
4,105,7,177
4,106,3,82
4,106,1,34
4,106,6,154
4,106,7,178
4,107,3,83
4,107,1,35
4,107,6,155
4,107,7,179
4,108,3,84
4,108,1,36
4,108,6,156
4,108,7,180
4,109,3,85
4,109,1,37
4,109,6,157
4,109,7,181
4,110,3,86
4,110,1,38
4,110,6,158
4,110,7,182
4,111,3,87
4,111,1,39
4,111,6,159
4,111,7,183
4,112,3,88
4,112,1,40
4,112,6,160
4,112,7,184
4,113,3,89
4,113,1,41
4,113,6,161
4,113,7,185
4,114,3,90
4,114,1,42
4,114,6,162
4,114,7,186
4,115,3,91
4,115,1,43
4,115,6,163
4,115,7,187
4,116,3,92
4,116,1,44
4,116,6,164
4,116,7,188
4,117,3,93
4,117,1,45
4,117,6,165
4,117,7,189
4,118,3,94
4,118,1,46
4,118,6,166
4,118,7,190
4,119,3,95
4,119,1,47
4,119,6,167
4,119,7,191
5,120,7,168
5,120,8,192
5,120,1,24
5,120,6,144
5,121,7,169
5,121,8,193
5,121,1,25
5,121,6,145
5,122,7,170
5,122,8,194
5,122,1,26
5,122,6,146
5,123,7,171
5,123,8,195
5,123,1,27
5,123,6,147
5,124,7,172
5,124,8,196
5,124,1,28
5,124,6,148
5,125,7,173
5,125,8,197
5,125,1,29
5,125,6,149
5,126,7,174
5,126,8,198
5,126,1,30
5,126,6,150
5,127,7,175
5,127,8,199
5,127,1,31
5,127,6,151
5,128,7,176
5,128,8,200
5,128,1,32
5,128,6,152
5,129,7,177
5,129,8,201
5,129,1,33
5,129,6,153
5,130,7,178
5,130,8,202
5,130,1,34
5,130,6,154
5,131,7,179
5,131,8,203
5,131,1,35
5,131,6,155
5,132,7,180
5,132,8,204
5,132,1,36
5,132,6,156
5,133,7,181
5,133,8,205
5,133,1,37
5,133,6,157
5,134,7,182
5,134,8,206
5,134,1,38
5,134,6,158
5,135,7,183
5,135,8,207
5,135,1,39
5,135,6,159
5,136,7,184
5,136,8,208
5,136,1,40
5,136,6,160
5,137,7,185
5,137,8,209
5,137,1,41
5,137,6,161
5,138,7,186
5,138,8,210
5,138,1,42
5,138,6,162
5,139,7,187
5,139,8,211
5,139,1,43
5,139,6,163
5,140,7,188
5,140,8,212
5,140,1,44
5,140,6,164
5,141,7,189
5,141,8,213
5,141,1,45
5,141,6,165
5,142,7,190
5,142,8,214
5,142,1,46
5,142,6,166
5,143,7,191
5,143,8,215
5,143,1,47
5,143,6,167
6,144,3,72
6,145,3,73
6,146,3,74
6,147,3,75
6,148,3,76
6,149,3,77
6,150,3,78
6,151,3,79
6,152,3,80
6,153,3,81
6,154,3,82
6,155,3,83
6,156,3,84
6,157,3,85
6,158,3,86
6,159,3,87
6,160,3,88
6,161,3,89
6,162,3,90
6,163,3,91
6,164,3,92
6,165,3,93
6,166,3,94
6,167,3,95
7,168,6,144
7,168,3,72
7,169,6,145
7,169,3,73
7,170,6,146
7,170,3,74
7,171,6,147
7,171,3,75
7,172,6,148
7,172,3,76
7,173,6,149
7,173,3,77
7,174,6,150
7,174,3,78
7,175,6,151
7,175,3,79
7,176,6,152
7,176,3,80
