From TID,From JID,To TID,To JID
0,0,2,336
0,0,11,1848
0,0,12,2016
0,0,3,504
0,0,4,672
0,0,7,1176
0,0,9,1512
0,1,2,337
0,1,11,1849
0,1,12,2017
0,1,3,505
0,1,4,673
0,1,7,1177
0,1,9,1513
0,2,2,338
0,2,11,1850
0,2,12,2018
0,2,3,506
0,2,4,674
0,2,7,1178
0,2,9,1514
0,3,2,339
0,3,11,1851
0,3,12,2019
0,3,3,507
0,3,4,675
0,3,7,1179
0,3,9,1515
0,4,2,340
0,4,11,1852
0,4,12,2020
0,4,3,508
0,4,4,676
0,4,7,1180
0,4,9,1516
0,5,2,341
0,5,11,1853
0,5,12,2021
0,5,3,509
0,5,4,677
0,5,7,1181
0,5,9,1517
0,6,2,342
0,6,11,1854
0,6,12,2022
0,6,3,510
0,6,4,678
0,6,7,1182
0,6,9,1518
0,7,2,343
0,7,11,1855
0,7,12,2023
0,7,3,511
0,7,4,679
0,7,7,1183
0,7,9,1519
0,8,2,344
0,8,11,1856
0,8,12,2024
0,8,3,512
0,8,4,680
0,8,7,1184
0,8,9,1520
0,9,2,345
0,9,11,1857
0,9,12,2025
0,9,3,513
0,9,4,681
0,9,7,1185
0,9,9,1521
0,10,2,346
0,10,11,1858
0,10,12,2026
0,10,3,514
0,10,4,682
0,10,7,1186
0,10,9,1522
0,11,2,347
0,11,11,1859
0,11,12,2027
0,11,3,515
0,11,4,683
0,11,7,1187
0,11,9,1523
0,12,2,348
0,12,11,1860
0,12,12,2028
0,12,3,516
0,12,4,684
0,12,7,1188
0,12,9,1524
0,13,2,349
0,13,11,1861
0,13,12,2029
0,13,3,517
0,13,4,685
0,13,7,1189
0,13,9,1525
0,14,2,350
0,14,11,1862
0,14,12,2030
0,14,3,518
0,14,4,686
0,14,7,1190
0,14,9,1526
0,15,2,351
0,15,11,1863
0,15,12,2031
0,15,3,519
0,15,4,687
0,15,7,1191
0,15,9,1527
0,16,2,352
0,16,11,1864
0,16,12,2032
0,16,3,520
0,16,4,688
0,16,7,1192
0,16,9,1528
0,17,2,353
0,17,11,1865
0,17,12,2033
0,17,3,521
0,17,4,689
0,17,7,1193
0,17,9,1529
0,18,2,354
0,18,11,1866
0,18,12,2034
0,18,3,522
0,18,4,690
0,18,7,1194
0,18,9,1530
0,19,2,355
0,19,11,1867
0,19,12,2035
0,19,3,523
0,19,4,691
0,19,7,1195
0,19,9,1531
0,20,2,356
0,20,11,1868
0,20,12,2036
0,20,3,524
0,20,4,692
0,20,7,1196
0,20,9,1532
0,21,2,357
0,21,11,1869
0,21,12,2037
0,21,3,525
0,21,4,693
0,21,7,1197
0,21,9,1533
0,22,2,358
0,22,11,1870
0,22,12,2038
0,22,3,526
0,22,4,694
0,22,7,1198
0,22,9,1534
0,23,2,359
0,23,11,1871
0,23,12,2039
0,23,3,527
0,23,4,695
0,23,7,1199
0,23,9,1535
0,24,2,360
0,24,11,1872
0,24,12,2040
0,24,3,528
0,24,4,696
0,24,7,1200
0,24,9,1536
0,25,2,361
0,25,11,1873
0,25,12,2041
0,25,3,529
0,25,4,697
0,25,7,1201
0,25,9,1537
0,26,2,362
0,26,11,1874
0,26,12,2042
0,26,3,530
0,26,4,698
0,26,7,1202
0,26,9,1538
0,27,2,363
0,27,11,1875
0,27,12,2043
0,27,3,531
0,27,4,699
0,27,7,1203
0,27,9,1539
0,28,2,364
0,28,11,1876
0,28,12,2044
0,28,3,532
0,28,4,700
0,28,7,1204
0,28,9,1540
0,29,2,365
0,29,11,1877
0,29,12,2045
0,29,3,533
0,29,4,701
0,29,7,1205
0,29,9,1541
0,30,2,366
0,30,11,1878
0,30,12,2046
0,30,3,534
0,30,4,702
0,30,7,1206
0,30,9,1542
0,31,2,367
0,31,11,1879
0,31,12,2047
0,31,3,535
0,31,4,703
0,31,7,1207
0,31,9,1543
0,32,2,368
0,32,11,1880
0,32,12,2048
0,32,3,536
0,32,4,704
0,32,7,1208
0,32,9,1544
0,33,2,369
0,33,11,1881
0,33,12,2049
0,33,3,537
0,33,4,705
0,33,7,1209
0,33,9,1545
0,34,2,370
0,34,11,1882
0,34,12,2050
0,34,3,538
0,34,4,706
0,34,7,1210
0,34,9,1546
0,35,2,371
0,35,11,1883
0,35,12,2051
0,35,3,539
0,35,4,707
0,35,7,1211
0,35,9,1547
0,36,2,372
0,36,11,1884
0,36,12,2052
0,36,3,540
0,36,4,708
0,36,7,1212
0,36,9,1548
0,37,2,373
0,37,11,1885
0,37,12,2053
0,37,3,541
0,37,4,709
0,37,7,1213
0,37,9,1549
0,38,2,374
0,38,11,1886
0,38,12,2054
0,38,3,542
0,38,4,710
0,38,7,1214
0,38,9,1550
0,39,2,375
0,39,11,1887
0,39,12,2055
0,39,3,543
0,39,4,711
0,39,7,1215
0,39,9,1551
0,40,2,376
0,40,11,1888
0,40,12,2056
0,40,3,544
0,40,4,712
0,40,7,1216
0,40,9,1552
0,41,2,377
0,41,11,1889
0,41,12,2057
0,41,3,545
0,41,4,713
0,41,7,1217
0,41,9,1553
0,42,2,378
0,42,11,1890
0,42,12,2058
0,42,3,546
0,42,4,714
0,42,7,1218
0,42,9,1554
0,43,2,379
0,43,11,1891
0,43,12,2059
0,43,3,547
0,43,4,715
0,43,7,1219
0,43,9,1555
0,44,2,380
0,44,11,1892
0,44,12,2060
0,44,3,548
0,44,4,716
0,44,7,1220
0,44,9,1556
0,45,2,381
0,45,11,1893
0,45,12,2061
0,45,3,549
0,45,4,717
0,45,7,1221
0,45,9,1557
0,46,2,382
0,46,11,1894
0,46,12,2062
0,46,3,550
0,46,4,718
0,46,7,1222
0,46,9,1558
0,47,2,383
0,47,11,1895
0,47,12,2063
0,47,3,551
0,47,4,719
0,47,7,1223
0,47,9,1559
0,48,2,384
0,48,11,1896
0,48,12,2064
0,48,3,552
0,48,4,720
0,48,7,1224
0,48,9,1560
0,49,2,385
0,49,11,1897
0,49,12,2065
0,49,3,553
0,49,4,721
0,49,7,1225
0,49,9,1561
0,50,2,386
0,50,11,1898
0,50,12,2066
0,50,3,554
0,50,4,722
0,50,7,1226
0,50,9,1562
0,51,2,387
0,51,11,1899
0,51,12,2067
0,51,3,555
0,51,4,723
0,51,7,1227
0,51,9,1563
0,52,2,388
0,52,11,1900
0,52,12,2068
0,52,3,556
0,52,4,724
0,52,7,1228
0,52,9,1564
0,53,2,389
0,53,11,1901
0,53,12,2069
0,53,3,557
0,53,4,725
0,53,7,1229
0,53,9,1565
0,54,2,390
0,54,11,1902
0,54,12,2070
0,54,3,558
0,54,4,726
0,54,7,1230
0,54,9,1566
0,55,2,391
0,55,11,1903
0,55,12,2071
0,55,3,559
0,55,4,727
0,55,7,1231
0,55,9,1567
0,56,2,392
0,56,11,1904
0,56,12,2072
0,56,3,560
0,56,4,728
0,56,7,1232
0,56,9,1568
0,57,2,393
0,57,11,1905
0,57,12,2073
0,57,3,561
0,57,4,729
0,57,7,1233
0,57,9,1569
0,58,2,394
0,58,11,1906
0,58,12,2074
0,58,3,562
0,58,4,730
0,58,7,1234
0,58,9,1570
0,59,2,395
0,59,11,1907
0,59,12,2075
0,59,3,563
0,59,4,731
0,59,7,1235
0,59,9,1571
0,60,2,396
0,60,11,1908
0,60,12,2076
0,60,3,564
0,60,4,732
0,60,7,1236
0,60,9,1572
0,61,2,397
0,61,11,1909
0,61,12,2077
0,61,3,565
0,61,4,733
0,61,7,1237
0,61,9,1573
0,62,2,398
0,62,11,1910
0,62,12,2078
0,62,3,566
0,62,4,734
0,62,7,1238
0,62,9,1574
0,63,2,399
0,63,11,1911
0,63,12,2079
0,63,3,567
0,63,4,735
0,63,7,1239
0,63,9,1575
0,64,2,400
0,64,11,1912
0,64,12,2080
0,64,3,568
0,64,4,736
0,64,7,1240
0,64,9,1576
0,65,2,401
0,65,11,1913
0,65,12,2081
0,65,3,569
0,65,4,737
0,65,7,1241
0,65,9,1577
0,66,2,402
0,66,11,1914
0,66,12,2082
0,66,3,570
0,66,4,738
0,66,7,1242
0,66,9,1578
0,67,2,403
0,67,11,1915
0,67,12,2083
0,67,3,571
0,67,4,739
0,67,7,1243
0,67,9,1579
0,68,2,404
0,68,11,1916
0,68,12,2084
0,68,3,572
0,68,4,740
0,68,7,1244
0,68,9,1580
0,69,2,405
0,69,11,1917
0,69,12,2085
0,69,3,573
0,69,4,741
0,69,7,1245
0,69,9,1581
0,70,2,406
0,70,11,1918
0,70,12,2086
0,70,3,574
0,70,4,742
0,70,7,1246
0,70,9,1582
0,71,2,407
0,71,11,1919
0,71,12,2087
0,71,3,575
0,71,4,743
0,71,7,1247
0,71,9,1583
0,72,2,408
0,72,11,1920
0,72,12,2088
0,72,3,576
0,72,4,744
0,72,7,1248
0,72,9,1584
0,73,2,409
0,73,11,1921
0,73,12,2089
0,73,3,577
0,73,4,745
0,73,7,1249
0,73,9,1585
0,74,2,410
0,74,11,1922
0,74,12,2090
0,74,3,578
0,74,4,746
0,74,7,1250
0,74,9,1586
0,75,2,411
0,75,11,1923
0,75,12,2091
0,75,3,579
0,75,4,747
0,75,7,1251
0,75,9,1587
0,76,2,412
0,76,11,1924
0,76,12,2092
0,76,3,580
0,76,4,748
0,76,7,1252
0,76,9,1588
0,77,2,413
0,77,11,1925
0,77,12,2093
0,77,3,581
0,77,4,749
0,77,7,1253
0,77,9,1589
0,78,2,414
0,78,11,1926
0,78,12,2094
0,78,3,582
0,78,4,750
0,78,7,1254
0,78,9,1590
0,79,2,415
0,79,11,1927
0,79,12,2095
0,79,3,583
0,79,4,751
0,79,7,1255
0,79,9,1591
0,80,2,416
0,80,11,1928
0,80,12,2096
0,80,3,584
0,80,4,752
0,80,7,1256
0,80,9,1592
0,81,2,417
0,81,11,1929
0,81,12,2097
0,81,3,585
0,81,4,753
0,81,7,1257
0,81,9,1593
0,82,2,418
0,82,11,1930
0,82,12,2098
0,82,3,586
0,82,4,754
0,82,7,1258
0,82,9,1594
0,83,2,419
0,83,11,1931
0,83,12,2099
0,83,3,587
0,83,4,755
0,83,7,1259
0,83,9,1595
0,84,2,420
0,84,11,1932
0,84,12,2100
0,84,3,588
0,84,4,756
0,84,7,1260
0,84,9,1596
0,85,2,421
0,85,11,1933
0,85,12,2101
0,85,3,589
0,85,4,757
0,85,7,1261
0,85,9,1597
0,86,2,422
0,86,11,1934
0,86,12,2102
0,86,3,590
0,86,4,758
0,86,7,1262
0,86,9,1598
0,87,2,423
0,87,11,1935
0,87,12,2103
0,87,3,591
0,87,4,759
0,87,7,1263
