Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,10,98,10000,10000
0,1,10000,11000,10,98,20000,10000
0,2,20000,21000,10,98,30000,10000
0,3,30000,31000,10,98,40000,10000
0,4,40000,41000,10,98,50000,10000
0,5,50000,51000,10,98,60000,10000
0,6,60000,61000,10,98,70000,10000
0,7,70000,71000,10,98,80000,10000
0,8,80000,81000,10,98,90000,10000
0,9,90000,91000,10,98,100000,10000
0,10,100000,101000,10,98,110000,10000
0,11,110000,111000,10,98,120000,10000
0,12,120000,121000,10,98,130000,10000
0,13,130000,131000,10,98,140000,10000
0,14,140000,141000,10,98,150000,10000
0,15,150000,151000,10,98,160000,10000
0,16,160000,161000,10,98,170000,10000
0,17,170000,171000,10,98,180000,10000
1,18,0,1000,31,312,10000,10000
1,19,10000,11000,31,312,20000,10000
1,20,20000,21000,31,312,30000,10000
1,21,30000,31000,31,312,40000,10000
1,22,40000,41000,31,312,50000,10000
1,23,50000,51000,31,312,60000,10000
1,24,60000,61000,31,312,70000,10000
1,25,70000,71000,31,312,80000,10000
1,26,80000,81000,31,312,90000,10000
1,27,90000,91000,31,312,100000,10000
1,28,100000,101000,31,312,110000,10000
1,29,110000,111000,31,312,120000,10000
1,30,120000,121000,31,312,130000,10000
1,31,130000,131000,31,312,140000,10000
1,32,140000,141000,31,312,150000,10000
1,33,150000,151000,31,312,160000,10000
1,34,160000,161000,31,312,170000,10000
1,35,170000,171000,31,312,180000,10000
2,36,0,1000,44,438,10000,10000
2,37,10000,11000,44,438,20000,10000
2,38,20000,21000,44,438,30000,10000
2,39,30000,31000,44,438,40000,10000
2,40,40000,41000,44,438,50000,10000
2,41,50000,51000,44,438,60000,10000
2,42,60000,61000,44,438,70000,10000
2,43,70000,71000,44,438,80000,10000
2,44,80000,81000,44,438,90000,10000
2,45,90000,91000,44,438,100000,10000
2,46,100000,101000,44,438,110000,10000
2,47,110000,111000,44,438,120000,10000
2,48,120000,121000,44,438,130000,10000
2,49,130000,131000,44,438,140000,10000
