From TID,From JID,To TID,To JID
0,0,2,36
0,0,3,54
0,0,11,198
0,0,9,162
0,0,10,180
0,1,2,37
0,1,3,55
0,1,11,199
0,1,9,163
0,1,10,181
0,2,2,38
0,2,3,56
0,2,11,200
0,2,9,164
0,2,10,182
0,3,2,39
0,3,3,57
0,3,11,201
0,3,9,165
0,3,10,183
0,4,2,40
0,4,3,58
0,4,11,202
0,4,9,166
0,4,10,184
0,5,2,41
0,5,3,59
0,5,11,203
0,5,9,167
0,5,10,185
0,6,2,42
0,6,3,60
0,6,11,204
0,6,9,168
0,6,10,186
0,7,2,43
0,7,3,61
0,7,11,205
0,7,9,169
0,7,10,187
0,8,2,44
0,8,3,62
0,8,11,206
0,8,9,170
0,8,10,188
0,9,2,45
0,9,3,63
0,9,11,207
0,9,9,171
0,9,10,189
0,10,2,46
0,10,3,64
0,10,11,208
0,10,9,172
0,10,10,190
0,11,2,47
0,11,3,65
0,11,11,209
0,11,9,173
0,11,10,191
0,12,2,48
0,12,3,66
0,12,11,210
0,12,9,174
0,12,10,192
0,13,2,49
0,13,3,67
0,13,11,211
0,13,9,175
0,13,10,193
0,14,2,50
0,14,3,68
0,14,11,212
0,14,9,176
0,14,10,194
0,15,2,51
0,15,3,69
0,15,11,213
0,15,9,177
0,15,10,195
0,16,2,52
0,16,3,70
0,16,11,214
0,16,9,178
0,16,10,196
0,17,2,53
0,17,3,71
0,17,11,215
0,17,9,179
0,17,10,197
2,36,1,18
2,36,4,72
2,36,5,90
2,36,7,126
2,36,8,144
2,36,10,180
2,37,1,19
2,37,4,73
2,37,5,91
2,37,7,127
2,37,8,145
2,37,10,181
2,38,1,20
2,38,4,74
2,38,5,92
2,38,7,128
2,38,8,146
2,38,10,182
2,39,1,21
2,39,4,75
2,39,5,93
2,39,7,129
2,39,8,147
2,39,10,183
2,40,1,22
2,40,4,76
2,40,5,94
2,40,7,130
2,40,8,148
2,40,10,184
2,41,1,23
2,41,4,77
2,41,5,95
2,41,7,131
2,41,8,149
2,41,10,185
2,42,1,24
2,42,4,78
2,42,5,96
2,42,7,132
2,42,8,150
2,42,10,186
2,43,1,25
2,43,4,79
2,43,5,97
2,43,7,133
2,43,8,151
2,43,10,187
2,44,1,26
2,44,4,80
2,44,5,98
2,44,7,134
2,44,8,152
2,44,10,188
2,45,1,27
2,45,4,81
2,45,5,99
2,45,7,135
2,45,8,153
2,45,10,189
2,46,1,28
2,46,4,82
2,46,5,100
2,46,7,136
2,46,8,154
2,46,10,190
2,47,1,29
2,47,4,83
2,47,5,101
2,47,7,137
2,47,8,155
2,47,10,191
2,48,1,30
2,48,4,84
2,48,5,102
2,48,7,138
2,48,8,156
2,48,10,192
2,49,1,31
2,49,4,85
2,49,5,103
2,49,7,139
2,49,8,157
2,49,10,193
2,50,1,32
2,50,4,86
2,50,5,104
2,50,7,140
2,50,8,158
2,50,10,194
2,51,1,33
2,51,4,87
2,51,5,105
2,51,7,141
2,51,8,159
2,51,10,195
2,52,1,34
2,52,4,88
2,52,5,106
2,52,7,142
2,52,8,160
2,52,10,196
2,53,1,35
2,53,4,89
2,53,5,107
2,53,7,143
2,53,8,161
2,53,10,197
3,54,5,90
3,54,10,180
3,54,1,18
3,54,4,72
3,55,5,91
3,55,10,181
3,55,1,19
3,55,4,73
3,56,5,92
3,56,10,182
3,56,1,20
3,56,4,74
3,57,5,93
3,57,10,183
3,57,1,21
3,57,4,75
3,58,5,94
3,58,10,184
3,58,1,22
3,58,4,76
3,59,5,95
3,59,10,185
3,59,1,23
3,59,4,77
3,60,5,96
3,60,10,186
3,60,1,24
3,60,4,78
3,61,5,97
3,61,10,187
3,61,1,25
3,61,4,79
3,62,5,98
3,62,10,188
3,62,1,26
3,62,4,80
3,63,5,99
3,63,10,189
3,63,1,27
3,63,4,81
3,64,5,100
3,64,10,190
3,64,1,28
3,64,4,82
3,65,5,101
3,65,10,191
3,65,1,29
3,65,4,83
3,66,5,102
3,66,10,192
3,66,1,30
3,66,4,84
3,67,5,103
3,67,10,193
3,67,1,31
3,67,4,85
3,68,5,104
3,68,10,194
3,68,1,32
3,68,4,86
3,69,5,105
3,69,10,195
3,69,1,33
3,69,4,87
3,70,5,106
3,70,10,196
3,70,1,34
3,70,4,88
3,71,5,107
3,71,10,197
3,71,1,35
3,71,4,89
4,72,1,18
4,73,1,19
4,74,1,20
4,75,1,21
4,76,1,22
4,77,1,23
4,78,1,24
4,79,1,25
4,80,1,26
4,81,1,27
4,82,1,28
4,83,1,29
4,84,1,30
4,85,1,31
4,86,1,32
4,87,1,33
4,88,1,34
4,89,1,35
5,90,7,126
5,90,8,144
5,90,9,162
5,90,4,72
5,90,6,108
5,91,7,127
5,91,8,145
5,91,9,163
5,91,4,73
5,91,6,109
5,92,7,128
5,92,8,146
5,92,9,164
5,92,4,74
5,92,6,110
5,93,7,129
5,93,8,147
5,93,9,165
5,93,4,75
5,93,6,111
5,94,7,130
5,94,8,148
5,94,9,166
5,94,4,76
5,94,6,112
5,95,7,131
5,95,8,149
5,95,9,167
5,95,4,77
5,95,6,113
5,96,7,132
5,96,8,150
5,96,9,168
5,96,4,78
5,96,6,114
5,97,7,133
5,97,8,151
5,97,9,169
5,97,4,79
5,97,6,115
5,98,7,134
5,98,8,152
5,98,9,170
5,98,4,80
5,98,6,116
5,99,7,135
5,99,8,153
5,99,9,171
5,99,4,81
5,99,6,117
5,100,7,136
5,100,8,154
5,100,9,172
5,100,4,82
5,100,6,118
5,101,7,137
5,101,8,155
5,101,9,173
5,101,4,83
5,101,6,119
5,102,7,138
5,102,8,156
5,102,9,174
5,102,4,84
5,102,6,120
5,103,7,139
5,103,8,157
5,103,9,175
5,103,4,85
5,103,6,121
5,104,7,140
5,104,8,158
5,104,9,176
5,104,4,86
5,104,6,122
5,105,7,141
5,105,8,159
5,105,9,177
5,105,4,87
5,105,6,123
5,106,7,142
5,106,8,160
5,106,9,178
5,106,4,88
5,106,6,124
5,107,7,143
5,107,8,161
5,107,9,179
5,107,4,89
5,107,6,125
6,108,4,72
6,109,4,73
6,110,4,74
6,111,4,75
6,112,4,76
6,113,4,77
6,114,4,78
6,115,4,79
6,116,4,80
6,117,4,81
6,118,4,82
6,119,4,83
6,120,4,84
6,121,4,85
6,122,4,86
6,123,4,87
6,124,4,88
6,125,4,89
7,126,6,108
7,127,6,109
7,128,6,110
7,129,6,111
7,130,6,112
7,131,6,113
7,132,6,114
7,133,6,115
7,134,6,116
7,135,6,117
7,136,6,118
7,137,6,119
7,138,6,120
7,139,6,121
7,140,6,122
7,141,6,123
7,142,6,124
7,143,6,125
8,144,6,108
8,144,1,18
8,145,6,109
8,145,1,19
8,146,6,110
8,146,1,20
8,147,6,111
8,147,1,21
8,148,6,112
8,148,1,22
8,149,6,113
8,149,1,23
8,150,6,114
8,150,1,24
8,151,6,115
8,151,1,25
8,152,6,116
8,152,1,26
8,153,6,117
8,153,1,27
8,154,6,118
8,154,1,28
8,155,6,119
8,155,1,29
8,156,6,120
8,156,1,30
8,157,6,121
8,157,1,31
8,158,6,122
8,158,1,32
8,159,6,123
8,159,1,33
8,160,6,124
8,160,1,34
8,161,6,125
8,161,1,35
9,162,6,108
9,162,4,72
9,163,6,109
9,163,4,73
9,164,6,110
9,164,4,74
9,165,6,111
9,165,4,75
9,166,6,112
9,166,4,76
9,167,6,113
9,167,4,77
9,168,6,114
9,168,4,78
9,169,6,115
9,169,4,79
9,170,6,116
9,170,4,80
9,171,6,117
9,171,4,81
9,172,6,118
9,172,4,82
9,173,6,119
9,173,4,83
9,174,6,120
9,174,4,84
9,175,6,121
9,175,4,85
9,176,6,122
9,176,4,86
9,177,6,123
9,177,4,87
9,178,6,124
9,178,4,88
9,179,6,125
9,179,4,89
10,180,4,72
10,180,7,126
10,180,8,144
10,181,4,73
10,181,7,127
10,181,8,145
10,182,4,74
10,182,7,128
10,182,8,146
10,183,4,75
10,183,7,129
10,183,8,147
10,184,4,76
10,184,7,130
10,184,8,148
10,185,4,77
10,185,7,131
10,185,8,149
10,186,4,78
10,186,7,132
10,186,8,150
10,187,4,79
10,187,7,133
10,187,8,151
10,188,4,80
10,188,7,134
10,188,8,152
10,189,4,81
10,189,7,135
10,189,8,153
10,190,4,82
10,190,7,136
10,190,8,154
10,191,4,83
10,191,7,137
10,191,8,155
10,192,4,84
10,192,7,138
10,192,8,156
10,193,4,85
10,193,7,139
10,193,8,157
10,194,4,86
10,194,7,140
10,194,8,158
10,195,4,87
10,195,7,141
10,195,8,159
10,196,4,88
10,196,7,142
10,196,8,160
10,197,4,89
10,197,7,143
10,197,8,161
11,198,1,18
11,198,6,108
11,198,7,126
11,198,8,144
11,198,9,162
11,198,10,180
11,199,1,19
11,199,6,109
11,199,7,127
11,199,8,145
11,199,9,163
11,199,10,181
11,200,1,20
11,200,6,110
11,200,7,128
11,200,8,146
11,200,9,164
11,200,10,182
11,201,1,21
11,201,6,111
11,201,7,129
11,201,8,147
11,201,9,165
11,201,10,183
11,202,1,22
11,202,6,112
11,202,7,130
11,202,8,148
11,202,9,166
11,202,10,184
11,203,1,23
11,203,6,113
11,203,7,131
11,203,8,149
11,203,9,167
11,203,10,185
11,204,1,24
11,204,6,114
11,204,7,132
11,204,8,150
11,204,9,168
11,204,10,186
11,205,1,25
11,205,6,115
11,205,7,133
11,205,8,151
11,205,9,169
11,205,10,187
11,206,1,26
11,206,6,116
11,206,7,134
11,206,8,152
11,206,9,170
11,206,10,188
11,207,1,27
11,207,6,117
11,207,7,135
11,207,8,153
11,207,9,171
11,207,10,189
11,208,1,28
11,208,6,118
11,208,7,136
11,208,8,154
11,208,9,172
11,208,10,190
11,209,1,29
11,209,6,119
11,209,7,137
11,209,8,155
11,209,9,173
11,209,10,191
11,210,1,30
11,210,6,120
11,210,7,138
11,210,8,156
11,210,9,174
11,210,10,192
11,211,1,31
11,211,6,121
11,211,7,139
11,211,8,157
11,211,9,175
11,211,10,193
11,212,1,32
11,212,6,122
11,212,7,140
11,212,8,158
11,212,9,176
11,212,10,194
11,213,1,33
11,213,6,123
11,213,7,141
11,213,8,159
11,213,9,177
11,213,10,195
11,214,1,34
11,214,6,124
11,214,7,142
11,214,8,160
11,214,9,178
11,214,10,196
11,215,1,35
11,215,6,125
11,215,7,143
11,215,8,161
11,215,9,179
11,215,10,197
12,216,14,252
12,216,22,396
12,216,23,414
12,216,21,378
12,217,14,253
12,217,22,397
12,217,23,415
12,217,21,379
12,218,14,254
12,218,22,398
12,218,23,416
12,218,21,380
12,219,14,255
12,219,22,399
12,219,23,417
12,219,21,381
12,220,14,256
12,220,22,400
12,220,23,418
12,220,21,382
12,221,14,257
12,221,22,401
12,221,23,419
12,221,21,383
12,222,14,258
12,222,22,402
12,222,23,420
12,222,21,384
12,223,14,259
12,223,22,403
12,223,23,421
12,223,21,385
12,224,14,260
12,224,22,404
12,224,23,422
12,224,21,386
12,225,14,261
12,225,22,405
12,225,23,423
12,225,21,387
12,226,14,262
12,226,22,406
12,226,23,424
12,226,21,388
12,227,14,263
12,227,22,407
12,227,23,425
12,227,21,389
12,228,14,264
12,228,22,408
12,228,23,426
12,228,21,390
12,229,14,265
12,229,22,409
12,229,23,427
12,229,21,391
12,230,14,266
12,230,22,410
12,230,23,428
12,230,21,392
12,231,14,267
12,231,22,411
12,231,23,429
12,231,21,393
12,232,14,268
12,232,22,412
12,232,23,430
12,232,21,394
12,233,14,269
12,233,22,413
12,233,23,431
12,233,21,395
14,252,16,288
14,252,17,306
14,252,15,270
14,252,20,360
14,253,16,289
14,253,17,307
14,253,15,271
14,253,20,361
14,254,16,290
14,254,17,308
14,254,15,272
14,254,20,362
14,255,16,291
14,255,17,309
14,255,15,273
14,255,20,363
14,256,16,292
14,256,17,310
14,256,15,274
14,256,20,364
14,257,16,293
14,257,17,311
14,257,15,275
14,257,20,365
14,258,16,294
14,258,17,312
14,258,15,276
