From TID,From JID,To TID,To JID
0,0,2,420
0,0,3,630
0,0,1,210
0,0,5,1050
0,0,6,1260
0,0,8,1680
0,0,10,2100
0,1,2,421
0,1,3,631
0,1,1,211
0,1,5,1051
0,1,6,1261
0,1,8,1681
0,1,10,2101
0,2,2,422
0,2,3,632
0,2,1,212
0,2,5,1052
0,2,6,1262
0,2,8,1682
0,2,10,2102
0,3,2,423
0,3,3,633
0,3,1,213
0,3,5,1053
0,3,6,1263
0,3,8,1683
0,3,10,2103
0,4,2,424
0,4,3,634
0,4,1,214
0,4,5,1054
0,4,6,1264
0,4,8,1684
0,4,10,2104
0,5,2,425
0,5,3,635
0,5,1,215
0,5,5,1055
0,5,6,1265
0,5,8,1685
0,5,10,2105
0,6,2,426
0,6,3,636
0,6,1,216
0,6,5,1056
0,6,6,1266
0,6,8,1686
0,6,10,2106
0,7,2,427
0,7,3,637
0,7,1,217
0,7,5,1057
0,7,6,1267
0,7,8,1687
0,7,10,2107
0,8,2,428
0,8,3,638
0,8,1,218
0,8,5,1058
0,8,6,1268
0,8,8,1688
0,8,10,2108
0,9,2,429
0,9,3,639
0,9,1,219
0,9,5,1059
0,9,6,1269
0,9,8,1689
0,9,10,2109
0,10,2,430
0,10,3,640
0,10,1,220
0,10,5,1060
0,10,6,1270
0,10,8,1690
0,10,10,2110
0,11,2,431
0,11,3,641
0,11,1,221
0,11,5,1061
0,11,6,1271
0,11,8,1691
0,11,10,2111
0,12,2,432
0,12,3,642
0,12,1,222
0,12,5,1062
0,12,6,1272
0,12,8,1692
0,12,10,2112
0,13,2,433
0,13,3,643
0,13,1,223
0,13,5,1063
0,13,6,1273
0,13,8,1693
0,13,10,2113
0,14,2,434
0,14,3,644
0,14,1,224
0,14,5,1064
0,14,6,1274
0,14,8,1694
0,14,10,2114
0,15,2,435
0,15,3,645
0,15,1,225
0,15,5,1065
0,15,6,1275
0,15,8,1695
0,15,10,2115
0,16,2,436
0,16,3,646
0,16,1,226
0,16,5,1066
0,16,6,1276
0,16,8,1696
0,16,10,2116
0,17,2,437
0,17,3,647
0,17,1,227
0,17,5,1067
0,17,6,1277
0,17,8,1697
0,17,10,2117
0,18,2,438
0,18,3,648
0,18,1,228
0,18,5,1068
0,18,6,1278
0,18,8,1698
0,18,10,2118
0,19,2,439
0,19,3,649
0,19,1,229
0,19,5,1069
0,19,6,1279
0,19,8,1699
0,19,10,2119
0,20,2,440
0,20,3,650
0,20,1,230
0,20,5,1070
0,20,6,1280
0,20,8,1700
0,20,10,2120
0,21,2,441
0,21,3,651
0,21,1,231
0,21,5,1071
0,21,6,1281
0,21,8,1701
0,21,10,2121
0,22,2,442
0,22,3,652
0,22,1,232
0,22,5,1072
0,22,6,1282
0,22,8,1702
0,22,10,2122
0,23,2,443
0,23,3,653
0,23,1,233
0,23,5,1073
0,23,6,1283
0,23,8,1703
0,23,10,2123
0,24,2,444
0,24,3,654
0,24,1,234
0,24,5,1074
0,24,6,1284
0,24,8,1704
0,24,10,2124
0,25,2,445
0,25,3,655
0,25,1,235
0,25,5,1075
0,25,6,1285
0,25,8,1705
0,25,10,2125
0,26,2,446
0,26,3,656
0,26,1,236
0,26,5,1076
0,26,6,1286
0,26,8,1706
0,26,10,2126
0,27,2,447
0,27,3,657
0,27,1,237
0,27,5,1077
0,27,6,1287
0,27,8,1707
0,27,10,2127
0,28,2,448
0,28,3,658
0,28,1,238
