From TID,From JID,To TID,To JID
0,0,2,330
0,0,3,495
0,0,1,165
0,1,2,331
0,1,3,496
0,1,1,166
0,2,2,332
0,2,3,497
0,2,1,167
0,3,2,333
0,3,3,498
0,3,1,168
0,4,2,334
0,4,3,499
0,4,1,169
0,5,2,335
0,5,3,500
0,5,1,170
0,6,2,336
0,6,3,501
0,6,1,171
0,7,2,337
0,7,3,502
0,7,1,172
0,8,2,338
0,8,3,503
0,8,1,173
0,9,2,339
0,9,3,504
0,9,1,174
0,10,2,340
0,10,3,505
0,10,1,175
0,11,2,341
0,11,3,506
0,11,1,176
0,12,2,342
0,12,3,507
0,12,1,177
0,13,2,343
0,13,3,508
0,13,1,178
0,14,2,344
0,14,3,509
0,14,1,179
0,15,2,345
0,15,3,510
0,15,1,180
0,16,2,346
0,16,3,511
0,16,1,181
0,17,2,347
0,17,3,512
0,17,1,182
0,18,2,348
0,18,3,513
0,18,1,183
0,19,2,349
0,19,3,514
0,19,1,184
0,20,2,350
0,20,3,515
0,20,1,185
0,21,2,351
0,21,3,516
0,21,1,186
0,22,2,352
0,22,3,517
0,22,1,187
0,23,2,353
0,23,3,518
0,23,1,188
0,24,2,354
0,24,3,519
0,24,1,189
0,25,2,355
0,25,3,520
0,25,1,190
0,26,2,356
0,26,3,521
0,26,1,191
0,27,2,357
0,27,3,522
0,27,1,192
0,28,2,358
0,28,3,523
0,28,1,193
0,29,2,359
0,29,3,524
0,29,1,194
0,30,2,360
0,30,3,525
0,30,1,195
0,31,2,361
0,31,3,526
0,31,1,196
0,32,2,362
0,32,3,527
0,32,1,197
0,33,2,363
0,33,3,528
0,33,1,198
0,34,2,364
0,34,3,529
0,34,1,199
0,35,2,365
0,35,3,530
0,35,1,200
0,36,2,366
0,36,3,531
0,36,1,201
0,37,2,367
0,37,3,532
0,37,1,202
0,38,2,368
0,38,3,533
0,38,1,203
0,39,2,369
0,39,3,534
0,39,1,204
0,40,2,370
0,40,3,535
0,40,1,205
0,41,2,371
0,41,3,536
0,41,1,206
0,42,2,372
0,42,3,537
0,42,1,207
0,43,2,373
0,43,3,538
0,43,1,208
0,44,2,374
0,44,3,539
0,44,1,209
0,45,2,375
0,45,3,540
0,45,1,210
0,46,2,376
0,46,3,541
0,46,1,211
0,47,2,377
0,47,3,542
0,47,1,212
0,48,2,378
0,48,3,543
0,48,1,213
0,49,2,379
0,49,3,544
0,49,1,214
0,50,2,380
0,50,3,545
0,50,1,215
0,51,2,381
0,51,3,546
0,51,1,216
0,52,2,382
0,52,3,547
0,52,1,217
0,53,2,383
0,53,3,548
0,53,1,218
0,54,2,384
0,54,3,549
0,54,1,219
0,55,2,385
0,55,3,550
0,55,1,220
0,56,2,386
0,56,3,551
0,56,1,221
0,57,2,387
0,57,3,552
0,57,1,222
0,58,2,388
0,58,3,553
0,58,1,223
0,59,2,389
0,59,3,554
0,59,1,224
0,60,2,390
0,60,3,555
0,60,1,225
0,61,2,391
0,61,3,556
0,61,1,226
0,62,2,392
0,62,3,557
0,62,1,227
0,63,2,393
0,63,3,558
0,63,1,228
0,64,2,394
0,64,3,559
0,64,1,229
0,65,2,395
0,65,3,560
0,65,1,230
0,66,2,396
0,66,3,561
0,66,1,231
0,67,2,397
0,67,3,562
0,67,1,232
0,68,2,398
0,68,3,563
0,68,1,233
0,69,2,399
0,69,3,564
0,69,1,234
0,70,2,400
0,70,3,565
0,70,1,235
0,71,2,401
0,71,3,566
0,71,1,236
0,72,2,402
0,72,3,567
0,72,1,237
0,73,2,403
0,73,3,568
0,73,1,238
0,74,2,404
0,74,3,569
0,74,1,239
0,75,2,405
0,75,3,570
0,75,1,240
0,76,2,406
0,76,3,571
0,76,1,241
0,77,2,407
0,77,3,572
0,77,1,242
0,78,2,408
0,78,3,573
0,78,1,243
0,79,2,409
0,79,3,574
0,79,1,244
0,80,2,410
0,80,3,575
0,80,1,245
0,81,2,411
0,81,3,576
0,81,1,246
0,82,2,412
0,82,3,577
0,82,1,247
0,83,2,413
0,83,3,578
0,83,1,248
0,84,2,414
0,84,3,579
0,84,1,249
0,85,2,415
0,85,3,580
0,85,1,250
0,86,2,416
0,86,3,581
0,86,1,251
0,87,2,417
0,87,3,582
0,87,1,252
0,88,2,418
0,88,3,583
0,88,1,253
0,89,2,419
0,89,3,584
0,89,1,254
0,90,2,420
0,90,3,585
0,90,1,255
0,91,2,421
0,91,3,586
0,91,1,256
0,92,2,422
0,92,3,587
0,92,1,257
0,93,2,423
0,93,3,588
0,93,1,258
0,94,2,424
0,94,3,589
0,94,1,259
