From TID,From JID,To TID,To JID
0,0,2,60
0,0,3,90
0,0,1,30
0,1,2,61
0,1,3,91
0,1,1,31
0,2,2,62
0,2,3,92
0,2,1,32
0,3,2,63
0,3,3,93
0,3,1,33
0,4,2,64
0,4,3,94
0,4,1,34
0,5,2,65
0,5,3,95
0,5,1,35
0,6,2,66
0,6,3,96
0,6,1,36
0,7,2,67
0,7,3,97
0,7,1,37
0,8,2,68
0,8,3,98
0,8,1,38
0,9,2,69
0,9,3,99
0,9,1,39
0,10,2,70
0,10,3,100
0,10,1,40
0,11,2,71
0,11,3,101
0,11,1,41
0,12,2,72
0,12,3,102
0,12,1,42
0,13,2,73
0,13,3,103
0,13,1,43
0,14,2,74
0,14,3,104
0,14,1,44
0,15,2,75
0,15,3,105
0,15,1,45
0,16,2,76
0,16,3,106
0,16,1,46
0,17,2,77
0,17,3,107
0,17,1,47
0,18,2,78
0,18,3,108
0,18,1,48
0,19,2,79
0,19,3,109
0,19,1,49
0,20,2,80
0,20,3,110
0,20,1,50
0,21,2,81
0,21,3,111
0,21,1,51
0,22,2,82
0,22,3,112
0,22,1,52
0,23,2,83
0,23,3,113
0,23,1,53
0,24,2,84
0,24,3,114
0,24,1,54
0,25,2,85
0,25,3,115
0,25,1,55
0,26,2,86
0,26,3,116
0,26,1,56
0,27,2,87
0,27,3,117
0,27,1,57
0,28,2,88
0,28,3,118
0,28,1,58
0,29,2,89
0,29,3,119
0,29,1,59
2,60,1,30
2,61,1,31
2,62,1,32
2,63,1,33
2,64,1,34
2,65,1,35
2,66,1,36
2,67,1,37
2,68,1,38
2,69,1,39
2,70,1,40
2,71,1,41
2,72,1,42
2,73,1,43
2,74,1,44
2,75,1,45
2,76,1,46
2,77,1,47
2,78,1,48
2,79,1,49
2,80,1,50
2,81,1,51
2,82,1,52
2,83,1,53
2,84,1,54
2,85,1,55
2,86,1,56
2,87,1,57
2,88,1,58
2,89,1,59
3,90,1,30
3,91,1,31
3,92,1,32
3,93,1,33
3,94,1,34
3,95,1,35
3,96,1,36
