Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,39,391,10000,10000
0,1,10000,11000,39,391,20000,10000
0,2,20000,21000,39,391,30000,10000
0,3,30000,31000,39,391,40000,10000
0,4,40000,41000,39,391,50000,10000
0,5,50000,51000,39,391,60000,10000
0,6,60000,61000,39,391,70000,10000
0,7,70000,71000,39,391,80000,10000
0,8,80000,81000,39,391,90000,10000
0,9,90000,91000,39,391,100000,10000
0,10,100000,101000,39,391,110000,10000
0,11,110000,111000,39,391,120000,10000
0,12,120000,121000,39,391,130000,10000
0,13,130000,131000,39,391,140000,10000
0,14,140000,141000,39,391,150000,10000
0,15,150000,151000,39,391,160000,10000
0,16,160000,161000,39,391,170000,10000
0,17,170000,171000,39,391,180000,10000
0,18,180000,181000,39,391,190000,10000
0,19,190000,191000,39,391,200000,10000
0,20,200000,201000,39,391,210000,10000
0,21,210000,211000,39,391,220000,10000
0,22,220000,221000,39,391,230000,10000
0,23,230000,231000,39,391,240000,10000
0,24,240000,241000,39,391,250000,10000
0,25,250000,251000,39,391,260000,10000
0,26,260000,261000,39,391,270000,10000
0,27,270000,271000,39,391,280000,10000
0,28,280000,281000,39,391,290000,10000
0,29,290000,291000,39,391,300000,10000
0,30,300000,301000,39,391,310000,10000
0,31,310000,311000,39,391,320000,10000
0,32,320000,321000,39,391,330000,10000
0,33,330000,331000,39,391,340000,10000
0,34,340000,341000,39,391,350000,10000
0,35,350000,351000,39,391,360000,10000
1,36,0,1000,70,698,10000,10000
1,37,10000,11000,70,698,20000,10000
1,38,20000,21000,70,698,30000,10000
1,39,30000,31000,70,698,40000,10000
1,40,40000,41000,70,698,50000,10000
1,41,50000,51000,70,698,60000,10000
1,42,60000,61000,70,698,70000,10000
1,43,70000,71000,70,698,80000,10000
1,44,80000,81000,70,698,90000,10000
1,45,90000,91000,70,698,100000,10000
1,46,100000,101000,70,698,110000,10000
1,47,110000,111000,70,698,120000,10000
1,48,120000,121000,70,698,130000,10000
1,49,130000,131000,70,698,140000,10000
1,50,140000,141000,70,698,150000,10000
1,51,150000,151000,70,698,160000,10000
1,52,160000,161000,70,698,170000,10000
1,53,170000,171000,70,698,180000,10000
1,54,180000,181000,70,698,190000,10000
1,55,190000,191000,70,698,200000,10000
1,56,200000,201000,70,698,210000,10000
1,57,210000,211000,70,698,220000,10000
1,58,220000,221000,70,698,230000,10000
1,59,230000,231000,70,698,240000,10000
1,60,240000,241000,70,698,250000,10000
1,61,250000,251000,70,698,260000,10000
1,62,260000,261000,70,698,270000,10000
1,63,270000,271000,70,698,280000,10000
1,64,280000,281000,70,698,290000,10000
1,65,290000,291000,70,698,300000,10000
1,66,300000,301000,70,698,310000,10000
1,67,310000,311000,70,698,320000,10000
1,68,320000,321000,70,698,330000,10000
1,69,330000,331000,70,698,340000,10000
1,70,340000,341000,70,698,350000,10000
1,71,350000,351000,70,698,360000,10000
2,72,0,1000,31,312,10000,10000
2,73,10000,11000,31,312,20000,10000
2,74,20000,21000,31,312,30000,10000
2,75,30000,31000,31,312,40000,10000
2,76,40000,41000,31,312,50000,10000
2,77,50000,51000,31,312,60000,10000
2,78,60000,61000,31,312,70000,10000
2,79,70000,71000,31,312,80000,10000
2,80,80000,81000,31,312,90000,10000
2,81,90000,91000,31,312,100000,10000
2,82,100000,101000,31,312,110000,10000
2,83,110000,111000,31,312,120000,10000
2,84,120000,121000,31,312,130000,10000
2,85,130000,131000,31,312,140000,10000
2,86,140000,141000,31,312,150000,10000
2,87,150000,151000,31,312,160000,10000
2,88,160000,161000,31,312,170000,10000
2,89,170000,171000,31,312,180000,10000
2,90,180000,181000,31,312,190000,10000
2,91,190000,191000,31,312,200000,10000
2,92,200000,201000,31,312,210000,10000
2,93,210000,211000,31,312,220000,10000
2,94,220000,221000,31,312,230000,10000
2,95,230000,231000,31,312,240000,10000
2,96,240000,241000,31,312,250000,10000
2,97,250000,251000,31,312,260000,10000
2,98,260000,261000,31,312,270000,10000
2,99,270000,271000,31,312,280000,10000
2,100,280000,281000,31,312,290000,10000
2,101,290000,291000,31,312,300000,10000
2,102,300000,301000,31,312,310000,10000
2,103,310000,311000,31,312,320000,10000
2,104,320000,321000,31,312,330000,10000
2,105,330000,331000,31,312,340000,10000
2,106,340000,341000,31,312,350000,10000
2,107,350000,351000,31,312,360000,10000
3,108,0,1000,37,366,10000,10000
3,109,10000,11000,37,366,20000,10000
3,110,20000,21000,37,366,30000,10000
3,111,30000,31000,37,366,40000,10000
3,112,40000,41000,37,366,50000,10000
3,113,50000,51000,37,366,60000,10000
3,114,60000,61000,37,366,70000,10000
3,115,70000,71000,37,366,80000,10000
3,116,80000,81000,37,366,90000,10000
3,117,90000,91000,37,366,100000,10000
3,118,100000,101000,37,366,110000,10000
3,119,110000,111000,37,366,120000,10000
3,120,120000,121000,37,366,130000,10000
3,121,130000,131000,37,366,140000,10000
3,122,140000,141000,37,366,150000,10000
3,123,150000,151000,37,366,160000,10000
3,124,160000,161000,37,366,170000,10000
3,125,170000,171000,37,366,180000,10000
3,126,180000,181000,37,366,190000,10000
3,127,190000,191000,37,366,200000,10000
3,128,200000,201000,37,366,210000,10000
3,129,210000,211000,37,366,220000,10000
3,130,220000,221000,37,366,230000,10000
3,131,230000,231000,37,366,240000,10000
3,132,240000,241000,37,366,250000,10000
3,133,250000,251000,37,366,260000,10000
3,134,260000,261000,37,366,270000,10000
3,135,270000,271000,37,366,280000,10000
3,136,280000,281000,37,366,290000,10000
3,137,290000,291000,37,366,300000,10000
3,138,300000,301000,37,366,310000,10000
3,139,310000,311000,37,366,320000,10000
3,140,320000,321000,37,366,330000,10000
3,141,330000,331000,37,366,340000,10000
3,142,340000,341000,37,366,350000,10000
3,143,350000,351000,37,366,360000,10000
4,144,0,1000,4,36,10000,10000
4,145,10000,11000,4,36,20000,10000
4,146,20000,21000,4,36,30000,10000
4,147,30000,31000,4,36,40000,10000
4,148,40000,41000,4,36,50000,10000
4,149,50000,51000,4,36,60000,10000
4,150,60000,61000,4,36,70000,10000
4,151,70000,71000,4,36,80000,10000
4,152,80000,81000,4,36,90000,10000
4,153,90000,91000,4,36,100000,10000
4,154,100000,101000,4,36,110000,10000
4,155,110000,111000,4,36,120000,10000
4,156,120000,121000,4,36,130000,10000
4,157,130000,131000,4,36,140000,10000
4,158,140000,141000,4,36,150000,10000
4,159,150000,151000,4,36,160000,10000
4,160,160000,161000,4,36,170000,10000
4,161,170000,171000,4,36,180000,10000
4,162,180000,181000,4,36,190000,10000
4,163,190000,191000,4,36,200000,10000
4,164,200000,201000,4,36,210000,10000
4,165,210000,211000,4,36,220000,10000
4,166,220000,221000,4,36,230000,10000
4,167,230000,231000,4,36,240000,10000
4,168,240000,241000,4,36,250000,10000
4,169,250000,251000,4,36,260000,10000
4,170,260000,261000,4,36,270000,10000
4,171,270000,271000,4,36,280000,10000
4,172,280000,281000,4,36,290000,10000
4,173,290000,291000,4,36,300000,10000
4,174,300000,301000,4,36,310000,10000
4,175,310000,311000,4,36,320000,10000
4,176,320000,321000,4,36,330000,10000
4,177,330000,331000,4,36,340000,10000
4,178,340000,341000,4,36,350000,10000
4,179,350000,351000,4,36,360000,10000
5,180,0,1000,44,443,10000,10000
5,181,10000,11000,44,443,20000,10000
5,182,20000,21000,44,443,30000,10000
5,183,30000,31000,44,443,40000,10000
5,184,40000,41000,44,443,50000,10000
5,185,50000,51000,44,443,60000,10000
5,186,60000,61000,44,443,70000,10000
5,187,70000,71000,44,443,80000,10000
5,188,80000,81000,44,443,90000,10000
5,189,90000,91000,44,443,100000,10000
5,190,100000,101000,44,443,110000,10000
5,191,110000,111000,44,443,120000,10000
5,192,120000,121000,44,443,130000,10000
5,193,130000,131000,44,443,140000,10000
5,194,140000,141000,44,443,150000,10000
5,195,150000,151000,44,443,160000,10000
5,196,160000,161000,44,443,170000,10000
5,197,170000,171000,44,443,180000,10000
5,198,180000,181000,44,443,190000,10000
5,199,190000,191000,44,443,200000,10000
5,200,200000,201000,44,443,210000,10000
5,201,210000,211000,44,443,220000,10000
5,202,220000,221000,44,443,230000,10000
5,203,230000,231000,44,443,240000,10000
5,204,240000,241000,44,443,250000,10000
5,205,250000,251000,44,443,260000,10000
5,206,260000,261000,44,443,270000,10000
5,207,270000,271000,44,443,280000,10000
5,208,280000,281000,44,443,290000,10000
