From TID,From JID,To TID,To JID
0,0,2,72
0,0,10,360
0,0,11,396
0,0,1,36
0,0,5,180
0,0,6,216
0,0,8,288
0,1,2,73
0,1,10,361
0,1,11,397
0,1,1,37
0,1,5,181
0,1,6,217
0,1,8,289
0,2,2,74
0,2,10,362
0,2,11,398
0,2,1,38
0,2,5,182
0,2,6,218
0,2,8,290
0,3,2,75
0,3,10,363
0,3,11,399
0,3,1,39
0,3,5,183
0,3,6,219
0,3,8,291
0,4,2,76
0,4,10,364
0,4,11,400
0,4,1,40
0,4,5,184
0,4,6,220
0,4,8,292
0,5,2,77
0,5,10,365
0,5,11,401
0,5,1,41
0,5,5,185
0,5,6,221
0,5,8,293
0,6,2,78
0,6,10,366
0,6,11,402
0,6,1,42
0,6,5,186
0,6,6,222
0,6,8,294
0,7,2,79
0,7,10,367
0,7,11,403
0,7,1,43
0,7,5,187
0,7,6,223
0,7,8,295
0,8,2,80
0,8,10,368
0,8,11,404
0,8,1,44
0,8,5,188
0,8,6,224
0,8,8,296
0,9,2,81
0,9,10,369
0,9,11,405
0,9,1,45
0,9,5,189
0,9,6,225
0,9,8,297
0,10,2,82
0,10,10,370
0,10,11,406
0,10,1,46
0,10,5,190
0,10,6,226
0,10,8,298
0,11,2,83
0,11,10,371
0,11,11,407
0,11,1,47
0,11,5,191
0,11,6,227
0,11,8,299
0,12,2,84
0,12,10,372
0,12,11,408
0,12,1,48
0,12,5,192
0,12,6,228
0,12,8,300
0,13,2,85
0,13,10,373
0,13,11,409
0,13,1,49
0,13,5,193
0,13,6,229
0,13,8,301
0,14,2,86
0,14,10,374
0,14,11,410
0,14,1,50
0,14,5,194
0,14,6,230
0,14,8,302
0,15,2,87
0,15,10,375
0,15,11,411
0,15,1,51
0,15,5,195
0,15,6,231
0,15,8,303
0,16,2,88
0,16,10,376
0,16,11,412
0,16,1,52
0,16,5,196
0,16,6,232
0,16,8,304
0,17,2,89
0,17,10,377
0,17,11,413
0,17,1,53
0,17,5,197
0,17,6,233
0,17,8,305
0,18,2,90
0,18,10,378
0,18,11,414
0,18,1,54
0,18,5,198
0,18,6,234
0,18,8,306
0,19,2,91
0,19,10,379
0,19,11,415
0,19,1,55
0,19,5,199
0,19,6,235
0,19,8,307
0,20,2,92
0,20,10,380
0,20,11,416
0,20,1,56
0,20,5,200
0,20,6,236
0,20,8,308
0,21,2,93
0,21,10,381
0,21,11,417
0,21,1,57
0,21,5,201
0,21,6,237
0,21,8,309
0,22,2,94
0,22,10,382
0,22,11,418
0,22,1,58
0,22,5,202
0,22,6,238
0,22,8,310
0,23,2,95
0,23,10,383
0,23,11,419
0,23,1,59
0,23,5,203
0,23,6,239
0,23,8,311
0,24,2,96
0,24,10,384
0,24,11,420
0,24,1,60
0,24,5,204
0,24,6,240
0,24,8,312
0,25,2,97
0,25,10,385
0,25,11,421
0,25,1,61
0,25,5,205
0,25,6,241
0,25,8,313
0,26,2,98
0,26,10,386
0,26,11,422
0,26,1,62
0,26,5,206
0,26,6,242
0,26,8,314
0,27,2,99
0,27,10,387
0,27,11,423
0,27,1,63
0,27,5,207
0,27,6,243
0,27,8,315
0,28,2,100
0,28,10,388
0,28,11,424
0,28,1,64
0,28,5,208
0,28,6,244
0,28,8,316
0,29,2,101
0,29,10,389
0,29,11,425
0,29,1,65
0,29,5,209
0,29,6,245
0,29,8,317
0,30,2,102
0,30,10,390
0,30,11,426
0,30,1,66
0,30,5,210
0,30,6,246
0,30,8,318
0,31,2,103
0,31,10,391
0,31,11,427
0,31,1,67
0,31,5,211
0,31,6,247
0,31,8,319
0,32,2,104
0,32,10,392
0,32,11,428
0,32,1,68
0,32,5,212
0,32,6,248
0,32,8,320
0,33,2,105
0,33,10,393
0,33,11,429
0,33,1,69
0,33,5,213
0,33,6,249
0,33,8,321
0,34,2,106
0,34,10,394
0,34,11,430
0,34,1,70
0,34,5,214
0,34,6,250
0,34,8,322
0,35,2,107
0,35,10,395
0,35,11,431
0,35,1,71
0,35,5,215
0,35,6,251
0,35,8,323
2,72,4,144
2,72,5,180
2,72,9,324
2,72,3,108
2,72,7,252
2,73,4,145
2,73,5,181
2,73,9,325
2,73,3,109
2,73,7,253
2,74,4,146
2,74,5,182
2,74,9,326
2,74,3,110
2,74,7,254
2,75,4,147
2,75,5,183
2,75,9,327
2,75,3,111
2,75,7,255
2,76,4,148
2,76,5,184
2,76,9,328
2,76,3,112
2,76,7,256
2,77,4,149
2,77,5,185
2,77,9,329
2,77,3,113
2,77,7,257
2,78,4,150
2,78,5,186
2,78,9,330
2,78,3,114
2,78,7,258
2,79,4,151
2,79,5,187
2,79,9,331
2,79,3,115
2,79,7,259
2,80,4,152
2,80,5,188
2,80,9,332
2,80,3,116
2,80,7,260
2,81,4,153
2,81,5,189
2,81,9,333
2,81,3,117
2,81,7,261
2,82,4,154
2,82,5,190
2,82,9,334
2,82,3,118
2,82,7,262
2,83,4,155
2,83,5,191
2,83,9,335
2,83,3,119
2,83,7,263
2,84,4,156
2,84,5,192
2,84,9,336
2,84,3,120
2,84,7,264
2,85,4,157
2,85,5,193
2,85,9,337
2,85,3,121
2,85,7,265
2,86,4,158
2,86,5,194
2,86,9,338
2,86,3,122
2,86,7,266
2,87,4,159
2,87,5,195
2,87,9,339
2,87,3,123
2,87,7,267
2,88,4,160
2,88,5,196
2,88,9,340
2,88,3,124
2,88,7,268
2,89,4,161
2,89,5,197
2,89,9,341
2,89,3,125
2,89,7,269
2,90,4,162
2,90,5,198
2,90,9,342
2,90,3,126
2,90,7,270
2,91,4,163
2,91,5,199
2,91,9,343
2,91,3,127
2,91,7,271
2,92,4,164
2,92,5,200
2,92,9,344
2,92,3,128
2,92,7,272
2,93,4,165
2,93,5,201
2,93,9,345
2,93,3,129
2,93,7,273
2,94,4,166
2,94,5,202
2,94,9,346
2,94,3,130
2,94,7,274
2,95,4,167
2,95,5,203
2,95,9,347
2,95,3,131
2,95,7,275
2,96,4,168
2,96,5,204
2,96,9,348
2,96,3,132
2,96,7,276
2,97,4,169
2,97,5,205
2,97,9,349
2,97,3,133
2,97,7,277
2,98,4,170
2,98,5,206
2,98,9,350
2,98,3,134
2,98,7,278
2,99,4,171
2,99,5,207
2,99,9,351
2,99,3,135
2,99,7,279
2,100,4,172
2,100,5,208
2,100,9,352
2,100,3,136
2,100,7,280
2,101,4,173
2,101,5,209
2,101,9,353
2,101,3,137
2,101,7,281
2,102,4,174
2,102,5,210
2,102,9,354
2,102,3,138
2,102,7,282
2,103,4,175
2,103,5,211
2,103,9,355
2,103,3,139
2,103,7,283
2,104,4,176
2,104,5,212
2,104,9,356
2,104,3,140
2,104,7,284
2,105,4,177
2,105,5,213
2,105,9,357
2,105,3,141
2,105,7,285
2,106,4,178
2,106,5,214
2,106,9,358
2,106,3,142
2,106,7,286
2,107,4,179
2,107,5,215
2,107,9,359
2,107,3,143
2,107,7,287
3,108,1,36
3,109,1,37
3,110,1,38
