Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,13,126,10000,10000
0,1,10000,11000,13,126,20000,10000
0,2,20000,21000,13,126,30000,10000
0,3,30000,31000,13,126,40000,10000
0,4,40000,41000,13,126,50000,10000
0,5,50000,51000,13,126,60000,10000
0,6,60000,61000,13,126,70000,10000
0,7,70000,71000,13,126,80000,10000
0,8,80000,81000,13,126,90000,10000
0,9,90000,91000,13,126,100000,10000
0,10,100000,101000,13,126,110000,10000
0,11,110000,111000,13,126,120000,10000
0,12,120000,121000,13,126,130000,10000
0,13,130000,131000,13,126,140000,10000
0,14,140000,141000,13,126,150000,10000
0,15,150000,151000,13,126,160000,10000
0,16,160000,161000,13,126,170000,10000
0,17,170000,171000,13,126,180000,10000
0,18,180000,181000,13,126,190000,10000
0,19,190000,191000,13,126,200000,10000
0,20,200000,201000,13,126,210000,10000
0,21,210000,211000,13,126,220000,10000
0,22,220000,221000,13,126,230000,10000
0,23,230000,231000,13,126,240000,10000
0,24,240000,241000,13,126,250000,10000
0,25,250000,251000,13,126,260000,10000
0,26,260000,261000,13,126,270000,10000
0,27,270000,271000,13,126,280000,10000
0,28,280000,281000,13,126,290000,10000
0,29,290000,291000,13,126,300000,10000
0,30,300000,301000,13,126,310000,10000
0,31,310000,311000,13,126,320000,10000
0,32,320000,321000,13,126,330000,10000
0,33,330000,331000,13,126,340000,10000
0,34,340000,341000,13,126,350000,10000
0,35,350000,351000,13,126,360000,10000
0,36,360000,361000,13,126,370000,10000
0,37,370000,371000,13,126,380000,10000
0,38,380000,381000,13,126,390000,10000
0,39,390000,391000,13,126,400000,10000
0,40,400000,401000,13,126,410000,10000
0,41,410000,411000,13,126,420000,10000
0,42,420000,421000,13,126,430000,10000
0,43,430000,431000,13,126,440000,10000
0,44,440000,441000,13,126,450000,10000
0,45,450000,451000,13,126,460000,10000
0,46,460000,461000,13,126,470000,10000
0,47,470000,471000,13,126,480000,10000
0,48,480000,481000,13,126,490000,10000
0,49,490000,491000,13,126,500000,10000
0,50,500000,501000,13,126,510000,10000
0,51,510000,511000,13,126,520000,10000
0,52,520000,521000,13,126,530000,10000
0,53,530000,531000,13,126,540000,10000
0,54,540000,541000,13,126,550000,10000
0,55,550000,551000,13,126,560000,10000
0,56,560000,561000,13,126,570000,10000
0,57,570000,571000,13,126,580000,10000
0,58,580000,581000,13,126,590000,10000
0,59,590000,591000,13,126,600000,10000
0,60,600000,601000,13,126,610000,10000
0,61,610000,611000,13,126,620000,10000
0,62,620000,621000,13,126,630000,10000
0,63,630000,631000,13,126,640000,10000
0,64,640000,641000,13,126,650000,10000
1,65,0,1000,2,17,10000,10000
1,66,10000,11000,2,17,20000,10000
1,67,20000,21000,2,17,30000,10000
1,68,30000,31000,2,17,40000,10000
1,69,40000,41000,2,17,50000,10000
1,70,50000,51000,2,17,60000,10000
1,71,60000,61000,2,17,70000,10000
1,72,70000,71000,2,17,80000,10000
1,73,80000,81000,2,17,90000,10000
1,74,90000,91000,2,17,100000,10000
1,75,100000,101000,2,17,110000,10000
1,76,110000,111000,2,17,120000,10000
1,77,120000,121000,2,17,130000,10000
1,78,130000,131000,2,17,140000,10000
1,79,140000,141000,2,17,150000,10000
1,80,150000,151000,2,17,160000,10000
1,81,160000,161000,2,17,170000,10000
1,82,170000,171000,2,17,180000,10000
1,83,180000,181000,2,17,190000,10000
1,84,190000,191000,2,17,200000,10000
1,85,200000,201000,2,17,210000,10000
1,86,210000,211000,2,17,220000,10000
1,87,220000,221000,2,17,230000,10000
1,88,230000,231000,2,17,240000,10000
1,89,240000,241000,2,17,250000,10000
1,90,250000,251000,2,17,260000,10000
1,91,260000,261000,2,17,270000,10000
1,92,270000,271000,2,17,280000,10000
1,93,280000,281000,2,17,290000,10000
1,94,290000,291000,2,17,300000,10000
1,95,300000,301000,2,17,310000,10000
1,96,310000,311000,2,17,320000,10000
1,97,320000,321000,2,17,330000,10000
1,98,330000,331000,2,17,340000,10000
1,99,340000,341000,2,17,350000,10000
1,100,350000,351000,2,17,360000,10000
1,101,360000,361000,2,17,370000,10000
1,102,370000,371000,2,17,380000,10000
1,103,380000,381000,2,17,390000,10000
1,104,390000,391000,2,17,400000,10000
1,105,400000,401000,2,17,410000,10000
1,106,410000,411000,2,17,420000,10000
1,107,420000,421000,2,17,430000,10000
1,108,430000,431000,2,17,440000,10000
1,109,440000,441000,2,17,450000,10000
1,110,450000,451000,2,17,460000,10000
1,111,460000,461000,2,17,470000,10000
1,112,470000,471000,2,17,480000,10000
1,113,480000,481000,2,17,490000,10000
1,114,490000,491000,2,17,500000,10000
1,115,500000,501000,2,17,510000,10000
1,116,510000,511000,2,17,520000,10000
1,117,520000,521000,2,17,530000,10000
1,118,530000,531000,2,17,540000,10000
1,119,540000,541000,2,17,550000,10000
1,120,550000,551000,2,17,560000,10000
1,121,560000,561000,2,17,570000,10000
1,122,570000,571000,2,17,580000,10000
1,123,580000,581000,2,17,590000,10000
1,124,590000,591000,2,17,600000,10000
1,125,600000,601000,2,17,610000,10000
1,126,610000,611000,2,17,620000,10000
1,127,620000,621000,2,17,630000,10000
1,128,630000,631000,2,17,640000,10000
1,129,640000,641000,2,17,650000,10000
2,130,0,1000,70,697,10000,10000
2,131,10000,11000,70,697,20000,10000
2,132,20000,21000,70,697,30000,10000
2,133,30000,31000,70,697,40000,10000
2,134,40000,41000,70,697,50000,10000
2,135,50000,51000,70,697,60000,10000
2,136,60000,61000,70,697,70000,10000
2,137,70000,71000,70,697,80000,10000
2,138,80000,81000,70,697,90000,10000
2,139,90000,91000,70,697,100000,10000
2,140,100000,101000,70,697,110000,10000
2,141,110000,111000,70,697,120000,10000
2,142,120000,121000,70,697,130000,10000
2,143,130000,131000,70,697,140000,10000
2,144,140000,141000,70,697,150000,10000
2,145,150000,151000,70,697,160000,10000
2,146,160000,161000,70,697,170000,10000
2,147,170000,171000,70,697,180000,10000
2,148,180000,181000,70,697,190000,10000
2,149,190000,191000,70,697,200000,10000
2,150,200000,201000,70,697,210000,10000
2,151,210000,211000,70,697,220000,10000
2,152,220000,221000,70,697,230000,10000
2,153,230000,231000,70,697,240000,10000
2,154,240000,241000,70,697,250000,10000
2,155,250000,251000,70,697,260000,10000
2,156,260000,261000,70,697,270000,10000
2,157,270000,271000,70,697,280000,10000
2,158,280000,281000,70,697,290000,10000
2,159,290000,291000,70,697,300000,10000
2,160,300000,301000,70,697,310000,10000
2,161,310000,311000,70,697,320000,10000
2,162,320000,321000,70,697,330000,10000
2,163,330000,331000,70,697,340000,10000
2,164,340000,341000,70,697,350000,10000
2,165,350000,351000,70,697,360000,10000
2,166,360000,361000,70,697,370000,10000
2,167,370000,371000,70,697,380000,10000
2,168,380000,381000,70,697,390000,10000
2,169,390000,391000,70,697,400000,10000
2,170,400000,401000,70,697,410000,10000
2,171,410000,411000,70,697,420000,10000
2,172,420000,421000,70,697,430000,10000
2,173,430000,431000,70,697,440000,10000
2,174,440000,441000,70,697,450000,10000
2,175,450000,451000,70,697,460000,10000
2,176,460000,461000,70,697,470000,10000
2,177,470000,471000,70,697,480000,10000
2,178,480000,481000,70,697,490000,10000
2,179,490000,491000,70,697,500000,10000
2,180,500000,501000,70,697,510000,10000
2,181,510000,511000,70,697,520000,10000
2,182,520000,521000,70,697,530000,10000
2,183,530000,531000,70,697,540000,10000
2,184,540000,541000,70,697,550000,10000
2,185,550000,551000,70,697,560000,10000
2,186,560000,561000,70,697,570000,10000
2,187,570000,571000,70,697,580000,10000
2,188,580000,581000,70,697,590000,10000
2,189,590000,591000,70,697,600000,10000
2,190,600000,601000,70,697,610000,10000
2,191,610000,611000,70,697,620000,10000
2,192,620000,621000,70,697,630000,10000
2,193,630000,631000,70,697,640000,10000
2,194,640000,641000,70,697,650000,10000
3,195,0,1000,52,520,10000,10000
3,196,10000,11000,52,520,20000,10000
3,197,20000,21000,52,520,30000,10000
3,198,30000,31000,52,520,40000,10000
3,199,40000,41000,52,520,50000,10000
3,200,50000,51000,52,520,60000,10000
3,201,60000,61000,52,520,70000,10000
3,202,70000,71000,52,520,80000,10000
3,203,80000,81000,52,520,90000,10000
3,204,90000,91000,52,520,100000,10000
3,205,100000,101000,52,520,110000,10000
3,206,110000,111000,52,520,120000,10000
3,207,120000,121000,52,520,130000,10000
3,208,130000,131000,52,520,140000,10000
3,209,140000,141000,52,520,150000,10000
3,210,150000,151000,52,520,160000,10000
3,211,160000,161000,52,520,170000,10000
3,212,170000,171000,52,520,180000,10000
3,213,180000,181000,52,520,190000,10000
3,214,190000,191000,52,520,200000,10000
3,215,200000,201000,52,520,210000,10000
3,216,210000,211000,52,520,220000,10000
3,217,220000,221000,52,520,230000,10000
3,218,230000,231000,52,520,240000,10000
3,219,240000,241000,52,520,250000,10000
3,220,250000,251000,52,520,260000,10000
3,221,260000,261000,52,520,270000,10000
3,222,270000,271000,52,520,280000,10000
3,223,280000,281000,52,520,290000,10000
3,224,290000,291000,52,520,300000,10000
3,225,300000,301000,52,520,310000,10000
3,226,310000,311000,52,520,320000,10000
3,227,320000,321000,52,520,330000,10000
3,228,330000,331000,52,520,340000,10000
3,229,340000,341000,52,520,350000,10000
3,230,350000,351000,52,520,360000,10000
3,231,360000,361000,52,520,370000,10000
3,232,370000,371000,52,520,380000,10000
3,233,380000,381000,52,520,390000,10000
3,234,390000,391000,52,520,400000,10000
3,235,400000,401000,52,520,410000,10000
3,236,410000,411000,52,520,420000,10000
3,237,420000,421000,52,520,430000,10000
3,238,430000,431000,52,520,440000,10000
3,239,440000,441000,52,520,450000,10000
3,240,450000,451000,52,520,460000,10000
3,241,460000,461000,52,520,470000,10000
3,242,470000,471000,52,520,480000,10000
3,243,480000,481000,52,520,490000,10000
3,244,490000,491000,52,520,500000,10000
3,245,500000,501000,52,520,510000,10000
3,246,510000,511000,52,520,520000,10000
3,247,520000,521000,52,520,530000,10000
3,248,530000,531000,52,520,540000,10000
3,249,540000,541000,52,520,550000,10000
3,250,550000,551000,52,520,560000,10000
3,251,560000,561000,52,520,570000,10000
3,252,570000,571000,52,520,580000,10000
3,253,580000,581000,52,520,590000,10000
3,254,590000,591000,52,520,600000,10000
3,255,600000,601000,52,520,610000,10000
3,256,610000,611000,52,520,620000,10000
3,257,620000,621000,52,520,630000,10000
3,258,630000,631000,52,520,640000,10000
3,259,640000,641000,52,520,650000,10000
4,260,0,1000,2,19,10000,10000
4,261,10000,11000,2,19,20000,10000
4,262,20000,21000,2,19,30000,10000
4,263,30000,31000,2,19,40000,10000
4,264,40000,41000,2,19,50000,10000
4,265,50000,51000,2,19,60000,10000
4,266,60000,61000,2,19,70000,10000
4,267,70000,71000,2,19,80000,10000
4,268,80000,81000,2,19,90000,10000
