From TID,From JID,To TID,To JID
0,0,2,130
0,0,10,650
0,0,4,260
0,0,6,390
0,0,8,520
0,0,9,585
0,1,2,131
0,1,10,651
0,1,4,261
0,1,6,391
0,1,8,521
0,1,9,586
0,2,2,132
0,2,10,652
0,2,4,262
0,2,6,392
0,2,8,522
0,2,9,587
0,3,2,133
0,3,10,653
0,3,4,263
0,3,6,393
0,3,8,523
0,3,9,588
0,4,2,134
0,4,10,654
0,4,4,264
0,4,6,394
0,4,8,524
0,4,9,589
0,5,2,135
0,5,10,655
0,5,4,265
0,5,6,395
0,5,8,525
0,5,9,590
0,6,2,136
0,6,10,656
0,6,4,266
0,6,6,396
0,6,8,526
0,6,9,591
0,7,2,137
0,7,10,657
0,7,4,267
0,7,6,397
0,7,8,527
0,7,9,592
0,8,2,138
0,8,10,658
0,8,4,268
0,8,6,398
0,8,8,528
0,8,9,593
0,9,2,139
0,9,10,659
0,9,4,269
0,9,6,399
0,9,8,529
0,9,9,594
0,10,2,140
0,10,10,660
0,10,4,270
0,10,6,400
0,10,8,530
0,10,9,595
0,11,2,141
0,11,10,661
0,11,4,271
0,11,6,401
0,11,8,531
0,11,9,596
0,12,2,142
0,12,10,662
0,12,4,272
0,12,6,402
0,12,8,532
0,12,9,597
0,13,2,143
0,13,10,663
0,13,4,273
0,13,6,403
0,13,8,533
0,13,9,598
0,14,2,144
0,14,10,664
0,14,4,274
0,14,6,404
0,14,8,534
0,14,9,599
0,15,2,145
0,15,10,665
0,15,4,275
0,15,6,405
0,15,8,535
0,15,9,600
0,16,2,146
0,16,10,666
0,16,4,276
0,16,6,406
0,16,8,536
0,16,9,601
0,17,2,147
0,17,10,667
0,17,4,277
0,17,6,407
0,17,8,537
0,17,9,602
0,18,2,148
0,18,10,668
0,18,4,278
0,18,6,408
0,18,8,538
0,18,9,603
0,19,2,149
0,19,10,669
0,19,4,279
0,19,6,409
0,19,8,539
0,19,9,604
0,20,2,150
0,20,10,670
0,20,4,280
0,20,6,410
0,20,8,540
0,20,9,605
0,21,2,151
0,21,10,671
0,21,4,281
0,21,6,411
0,21,8,541
0,21,9,606
0,22,2,152
0,22,10,672
0,22,4,282
0,22,6,412
0,22,8,542
0,22,9,607
0,23,2,153
0,23,10,673
0,23,4,283
0,23,6,413
0,23,8,543
0,23,9,608
0,24,2,154
0,24,10,674
0,24,4,284
0,24,6,414
0,24,8,544
0,24,9,609
0,25,2,155
0,25,10,675
0,25,4,285
0,25,6,415
0,25,8,545
0,25,9,610
0,26,2,156
0,26,10,676
0,26,4,286
0,26,6,416
0,26,8,546
0,26,9,611
0,27,2,157
0,27,10,677
0,27,4,287
0,27,6,417
0,27,8,547
0,27,9,612
0,28,2,158
0,28,10,678
0,28,4,288
0,28,6,418
0,28,8,548
0,28,9,613
0,29,2,159
0,29,10,679
0,29,4,289
0,29,6,419
0,29,8,549
0,29,9,614
0,30,2,160
0,30,10,680
0,30,4,290
0,30,6,420
0,30,8,550
0,30,9,615
0,31,2,161
0,31,10,681
0,31,4,291
0,31,6,421
0,31,8,551
0,31,9,616
0,32,2,162
0,32,10,682
0,32,4,292
0,32,6,422
0,32,8,552
0,32,9,617
0,33,2,163
0,33,10,683
0,33,4,293
0,33,6,423
0,33,8,553
0,33,9,618
0,34,2,164
0,34,10,684
0,34,4,294
0,34,6,424
0,34,8,554
0,34,9,619
0,35,2,165
0,35,10,685
0,35,4,295
0,35,6,425
0,35,8,555
0,35,9,620
0,36,2,166
0,36,10,686
0,36,4,296
0,36,6,426
0,36,8,556
0,36,9,621
0,37,2,167
0,37,10,687
0,37,4,297
0,37,6,427
0,37,8,557
0,37,9,622
0,38,2,168
0,38,10,688
0,38,4,298
0,38,6,428
0,38,8,558
0,38,9,623
0,39,2,169
0,39,10,689
0,39,4,299
0,39,6,429
0,39,8,559
0,39,9,624
0,40,2,170
0,40,10,690
0,40,4,300
0,40,6,430
0,40,8,560
0,40,9,625
0,41,2,171
0,41,10,691
0,41,4,301
0,41,6,431
0,41,8,561
0,41,9,626
0,42,2,172
0,42,10,692
0,42,4,302
0,42,6,432
0,42,8,562
0,42,9,627
0,43,2,173
0,43,10,693
0,43,4,303
0,43,6,433
0,43,8,563
0,43,9,628
0,44,2,174
0,44,10,694
0,44,4,304
0,44,6,434
0,44,8,564
0,44,9,629
0,45,2,175
0,45,10,695
0,45,4,305
0,45,6,435
0,45,8,565
0,45,9,630
0,46,2,176
0,46,10,696
0,46,4,306
0,46,6,436
0,46,8,566
0,46,9,631
0,47,2,177
0,47,10,697
0,47,4,307
0,47,6,437
0,47,8,567
0,47,9,632
0,48,2,178
0,48,10,698
0,48,4,308
0,48,6,438
0,48,8,568
0,48,9,633
0,49,2,179
0,49,10,699
0,49,4,309
0,49,6,439
0,49,8,569
0,49,9,634
0,50,2,180
0,50,10,700
0,50,4,310
0,50,6,440
0,50,8,570
0,50,9,635
0,51,2,181
0,51,10,701
0,51,4,311
0,51,6,441
0,51,8,571
0,51,9,636
0,52,2,182
0,52,10,702
0,52,4,312
0,52,6,442
0,52,8,572
0,52,9,637
0,53,2,183
0,53,10,703
0,53,4,313
0,53,6,443
0,53,8,573
0,53,9,638
0,54,2,184
0,54,10,704
0,54,4,314
0,54,6,444
0,54,8,574
0,54,9,639
0,55,2,185
0,55,10,705
0,55,4,315
0,55,6,445
0,55,8,575
0,55,9,640
0,56,2,186
0,56,10,706
0,56,4,316
0,56,6,446
0,56,8,576
0,56,9,641
0,57,2,187
0,57,10,707
0,57,4,317
0,57,6,447
0,57,8,577
0,57,9,642
0,58,2,188
0,58,10,708
0,58,4,318
0,58,6,448
0,58,8,578
0,58,9,643
0,59,2,189
0,59,10,709
0,59,4,319
