From TID,From JID,To TID,To JID
0,0,2,84
0,0,3,126
0,0,4,168
0,1,2,85
0,1,3,127
0,1,4,169
0,2,2,86
0,2,3,128
0,2,4,170
0,3,2,87
0,3,3,129
0,3,4,171
0,4,2,88
0,4,3,130
0,4,4,172
0,5,2,89
0,5,3,131
0,5,4,173
0,6,2,90
0,6,3,132
0,6,4,174
0,7,2,91
0,7,3,133
0,7,4,175
0,8,2,92
0,8,3,134
0,8,4,176
0,9,2,93
0,9,3,135
0,9,4,177
0,10,2,94
0,10,3,136
0,10,4,178
0,11,2,95
0,11,3,137
0,11,4,179
0,12,2,96
0,12,3,138
0,12,4,180
0,13,2,97
0,13,3,139
0,13,4,181
0,14,2,98
0,14,3,140
0,14,4,182
0,15,2,99
0,15,3,141
0,15,4,183
0,16,2,100
0,16,3,142
0,16,4,184
0,17,2,101
0,17,3,143
0,17,4,185
0,18,2,102
0,18,3,144
0,18,4,186
0,19,2,103
0,19,3,145
0,19,4,187
0,20,2,104
0,20,3,146
0,20,4,188
0,21,2,105
0,21,3,147
0,21,4,189
0,22,2,106
0,22,3,148
0,22,4,190
0,23,2,107
0,23,3,149
0,23,4,191
0,24,2,108
0,24,3,150
0,24,4,192
0,25,2,109
0,25,3,151
0,25,4,193
0,26,2,110
0,26,3,152
0,26,4,194
0,27,2,111
0,27,3,153
0,27,4,195
0,28,2,112
0,28,3,154
0,28,4,196
0,29,2,113
0,29,3,155
0,29,4,197
0,30,2,114
0,30,3,156
0,30,4,198
0,31,2,115
0,31,3,157
0,31,4,199
0,32,2,116
0,32,3,158
0,32,4,200
0,33,2,117
0,33,3,159
0,33,4,201
0,34,2,118
0,34,3,160
0,34,4,202
0,35,2,119
0,35,3,161
0,35,4,203
0,36,2,120
0,36,3,162
0,36,4,204
0,37,2,121
0,37,3,163
0,37,4,205
0,38,2,122
0,38,3,164
0,38,4,206
0,39,2,123
0,39,3,165
0,39,4,207
0,40,2,124
0,40,3,166
0,40,4,208
0,41,2,125
0,41,3,167
0,41,4,209
2,84,1,42
2,85,1,43
2,86,1,44
2,87,1,45
2,88,1,46
2,89,1,47
2,90,1,48
2,91,1,49
2,92,1,50
2,93,1,51
2,94,1,52
2,95,1,53
2,96,1,54
2,97,1,55
2,98,1,56
2,99,1,57
2,100,1,58
2,101,1,59
2,102,1,60
2,103,1,61
2,104,1,62
2,105,1,63
2,106,1,64
2,107,1,65
2,108,1,66
2,109,1,67
2,110,1,68
2,111,1,69
2,112,1,70
2,113,1,71
2,114,1,72
2,115,1,73
2,116,1,74
2,117,1,75
2,118,1,76
2,119,1,77
2,120,1,78
2,121,1,79
2,122,1,80
2,123,1,81
2,124,1,82
2,125,1,83
3,126,1,42
3,127,1,43
3,128,1,44
3,129,1,45
3,130,1,46
3,131,1,47
3,132,1,48
3,133,1,49
3,134,1,50
3,135,1,51
3,136,1,52
3,137,1,53
3,138,1,54
3,139,1,55
3,140,1,56
3,141,1,57
3,142,1,58
3,143,1,59
3,144,1,60
3,145,1,61
3,146,1,62
3,147,1,63
3,148,1,64
3,149,1,65
3,150,1,66
3,151,1,67
3,152,1,68
3,153,1,69
3,154,1,70
3,155,1,71
3,156,1,72
3,157,1,73
3,158,1,74
3,159,1,75
3,160,1,76
3,161,1,77
3,162,1,78
3,163,1,79
3,164,1,80
3,165,1,81
3,166,1,82
3,167,1,83
4,168,1,42
4,169,1,43
4,170,1,44
4,171,1,45
4,172,1,46
4,173,1,47
4,174,1,48
4,175,1,49
4,176,1,50
4,177,1,51
4,178,1,52
4,179,1,53
4,180,1,54
4,181,1,55
4,182,1,56
4,183,1,57
4,184,1,58
4,185,1,59
4,186,1,60
4,187,1,61
4,188,1,62
4,189,1,63
4,190,1,64
4,191,1,65
4,192,1,66
4,193,1,67
4,194,1,68
4,195,1,69
4,196,1,70
4,197,1,71
4,198,1,72
4,199,1,73
4,200,1,74
4,201,1,75
4,202,1,76
4,203,1,77
4,204,1,78
4,205,1,79
4,206,1,80
4,207,1,81
4,208,1,82
4,209,1,83
5,210,7,252
5,210,16,441
5,210,6,231
5,210,9,294
5,210,12,357
5,210,14,399
5,210,15,420
5,211,7,253
5,211,16,442
5,211,6,232
5,211,9,295
5,211,12,358
5,211,14,400
5,211,15,421
5,212,7,254
5,212,16,443
5,212,6,233
5,212,9,296
5,212,12,359
5,212,14,401
5,212,15,422
5,213,7,255
5,213,16,444
5,213,6,234
5,213,9,297
5,213,12,360
5,213,14,402
5,213,15,423
5,214,7,256
5,214,16,445
5,214,6,235
5,214,9,298
5,214,12,361
5,214,14,403
5,214,15,424
5,215,7,257
5,215,16,446
5,215,6,236
5,215,9,299
5,215,12,362
5,215,14,404
5,215,15,425
5,216,7,258
5,216,16,447
5,216,6,237
5,216,9,300
5,216,12,363
5,216,14,405
5,216,15,426
5,217,7,259
5,217,16,448
5,217,6,238
5,217,9,301
5,217,12,364
5,217,14,406
5,217,15,427
5,218,7,260
5,218,16,449
5,218,6,239
5,218,9,302
5,218,12,365
5,218,14,407
5,218,15,428
5,219,7,261
5,219,16,450
5,219,6,240
5,219,9,303
5,219,12,366
5,219,14,408
5,219,15,429
5,220,7,262
5,220,16,451
5,220,6,241
5,220,9,304
5,220,12,367
5,220,14,409
5,220,15,430
5,221,7,263
5,221,16,452
5,221,6,242
5,221,9,305
5,221,12,368
5,221,14,410
5,221,15,431
5,222,7,264
5,222,16,453
5,222,6,243
5,222,9,306
5,222,12,369
5,222,14,411
5,222,15,432
5,223,7,265
5,223,16,454
5,223,6,244
5,223,9,307
5,223,12,370
5,223,14,412
5,223,15,433
5,224,7,266
5,224,16,455
5,224,6,245
5,224,9,308
5,224,12,371
5,224,14,413
5,224,15,434
5,225,7,267
5,225,16,456
5,225,6,246
5,225,9,309
5,225,12,372
5,225,14,414
5,225,15,435
5,226,7,268
5,226,16,457
5,226,6,247
5,226,9,310
5,226,12,373
5,226,14,415
5,226,15,436
5,227,7,269
5,227,16,458
5,227,6,248
5,227,9,311
5,227,12,374
5,227,14,416
5,227,15,437
5,228,7,270
5,228,16,459
5,228,6,249
5,228,9,312
5,228,12,375
5,228,14,417
5,228,15,438
5,229,7,271
5,229,16,460
5,229,6,250
5,229,9,313
5,229,12,376
5,229,14,418
5,229,15,439
5,230,7,272
5,230,16,461
5,230,6,251
5,230,9,314
5,230,12,377
5,230,14,419
5,230,15,440
7,252,9,294
7,252,14,399
7,252,15,420
7,252,10,315
7,252,12,357
7,253,9,295
7,253,14,400
7,253,15,421
7,253,10,316
7,253,12,358
7,254,9,296
7,254,14,401
7,254,15,422
7,254,10,317
7,254,12,359
7,255,9,297
7,255,14,402
7,255,15,423
7,255,10,318
7,255,12,360
7,256,9,298
7,256,14,403
7,256,15,424
7,256,10,319
7,256,12,361
7,257,9,299
7,257,14,404
7,257,15,425
7,257,10,320
7,257,12,362
7,258,9,300
7,258,14,405
7,258,15,426
7,258,10,321
7,258,12,363
7,259,9,301
7,259,14,406
7,259,15,427
7,259,10,322
7,259,12,364
7,260,9,302
7,260,14,407
7,260,15,428
7,260,10,323
7,260,12,365
7,261,9,303
7,261,14,408
7,261,15,429
7,261,10,324
7,261,12,366
7,262,9,304
7,262,14,409
7,262,15,430
7,262,10,325
7,262,12,367
7,263,9,305
7,263,14,410
7,263,15,431
7,263,10,326
7,263,12,368
7,264,9,306
7,264,14,411
7,264,15,432
7,264,10,327
7,264,12,369
7,265,9,307
7,265,14,412
7,265,15,433
7,265,10,328
7,265,12,370
7,266,9,308
7,266,14,413
7,266,15,434
7,266,10,329
7,266,12,371
7,267,9,309
7,267,14,414
7,267,15,435
7,267,10,330
7,267,12,372
7,268,9,310
7,268,14,415
7,268,15,436
7,268,10,331
7,268,12,373
7,269,9,311
7,269,14,416
7,269,15,437
7,269,10,332
7,269,12,374
7,270,9,312
7,270,14,417
7,270,15,438
7,270,10,333
7,270,12,375
7,271,9,313
7,271,14,418
7,271,15,439
7,271,10,334
7,271,12,376
7,272,9,314
7,272,14,419
7,272,15,440
7,272,10,335
7,272,12,377
8,273,6,231
8,274,6,232
8,275,6,233
8,276,6,234
8,277,6,235
8,278,6,236
8,279,6,237
8,280,6,238
8,281,6,239
8,282,6,240
8,283,6,241
8,284,6,242
8,285,6,243
8,286,6,244
8,287,6,245
8,288,6,246
8,289,6,247
8,290,6,248
8,291,6,249
8,292,6,250
8,293,6,251
9,294,11,336
9,294,12,357
9,294,13,378
9,294,6,231
9,294,8,273
9,295,11,337
9,295,12,358
9,295,13,379
9,295,6,232
9,295,8,274
9,296,11,338
9,296,12,359
9,296,13,380
9,296,6,233
9,296,8,275
9,297,11,339
9,297,12,360
9,297,13,381
9,297,6,234
9,297,8,276
9,298,11,340
9,298,12,361
9,298,13,382
9,298,6,235
9,298,8,277
9,299,11,341
9,299,12,362
9,299,13,383
9,299,6,236
9,299,8,278
9,300,11,342
9,300,12,363
9,300,13,384
9,300,6,237
9,300,8,279
9,301,11,343
9,301,12,364
9,301,13,385
9,301,6,238
9,301,8,280
9,302,11,344
9,302,12,365
9,302,13,386
9,302,6,239
9,302,8,281
9,303,11,345
9,303,12,366
9,303,13,387
9,303,6,240
9,303,8,282
9,304,11,346
9,304,12,367
9,304,13,388
9,304,6,241
9,304,8,283
9,305,11,347
9,305,12,368
9,305,13,389
9,305,6,242
9,305,8,284
9,306,11,348
9,306,12,369
9,306,13,390
9,306,6,243
9,306,8,285
9,307,11,349
9,307,12,370
9,307,13,391
9,307,6,244
9,307,8,286
9,308,11,350
9,308,12,371
9,308,13,392
9,308,6,245
9,308,8,287
9,309,11,351
9,309,12,372
9,309,13,393
9,309,6,246
9,309,8,288
9,310,11,352
9,310,12,373
9,310,13,394
9,310,6,247
9,310,8,289
9,311,11,353
9,311,12,374
9,311,13,395
9,311,6,248
9,311,8,290
9,312,11,354
9,312,12,375
9,312,13,396
9,312,6,249
9,312,8,291
9,313,11,355
9,313,12,376
9,313,13,397
9,313,6,250
9,313,8,292
9,314,11,356
9,314,12,377
9,314,13,398
9,314,6,251
9,314,8,293
10,315,8,273
10,316,8,274
10,317,8,275
10,318,8,276
10,319,8,277
10,320,8,278
10,321,8,279
10,322,8,280
10,323,8,281
10,324,8,282
10,325,8,283
10,326,8,284
10,327,8,285
10,328,8,286
10,329,8,287
10,330,8,288
10,331,8,289
10,332,8,290
10,333,8,291
10,334,8,292
10,335,8,293
11,336,10,315
11,336,6,231
11,337,10,316
11,337,6,232
11,338,10,317
11,338,6,233
11,339,10,318
11,339,6,234
11,340,10,319
11,340,6,235
11,341,10,320
11,341,6,236
11,342,10,321
11,342,6,237
11,343,10,322
11,343,6,238
11,344,10,323
11,344,6,239
11,345,10,324
11,345,6,240
11,346,10,325
11,346,6,241
11,347,10,326
11,347,6,242
11,348,10,327
11,348,6,243
11,349,10,328
11,349,6,244
11,350,10,329
11,350,6,245
11,351,10,330
11,351,6,246
11,352,10,331
11,352,6,247
11,353,10,332
11,353,6,248
11,354,10,333
11,354,6,249
11,355,10,334
11,355,6,250
11,356,10,335
11,356,6,251
12,357,10,315
12,358,10,316
12,359,10,317
12,360,10,318
12,361,10,319
12,362,10,320
12,363,10,321
12,364,10,322
12,365,10,323
12,366,10,324
12,367,10,325
12,368,10,326
12,369,10,327
12,370,10,328
12,371,10,329
12,372,10,330
12,373,10,331
12,374,10,332
12,375,10,333
12,376,10,334
12,377,10,335
13,378,10,315
13,378,6,231
13,378,8,273
13,379,10,316
13,379,6,232
13,379,8,274
13,380,10,317
13,380,6,233
13,380,8,275
13,381,10,318
13,381,6,234
13,381,8,276
13,382,10,319
13,382,6,235
13,382,8,277
13,383,10,320
13,383,6,236
13,383,8,278
13,384,10,321
13,384,6,237
13,384,8,279
13,385,10,322
13,385,6,238
13,385,8,280
13,386,10,323
13,386,6,239
13,386,8,281
13,387,10,324
13,387,6,240
13,387,8,282
13,388,10,325
13,388,6,241
13,388,8,283
13,389,10,326
13,389,6,242
13,389,8,284
13,390,10,327
13,390,6,243
13,390,8,285
13,391,10,328
13,391,6,244
13,391,8,286
13,392,10,329
13,392,6,245
13,392,8,287
13,393,10,330
13,393,6,246
13,393,8,288
13,394,10,331
13,394,6,247
13,394,8,289
13,395,10,332
13,395,6,248
13,395,8,290
13,396,10,333
13,396,6,249
13,396,8,291
13,397,10,334
13,397,6,250
13,397,8,292
13,398,10,335
13,398,6,251
13,398,8,293
14,399,8,273
14,400,8,274
14,401,8,275
14,402,8,276
14,403,8,277
14,404,8,278
14,405,8,279
14,406,8,280
14,407,8,281
14,408,8,282
14,409,8,283
14,410,8,284
14,411,8,285
14,412,8,286
14,413,8,287
14,414,8,288
14,415,8,289
14,416,8,290
14,417,8,291
14,418,8,292
14,419,8,293
15,420,8,273
15,420,12,357
15,420,13,378
15,421,8,274
15,421,12,358
15,421,13,379
15,422,8,275
15,422,12,359
15,422,13,380
15,423,8,276
15,423,12,360
15,423,13,381
15,424,8,277
15,424,12,361
15,424,13,382
15,425,8,278
15,425,12,362
15,425,13,383
15,426,8,279
15,426,12,363
15,426,13,384
15,427,8,280
15,427,12,364
15,427,13,385
15,428,8,281
15,428,12,365
15,428,13,386
15,429,8,282
15,429,12,366
15,429,13,387
15,430,8,283
15,430,12,367
15,430,13,388
15,431,8,284
15,431,12,368
15,431,13,389
15,432,8,285
15,432,12,369
15,432,13,390
15,433,8,286
15,433,12,370
15,433,13,391
15,434,8,287
15,434,12,371
15,434,13,392
15,435,8,288
15,435,12,372
15,435,13,393
15,436,8,289
15,436,12,373
15,436,13,394
15,437,8,290
15,437,12,374
15,437,13,395
15,438,8,291
15,438,12,375
15,438,13,396
15,439,8,292
15,439,12,376
15,439,13,397
15,440,8,293
15,440,12,377
15,440,13,398
16,441,6,231
16,441,9,294
16,441,11,336
16,441,13,378
16,441,14,399
16,442,6,232
16,442,9,295
16,442,11,337
16,442,13,379
16,442,14,400
16,443,6,233
16,443,9,296
16,443,11,338
16,443,13,380
16,443,14,401
16,444,6,234
16,444,9,297
16,444,11,339
16,444,13,381
16,444,14,402
16,445,6,235
16,445,9,298
16,445,11,340
16,445,13,382
16,445,14,403
16,446,6,236
16,446,9,299
16,446,11,341
16,446,13,383
16,446,14,404
16,447,6,237
16,447,9,300
16,447,11,342
16,447,13,384
16,447,14,405
16,448,6,238
16,448,9,301
16,448,11,343
16,448,13,385
16,448,14,406
16,449,6,239
16,449,9,302
16,449,11,344
16,449,13,386
16,449,14,407
16,450,6,240
16,450,9,303
16,450,11,345
16,450,13,387
16,450,14,408
16,451,6,241
16,451,9,304
16,451,11,346
16,451,13,388
16,451,14,409
16,452,6,242
16,452,9,305
16,452,11,347
16,452,13,389
16,452,14,410
16,453,6,243
16,453,9,306
16,453,11,348
16,453,13,390
16,453,14,411
16,454,6,244
16,454,9,307
16,454,11,349
16,454,13,391
16,454,14,412
16,455,6,245
16,455,9,308
16,455,11,350
16,455,13,392
16,455,14,413
16,456,6,246
16,456,9,309
16,456,11,351
16,456,13,393
16,456,14,414
16,457,6,247
16,457,9,310
16,457,11,352
16,457,13,394
16,457,14,415
16,458,6,248
16,458,9,311
16,458,11,353
16,458,13,395
16,458,14,416
16,459,6,249
16,459,9,312
16,459,11,354
16,459,13,396
16,459,14,417
16,460,6,250
16,460,9,313
16,460,11,355
16,460,13,397
16,460,14,418
16,461,6,251
16,461,9,314
16,461,11,356
16,461,13,398
16,461,14,419
17,462,19,490
17,462,24,560
17,462,21,518
17,463,19,491
17,463,24,561
17,463,21,519
