Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,1104,11044,30000,30000
0,1,30000,33000,1104,11044,60000,30000
0,2,60000,63000,1104,11044,90000,30000
0,3,90000,93000,1104,11044,120000,30000
0,4,120000,123000,1104,11044,150000,30000
0,5,150000,153000,1104,11044,180000,30000
0,6,180000,183000,1104,11044,210000,30000
0,7,210000,213000,1104,11044,240000,30000
0,8,240000,243000,1104,11044,270000,30000
0,9,270000,273000,1104,11044,300000,30000
0,10,300000,303000,1104,11044,330000,30000
0,11,330000,333000,1104,11044,360000,30000
0,12,360000,363000,1104,11044,390000,30000
0,13,390000,393000,1104,11044,420000,30000
1,14,0,3000,1229,12281,30000,30000
1,15,30000,33000,1229,12281,60000,30000
1,16,60000,63000,1229,12281,90000,30000
1,17,90000,93000,1229,12281,120000,30000
1,18,120000,123000,1229,12281,150000,30000
1,19,150000,153000,1229,12281,180000,30000
1,20,180000,183000,1229,12281,210000,30000
1,21,210000,213000,1229,12281,240000,30000
1,22,240000,243000,1229,12281,270000,30000
1,23,270000,273000,1229,12281,300000,30000
1,24,300000,303000,1229,12281,330000,30000
1,25,330000,333000,1229,12281,360000,30000
1,26,360000,363000,1229,12281,390000,30000
1,27,390000,393000,1229,12281,420000,30000
2,28,0,3000,117,1175,30000,30000
2,29,30000,33000,117,1175,60000,30000
2,30,60000,63000,117,1175,90000,30000
2,31,90000,93000,117,1175,120000,30000
2,32,120000,123000,117,1175,150000,30000
2,33,150000,153000,117,1175,180000,30000
2,34,180000,183000,117,1175,210000,30000
2,35,210000,213000,117,1175,240000,30000
2,36,240000,243000,117,1175,270000,30000
2,37,270000,273000,117,1175,300000,30000
2,38,300000,303000,117,1175,330000,30000
2,39,330000,333000,117,1175,360000,30000
2,40,360000,363000,117,1175,390000,30000
2,41,390000,393000,117,1175,420000,30000
3,42,0,3000,110,1100,30000,30000
3,43,30000,33000,110,1100,60000,30000
3,44,60000,63000,110,1100,90000,30000
3,45,90000,93000,110,1100,120000,30000
3,46,120000,123000,110,1100,150000,30000
3,47,150000,153000,110,1100,180000,30000
3,48,180000,183000,110,1100,210000,30000
3,49,210000,213000,110,1100,240000,30000
3,50,240000,243000,110,1100,270000,30000
3,51,270000,273000,110,1100,300000,30000
3,52,300000,303000,110,1100,330000,30000
3,53,330000,333000,110,1100,360000,30000
3,54,360000,363000,110,1100,390000,30000
3,55,390000,393000,110,1100,420000,30000
4,56,0,6000,138,1382,60000,60000
4,57,60000,66000,138,1382,120000,60000
4,58,120000,126000,138,1382,180000,60000
4,59,180000,186000,138,1382,240000,60000
4,60,240000,246000,138,1382,300000,60000
4,61,300000,306000,138,1382,360000,60000
4,62,360000,366000,138,1382,420000,60000
5,63,0,6000,252,2515,60000,60000
5,64,60000,66000,252,2515,120000,60000
5,65,120000,126000,252,2515,180000,60000
5,66,180000,186000,252,2515,240000,60000
5,67,240000,246000,252,2515,300000,60000
5,68,300000,306000,252,2515,360000,60000
5,69,360000,366000,252,2515,420000,60000
6,70,0,6000,197,1974,60000,60000
6,71,60000,66000,197,1974,120000,60000
6,72,120000,126000,197,1974,180000,60000
6,73,180000,186000,197,1974,240000,60000
6,74,240000,246000,197,1974,300000,60000
6,75,300000,306000,197,1974,360000,60000
6,76,360000,366000,197,1974,420000,60000
7,77,0,6000,375,3736,60000,60000
7,78,60000,66000,375,3736,120000,60000
7,79,120000,126000,375,3736,180000,60000
7,80,180000,186000,375,3736,240000,60000
7,81,240000,246000,375,3736,300000,60000
7,82,300000,306000,375,3736,360000,60000
7,83,360000,366000,375,3736,420000,60000
8,84,0,6000,398,3980,60000,60000
8,85,60000,66000,398,3980,120000,60000
8,86,120000,126000,398,3980,180000,60000
8,87,180000,186000,398,3980,240000,60000
8,88,240000,246000,398,3980,300000,60000
8,89,300000,306000,398,3980,360000,60000
8,90,360000,366000,398,3980,420000,60000
9,91,0,6000,462,4619,60000,60000
9,92,60000,66000,462,4619,120000,60000
9,93,120000,126000,462,4619,180000,60000
9,94,180000,186000,462,4619,240000,60000
9,95,240000,246000,462,4619,300000,60000
9,96,300000,306000,462,4619,360000,60000
9,97,360000,366000,462,4619,420000,60000
10,98,0,6000,789,7895,60000,60000
10,99,60000,66000,789,7895,120000,60000
10,100,120000,126000,789,7895,180000,60000
10,101,180000,186000,789,7895,240000,60000
10,102,240000,246000,789,7895,300000,60000
10,103,300000,306000,789,7895,360000,60000
10,104,360000,366000,789,7895,420000,60000
