From TID,From JID,To TID,To JID
0,0,2,28
0,0,3,42
0,0,1,14
0,1,2,29
0,1,3,43
0,1,1,15
0,2,2,30
0,2,3,44
0,2,1,16
0,3,2,31
0,3,3,45
0,3,1,17
0,4,2,32
0,4,3,46
0,4,1,18
0,5,2,33
0,5,3,47
0,5,1,19
0,6,2,34
0,6,3,48
0,6,1,20
0,7,2,35
0,7,3,49
0,7,1,21
0,8,2,36
0,8,3,50
0,8,1,22
0,9,2,37
0,9,3,51
0,9,1,23
0,10,2,38
0,10,3,52
0,10,1,24
0,11,2,39
0,11,3,53
0,11,1,25
0,12,2,40
0,12,3,54
0,12,1,26
0,13,2,41
0,13,3,55
0,13,1,27
2,28,1,14
2,29,1,15
2,30,1,16
2,31,1,17
2,32,1,18
2,33,1,19
2,34,1,20
2,35,1,21
2,36,1,22
2,37,1,23
2,38,1,24
2,39,1,25
2,40,1,26
2,41,1,27
3,42,1,14
3,43,1,15
3,44,1,16
3,45,1,17
3,46,1,18
3,47,1,19
3,48,1,20
3,49,1,21
3,50,1,22
3,51,1,23
3,52,1,24
3,53,1,25
3,54,1,26
3,55,1,27
4,56,6,70
4,56,14,126
4,56,15,133
4,56,5,63
4,56,8,84
4,56,13,119
4,57,6,71
4,57,14,127
4,57,15,134
4,57,5,64
4,57,8,85
4,57,13,120
4,58,6,72
4,58,14,128
4,58,15,135
4,58,5,65
4,58,8,86
4,58,13,121
4,59,6,73
4,59,14,129
4,59,15,136
4,59,5,66
4,59,8,87
4,59,13,122
4,60,6,74
4,60,14,130
4,60,15,137
4,60,5,67
4,60,8,88
4,60,13,123
4,61,6,75
4,61,14,131
4,61,15,138
4,61,5,68
4,61,8,89
4,61,13,124
4,62,6,76
4,62,14,132
4,62,15,139
4,62,5,69
4,62,8,90
4,62,13,125
6,70,8,84
6,70,13,119
6,70,7,77
6,70,10,98
6,70,11,105
6,70,12,112
6,71,8,85
6,71,13,120
6,71,7,78
6,71,10,99
6,71,11,106
6,71,12,113
6,72,8,86
6,72,13,121
6,72,7,79
6,72,10,100
6,72,11,107
6,72,12,114
6,73,8,87
6,73,13,122
6,73,7,80
6,73,10,101
6,73,11,108
6,73,12,115
6,74,8,88
6,74,13,123
6,74,7,81
6,74,10,102
6,74,11,109
6,74,12,116
6,75,8,89
6,75,13,124
6,75,7,82
6,75,10,103
6,75,11,110
6,75,12,117
6,76,8,90
6,76,13,125
6,76,7,83
6,76,10,104
6,76,11,111
6,76,12,118
7,77,5,63
7,78,5,64
7,79,5,65
7,80,5,66
7,81,5,67
7,82,5,68
7,83,5,69
8,84,10,98
8,84,11,105
8,84,12,112
8,85,10,99
8,85,11,106
8,85,12,113
8,86,10,100
8,86,11,107
8,86,12,114
8,87,10,101
8,87,11,108
8,87,12,115
8,88,10,102
8,88,11,109
8,88,12,116
8,89,10,103
8,89,11,110
8,89,12,117
8,90,10,104
8,90,11,111
8,90,12,118
9,91,7,77
9,91,5,63
9,92,7,78
9,92,5,64
9,93,7,79
9,93,5,65
9,94,7,80
9,94,5,66
9,95,7,81
9,95,5,67
9,96,7,82
9,96,5,68
9,97,7,83
9,97,5,69
10,98,9,91
10,98,7,77
10,99,9,92
10,99,7,78
10,100,9,93
10,100,7,79
10,101,9,94
10,101,7,80
10,102,9,95
10,102,7,81
10,103,9,96
10,103,7,82
10,104,9,97
10,104,7,83
11,105,9,91
11,105,5,63
11,106,9,92
11,106,5,64
11,107,9,93
11,107,5,65
11,108,9,94
11,108,5,66
11,109,9,95
11,109,5,67
11,110,9,96
11,110,5,68
11,111,9,97
11,111,5,69
12,112,9,91
12,112,5,63
12,112,7,77
12,113,9,92
12,113,5,64
12,113,7,78
12,114,9,93
12,114,5,65
12,114,7,79
12,115,9,94
12,115,5,66
12,115,7,80
12,116,9,95
12,116,5,67
12,116,7,81
12,117,9,96
12,117,5,68
12,117,7,82
12,118,9,97
12,118,5,69
12,118,7,83
13,119,7,77
13,119,10,98
13,119,12,112
13,120,7,78
13,120,10,99
13,120,12,113
13,121,7,79
13,121,10,100
13,121,12,114
13,122,7,80
13,122,10,101
13,122,12,115
13,123,7,81
13,123,10,102
13,123,12,116
13,124,7,82
13,124,10,103
