Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,7,67,10000,10000
0,1,10000,11000,7,67,20000,10000
0,2,20000,21000,7,67,30000,10000
0,3,30000,31000,7,67,40000,10000
0,4,40000,41000,7,67,50000,10000
0,5,50000,51000,7,67,60000,10000
0,6,60000,61000,7,67,70000,10000
0,7,70000,71000,7,67,80000,10000
0,8,80000,81000,7,67,90000,10000
0,9,90000,91000,7,67,100000,10000
1,10,0,1000,34,340,10000,10000
1,11,10000,11000,34,340,20000,10000
1,12,20000,21000,34,340,30000,10000
1,13,30000,31000,34,340,40000,10000
1,14,40000,41000,34,340,50000,10000
1,15,50000,51000,34,340,60000,10000
1,16,60000,61000,34,340,70000,10000
1,17,70000,71000,34,340,80000,10000
1,18,80000,81000,34,340,90000,10000
1,19,90000,91000,34,340,100000,10000
2,20,0,1000,44,445,10000,10000
2,21,10000,11000,44,445,20000,10000
2,22,20000,21000,44,445,30000,10000
2,23,30000,31000,44,445,40000,10000
2,24,40000,41000,44,445,50000,10000
2,25,50000,51000,44,445,60000,10000
2,26,60000,61000,44,445,70000,10000
2,27,70000,71000,44,445,80000,10000
2,28,80000,81000,44,445,90000,10000
2,29,90000,91000,44,445,100000,10000
3,30,0,1000,52,517,10000,10000
3,31,10000,11000,52,517,20000,10000
3,32,20000,21000,52,517,30000,10000
3,33,30000,31000,52,517,40000,10000
3,34,40000,41000,52,517,50000,10000
3,35,50000,51000,52,517,60000,10000
3,36,60000,61000,52,517,70000,10000
3,37,70000,71000,52,517,80000,10000
3,38,80000,81000,52,517,90000,10000
3,39,90000,91000,52,517,100000,10000
4,40,0,1000,68,678,10000,10000
4,41,10000,11000,68,678,20000,10000
4,42,20000,21000,68,678,30000,10000
4,43,30000,31000,68,678,40000,10000
4,44,40000,41000,68,678,50000,10000
4,45,50000,51000,68,678,60000,10000
4,46,60000,61000,68,678,70000,10000
4,47,70000,71000,68,678,80000,10000
4,48,80000,81000,68,678,90000,10000
4,49,90000,91000,68,678,100000,10000
5,50,0,1000,54,539,10000,10000
5,51,10000,11000,54,539,20000,10000
5,52,20000,21000,54,539,30000,10000
5,53,30000,31000,54,539,40000,10000
5,54,40000,41000,54,539,50000,10000
5,55,50000,51000,54,539,60000,10000
5,56,60000,61000,54,539,70000,10000
5,57,70000,71000,54,539,80000,10000
5,58,80000,81000,54,539,90000,10000
5,59,90000,91000,54,539,100000,10000
6,60,0,1000,41,410,10000,10000
6,61,10000,11000,41,410,20000,10000
6,62,20000,21000,41,410,30000,10000
6,63,30000,31000,41,410,40000,10000
6,64,40000,41000,41,410,50000,10000
6,65,50000,51000,41,410,60000,10000
6,66,60000,61000,41,410,70000,10000
6,67,70000,71000,41,410,80000,10000
6,68,80000,81000,41,410,90000,10000
6,69,90000,91000,41,410,100000,10000
7,70,0,1000,15,148,10000,10000
7,71,10000,11000,15,148,20000,10000
7,72,20000,21000,15,148,30000,10000
7,73,30000,31000,15,148,40000,10000
7,74,40000,41000,15,148,50000,10000
7,75,50000,51000,15,148,60000,10000
7,76,60000,61000,15,148,70000,10000
7,77,70000,71000,15,148,80000,10000
7,78,80000,81000,15,148,90000,10000
7,79,90000,91000,15,148,100000,10000
8,80,0,1000,19,188,10000,10000
8,81,10000,11000,19,188,20000,10000
8,82,20000,21000,19,188,30000,10000
8,83,30000,31000,19,188,40000,10000
8,84,40000,41000,19,188,50000,10000
8,85,50000,51000,19,188,60000,10000
8,86,60000,61000,19,188,70000,10000
8,87,70000,71000,19,188,80000,10000
8,88,80000,81000,19,188,90000,10000
8,89,90000,91000,19,188,100000,10000
9,90,0,1000,49,492,10000,10000
9,91,10000,11000,49,492,20000,10000
9,92,20000,21000,49,492,30000,10000
9,93,30000,31000,49,492,40000,10000
9,94,40000,41000,49,492,50000,10000
9,95,50000,51000,49,492,60000,10000
9,96,60000,61000,49,492,70000,10000
9,97,70000,71000,49,492,80000,10000
