From TID,From JID,To TID,To JID
0,0,2,20
0,0,10,100
0,0,11,110
0,0,1,10
0,0,4,40
0,0,5,50
0,0,6,60
0,1,2,21
0,1,10,101
0,1,11,111
0,1,1,11
0,1,4,41
0,1,5,51
0,1,6,61
0,2,2,22
0,2,10,102
0,2,11,112
0,2,1,12
0,2,4,42
0,2,5,52
0,2,6,62
0,3,2,23
0,3,10,103
0,3,11,113
0,3,1,13
0,3,4,43
0,3,5,53
0,3,6,63
0,4,2,24
0,4,10,104
0,4,11,114
0,4,1,14
0,4,4,44
0,4,5,54
0,4,6,64
0,5,2,25
0,5,10,105
0,5,11,115
0,5,1,15
0,5,4,45
0,5,5,55
0,5,6,65
0,6,2,26
0,6,10,106
0,6,11,116
0,6,1,16
0,6,4,46
0,6,5,56
0,6,6,66
0,7,2,27
0,7,10,107
0,7,11,117
0,7,1,17
0,7,4,47
0,7,5,57
0,7,6,67
0,8,2,28
0,8,10,108
0,8,11,118
0,8,1,18
0,8,4,48
0,8,5,58
0,8,6,68
0,9,2,29
0,9,10,109
0,9,11,119
0,9,1,19
0,9,4,49
0,9,5,59
0,9,6,69
2,20,4,40
2,20,5,50
2,20,6,60
2,20,7,70
2,20,8,80
2,20,9,90
2,21,4,41
2,21,5,51
2,21,6,61
2,21,7,71
2,21,8,81
2,21,9,91
2,22,4,42
2,22,5,52
2,22,6,62
2,22,7,72
2,22,8,82
2,22,9,92
2,23,4,43
2,23,5,53
2,23,6,63
2,23,7,73
2,23,8,83
2,23,9,93
2,24,4,44
2,24,5,54
2,24,6,64
2,24,7,74
2,24,8,84
2,24,9,94
2,25,4,45
2,25,5,55
2,25,6,65
2,25,7,75
2,25,8,85
2,25,9,95
2,26,4,46
2,26,5,56
2,26,6,66
2,26,7,76
2,26,8,86
2,26,9,96
2,27,4,47
2,27,5,57
2,27,6,67
2,27,7,77
2,27,8,87
2,27,9,97
2,28,4,48
2,28,5,58
2,28,6,68
2,28,7,78
2,28,8,88
2,28,9,98
2,29,4,49
2,29,5,59
2,29,6,69
2,29,7,79
2,29,8,89
2,29,9,99
3,30,1,10
3,31,1,11
3,32,1,12
3,33,1,13
3,34,1,14
3,35,1,15
3,36,1,16
3,37,1,17
3,38,1,18
3,39,1,19
4,40,3,30
4,40,1,10
4,41,3,31
4,41,1,11
4,42,3,32
4,42,1,12
