Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,25,246,20000,20000
0,1,20000,22000,25,246,40000,20000
0,2,40000,42000,25,246,60000,20000
0,3,60000,62000,25,246,80000,20000
0,4,80000,82000,25,246,100000,20000
0,5,100000,102000,25,246,120000,20000
0,6,120000,122000,25,246,140000,20000
0,7,140000,142000,25,246,160000,20000
0,8,160000,162000,25,246,180000,20000
0,9,180000,182000,25,246,200000,20000
0,10,200000,202000,25,246,220000,20000
0,11,220000,222000,25,246,240000,20000
0,12,240000,242000,25,246,260000,20000
0,13,260000,262000,25,246,280000,20000
0,14,280000,282000,25,246,300000,20000
0,15,300000,302000,25,246,320000,20000
0,16,320000,322000,25,246,340000,20000
0,17,340000,342000,25,246,360000,20000
0,18,360000,362000,25,246,380000,20000
0,19,380000,382000,25,246,400000,20000
0,20,400000,402000,25,246,420000,20000
0,21,420000,422000,25,246,440000,20000
0,22,440000,442000,25,246,460000,20000
0,23,460000,462000,25,246,480000,20000
0,24,480000,482000,25,246,500000,20000
0,25,500000,502000,25,246,520000,20000
0,26,520000,522000,25,246,540000,20000
0,27,540000,542000,25,246,560000,20000
0,28,560000,562000,25,246,580000,20000
0,29,580000,582000,25,246,600000,20000
1,30,0,2000,26,260,20000,20000
1,31,20000,22000,26,260,40000,20000
1,32,40000,42000,26,260,60000,20000
1,33,60000,62000,26,260,80000,20000
1,34,80000,82000,26,260,100000,20000
1,35,100000,102000,26,260,120000,20000
1,36,120000,122000,26,260,140000,20000
1,37,140000,142000,26,260,160000,20000
1,38,160000,162000,26,260,180000,20000
1,39,180000,182000,26,260,200000,20000
1,40,200000,202000,26,260,220000,20000
1,41,220000,222000,26,260,240000,20000
1,42,240000,242000,26,260,260000,20000
1,43,260000,262000,26,260,280000,20000
1,44,280000,282000,26,260,300000,20000
1,45,300000,302000,26,260,320000,20000
1,46,320000,322000,26,260,340000,20000
1,47,340000,342000,26,260,360000,20000
1,48,360000,362000,26,260,380000,20000
1,49,380000,382000,26,260,400000,20000
1,50,400000,402000,26,260,420000,20000
1,51,420000,422000,26,260,440000,20000
1,52,440000,442000,26,260,460000,20000
1,53,460000,462000,26,260,480000,20000
1,54,480000,482000,26,260,500000,20000
1,55,500000,502000,26,260,520000,20000
1,56,520000,522000,26,260,540000,20000
1,57,540000,542000,26,260,560000,20000
1,58,560000,562000,26,260,580000,20000
1,59,580000,582000,26,260,600000,20000
2,60,0,2000,52,519,20000,20000
2,61,20000,22000,52,519,40000,20000
2,62,40000,42000,52,519,60000,20000
2,63,60000,62000,52,519,80000,20000
2,64,80000,82000,52,519,100000,20000
2,65,100000,102000,52,519,120000,20000
2,66,120000,122000,52,519,140000,20000
2,67,140000,142000,52,519,160000,20000
2,68,160000,162000,52,519,180000,20000
2,69,180000,182000,52,519,200000,20000
2,70,200000,202000,52,519,220000,20000
2,71,220000,222000,52,519,240000,20000
2,72,240000,242000,52,519,260000,20000
2,73,260000,262000,52,519,280000,20000
2,74,280000,282000,52,519,300000,20000
2,75,300000,302000,52,519,320000,20000
2,76,320000,322000,52,519,340000,20000
2,77,340000,342000,52,519,360000,20000
2,78,360000,362000,52,519,380000,20000
2,79,380000,382000,52,519,400000,20000
2,80,400000,402000,52,519,420000,20000
2,81,420000,422000,52,519,440000,20000
2,82,440000,442000,52,519,460000,20000
2,83,460000,462000,52,519,480000,20000
2,84,480000,482000,52,519,500000,20000
2,85,500000,502000,52,519,520000,20000
2,86,520000,522000,52,519,540000,20000
2,87,540000,542000,52,519,560000,20000
2,88,560000,562000,52,519,580000,20000
2,89,580000,582000,52,519,600000,20000
3,90,0,2000,55,550,20000,20000
3,91,20000,22000,55,550,40000,20000
3,92,40000,42000,55,550,60000,20000
3,93,60000,62000,55,550,80000,20000
3,94,80000,82000,55,550,100000,20000
3,95,100000,102000,55,550,120000,20000
3,96,120000,122000,55,550,140000,20000
3,97,140000,142000,55,550,160000,20000
3,98,160000,162000,55,550,180000,20000
3,99,180000,182000,55,550,200000,20000
3,100,200000,202000,55,550,220000,20000
3,101,220000,222000,55,550,240000,20000
3,102,240000,242000,55,550,260000,20000
3,103,260000,262000,55,550,280000,20000
3,104,280000,282000,55,550,300000,20000
3,105,300000,302000,55,550,320000,20000
3,106,320000,322000,55,550,340000,20000
3,107,340000,342000,55,550,360000,20000
3,108,360000,362000,55,550,380000,20000
3,109,380000,382000,55,550,400000,20000
3,110,400000,402000,55,550,420000,20000
3,111,420000,422000,55,550,440000,20000
3,112,440000,442000,55,550,460000,20000
3,113,460000,462000,55,550,480000,20000
3,114,480000,482000,55,550,500000,20000
3,115,500000,502000,55,550,520000,20000
3,116,520000,522000,55,550,540000,20000
3,117,540000,542000,55,550,560000,20000
3,118,560000,562000,55,550,580000,20000
3,119,580000,582000,55,550,600000,20000
4,120,0,2000,43,429,20000,20000
4,121,20000,22000,43,429,40000,20000
4,122,40000,42000,43,429,60000,20000
4,123,60000,62000,43,429,80000,20000
4,124,80000,82000,43,429,100000,20000
4,125,100000,102000,43,429,120000,20000
4,126,120000,122000,43,429,140000,20000
4,127,140000,142000,43,429,160000,20000
4,128,160000,162000,43,429,180000,20000
4,129,180000,182000,43,429,200000,20000
4,130,200000,202000,43,429,220000,20000
4,131,220000,222000,43,429,240000,20000
4,132,240000,242000,43,429,260000,20000
4,133,260000,262000,43,429,280000,20000
4,134,280000,282000,43,429,300000,20000
4,135,300000,302000,43,429,320000,20000
4,136,320000,322000,43,429,340000,20000
4,137,340000,342000,43,429,360000,20000
4,138,360000,362000,43,429,380000,20000
4,139,380000,382000,43,429,400000,20000
4,140,400000,402000,43,429,420000,20000
4,141,420000,422000,43,429,440000,20000
4,142,440000,442000,43,429,460000,20000
4,143,460000,462000,43,429,480000,20000
4,144,480000,482000,43,429,500000,20000
4,145,500000,502000,43,429,520000,20000
4,146,520000,522000,43,429,540000,20000
4,147,540000,542000,43,429,560000,20000
4,148,560000,562000,43,429,580000,20000
4,149,580000,582000,43,429,600000,20000
5,150,0,2000,14,137,20000,20000
5,151,20000,22000,14,137,40000,20000
5,152,40000,42000,14,137,60000,20000
5,153,60000,62000,14,137,80000,20000
5,154,80000,82000,14,137,100000,20000
5,155,100000,102000,14,137,120000,20000
5,156,120000,122000,14,137,140000,20000
5,157,140000,142000,14,137,160000,20000
5,158,160000,162000,14,137,180000,20000
5,159,180000,182000,14,137,200000,20000
5,160,200000,202000,14,137,220000,20000
5,161,220000,222000,14,137,240000,20000
5,162,240000,242000,14,137,260000,20000
5,163,260000,262000,14,137,280000,20000
5,164,280000,282000,14,137,300000,20000
5,165,300000,302000,14,137,320000,20000
5,166,320000,322000,14,137,340000,20000
5,167,340000,342000,14,137,360000,20000
5,168,360000,362000,14,137,380000,20000
5,169,380000,382000,14,137,400000,20000
5,170,400000,402000,14,137,420000,20000
5,171,420000,422000,14,137,440000,20000
5,172,440000,442000,14,137,460000,20000
5,173,460000,462000,14,137,480000,20000
5,174,480000,482000,14,137,500000,20000
5,175,500000,502000,14,137,520000,20000
5,176,520000,522000,14,137,540000,20000
5,177,540000,542000,14,137,560000,20000
5,178,560000,562000,14,137,580000,20000
5,179,580000,582000,14,137,600000,20000
6,180,0,2000,52,519,20000,20000
6,181,20000,22000,52,519,40000,20000
6,182,40000,42000,52,519,60000,20000
6,183,60000,62000,52,519,80000,20000
6,184,80000,82000,52,519,100000,20000
6,185,100000,102000,52,519,120000,20000
6,186,120000,122000,52,519,140000,20000
6,187,140000,142000,52,519,160000,20000
6,188,160000,162000,52,519,180000,20000
6,189,180000,182000,52,519,200000,20000
6,190,200000,202000,52,519,220000,20000
6,191,220000,222000,52,519,240000,20000
6,192,240000,242000,52,519,260000,20000
6,193,260000,262000,52,519,280000,20000
6,194,280000,282000,52,519,300000,20000
6,195,300000,302000,52,519,320000,20000
6,196,320000,322000,52,519,340000,20000
6,197,340000,342000,52,519,360000,20000
6,198,360000,362000,52,519,380000,20000
6,199,380000,382000,52,519,400000,20000
6,200,400000,402000,52,519,420000,20000
6,201,420000,422000,52,519,440000,20000
6,202,440000,442000,52,519,460000,20000
6,203,460000,462000,52,519,480000,20000
6,204,480000,482000,52,519,500000,20000
6,205,500000,502000,52,519,520000,20000
6,206,520000,522000,52,519,540000,20000
6,207,540000,542000,52,519,560000,20000
6,208,560000,562000,52,519,580000,20000
6,209,580000,582000,52,519,600000,20000
7,210,0,2000,28,280,20000,20000
7,211,20000,22000,28,280,40000,20000
7,212,40000,42000,28,280,60000,20000
7,213,60000,62000,28,280,80000,20000
7,214,80000,82000,28,280,100000,20000
7,215,100000,102000,28,280,120000,20000
7,216,120000,122000,28,280,140000,20000
7,217,140000,142000,28,280,160000,20000
7,218,160000,162000,28,280,180000,20000
7,219,180000,182000,28,280,200000,20000
7,220,200000,202000,28,280,220000,20000
7,221,220000,222000,28,280,240000,20000
7,222,240000,242000,28,280,260000,20000
7,223,260000,262000,28,280,280000,20000
7,224,280000,282000,28,280,300000,20000
7,225,300000,302000,28,280,320000,20000
7,226,320000,322000,28,280,340000,20000
7,227,340000,342000,28,280,360000,20000
7,228,360000,362000,28,280,380000,20000
7,229,380000,382000,28,280,400000,20000
7,230,400000,402000,28,280,420000,20000
7,231,420000,422000,28,280,440000,20000
7,232,440000,442000,28,280,460000,20000
7,233,460000,462000,28,280,480000,20000
7,234,480000,482000,28,280,500000,20000
7,235,500000,502000,28,280,520000,20000
7,236,520000,522000,28,280,540000,20000
7,237,540000,542000,28,280,560000,20000
7,238,560000,562000,28,280,580000,20000
7,239,580000,582000,28,280,600000,20000
8,240,0,2000,13,134,20000,20000
8,241,20000,22000,13,134,40000,20000
8,242,40000,42000,13,134,60000,20000
8,243,60000,62000,13,134,80000,20000
8,244,80000,82000,13,134,100000,20000
8,245,100000,102000,13,134,120000,20000
8,246,120000,122000,13,134,140000,20000
8,247,140000,142000,13,134,160000,20000
8,248,160000,162000,13,134,180000,20000
8,249,180000,182000,13,134,200000,20000
8,250,200000,202000,13,134,220000,20000
8,251,220000,222000,13,134,240000,20000
8,252,240000,242000,13,134,260000,20000
8,253,260000,262000,13,134,280000,20000
8,254,280000,282000,13,134,300000,20000
8,255,300000,302000,13,134,320000,20000
8,256,320000,322000,13,134,340000,20000
8,257,340000,342000,13,134,360000,20000
8,258,360000,362000,13,134,380000,20000
8,259,380000,382000,13,134,400000,20000
8,260,400000,402000,13,134,420000,20000
