Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,63,627,10000,10000
0,1,10000,11000,63,627,20000,10000
0,2,20000,21000,63,627,30000,10000
0,3,30000,31000,63,627,40000,10000
0,4,40000,41000,63,627,50000,10000
0,5,50000,51000,63,627,60000,10000
0,6,60000,61000,63,627,70000,10000
0,7,70000,71000,63,627,80000,10000
0,8,80000,81000,63,627,90000,10000
0,9,90000,91000,63,627,100000,10000
0,10,100000,101000,63,627,110000,10000
0,11,110000,111000,63,627,120000,10000
0,12,120000,121000,63,627,130000,10000
0,13,130000,131000,63,627,140000,10000
0,14,140000,141000,63,627,150000,10000
0,15,150000,151000,63,627,160000,10000
0,16,160000,161000,63,627,170000,10000
0,17,170000,171000,63,627,180000,10000
0,18,180000,181000,63,627,190000,10000
0,19,190000,191000,63,627,200000,10000
0,20,200000,201000,63,627,210000,10000
0,21,210000,211000,63,627,220000,10000
0,22,220000,221000,63,627,230000,10000
0,23,230000,231000,63,627,240000,10000
0,24,240000,241000,63,627,250000,10000
0,25,250000,251000,63,627,260000,10000
0,26,260000,261000,63,627,270000,10000
0,27,270000,271000,63,627,280000,10000
0,28,280000,281000,63,627,290000,10000
0,29,290000,291000,63,627,300000,10000
0,30,300000,301000,63,627,310000,10000
0,31,310000,311000,63,627,320000,10000
0,32,320000,321000,63,627,330000,10000
0,33,330000,331000,63,627,340000,10000
0,34,340000,341000,63,627,350000,10000
0,35,350000,351000,63,627,360000,10000
0,36,360000,361000,63,627,370000,10000
0,37,370000,371000,63,627,380000,10000
0,38,380000,381000,63,627,390000,10000
0,39,390000,391000,63,627,400000,10000
1,40,0,1000,17,171,10000,10000
1,41,10000,11000,17,171,20000,10000
1,42,20000,21000,17,171,30000,10000
1,43,30000,31000,17,171,40000,10000
1,44,40000,41000,17,171,50000,10000
1,45,50000,51000,17,171,60000,10000
1,46,60000,61000,17,171,70000,10000
1,47,70000,71000,17,171,80000,10000
1,48,80000,81000,17,171,90000,10000
1,49,90000,91000,17,171,100000,10000
1,50,100000,101000,17,171,110000,10000
1,51,110000,111000,17,171,120000,10000
1,52,120000,121000,17,171,130000,10000
1,53,130000,131000,17,171,140000,10000
1,54,140000,141000,17,171,150000,10000
1,55,150000,151000,17,171,160000,10000
1,56,160000,161000,17,171,170000,10000
1,57,170000,171000,17,171,180000,10000
1,58,180000,181000,17,171,190000,10000
1,59,190000,191000,17,171,200000,10000
1,60,200000,201000,17,171,210000,10000
1,61,210000,211000,17,171,220000,10000
1,62,220000,221000,17,171,230000,10000
1,63,230000,231000,17,171,240000,10000
1,64,240000,241000,17,171,250000,10000
1,65,250000,251000,17,171,260000,10000
1,66,260000,261000,17,171,270000,10000
1,67,270000,271000,17,171,280000,10000
1,68,280000,281000,17,171,290000,10000
1,69,290000,291000,17,171,300000,10000
1,70,300000,301000,17,171,310000,10000
1,71,310000,311000,17,171,320000,10000
1,72,320000,321000,17,171,330000,10000
1,73,330000,331000,17,171,340000,10000
1,74,340000,341000,17,171,350000,10000
1,75,350000,351000,17,171,360000,10000
1,76,360000,361000,17,171,370000,10000
1,77,370000,371000,17,171,380000,10000
1,78,380000,381000,17,171,390000,10000
1,79,390000,391000,17,171,400000,10000
2,80,0,1000,66,663,10000,10000
2,81,10000,11000,66,663,20000,10000
2,82,20000,21000,66,663,30000,10000
2,83,30000,31000,66,663,40000,10000
2,84,40000,41000,66,663,50000,10000
2,85,50000,51000,66,663,60000,10000
2,86,60000,61000,66,663,70000,10000
2,87,70000,71000,66,663,80000,10000
2,88,80000,81000,66,663,90000,10000
2,89,90000,91000,66,663,100000,10000
2,90,100000,101000,66,663,110000,10000
2,91,110000,111000,66,663,120000,10000
2,92,120000,121000,66,663,130000,10000
2,93,130000,131000,66,663,140000,10000
2,94,140000,141000,66,663,150000,10000
2,95,150000,151000,66,663,160000,10000
2,96,160000,161000,66,663,170000,10000
2,97,170000,171000,66,663,180000,10000
2,98,180000,181000,66,663,190000,10000
2,99,190000,191000,66,663,200000,10000
2,100,200000,201000,66,663,210000,10000
2,101,210000,211000,66,663,220000,10000
2,102,220000,221000,66,663,230000,10000
2,103,230000,231000,66,663,240000,10000
2,104,240000,241000,66,663,250000,10000
2,105,250000,251000,66,663,260000,10000
2,106,260000,261000,66,663,270000,10000
2,107,270000,271000,66,663,280000,10000
2,108,280000,281000,66,663,290000,10000
2,109,290000,291000,66,663,300000,10000
2,110,300000,301000,66,663,310000,10000
2,111,310000,311000,66,663,320000,10000
2,112,320000,321000,66,663,330000,10000
2,113,330000,331000,66,663,340000,10000
2,114,340000,341000,66,663,350000,10000
2,115,350000,351000,66,663,360000,10000
2,116,360000,361000,66,663,370000,10000
2,117,370000,371000,66,663,380000,10000
2,118,380000,381000,66,663,390000,10000
2,119,390000,391000,66,663,400000,10000
3,120,0,1000,71,707,10000,10000
3,121,10000,11000,71,707,20000,10000
3,122,20000,21000,71,707,30000,10000
3,123,30000,31000,71,707,40000,10000
3,124,40000,41000,71,707,50000,10000
3,125,50000,51000,71,707,60000,10000
3,126,60000,61000,71,707,70000,10000
3,127,70000,71000,71,707,80000,10000
3,128,80000,81000,71,707,90000,10000
3,129,90000,91000,71,707,100000,10000
3,130,100000,101000,71,707,110000,10000
3,131,110000,111000,71,707,120000,10000
3,132,120000,121000,71,707,130000,10000
3,133,130000,131000,71,707,140000,10000
3,134,140000,141000,71,707,150000,10000
3,135,150000,151000,71,707,160000,10000
3,136,160000,161000,71,707,170000,10000
3,137,170000,171000,71,707,180000,10000
3,138,180000,181000,71,707,190000,10000
3,139,190000,191000,71,707,200000,10000
3,140,200000,201000,71,707,210000,10000
3,141,210000,211000,71,707,220000,10000
3,142,220000,221000,71,707,230000,10000
3,143,230000,231000,71,707,240000,10000
3,144,240000,241000,71,707,250000,10000
3,145,250000,251000,71,707,260000,10000
3,146,260000,261000,71,707,270000,10000
3,147,270000,271000,71,707,280000,10000
3,148,280000,281000,71,707,290000,10000
3,149,290000,291000,71,707,300000,10000
3,150,300000,301000,71,707,310000,10000
3,151,310000,311000,71,707,320000,10000
3,152,320000,321000,71,707,330000,10000
3,153,330000,331000,71,707,340000,10000
3,154,340000,341000,71,707,350000,10000
3,155,350000,351000,71,707,360000,10000
3,156,360000,361000,71,707,370000,10000
3,157,370000,371000,71,707,380000,10000
3,158,380000,381000,71,707,390000,10000
3,159,390000,391000,71,707,400000,10000
4,160,0,1000,51,511,10000,10000
4,161,10000,11000,51,511,20000,10000
4,162,20000,21000,51,511,30000,10000
4,163,30000,31000,51,511,40000,10000
4,164,40000,41000,51,511,50000,10000
4,165,50000,51000,51,511,60000,10000
4,166,60000,61000,51,511,70000,10000
4,167,70000,71000,51,511,80000,10000
4,168,80000,81000,51,511,90000,10000
4,169,90000,91000,51,511,100000,10000
4,170,100000,101000,51,511,110000,10000
4,171,110000,111000,51,511,120000,10000
4,172,120000,121000,51,511,130000,10000
4,173,130000,131000,51,511,140000,10000
4,174,140000,141000,51,511,150000,10000
4,175,150000,151000,51,511,160000,10000
4,176,160000,161000,51,511,170000,10000
4,177,170000,171000,51,511,180000,10000
4,178,180000,181000,51,511,190000,10000
4,179,190000,191000,51,511,200000,10000
4,180,200000,201000,51,511,210000,10000
4,181,210000,211000,51,511,220000,10000
4,182,220000,221000,51,511,230000,10000
4,183,230000,231000,51,511,240000,10000
4,184,240000,241000,51,511,250000,10000
4,185,250000,251000,51,511,260000,10000
4,186,260000,261000,51,511,270000,10000
4,187,270000,271000,51,511,280000,10000
4,188,280000,281000,51,511,290000,10000
4,189,290000,291000,51,511,300000,10000
4,190,300000,301000,51,511,310000,10000
4,191,310000,311000,51,511,320000,10000
4,192,320000,321000,51,511,330000,10000
4,193,330000,331000,51,511,340000,10000
4,194,340000,341000,51,511,350000,10000
4,195,350000,351000,51,511,360000,10000
4,196,360000,361000,51,511,370000,10000
4,197,370000,371000,51,511,380000,10000
4,198,380000,381000,51,511,390000,10000
4,199,390000,391000,51,511,400000,10000
5,200,0,1000,101,1005,10000,10000
5,201,10000,11000,101,1005,20000,10000
5,202,20000,21000,101,1005,30000,10000
5,203,30000,31000,101,1005,40000,10000
5,204,40000,41000,101,1005,50000,10000
5,205,50000,51000,101,1005,60000,10000
5,206,60000,61000,101,1005,70000,10000
5,207,70000,71000,101,1005,80000,10000
5,208,80000,81000,101,1005,90000,10000
5,209,90000,91000,101,1005,100000,10000
5,210,100000,101000,101,1005,110000,10000
5,211,110000,111000,101,1005,120000,10000
5,212,120000,121000,101,1005,130000,10000
5,213,130000,131000,101,1005,140000,10000
5,214,140000,141000,101,1005,150000,10000
5,215,150000,151000,101,1005,160000,10000
5,216,160000,161000,101,1005,170000,10000
5,217,170000,171000,101,1005,180000,10000
5,218,180000,181000,101,1005,190000,10000
5,219,190000,191000,101,1005,200000,10000
5,220,200000,201000,101,1005,210000,10000
5,221,210000,211000,101,1005,220000,10000
5,222,220000,221000,101,1005,230000,10000
5,223,230000,231000,101,1005,240000,10000
5,224,240000,241000,101,1005,250000,10000
5,225,250000,251000,101,1005,260000,10000
5,226,260000,261000,101,1005,270000,10000
5,227,270000,271000,101,1005,280000,10000
5,228,280000,281000,101,1005,290000,10000
5,229,290000,291000,101,1005,300000,10000
5,230,300000,301000,101,1005,310000,10000
5,231,310000,311000,101,1005,320000,10000
5,232,320000,321000,101,1005,330000,10000
