From TID,From JID,To TID,To JID
0,0,2,80
0,0,9,360
0,0,10,400
0,0,3,120
0,0,4,160
0,0,5,200
0,1,2,81
0,1,9,361
0,1,10,401
0,1,3,121
0,1,4,161
0,1,5,201
0,2,2,82
0,2,9,362
0,2,10,402
0,2,3,122
0,2,4,162
0,2,5,202
0,3,2,83
0,3,9,363
0,3,10,403
0,3,3,123
0,3,4,163
0,3,5,203
0,4,2,84
0,4,9,364
0,4,10,404
0,4,3,124
0,4,4,164
0,4,5,204
0,5,2,85
0,5,9,365
0,5,10,405
0,5,3,125
0,5,4,165
0,5,5,205
0,6,2,86
0,6,9,366
0,6,10,406
0,6,3,126
0,6,4,166
0,6,5,206
0,7,2,87
0,7,9,367
0,7,10,407
0,7,3,127
0,7,4,167
0,7,5,207
0,8,2,88
0,8,9,368
0,8,10,408
0,8,3,128
0,8,4,168
0,8,5,208
0,9,2,89
0,9,9,369
0,9,10,409
0,9,3,129
0,9,4,169
0,9,5,209
0,10,2,90
0,10,9,370
0,10,10,410
0,10,3,130
0,10,4,170
0,10,5,210
0,11,2,91
0,11,9,371
0,11,10,411
0,11,3,131
0,11,4,171
0,11,5,211
0,12,2,92
0,12,9,372
0,12,10,412
0,12,3,132
0,12,4,172
0,12,5,212
0,13,2,93
0,13,9,373
0,13,10,413
0,13,3,133
0,13,4,173
0,13,5,213
0,14,2,94
0,14,9,374
0,14,10,414
0,14,3,134
0,14,4,174
0,14,5,214
0,15,2,95
0,15,9,375
0,15,10,415
0,15,3,135
0,15,4,175
0,15,5,215
0,16,2,96
0,16,9,376
0,16,10,416
0,16,3,136
0,16,4,176
0,16,5,216
0,17,2,97
0,17,9,377
0,17,10,417
0,17,3,137
0,17,4,177
0,17,5,217
0,18,2,98
0,18,9,378
0,18,10,418
0,18,3,138
0,18,4,178
0,18,5,218
0,19,2,99
0,19,9,379
0,19,10,419
0,19,3,139
0,19,4,179
0,19,5,219
0,20,2,100
0,20,9,380
0,20,10,420
0,20,3,140
0,20,4,180
0,20,5,220
0,21,2,101
0,21,9,381
0,21,10,421
0,21,3,141
0,21,4,181
0,21,5,221
0,22,2,102
0,22,9,382
0,22,10,422
0,22,3,142
0,22,4,182
0,22,5,222
0,23,2,103
0,23,9,383
0,23,10,423
0,23,3,143
0,23,4,183
0,23,5,223
0,24,2,104
0,24,9,384
0,24,10,424
0,24,3,144
0,24,4,184
0,24,5,224
0,25,2,105
0,25,9,385
0,25,10,425
0,25,3,145
0,25,4,185
0,25,5,225
0,26,2,106
0,26,9,386
0,26,10,426
0,26,3,146
0,26,4,186
0,26,5,226
0,27,2,107
0,27,9,387
0,27,10,427
0,27,3,147
0,27,4,187
0,27,5,227
0,28,2,108
0,28,9,388
0,28,10,428
0,28,3,148
0,28,4,188
0,28,5,228
0,29,2,109
0,29,9,389
0,29,10,429
0,29,3,149
0,29,4,189
0,29,5,229
0,30,2,110
0,30,9,390
0,30,10,430
0,30,3,150
0,30,4,190
0,30,5,230
0,31,2,111
0,31,9,391
0,31,10,431
0,31,3,151
0,31,4,191
0,31,5,231
0,32,2,112
0,32,9,392
0,32,10,432
0,32,3,152
0,32,4,192
0,32,5,232
0,33,2,113
0,33,9,393
0,33,10,433
0,33,3,153
0,33,4,193
0,33,5,233
0,34,2,114
0,34,9,394
0,34,10,434
0,34,3,154
0,34,4,194
0,34,5,234
0,35,2,115
0,35,9,395
0,35,10,435
0,35,3,155
0,35,4,195
0,35,5,235
0,36,2,116
0,36,9,396
0,36,10,436
0,36,3,156
0,36,4,196
0,36,5,236
0,37,2,117
0,37,9,397
0,37,10,437
0,37,3,157
0,37,4,197
0,37,5,237
0,38,2,118
0,38,9,398
0,38,10,438
0,38,3,158
0,38,4,198
0,38,5,238
0,39,2,119
0,39,9,399
0,39,10,439
0,39,3,159
0,39,4,199
0,39,5,239
2,80,4,160
2,80,5,200
2,80,1,40
2,80,3,120
2,80,7,280
2,80,8,320
2,81,4,161
2,81,5,201
2,81,1,41
2,81,3,121
2,81,7,281
2,81,8,321
2,82,4,162
2,82,5,202
2,82,1,42
2,82,3,122
2,82,7,282
2,82,8,322
2,83,4,163
2,83,5,203
2,83,1,43
2,83,3,123
2,83,7,283
2,83,8,323
2,84,4,164
2,84,5,204
2,84,1,44
2,84,3,124
2,84,7,284
2,84,8,324
2,85,4,165
2,85,5,205
2,85,1,45
2,85,3,125
2,85,7,285
2,85,8,325
2,86,4,166
2,86,5,206
2,86,1,46
2,86,3,126
2,86,7,286
2,86,8,326
2,87,4,167
2,87,5,207
2,87,1,47
2,87,3,127
2,87,7,287
2,87,8,327
2,88,4,168
2,88,5,208
2,88,1,48
2,88,3,128
2,88,7,288
2,88,8,328
2,89,4,169
2,89,5,209
2,89,1,49
2,89,3,129
2,89,7,289
2,89,8,329
2,90,4,170
2,90,5,210
2,90,1,50
2,90,3,130
2,90,7,290
2,90,8,330
2,91,4,171
2,91,5,211
2,91,1,51
2,91,3,131
2,91,7,291
2,91,8,331
2,92,4,172
2,92,5,212
2,92,1,52
2,92,3,132
2,92,7,292
2,92,8,332
2,93,4,173
2,93,5,213
2,93,1,53
2,93,3,133
2,93,7,293
2,93,8,333
2,94,4,174
2,94,5,214
2,94,1,54
2,94,3,134
2,94,7,294
2,94,8,334
2,95,4,175
2,95,5,215
2,95,1,55
2,95,3,135
2,95,7,295
2,95,8,335
2,96,4,176
2,96,5,216
2,96,1,56
2,96,3,136
2,96,7,296
2,96,8,336
2,97,4,177
2,97,5,217
2,97,1,57
2,97,3,137
2,97,7,297
2,97,8,337
2,98,4,178
2,98,5,218
2,98,1,58
2,98,3,138
2,98,7,298
2,98,8,338
