Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,68,678,10000,10000
0,1,10000,11000,68,678,20000,10000
0,2,20000,21000,68,678,30000,10000
0,3,30000,31000,68,678,40000,10000
0,4,40000,41000,68,678,50000,10000
0,5,50000,51000,68,678,60000,10000
0,6,60000,61000,68,678,70000,10000
0,7,70000,71000,68,678,80000,10000
0,8,80000,81000,68,678,90000,10000
0,9,90000,91000,68,678,100000,10000
0,10,100000,101000,68,678,110000,10000
0,11,110000,111000,68,678,120000,10000
0,12,120000,121000,68,678,130000,10000
0,13,130000,131000,68,678,140000,10000
0,14,140000,141000,68,678,150000,10000
0,15,150000,151000,68,678,160000,10000
0,16,160000,161000,68,678,170000,10000
0,17,170000,171000,68,678,180000,10000
0,18,180000,181000,68,678,190000,10000
0,19,190000,191000,68,678,200000,10000
0,20,200000,201000,68,678,210000,10000
0,21,210000,211000,68,678,220000,10000
0,22,220000,221000,68,678,230000,10000
0,23,230000,231000,68,678,240000,10000
0,24,240000,241000,68,678,250000,10000
0,25,250000,251000,68,678,260000,10000
0,26,260000,261000,68,678,270000,10000
0,27,270000,271000,68,678,280000,10000
0,28,280000,281000,68,678,290000,10000
0,29,290000,291000,68,678,300000,10000
1,30,0,1000,96,959,10000,10000
1,31,10000,11000,96,959,20000,10000
1,32,20000,21000,96,959,30000,10000
1,33,30000,31000,96,959,40000,10000
1,34,40000,41000,96,959,50000,10000
1,35,50000,51000,96,959,60000,10000
1,36,60000,61000,96,959,70000,10000
1,37,70000,71000,96,959,80000,10000
1,38,80000,81000,96,959,90000,10000
1,39,90000,91000,96,959,100000,10000
1,40,100000,101000,96,959,110000,10000
1,41,110000,111000,96,959,120000,10000
1,42,120000,121000,96,959,130000,10000
1,43,130000,131000,96,959,140000,10000
1,44,140000,141000,96,959,150000,10000
1,45,150000,151000,96,959,160000,10000
1,46,160000,161000,96,959,170000,10000
1,47,170000,171000,96,959,180000,10000
1,48,180000,181000,96,959,190000,10000
1,49,190000,191000,96,959,200000,10000
