From TID,From JID,To TID,To JID
0,0,2,60
0,0,3,90
0,0,4,120
0,0,5,150
0,0,6,180
0,0,7,210
0,0,10,300
0,1,2,61
0,1,3,91
0,1,4,121
0,1,5,151
0,1,6,181
0,1,7,211
0,1,10,301
0,2,2,62
0,2,3,92
0,2,4,122
0,2,5,152
0,2,6,182
0,2,7,212
0,2,10,302
0,3,2,63
0,3,3,93
0,3,4,123
0,3,5,153
0,3,6,183
0,3,7,213
0,3,10,303
0,4,2,64
0,4,3,94
0,4,4,124
0,4,5,154
0,4,6,184
0,4,7,214
0,4,10,304
0,5,2,65
0,5,3,95
0,5,4,125
0,5,5,155
0,5,6,185
0,5,7,215
0,5,10,305
0,6,2,66
0,6,3,96
0,6,4,126
0,6,5,156
0,6,6,186
0,6,7,216
0,6,10,306
0,7,2,67
0,7,3,97
0,7,4,127
0,7,5,157
0,7,6,187
0,7,7,217
0,7,10,307
0,8,2,68
0,8,3,98
0,8,4,128
0,8,5,158
0,8,6,188
0,8,7,218
0,8,10,308
0,9,2,69
0,9,3,99
0,9,4,129
0,9,5,159
0,9,6,189
0,9,7,219
0,9,10,309
0,10,2,70
0,10,3,100
0,10,4,130
0,10,5,160
0,10,6,190
0,10,7,220
0,10,10,310
0,11,2,71
0,11,3,101
0,11,4,131
0,11,5,161
0,11,6,191
0,11,7,221
0,11,10,311
0,12,2,72
0,12,3,102
0,12,4,132
0,12,5,162
0,12,6,192
0,12,7,222
0,12,10,312
0,13,2,73
0,13,3,103
0,13,4,133
0,13,5,163
0,13,6,193
0,13,7,223
0,13,10,313
0,14,2,74
0,14,3,104
0,14,4,134
0,14,5,164
0,14,6,194
0,14,7,224
0,14,10,314
0,15,2,75
0,15,3,105
0,15,4,135
0,15,5,165
0,15,6,195
0,15,7,225
0,15,10,315
0,16,2,76
0,16,3,106
0,16,4,136
0,16,5,166
0,16,6,196
0,16,7,226
0,16,10,316
0,17,2,77
0,17,3,107
0,17,4,137
0,17,5,167
0,17,6,197
0,17,7,227
0,17,10,317
0,18,2,78
