From TID,From JID,To TID,To JID
0,0,2,48
0,0,11,264
0,0,12,288
0,0,5,120
0,1,2,49
0,1,11,265
0,1,12,289
0,1,5,121
0,2,2,50
0,2,11,266
0,2,12,290
0,2,5,122
0,3,2,51
0,3,11,267
0,3,12,291
0,3,5,123
0,4,2,52
0,4,11,268
0,4,12,292
0,4,5,124
0,5,2,53
0,5,11,269
0,5,12,293
0,5,5,125
0,6,2,54
0,6,11,270
0,6,12,294
0,6,5,126
0,7,2,55
0,7,11,271
0,7,12,295
0,7,5,127
0,8,2,56
0,8,11,272
0,8,12,296
0,8,5,128
0,9,2,57
0,9,11,273
0,9,12,297
0,9,5,129
0,10,2,58
0,10,11,274
0,10,12,298
0,10,5,130
0,11,2,59
0,11,11,275
0,11,12,299
0,11,5,131
0,12,2,60
0,12,11,276
0,12,12,300
0,12,5,132
0,13,2,61
0,13,11,277
0,13,12,301
0,13,5,133
0,14,2,62
0,14,11,278
0,14,12,302
0,14,5,134
0,15,2,63
0,15,11,279
0,15,12,303
0,15,5,135
0,16,2,64
0,16,11,280
0,16,12,304
0,16,5,136
0,17,2,65
0,17,11,281
0,17,12,305
0,17,5,137
0,18,2,66
0,18,11,282
0,18,12,306
0,18,5,138
0,19,2,67
0,19,11,283
0,19,12,307
0,19,5,139
0,20,2,68
0,20,11,284
0,20,12,308
0,20,5,140
0,21,2,69
0,21,11,285
0,21,12,309
0,21,5,141
0,22,2,70
0,22,11,286
0,22,12,310
0,22,5,142
0,23,2,71
0,23,11,287
0,23,12,311
0,23,5,143
2,48,4,96
2,48,9,216
2,48,10,240
2,48,1,24
2,48,6,144
2,48,7,168
2,49,4,97
2,49,9,217
2,49,10,241
2,49,1,25
2,49,6,145
2,49,7,169
2,50,4,98
2,50,9,218
2,50,10,242
2,50,1,26
2,50,6,146
2,50,7,170
2,51,4,99
2,51,9,219
2,51,10,243
2,51,1,27
2,51,6,147
2,51,7,171
2,52,4,100
2,52,9,220
2,52,10,244
2,52,1,28
2,52,6,148
2,52,7,172
2,53,4,101
2,53,9,221
2,53,10,245
2,53,1,29
2,53,6,149
2,53,7,173
2,54,4,102
2,54,9,222
2,54,10,246
2,54,1,30
2,54,6,150
2,54,7,174
2,55,4,103
2,55,9,223
2,55,10,247
2,55,1,31
2,55,6,151
2,55,7,175
2,56,4,104
2,56,9,224
2,56,10,248
2,56,1,32
2,56,6,152
2,56,7,176
2,57,4,105
2,57,9,225
2,57,10,249
2,57,1,33
2,57,6,153
2,57,7,177
2,58,4,106
2,58,9,226
2,58,10,250
2,58,1,34
2,58,6,154
2,58,7,178
2,59,4,107
2,59,9,227
2,59,10,251
2,59,1,35
2,59,6,155
2,59,7,179
2,60,4,108
2,60,9,228
2,60,10,252
2,60,1,36
2,60,6,156
2,60,7,180
2,61,4,109
2,61,9,229
2,61,10,253
2,61,1,37
2,61,6,157
2,61,7,181
2,62,4,110
2,62,9,230
2,62,10,254
2,62,1,38
2,62,6,158
2,62,7,182
2,63,4,111
2,63,9,231
2,63,10,255
2,63,1,39
2,63,6,159
2,63,7,183
2,64,4,112
2,64,9,232
2,64,10,256
2,64,1,40
2,64,6,160
2,64,7,184
2,65,4,113
2,65,9,233
