Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,239,2393,10000,10000
0,1,10000,11000,239,2393,20000,10000
0,2,20000,21000,239,2393,30000,10000
0,3,30000,31000,239,2393,40000,10000
0,4,40000,41000,239,2393,50000,10000
0,5,50000,51000,239,2393,60000,10000
0,6,60000,61000,239,2393,70000,10000
0,7,70000,71000,239,2393,80000,10000
0,8,80000,81000,239,2393,90000,10000
0,9,90000,91000,239,2393,100000,10000
1,10,0,1000,186,1863,10000,10000
1,11,10000,11000,186,1863,20000,10000
1,12,20000,21000,186,1863,30000,10000
1,13,30000,31000,186,1863,40000,10000
1,14,40000,41000,186,1863,50000,10000
1,15,50000,51000,186,1863,60000,10000
1,16,60000,61000,186,1863,70000,10000
1,17,70000,71000,186,1863,80000,10000
1,18,80000,81000,186,1863,90000,10000
1,19,90000,91000,186,1863,100000,10000
2,20,0,1000,191,1908,10000,10000
2,21,10000,11000,191,1908,20000,10000
2,22,20000,21000,191,1908,30000,10000
2,23,30000,31000,191,1908,40000,10000
2,24,40000,41000,191,1908,50000,10000
2,25,50000,51000,191,1908,60000,10000
2,26,60000,61000,191,1908,70000,10000
2,27,70000,71000,191,1908,80000,10000
2,28,80000,81000,191,1908,90000,10000
2,29,90000,91000,191,1908,100000,10000
3,30,0,1000,211,2106,10000,10000
3,31,10000,11000,211,2106,20000,10000
3,32,20000,21000,211,2106,30000,10000
3,33,30000,31000,211,2106,40000,10000
3,34,40000,41000,211,2106,50000,10000
3,35,50000,51000,211,2106,60000,10000
3,36,60000,61000,211,2106,70000,10000
3,37,70000,71000,211,2106,80000,10000
3,38,80000,81000,211,2106,90000,10000
3,39,90000,91000,211,2106,100000,10000
4,40,0,1000,115,1146,10000,10000
4,41,10000,11000,115,1146,20000,10000
4,42,20000,21000,115,1146,30000,10000
4,43,30000,31000,115,1146,40000,10000
4,44,40000,41000,115,1146,50000,10000
4,45,50000,51000,115,1146,60000,10000
4,46,60000,61000,115,1146,70000,10000
4,47,70000,71000,115,1146,80000,10000
4,48,80000,81000,115,1146,90000,10000
4,49,90000,91000,115,1146,100000,10000
5,50,0,1000,3,28,10000,10000
5,51,10000,11000,3,28,20000,10000
5,52,20000,21000,3,28,30000,10000
5,53,30000,31000,3,28,40000,10000
5,54,40000,41000,3,28,50000,10000
5,55,50000,51000,3,28,60000,10000
5,56,60000,61000,3,28,70000,10000
5,57,70000,71000,3,28,80000,10000
5,58,80000,81000,3,28,90000,10000
5,59,90000,91000,3,28,100000,10000
6,60,0,1000,128,1282,10000,10000
6,61,10000,11000,128,1282,20000,10000
6,62,20000,21000,128,1282,30000,10000
6,63,30000,31000,128,1282,40000,10000
6,64,40000,41000,128,1282,50000,10000
6,65,50000,51000,128,1282,60000,10000
6,66,60000,61000,128,1282,70000,10000
6,67,70000,71000,128,1282,80000,10000
6,68,80000,81000,128,1282,90000,10000
6,69,90000,91000,128,1282,100000,10000
7,70,0,1000,91,911,10000,10000
7,71,10000,11000,91,911,20000,10000
7,72,20000,21000,91,911,30000,10000
7,73,30000,31000,91,911,40000,10000
7,74,40000,41000,91,911,50000,10000
7,75,50000,51000,91,911,60000,10000
7,76,60000,61000,91,911,70000,10000
7,77,70000,71000,91,911,80000,10000
7,78,80000,81000,91,911,90000,10000
7,79,90000,91000,91,911,100000,10000
8,80,0,1000,81,807,10000,10000
8,81,10000,11000,81,807,20000,10000
8,82,20000,21000,81,807,30000,10000
8,83,30000,31000,81,807,40000,10000
8,84,40000,41000,81,807,50000,10000
8,85,50000,51000,81,807,60000,10000
8,86,60000,61000,81,807,70000,10000
8,87,70000,71000,81,807,80000,10000
8,88,80000,81000,81,807,90000,10000
8,89,90000,91000,81,807,100000,10000
9,90,0,1000,35,354,10000,10000
9,91,10000,11000,35,354,20000,10000
9,92,20000,21000,35,354,30000,10000
9,93,30000,31000,35,354,40000,10000
9,94,40000,41000,35,354,50000,10000
9,95,50000,51000,35,354,60000,10000
9,96,60000,61000,35,354,70000,10000
9,97,70000,71000,35,354,80000,10000
9,98,80000,81000,35,354,90000,10000
9,99,90000,91000,35,354,100000,10000
10,100,0,1000,121,1199,10000,10000
10,101,10000,11000,121,1199,20000,10000
10,102,20000,21000,121,1199,30000,10000
